ui_music_volume|Głośność muzyki:
ui_use_desktop_resolution2|Użyj rozdzielczości pulpitu
ui_shadow_quality2|Jakość cieni:
ui_m_low2|Niska
ui_m_high2|Wysoka
ui_m_ultra_high2|Bardzo wysoka
ui_off2|Wyłączono
ui_group_header|Klasa jednostki
ui_group_rename|Zmień nazwę
ui_group_1|Piechota
ui_group_2|Strzelcy
ui_group_3|Kawaleria
ui_group_4|Grupa 1
ui_group_5|Grupa 2
ui_group_6|Grupa 3
ui_group_7|Grupa 4
ui_group_8|Grupa 5
ui_group_9|Grupa 6
ui_group_rename|Zmień nazwę
ui_group_close|Zamknij
ui_party_b_group_information|%s należy do grupy: %s
ui_thrown_or_s|Miotana/%s
ui_ranged_damage|Dystansowe: %d%s
ui_overall_quality|  Ustawienie jakości  
ui_shader_quality|Ustawienie jakości shadera:
ui_flora_lod_detail|Ustawienie jakości drzew:
ui_flora_degrade_distance|Zanikanie drzew:
ui_antialiasing|Antyaliasing:
ui_use_depth_effects|Efekt głębi
ui_hdr_mode|Ustawienie jakości HDR:
ui_autoexpore|Auto-ekspozycja
ui_choose_profile|Wybierz profil:
ui_create|Nowy
ui_edit|Edytuj
ui_join_game|Dołącz do gry
ui_host_game|Załóż grę
ui_custom|Niestandardowe
ui_medium|Średnie
ui_male|Mężczyzna
ui_female|Kobieta
ui_gender|Wybierz płeć:
ui_edit_profile|Edytuj profil
ui_new_profile|Nowy profil
ui_enter_username|Wprowadź nazwę użytkownika:
ui_invalid_username|Nazwa użytkownika może zawierać tylko litery, cyfry i znak "_".
ui_confirmation|Czy na pewno?
ui_multiplayer|Gra wieloosobowa
ui_server_name|Serwer
ui_module_name|Moduł
ui_game_type|Rodzaj gry
ui_map_name|Mapa
ui_ping|Ping
ui_dedicated|Dedykowany
ui_number_of_players|Gracze
ui_password_protected|Hasło
ui_connect|Połącz
ui_local_area_network|Sieć lokalna
ui_internet|Internet
ui_favorites|Ulubione
ui_source|Źródło:
ui_server_password|Hasło serwera:
ui_refresh|Odśwież
ui_start_search|Rozpocznij szukanie
ui_add_to_favorites|Dodaj do ulubionych
ui_remove_from_favorites|Usuń z ulubionych
ui_use_speedtree|Speedtree
ui_use_instancing|Instancjonowanie
ui_error|Błąd
ui_error_server_full|Serwer jest pełen
ui_error_server_full_for_non_private|Serwer jest pełen dla graczy nieposiadających prywatnego hasła członkowskiego.
ui_error_server_password_incorrect|Niepoprawne hasło.
ui_error_incorrect_serial|Niepoprawny numer seryjny.
ui_error_incorrect_authorization_key|Niepoprawny kod autoryzacji.
ui_error_banned_from_server|Zablokowano Cię na tym serwerze
ui_error_username_taken|Nazwa Twojego profilu jest już używana.
ui_error_authentication_failed|Uwierzytelnianie nieudane.
ui_unable_to_connect_to_server|Nie można połączyć z serwerem.
ui_connection_to_server_is_lost|Utracono połączenie z serwerem.
ui_kicked_from_server|Wyrzucono z serwera.
ui_switch_to_module_question|Moduł uruchomiony na serwerze różni się od twojego. Czy Mount&Blade ma przełączyć moduł na ten używany na serwerze?
ui_download_module_question|Moduł uruchomiony na serwerze różni się od twojego. Czy chcesz odwiedzić stronę, z której można go pobrać?
ui_download_mb_new_version_question|Ten serwer działa na nowszej wersji (%d.%d%d%d) Mount&Blade niż ta, której w danym momencie używasz (%d.%d%d%d). Chcesz teraz odwiedzić stronę TaleWorlds?
ui_download_mb_old_version_question|Ten serwer działa na starszej wersji (%d.%d%d%d) Mount&Blade niż ta, której w danym momencie używasz (%d.%d%d%d).
ui_download_module_new_version_question|Ten serwer działa na nowszej wersji (%d.%d%d%d) modułu niż ta, której w danym momencie używasz (%d.%d%d%d). Chcesz teraz odwiedzić stronę modułu?
ui_download_module_old_version_question|Ten serwer działa na starszej wersji (%d.%d%d%d) modułu niż ta, której w danym momencie używasz (%d.%d%d%d).
ui_authenticating_with_steam|Uwierzytelnianie ze Steam...
ui_validating_serial_number|Sprawdzanie numeru seryjnego...
ui_scanning_lan|Skanowanie sieci lokalnej...
ui_retrieving_servers|Pobieranie listy serwerów...
ui_shield_size2|Rozmiar: %dx%d
ui_click_to_view_notes|Kliknij, by przeczytać notatki
ui_retrieving_server_infos|Pobieranie informacji z serwerów (%d)...
ui_connecting_to_server|Łączenie z serwerem...
ui_requesting_to_join_the_game|Prośba o dołączenie do gry...
ui_loading|Wczytywanie...
ui_group_value_control|Grupa %d!
ui_drop_weapon|Wyrzuć broń
ui_multiplayer_message_all|Wiadomość do wszystkich
ui_multiplayer_message_team|Wiadomość do drużyny
ui_command_line|Wiersz poleceń
ui_use_ranged_weapon_as_melee|Tryb broni
ui_send_message_all|Wyślij wiadomość do wszystkich
ui_send_message_team|Wyślij wiadomość do drużyny
ui_select|Wybierz
ui_context_menu|Menu kontekstowe
ui_round_starts_in_value_seconds|Runda rozpocznie się za %d sek....
ui_watching_value|Podążasz za: %s
ui_capital_spec|OBSERW
ui_capital_dead|MARTWY
ui_instancing_error1|Nie można zablokować buforowania instancji (rozmiar: %d), wyłączono instancjowanie siatki (kod błędu: %d)
ui_instancing_error2|Nie można dopasować instancjowanych obiektów, instancjowanie siatki wyłączono
ui_by_keyboard|Używając klawiszy kierunkowych
ui_combat_speed_slowest|Najwolniejsza
ui_combat_speed_slower|Wolna
ui_combat_speed_normal|Normalna
ui_combat_speed_faster|Szybsza
ui_combat_speed_fastest|Najszybsza
ui_module_newer_than_application|Wybrany moduł wymaga nowszej wersji gry.
ui_module_older_than_application|Wybrany moduł wymaga starszej wersji gry.
ui_unbalanced|Niezbalansowane
ui_can_crush_through_blocks|Pozwala na przebijanie bloku
ui_turn_camera_with_horse|Obrót kamery z koniem w widoku z pierwszej osoby:
ui_widescreen_mode_on|Tryb wieloekranowy - włączony
ui_widescreen_mode_off|Tryb wieloekranowy - wyłączony
ui_notification_cant_upgrade|(Nie można awansować: za mało pieniędzy)
ui_turn_never|Nigdy
ui_turn_ranged_only|Tylko na odległość
ui_turn_melee_only|Tylko wręcz
ui_turn_always|Zawsze
ui_general_options|Opcje główne
ui_vac_enabled|System Valve Anty Cheat - włączono
ui_campaign_ai|AI kampanii:
ui_downloading_map|Pobieranie mapy (%d KB)
ui_download_completed|Pobieranie zakończone.
ui_server_filter|Filtr serwerów
ui_has_players|Posiadający graczy
ui_is_not_full|Niepełny
ui_is_password_free|Bez hasła
ui_native_only|Tylko Native
ui_ping_limit|Ogr. pingu
ui_filter_info|Wyfiltrowano %d gier oraz %d graczy
ui_is_version_compatible|Kompatybilny z modułem
ui_ttnet_account|Konto TTnet
ui_username|Użytkownik
ui_password|Hasło
ui_error_incorrect_username_or_password|Nieprawidłowe hasło lub nazwa użytkownika
ui_validating_account|Uwiarygodnianie konta...
ui_plase_enter_your_serial_key|Proszę wprowadzić numer seryjny
ui_texture_detail2|Poziom detali tekstur:
ui_antialiasing2|Antyaliasing:
ui_napoleonic_key_does_not_exist|Ta modyfikacja wymaga do gry DLC Czasy Napoleona!
ui_delete_module_workshop|Czy na pewno chcesz usunąć i wypisać się z listy tego modułu?
ui_delete_module|Czy na pewno chcesz usunąć ten moduł?
ui_delete_native_module|Nie można usunąć modułu bazowego (Native).
ui_incompatible_module|Ten serwer nie jest zgodny z Twoją wersją modułu. Możesz zmienić moduł za pomocą aplikacji konfiguracji gry.
