str_no_string|¡NO STRING!
str_npc8_personalityclash2_speech_b|Mientras limpiábamos nuestras armas después de la batalla, le dije que pensaba que era una mujer bella y que una vez recuperara mis tierras con gusto le buscaría pareja entre uno de mis guerreros. Pensé que era una oferta muy generosa, ya que una mujer desheredada por su padre no se va a encontrar muchos pretendientes. Pero en vez de agradecérmelo, simplemente me dio la espalda. Fue por respeto a vos que no intenté enseñarle buenos modales.
str_npc9_personalityclash2_speech_b|Aprecio que arriesgue su vida en la batalla, pero eso no lo convierte en caballero. No es noble, y sus riquezas proceden del comercio y la usura. Podrá luchar con nosotros como auxiliar pero no debería robar la gloria de sus superiores.
str_npc10_personalityclash2_speech_b|En la última batalla me estaba gritando: 'Id adelante, id atrás, quedaos en el puesto'. Cuando le dije que se preocupara de sí mismo, me dijo que haría que me dieran de latigazos. Si me disculpáis, ese hombre está buscándose un virote en el pecho.
str_npc11_personalityclash2_speech_b|Dijo que era una oración para agradecer la victoria, pero a mí no me lo pareció. {Capitán/Capitana}, no quiero que este loco levante a los espíritus de los muertos y nos cause problemas. Creo que lo mejor es deshacernos de él.
str_npc12_personalityclash2_speech_b|{Capitán/Capitana}, si ese hombre supiera lo mínimo sobre medicina, sabría que nunca se debe minar la confianza del paciente en su doctor, particularmente durante una operación importante. Si lo echaseis de nuestra compañía, haríais a todos un gran favor.
str_npc13_personalityclash2_speech_b|Cuando se asentó el polvo, {s11} me miró y me dijo que no tentara a la 'ira de los Cielos' con mi 'soberbia'. Le respondí que al menos yo no había matado a mi propio hermano, lo cual, según creo, molesta mucho más a los Cielos que las charlas en el campo de batalla. {s11} se puso rojo como el trasero de un mandril y me hubiera golpeado si no llego a esquivarle. Decidle que se calme, por favor.
str_npc14_personalityclash2_speech_b|{Señor/Señora}, tal desafío a la autoridad es una influencia corrosiva en nuestra compañía y haré que le den de latigazos si se repite.
str_npc15_personalityclash2_speech_b|{s11} respondió que Galeno era un 'palurdo anticuado.' {Capitán/Capitana}, ningún doctor de verdad sería tan irrespetuoso con los grandes maestros del pasado. Creo que no deberíais dar empleo a semejante impostor.
str_npc16_personalityclash2_speech_b|Después de nuestra última batalla, me encontraba yo abriendo en canal a nuestros enemigos en busca de oro escondido, como cualquier chica ahorradora haría. Él casi se puso a vomitar y me dijo que yo era una 'bestia'. Os juro que inspeccionaré sus tripas en busca de contrabando si no cuida su bocaza.
str_npc1_personalitymatch_speech|{Jefe/Jefa}. {s11} no luchó nada mal en la batalla anterior. Es bueno.
str_npc2_personalitymatch_speech|{Señor/Señora}. Sólo quería deciros que {s11} puede ser una persona algo ruda, y probablemente un malandrín, pero me enorgullece llamarlo 'compañero'.
str_npc3_personalitymatch_speech|¡Hola, {señor/señora}! Sólo quería deciros que {s11} es un caballero muy galante. ¿Lo habéis visto en nuestra última batalla?
str_npc4_personalitymatch_speech|Disculpad, {señor/señora}. Solo quiero decir unas palabras en favor de {s11}. Luchó muy bien en nuestra última batalla.
str_npc5_personalitymatch_speech|¡Gran batalla, {playername} Bahadur! {s11} es un buen compañero en la lucha.
str_npc6_personalitymatch_speech|{Capitán/Capitana}, a veces me preocupa todo este derrame de sangre. Aunque entiendo que los señores de la guerra soberbios deben ser humillados y los bandidos crueles castigados, si queremos restablecer la paz en Calradia.
str_npc7_personalitymatch_speech|{Capitán/Capitana}. Estaba hablando con {s11}. Puede que sea un poco salvaje, pero también creo que es una amiga fiel.
str_npc8_personalitymatch_speech|Ha sido una buena batalla, {capitán/capitana}. Además, he de decir que me han encantado las burlas que {s11} hacía a nuestros enemigos.
str_npc9_personalitymatch_speech|{Capitán/Capitana}, {s11} lo hizo muy bien en la última batalla. Es una doncella modesta y agradable, si se me permite decirlo.
str_npc10_personalitymatch_speech|¡Salve, {Hermano/Hermana}! ¡Regocijémonos con esta victoria! Por cierto, la abuela {s11} no es mala peleando, ¿eh?, para una mujer de su edad. Aunque debo decir que yo también me estoy haciendo un perro viejo.
str_npc11_personalitymatch_speech|¡Ajj, {capitán/capitana}! Estas batallas me hacen crujir los huesos. Sin embargo, los dejamos bien secos, ¿no?
str_npc12_personalitymatch_speech|Muy sangriento, {capitán/capitana}, muy sangriento... aunque necesario, claro. Creo que {s11} también comparte mi ambivalencia sobre tanta lucha.
str_npc13_personalitymatch_speech|¡Hoy os habéis hecho un nombre, valiente! ¡Y {s11}, también! Me cae bien. Canta las canciones de su gente mientras avanza en la batalla, y eso agrada a un alma artística como la mía.
str_npc14_personalitymatch_speech|{Capitán/Capitana}, es un placer luchar junto a gente como {s11}.
str_npc15_personalitymatch_speech|{Capitán/Capitana}, estaba hablando con {s11} tras la batalla y me parece que es un hombre muy sensato.
str_npc16_personalitymatch_speech|Ey, {capitán/capitana}, estaba platicando con {s11} mientras revisábamos los cadáveres tras la última escaramuza.
str_npc1_personalitymatch_speech_b|Sin gente honesta como él para traer plata a Calradia, los ladrones como yo tendríamos problemas, seguro. Me alegra que nos acompañe.
str_npc2_personalitymatch_speech_b|Basándome en cómo lo ha hecho durante la última batalla, diría que le confiaría mi vida, aunque seguiría vigilando mi monedero.
str_npc3_personalitymatch_speech_b|Debo confesar que le encuentro un compañero encantador, un hombre inteligente y con modales. Tal vez, tal vez... ah, pero he dicho demasiado. Buen día, {señor/señora}.
str_npc4_personalitymatch_speech_b|Habéis hecho bien en alistarlo. Sabe mucho sobre la lucha y entiende la importancia de respetar a sus camaradas de armas, al contrario que otros que podría mencionar.
str_npc5_personalitymatch_speech_b|Y con respecto a sus otros atributos, dudo que sea más Barón que yo, pero admiro el descaro con que lo asegura.
str_npc6_personalitymatch_speech_b|Debo decir que {s11} me reconforta. Le he hablado acerca de mi pecado y me dijo que el Cielo perdonaría mi transgresión si de verdad me arrepentía y deseaba tal perdón. Es un hombre sabio y me alegro de que esté con nosotros.
str_npc7_personalitymatch_speech_b|Más adelante, si no necesitáis de nuestros servicios, ella ha prometido acompañarme a las quebradas y buscar a los bandidos que asesinaron a mi amante, para vengarme. Es un ofrecimiento muy amable, y me alegro de que ella esté con nosotros.
str_npc8_personalitymatch_speech_b|Se las ingenió para incluir su genealogía, su apariencia y sus hábitos de comida en un hermoso poema en Calrádico antiguo. Personalmente, prefiero una saga, pero nosotros los Nórdicos sabemos respetar el buen hacer poético.
str_npc9_personalitymatch_speech_b|Si ella fuera noble, pediría su mano. Es una lástima que sea la hija de un mercader. Sin embargo, las charlas con ella son una buena forma de pasar el tiempo durante la marcha.
str_npc10_personalitymatch_speech_b|Je. Creo que eso demuestra que la juventud no lo es todo, que la experiencia también gana batallas. Supongo que ella y yo podríamos enseñar a los cachorrillos del mundo un par de cosas, ¿eh?
str_npc11_personalitymatch_speech_b|El viejo {s11}, en particular, les enseñó un par de cosas. No está mal para nosotros, que entre los dos creo que hemos visto ya cien inviernos.
str_npc12_personalitymatch_speech_b|Le entristece tremendamente el quitar la vida a otros hombres, por muy justa que sea la causa. Hemos hablado sobre un futuro más halagüeño, sobre la necesidad de unificar a los reinos enemistados de Calradia, para acabar con estos tiempos de guerra de una vez por todas.
str_npc13_personalitymatch_speech_b|Además, aunque normalmente prefiero la timidez a la rudeza, confieso que he advertido la feminidad que intenta esconder bajo su aspecto marcial. Es verdad que se muestra distante tanto durante la marcha como en el campo de batalla, pero tal vez mis palabras amables puedan descongelar su frío corazón Nórdico.
str_npc14_personalitymatch_speech_b|Es un soldado profesional y aunque no sea tan rápido como otros, conoce las ventajas de mantener la posición en la línea de batalla. Habéis tomado una buena decisión al traerlo a esta compañía.
str_npc15_personalitymatch_speech_b|La guerra, como cualquier otro asunto, requiere de una cuidadosa planificación y preparación, y de un firme entendimiento de los principios de la estrategia. En iguales condiciones, el ejército mejor entrenado es el que ganará la batalla, una observación que creo que ha quedado en evidencia en el último encuentro. Puede que los hombres lo maldigan ahora, pero aprenderán a agradecérselo.
str_npc16_personalitymatch_speech_b|¿Habéis escuchado su historia? ¿Podéis creer las injusticias que le han infligido? Os lo digo de verdad, hace que me hierva la sangre. Quiero rajar en pedazos a todos esos bastardos que la han maltratado, y os juro que lo haré si alguna vez nos los encontramos en nuestro camino.
str_npc1_retirement_speech|Estoy un poco cansado de recorrer el mundo derramando mi sangre por la causa de otro. Las ganancias son buenas, pero creo que ya tengo suficiente. Regresaré a mi aldea, tomaré una esposa y me asentaré, tal vez críe caballos si es que puedo permitírmelo.
str_npc2_retirement_speech|Me estoy cansando un poco de la vida de guerrero. Creo que invertiré mi parte de las ganancias en el transporte de mercancías... telas, pieles, terciopelo, probablemente, y las llevaré al otro lado de las montañas. Quiero agradeceros otra vez el haberme llevado con vos y os deseo la mejor de las suertes.
str_npc3_retirement_speech|Me temo que debo deciros algo. He decidido que la vida de guerrera no es para mí. Creo que ya es tarde para poder casarme... los míos nunca tomarían como esposa a alguien que ha servido en una compañía de soldados, pero creo que tengo suficiente dinero como para comenzar un negocio. Espero que no os enfadéis, {señor/señora}.
str_npc4_retirement_speech|He luchado con vos honorablemente, como corresponde a un hijo de la casa Rolf, pero no estoy del todo satisfecho con vuestro liderazgo. Regresaré a mis tierras ancestrales, que necesitan de mi atención.
str_npc5_retirement_speech|Bahadur, desde que acepté vuestra sal he luchado por vos feroz y lealmente. Pero no siempre me habéis recompensado con la clase de liderazgo que merezco. Así que me vuelvo a mi hogar, con la esperanza de que los hombres del Khan me hayan olvidado, para volver a ver a mi padre y hermanos.
str_npc6_retirement_speech|Me uní a vuestra compañía con la esperanza que me librarais de la oscuridad, y es verdad que con vos he encontrado una dosis de paz. Pero tengo algunos reparos sobre vuestro liderazgo y he comenzado a sospechar que el camino a la redención puede estar en otro sitio.
str_npc7_retirement_speech|Me he cansado de esta vida de eterna batalla, de ver a los hombres corrompidos por el miedo, la avaricia, la lujuria y cientos de otros pecados. Tengo dinero en mis bolsillos. Cruzaré los mares en busca de una tierra mejor que Calradia. Creo que estaréis bien sin mí, de todas formas.
str_npc8_retirement_speech|He luchado en vuestra línea de defensa y lo he hecho bien. Pero vuestro liderazgo no siempre fue de mi agrado, y de todas formas, tengo otras tareas pendientes. Tomaré lo que he ganado y crearé una banda de guerreros. Navegaremos hasta las tierras del Norte y recuperaré el patrimonio de mi esposo que mi traicionero cuñado me arrebató. Os deseo lo mejor.
str_npc9_retirement_speech|Hemos luchado bien juntos y hemos ganado muchas glorias. Pero no confío demasiado en vuestro liderazgo, y también tengo que recuperar mi patrimonio. Os dejo por ahora. Tal vez nos volvamos a ver.
str_npc10_retirement_speech|Ya me he cansado de viajar a lo largo y ancho de Calradia. Tengo dinero suficiente como para comprar un pequeño terreno, así que creo que eso es lo que haré. Adiós. Os deseo lo mejor.
str_npc11_retirement_speech|Habéis hecho un gran servicio a una anciana al llevarla con vos en vuestra compañía. Pero me temo que esta vida me entusiasma tanto como conducir un carromato. Demasiado frío, demasiada hambre y al final, lo único que veo frente a mí es un hoyo en el suelo. Así que me voy, aunque no sé a dónde.
str_npc12_retirement_speech|Ha estado bien la vida en vuestra compañía. He llenado mi estómago, he ganado dinero y he ampliado mis conocimientos sobre las heridas y enfermedades. ¡No puedo quejarme! Pero ahora mismo creo que seguir aquí me está perjudicando. Tengo el deber de compartir mis conocimientos con otros cirujanos y para ello necesito contratar escribas que, como sabréis, son difíciles de encontrar en Calradia. Me iré a casa.
str_npc13_retirement_speech|Vuestro nombre crece día a día y temo que mi reputación palidece a vuestro lado, del mismo modo que la luna brilla menos que el sol. He decidido dejar vuestra compañía y continuar mi propio camino. ¡Os deseo la mejor de las suertes!
str_npc14_retirement_speech|Quisiera informaros que deseo terminar con nuestra relación. Pretendo encontrar otro trabajo.
str_npc15_retirement_speech|Aprecio que me hayáis tomado a vuestro servicio, pero no estoy muy feliz con cómo han salido las cosas. Me dirigiré a otro sitio, tal vez a mi hogar, tal vez a buscar otro trabajo, aún no lo he decidido.
str_npc16_retirement_speech|He pasado buenos momentos en vuestra compañía y he conseguido unas cuantas baratijas en el campo de batalla, pero ahora mismo ya no es suficiente. Os dejo para ofrecer mis servicios a algún otro.
str_npc1_rehire_speech|{Jefe/Jefa}, me alegro de veros. Sé que tuvimos nuestras diferencias en el pasado pero, la verdad, con vos pasé los mejores momentos de mi vida. Además, a decir verdad, he tenido algunos problemas para encontrar trabajo. Escuchad, si os interesa contratarme de nuevo, me encantará unirme a vuestra compañía otra vez.
str_npc2_rehire_speech|¡{Señor/Señora}! Es bueno veros de nuevo. He de confesar que he estado buscándoos. Compré un montón de suministros, como os dije que haría, los embalé y los llevé a través de la estepa, pero ¡a qué no os lo imagináis! Otra vez me atacaron los Khergitas y lo perdí todo. Parece que mi destino es luchar por mi fortuna. La gente también comenta que vos habéis ganado mucho renombre. Decidme, {señor/señora}, ¿me aceptaríais de nuevo?
str_npc3_rehire_speech|¡Pero bueno, hola, {señor/señora}! Me alegro de veros. A mí no me ha ido muy bien desde que nos separamos, me temo. La familia de mi madre, de quienes esperaba ayuda para comenzar un negocio, no me ha recibido con los brazos abiertos. No recibo más que sermones de mis tías, sobre cómo arruiné mis posibilidades de casamiento al haberme unido a una compañía de mercenarios. Tal vez lo mejor para mí sea la guerra, y no el comercio. Compartir comidas en el campamento junto a mis rudos compañeros en lugar de beber vino con las familias burguesas de Veluca. {Señor/Señora}, debo preguntároslo... ¿me aceptaréis otra vez?
str_npc4_rehire_speech|Hola, {capitán/capitana}. Cuánto tiempo. He oído que no os ha ido mal. Por mi parte, sobrevivir gracias a mis tierras se me ha hecho muy dificultoso... langostas, malas lluvias, siervos renegados... cosas de ésas. He pensado en tomar la espada una vez más. Sé que hemos tenido nuestras discrepancias, pero me honraría volver a luchar con vos.
str_npc5_rehire_speech|¡{playername} Bahadur! ¡Vuestra fama crece y crece! Incluso en mi tierra natal, más allá de las montañas. Al final regresé allí, esperando que los hombres del Khan se hubieran olvidado de mí. Bueno, pues no lo han hecho. Incluso antes de poner un pie en el valle ya sabía por medio de mi familia que el Khan y los Humyan me buscaban. Así que he regresado, confiando en que hayáis olvidado las duras palabras que os dije, para ver si puedo luchar junto a vos nuevamente.
str_npc6_rehire_speech|Es bueno veros, {señor/señora}. A donde quiera que voy, la gente conoce vuestras hazañas. A mí no me ha ido tan bien, sin embargo. Vaya donde vaya, los demonios me persiguen. Mi alma no descansa. Por razones que no puedo explicar, solamente encontré la paz en vuestra compañía, incluso con mis reservas sobre vuestro liderazgo. ¿Permitiréis que me una nuevamente a vos?
str_npc7_rehire_speech|¡{Capitán/Capitana}! Me alegro de veros. Perdonad lo que os llegué a decir cuando me fui. Me embarqué desde Wercheg hacia el este, pero los piratas apresaron el barco y pidieron rescate. Después me dejaron aquí. Debe haber mejores lugares que Calradia en el mundo, pero aún no los he visto. Así que si mi destino es vivir aquí, entonces prefiero hacerlo en vuestra compañía. ¿Me aceptaréis otra vez?
str_npc8_rehire_speech|Saludos, {playername}. Me preguntaba si podríamos enterrar las duras palabras que cruzamos en el pasado. He estado cazando junto a los Nórdicos, intentando reclutarlos para que me ayuden a recuperar las tierras de mi marido. Pero no he podido encontrar suficientes hombres para tripular un barco, y aquéllos a los que reuní en seguida se aburrieron y se fueron... pero no sin antes beberse todo el dinero que yo había acumulado. Así que he recordado nuestras batallas en común. Esos eran buenos tiempos... y también provechosos.
str_npc9_rehire_speech|¡Mi {querido amigo/querida señora}! ¡Qué alegría veros! He intentado servir a los señores de estas tierras, pero al final me he llevado una gran desilusión. La mitad me pide que recaude deudas de otros señores, como si fuera el recadero de un banquero, o que dé caza a sus siervos, como si fuera un capataz de granja. ¡Uno incluso me pidió que asesinara a uno de sus acreedores! Os he estado buscando para ver si puedo volver a unirme a vos.
str_npc10_rehire_speech|¡{Capitán/Capitana}! Me alegro de veros. Veréis, parece que lo mío no son las granjas. Supongo que soy demasiado benevolente con mis empleados. Me dejo robar. Supongo que lo mejor que sé hacer es luchar. Decidme, ¿aún buscáis gente?
str_npc11_rehire_speech|¡{Capitán/Capitana}! ¡Qué suerte veros! Se dice que estáis haciendo muchísimo dinero. Yo debo admitir que soy un saco de huesos inquieto. Os abandoné porque ya no me satisfacía la vida de guerrera, pero tras pasar un tiempo en la ciudad me di cuenta que hay peores cosas en la vida que un estómago lleno, compañeros honrados y la alegría de ver al enemigo correr por delante. ¿Estáis buscando gente para contratar?
str_npc12_rehire_speech|¡{Capitán/Capitana}! Qué agradable es ver caras honestas como la vuestra. Este mundo está lleno de mentiras. Regresé a mi hogar para publicar mi libro, contraté escribas y preparé varios códices, y esperé a que llegaran las comisiones. Pero parece que a las universidades no les interesa el conocimiento real de la medicina. Y los editores... dejadme que os diga, nunca encontraréis gente con menos escrúpulos. Alquilan los libros capítulo por capítulo a los estudiantes para que éstos los copien, pero la mitad no los devuelven y aquellos que sí lo hacen, los devuelven con las páginas empapadas de vino. Ya no existe ni una copia completa de mi obra. Seguiré intentándolo, pero antes necesito dinero en mis bolsillos. ¿Qué tal andáis de cirujanos?
str_npc13_rehire_speech|Vaya, hola, oh {valeroso/valerosa}. Confiaba en volveros a encontrar. A donde quiera que voy escucho las canciones sobre vuestras hazañas. Debo admitir que sentí pena de haber dejado vuestra compañía, además de un poquito de envidia al ver vuestra reputación. Pensé que podría luchar junto a vos nuevamente, deleitándome en el reflejo de vuestra gloria. ¿Tal vez podamos cabalgar juntos de nuevo, algún tiempo?
str_npc14_rehire_speech|{Capitán/Capitana}, es bueno veros. Cuando nos despedimos, hubiera jurado que nunca volvería a servir para vos, pero tal vez os juzgué demasiado rigurosamente. Por todo Calradia se cantan vuestras hazañas. He intentado servir en los ejércitos de otros señores y, creedme, lo que he visto me ha hecho cambiar de opinión sobre vuestro liderazgo. Si me aceptáis en vuestra compañía, volveré a luchar para vos.
str_npc15_rehire_speech|Vaya, hola, {playername}. No puedo decir que me disguste volver a veros. Veréis, cuando me fui firmé otro contrato, pero al llegar el momento de recibir mi paga, el señor no soltó nada salvo palabrería, excusas y quejas sobre mi trabajo. No siempre fui feliz en vuestra compañía, pero al menos tenía dinero en los bolsillos tras cada batalla. ¿Aún ofrecéis trabajo?
str_npc16_rehire_speech|¡{Capitán/Capitana}! Dicen que os ha ido muy bien desde que nos vimos por última vez. Admito que me marché maldiciendo vuestro nombre, pero al pensarlo mejor, me di cuenta que no todo era tan malo. A todos esos señores les va bien enviarme a realizar pequeñas tareas, pero no les interesa tenerme en primera línea de batalla. Aparentemente asusto a sus hombres. Les oí decir que soy una bruja, o que me como los corazones de hombres después de matarlos, u otras tonterías. No es que me importe apuñalar a un hombre mientras duerme, pero es mucho más gratificante cuando está despierto. Así que pensé en volver a buscaros para ver si me volveríais a contratar.
str_npc1_home_intro|{Jefe/Jefa}, ¿sabíais que yo nací aquí, en las estepas? Aquí es donde aprendí sobre caballos, porque ésta es buena tierra para ellos, aunque es un lugar duro para los hombres. Supongo que por eso les gusta a los Khergitas.
str_npc2_home_intro|Nos acercamos a Sargoth. Allí es donde iba cuando me apresaron los Khergitas.
str_npc3_home_intro|¿Oléis eso? Limoneros, manzanos, flores del azafrán... es el aroma de Veluca. Pasé muchos veranos felices aquí de niña, jugando en los jardines de la familia de mi madre mientras mi padre estaba fuera comerciando.
str_npc4_home_intro|El bosque de Ehlerdah. Bah. Este lugar está lleno de bandidos y forajidos.
str_npc5_home_intro|Bahadur, nos acercamos Halmar, la ciudad más grande de las estepas bajas. Mi tía vino aquí para casarse con un lugareño y yo pensé que podría ser buena idea entrar al servicio de un señor local. Así fue como me crucé con vos.
str_npc6_home_intro|Puedo ver por las viñas y las terrazas de las laderas de las colinas que estoy cerca de mi hogar. No tengo deseos de ver a mi familia, así que esperaré fuera de la muralla si es que entráis. Espero que lo entendáis.
str_npc7_home_intro|¿Oléis eso? Pescado salado, lino pudriéndose y barro del río. Los olores de mi niñez. Me están dando arcadas.
str_npc8_home_intro|Hmf. ¿Oís eso? Las olas rompiendo. Debemos estar cerca del Cabo de Gundig.
str_npc9_home_intro|¡Observad la Roca de Rivacheg! La fortaleza más grande de Calradia. Mi padre fue uno de los que mantuvieron el frente aquí contra los Nórdicos la primera vez que intentaron conquistarnos desde la costa.
str_npc10_home_intro|¿Podéis oler el aire fresco, {hermano/hermana}? Éste era mi hogar antes de que me fuera en busca de fortuna. Es bueno estar nuevamente en las colinas. Huele a libertad. Ésta es la cuna de la independencia de los Rhodok, aquí, bajo el castillo Grunwalder.
str_npc11_home_intro|Veo las montañas. Debemos estar cerca de mi hogar.
str_npc12_home_intro|Estamos pasando cerca del lugar de uno de mis grandes triunfos médicos, si es que os interesa saberlo.
str_npc13_home_intro|¡Ah, el Castillo Ergellon! Un hermoso lugar cercano al gran lago. Pasé días tan felices aquí hace dos veranos...
str_npc14_home_intro|¿Veis la fortaleza allí arriba, sobre el valle? ¿Ismirala? Pasé el invierno allí hace unos años, intentando entrenar a los hombres del señor.
str_npc15_home_intro|¿Veis el castillo en la colina? Lo llaman el castillo Culmarr. No hace mucho trabajé allí. No es tan aparente como otros, pero tiene las piedras más trabajadas que hayáis visto nunca.
str_npc16_home_intro|{Capitán/Capitana}, ¿veis allí? Huellas en la nieve. Debemos estar acercándonos a mi lugar de nacimiento
str_npc1_home_description|Bueno, los Khergitas siempre han vivido aquí, incluso en los antiguos tiempos, cuando el Emperador les dio dinero y tierras para luchar contra otras tribus. Dicen que mi abuelo era un jefe Khergita, aunque mi madre no lo conoció, del mismo modo que yo no conocí a mi padre. Cuando mi madre era joven, los Khergitas atravesaron las montañas en grandes cantidades y ahora hay un Khan Khergita en Tulga.
str_npc2_home_description|La gente dice que los Nórdicos son un puñado de bárbaros sedientos de sangre, pero tienen buena cabeza para el comercio, creo yo. Recorren las costas recogiendo el lino que cultiva la gente, con el cual tejen telas. No puede competir con las sedas y terciopelos de Jelkala, pero es una tela ligera para el verano y se puede usar para las velas de los barcos. Y aún más importante, el lino era una de las pocas mercancías de Calradia que no estaba siendo explotado.
str_npc3_home_description|Veluca tiene inviernos húmedos y veranos cálidos, pero la gente aquí fabrica grandes cisternas de agua para regar sus cosechas. Se dedican a cultivar uvas. El vino de Veluca es famoso, {señor/señora}. Aquéllos que pueden permitírselo construyen jardines vallados donde los árboles frutales crecen en abundancia, y nos sentamos fuera por la noche a escuchar música o jugar al ajedrez, o simplemente a oler la noche.
str_npc4_home_description|Bueno, veréis, el Rey de Swadia declaró que éste era su coto de caza particular, y que mataría a cualquier hombre que se atreviera a tensar un arco en él. ¿Y qué pasó? Pues que alguna familia que se muere de hambre sucumbe a la tentación de cazar furtivamente, y el mariscal del Rey les cuelga y requisa sus tierras. Los hijos, en vez de morirse de hambre, se hacen bandidos. Lógicamente, cualquiera que viva en el valle y que sienta la necesidad de escapar de las deudas o de una esposa quejica o de un noble vengativo, viene a unirse a ellos y viven a costa de los jabalíes y las bayas... y los bolsillos de los viajeros.
str_npc5_home_description|Los Khergitas siempre habían venido aquí para comerciar y saquear, pero no fue hasta los últimos días del Imperio que empezamos a asentarnos, al igual que los Vaegires, Swadianos, Rhodoks y Nórdicos. Todos tomamos el dinero del Emperador para mantener a las otras tribus a raya. Pero cuando la Gran Horda atacó nuestra tierra en tiempos de mi abuelo, nos desplazamos a esta región por la fuerza. Echamos a los Vaegires y nos apropiamos de sus fortalezas.
str_npc6_home_description|Aquí en el Valle de Suno, nuestro dialecto y costumbres son las más cercanas de toda Calradia al antiguo Imperio Calrádico. Cultivamos aceitunas y uvas, ambas traídas a estas tierras desde allende los mares por los emperadores, y además seguimos las costumbres de la antigua Calradia. Cumplimos nuestras promesas y pagamos nuestras deudas.
str_npc7_home_description|Antes de que me casaran y me secuestraran los bandidos, yo vivía aquí. Nací en un rancho y pasé mi niñez en los campos. Nuestros terratenientes eran Nórdicos, pero nunca los veíamos, solamente a sus secuaces y capataces. Mi padre, el muy cobarde, temblaba al verles.
str_npc8_home_description|¿No conocéis la historia? Cuando Gundig Mejillaspeludas llegó a Calradia desde las tierras del Norte, plantó su estandarte en la tierra y dijo que se quedaría allí hasta que recuperase su 'herencia'. Su 'herencia', decía. Gundig creía a los juglares que le dijeron que el Emperador había legado Calradia a los Nórdicos, cuando en realidad solamente nos legó una pequeña franja de tierra en la costa para así poder tripular sus galeras.
str_npc9_home_description|Los Nórdicos navegaban río arriba en sus barcos largos. Los ciudadanos de la costa podrían haberlos detenido, pero eran unos cobardes y, en vez de eso, les pagaban un tributo anual, conocido como nordgeld, para que los dejaran en paz. Pero el Rey Vaegir no pagó. Mi padre decidió atravesar las montañas para luchar contra los Vaegires. Tres veranos seguidos intentaron tomar la Roca, y las tres veces los señores Vaegires lograron contenerlos.
str_npc10_home_description|En tiempos de mi padre, los Swadianos venían aquí pensando que nosotros nos arrastraríamos ante ellos y los llamaríamos soberanos. Pero Grunwalder, un viejo veterano de las guerras de las colinas, nos enseñó a formar una línea de batalla con lanzas y ballestas para romper las cargas Swadianas. Él cayó en batalla, pero la gente le dio su nombre al castillo que fue construido aquí, justo donde cayó, para que fuera recordado y siempre nos mantuviéramos firmes frente a los jinetes invasores.
str_npc11_home_description|Soy de Praven. Ya conocéis el dicho, {señor/señora}: 'La cebada que crece en Uxkhal se hace cerveza en Praven, y todos salimos ganando con ello'. No sé bien qué significa,  {señor/señora}, pero es verdad eso de la cebada. Y el trigo, y la avena. Aquí en el Valle de Uxkhall cosechamos más grano que en todo el resto de Calradia, y nuestra cerveza es la mejor, también. Lo podéis ver en el suelo... es negro y rico y huele a buenas cosechas y a barrigas llenas.
str_npc12_home_description|El señor del castillo Almerra tenía un edema y pidió que le trajeran un doctor de Uxkhal. Como el típico doctor de universidad, fue directo a Galeno a por una cura. Galeno le recomendó metal-sol para el edema. Ahora bien, la mayoría de los escritos galénicos eran inútiles en los tiempos de los viejos emperadores Calrádicos, cuando acababan de ser escritos, y lo son más aún ahora, pero a veces acertaba con la cura por casualidad: el metal-sol cura algunos casos de edema, en pequeñas dosis. Si embargo, el metal-sol en dosis altas es venenoso, algo que los adoradores de Galeno nunca entendieron.
str_npc13_home_description|Llegué aquí con una pequeña fuerza Swadiana, pero fuimos capturados por los Rhodoks en el bosque y los jinetes perecieron entre los árboles. Yo escapé y encontré refugio en el lago, en los brazos de la pastora más donosa que hayáis visto jamás. Me llevó a una cueva cercana a los pastos altos y me traía queso y bayas, y me contaba leyendas de las colinas. Dicen que el lago es una puerta al inframundo. A veces en las orillas se puede ver el humo tóxico que emana burbujeante hacia la superficie. ¡Vaya paletos!
str_npc14_home_description|Dije 'intentando' porque en mi opinión, los Vaegires no se llevan bien con la disciplina. Son los mejores arqueros y jinetes, pero no tienen estómago para luchar y guardar filas. Sus habilidades son buenas contra los Khergitas y los Nórdicos, particularmente cuando pueden esconderse detrás de los muros, pero he visto a los caballeros Swadianos atravesar a los Vaegires como un cuchillo corta la mantequilla. En cambio, un muro de lanzas Rhodok está diseñado para detener una carga Swadiana al galope, y normalmente lo hace.
str_npc15_home_description|Como la mayoría de los castillos que aún perduran aquí, sus cimientos se remontan al tiempo del Imperio Calrádico. Ya no es posible verlos debido a todas las remodelaciones, pero cada bloque es del tamaño de una casa. Debía de haber hechiceros de verdad en aquellos tiempos, porque si no no sé cómo movieron semejantes piedras. Hermoso lugar también... Culmarr está justo en el paso que sale de Calradia, lo que permite al señor cobrar peaje durante los tres meses del año que no nieva.
str_npc16_home_description|La nieve de este valle no se derrite hasta bien entrado el año y la tierra es difícil de arar. Se puede cultivar un poco de cebada, pero no mucho más. Sin embargo, hay riqueza en los bosques: ciervos, conejos y linces, carne y pieles, las montañas tienen hierro, y los mercaderes traen pescado salado por el río desde la costa para mantener a los granjeros alimentados durante el invierno.
