qstr_res_cape1|res cape1
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?estaba:está} por los campos y {reg3?estaba:debería estar} cerca de {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?se encontraba:se encuentra} en cautividad en {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?estaba:ha sido} {reg4?capturada:capturado} por sus enemigos.
qstr_{reg3?{s2}_s_locatio|{reg3?Se desconoce la localización de {s2}:No sé dónde está {s2}}.
qstr_{s6}_has_joined_your|{s6} se ha unido a vuestro grupo
qstr_You_now_owe_{reg2}_$|You now owe {reg2} $ to {s1}.
qstr_Renown_value_for_thi|Si ganáis esta batalla, vuestro renombre aumentará en {reg8} puntos.
qstr_You_have_run_into_a_|¡Habéis caído en una trampa!
qstr_You_are_attacked_by_|¡Un grupo de bandidos os ataca!
qstr_Holding|Esperando
qstr_Following|Siguiendo
qstr_Charging|Cargando
qstr_Advancing|Avanzando
qstr_Falling_Back|Retirándose
qstr_Standing_Closer|Acercándose
qstr_Spreading_Out|Alejándose
qstr_Standing|Detenidos
qstr_N/A|N/A
qstr_Free|Libre
qstr_Any_Weapon|Cualquier arma
qstr_Blunt_Weapons|Armas contundentes
qstr_{s1}_Rebels|Rebeldes del {s1}
qstr_Given_by:_{s62}|Asignada por: {s62}
qstr_Given_on:_{s60}|Asignada el {s60}
qstr_You_have_{reg0}_days|Tenéis {reg0} días para finalizar esta misión.
qstr_This_quest_has_been_|Esta misión ha concluido. Para finalizarla hablad con {s59}.
qstr_This_quest_has_been_s|Esta misión ha sido completada satisfactoriamente. Hablad con {s59} para reclamar vuestra recompensa.
qstr_This_quest_has_faile|Esta misión ha fracasado. Hablad con {s59} para explicarle la situación.
qstr_At_the_time_quest_wa|Esta misión, al momento de ser asignada:^{s1}
qstr_{s5}_has_a_strength_|{s5} tiene una fuerza de {reg1} hombres en total.
qstr_The_last_time_you_sa|La última vez que {reg1?la:lo} viste, {s1}
qstr_The_last_time_you_he|La última vez que oíste hablar de {reg1?ella:él}, {s1}
qstr_Current_garrison_con|La guarnición actual consiste de {reg5} hombres.^Tiene reservas de comida durante {reg6} días.
qstr_Very_Poor|Muy pobre
qstr_Poor|Pobre
qstr_Average|Normal
qstr_Rich|Rica
qstr_Very_Rich|Muy rica
qstr_Manor|una casa solariega
qstr_A_manor_lets_you_res|Una casa solariega os permite descansar en la aldea y pagar a vuestras tropas la mitad del sueldo mientras estáis descansando.
qstr_Mill|un molino
qstr_A_mill_increases_vil|Un molino incrementa la prosperidad de la aldea en un 5%.
qstr_Watch_Tower|una torre de vigilancia
qstr_A_watch_tower_lets_t|Una torre de vigilancia permite a los campesinos tocar alarmas de forma rápida. El tiempo que tardarán vuestros enemigos en saquear vuestra aldea se incrementará en 25%.
qstr_School|una escuela
qstr_A_shool_increases_th|Una escuela incrementa la lealtad de los campesinos +1 por mes.
qstr_Messenger_Post|un puesto de mensajería
qstr_A_messenger_post_let|Un puesto de mensajería permite a los campesinos enviaros un mensaje cuando se acercan enemigos, incluso si estáis lejos.
qstr_Prison_Tower|una torre de prisioneros
qstr_A_prison_tower_reduc|Una torre de prisioneros reduce la posibilidad de que vuestros prisioneros se escapen.
qstr_{s4}_looks_upset.|{s4} parece alterado.
qstr_your_party|vuestro grupo
qstr_{reg0?One_of_your_pr|¡{reg0?Uno de vuestros prisioneros, :}{s1} de {s3} se ha escapado!
qstr_You_brought_{reg3}_h|Habéis llevado {reg3} cabezas de ganado a {s1}.
qstr_I_heard_that_there_w|He oído que pronto habrá un torneo en {s62}.
qstr_I_heard_that_one_can|He oído que es posible comprar {s62} por muy poco dinero en {s63}.
qstr_I_heard_that_they_pa|He oído que {s62} se cotiza muy bien en {s63}.
qstr_two_days_ago|hace dos días
qstr_Best_threat_of_{s4}_|Mejor amenaza de {s4} tiene el valor de {reg1}
qstr_No_center_found_to_d|No se ha encontrado un centro para defender
qstr_You_gain_right_to_ru|Ganáis en derecho a gobernar.
qstr_You_lose_right_to_ru|Perdéis en derecho a gobernar.
qstr_Added_money_for_your|Added money for your old horse
qstr_Line_Infantry_Compan|Line Infantry Company
qstr_Light_Infantry_Compa|Light Infantry Company
qstr_Guard_Infantry_Compa|Guard Infantry Company
qstr_Cavalry_Squadron|Cavalry Squadron
qstr_Mounted_Rifles_Squad|Mounted Rifles Squadron
qstr_Cavalry_Guard_Squadr|Cavalry Guard Squadron
qstr_Field_Guns_Battery|Field Guns Battery
qstr_Howitzers_Battery|Howitzers Battery
qstr_Heavy_Howitzers_Batt|Heavy Howitzers Battery
qstr_Machine_Guns_Crew|Machine Guns Crew
qstr_Shock_Troops_Company|Shock Troops Company
qstr_Armor_Squadron|Armor Squadron
qstr__I.| I.
qstr_L.I.|L.I.
qstr__G.| G.
qstr_M.C.|M.C.
qstr_M.R.|M.R.
qstr_C.G.|C.G.
qstr_G.B.|G.B.
qstr_H.B.|H.B.
qstr_H.H.|H.H.
qstr_M.G.|M.G.
qstr_S.I.|S.I.
qstr_A.|A.
qstr_Cannot_form_square:_t|Cannot form square: too few soldiers (need at least 25).
qstr_{reg0}|{reg0}
qstr_1_{reg1}|1 {reg1}
qstr_flag1_0|flag1 0
qstr_{s31}_created_a_casu|{s31} created a casus belli for {s32} for {reg10} days.
qstr_{s31}_s_infamy_is_in|{s31}'s infamy is increased by {reg10} and is now {reg11}.
qstr_{s31}_s_infamy_is_de|{s31}'s infamy is decreased by {reg10} and is now {reg11}.
qstr_Belongs_to_{s31}|Belongs to {s31}
qstr_Controlled_by_{s31}^|Controlled by {s31}^Belongs to {s32}
qstr_{s31}_becomes_an_all|{s31} becomes an ally of {s32}.
qstr_{s31}_breaks_an_alli|{s31} breaks an alliance with {s32}.
qstr_As_a_result_of_the_e|As a result of the elections, {s1} became the ruling party.
qstr_Parliament_Compositi|Parliament Composition
qstr_{s1}:_{reg1}%|{s1}: {reg1}%
qstr_Not_a_ruling_party|Not a ruling party
qstr_Ruling_party|Ruling party
qstr_Influence:_{reg1}%|Influence: {reg1}%
qstr_Annual_Income:_{reg1|Annual Income: {reg1}.{reg10} p.
qstr_Quality_of_life:_{re|Quality of life: {reg2}.{reg10}%
qstr_Current_budget:|Current budget:
qstr_{reg10}_$|{reg10} $
qstr_Corruption_level:_{r|Corruption level: {reg10}%
qstr_+{reg10}_$|+{reg10} $
qstr_Goods_and_services_t|Goods and services tax: {reg10}%
qstr__{reg10}_$|-{reg10} $
qstr_Public_servants_wage|Public servants wage expenses:^-{reg10} pounds
qstr_Other_expenses:^_{re|Other expenses:^-{reg10} $
qstr_Lost_from_corruption|Lost from corruption: -{reg10} pounds
qstr_Last_budget_change:^|Last budget change:^{reg10} pounds
qstr_{reg1}.{reg2}%|{reg1}.{reg2}%
qstr____| - 
qstr_PPS_Faction_iteratio|PPS Faction iteration of {s1}.
qstr_Center_iteration_of_|Center iteration of {s1}.
qstr_{s1}_s_{s2}_Iteratio|{s1}'s {s2} Iteration:
qstr_price_item_{s1}_raw_|price item {s1} raw resource1 {reg10} raw resource1 amount {reg11} output size {reg12}.
qstr_Produced_{reg10}_wit|Produced {reg10} with {reg20} workers, raw resources multiplier was {reg30}.
qstr_Spent_{reg10}_$_for_|Spent {reg10} $ for wage.
qstr_Searching_for_{s1}_i|Searching for {s1} in {reg10} centers.
qstr_{s1}_has_{reg10}_of_|{s1} has {reg10} of {s2}.
qstr_In_sum_bought_{reg1}|In sum, bought {reg1}/{reg10} of {s1}.
qstr_Workers_unemployed__|Workers unemployed - {reg1}, employed {reg2} workers.
qstr_{reg1}_thousands_of_|{reg1} thousands of population
qstr_Daily_GDP_is_{reg1}_$|Daily GDP is {reg1} $^({reg2}% of {s1}'s economy).
qstr_This_region_produces|This region produces increased amount of {s2}.
qstr_Add_Workplaces^^Buyi|Add Workplaces^^Buying more equipment will increase^number of workplaces.
qstr_Improve_Worker_Condi|Improve Worker Conditions^^Improving working conditions means inceasing^worker wage, improving production safety and,^in the end, introducing social benefits to workers.^This will increase quality of product^and increase factory attractiveness^for potential workers.
qstr_Improve_Equipment^^T|Improve Equipment^^Thorough maintaining and improving factory^equipment increases quality of product, making^it more likely to be sold.
qstr_No_development_mode.|No development mode.
qstr_Workers_of_this_fact|Workers of this factory are on strike,^which means that its production output^is decreased by 95%.^^Strike is going to end in {reg10} days.
qstr_{reg10}/{reg11}_work|{reg10}/{reg11} workers
qstr_Budget:_{reg10}_$.|Budget: {reg10} $.
qstr_Income:_{reg10}_$.|Income: {reg10} $.
qstr_Spent_{reg10}_$_and_|Spent {reg10} $ and earnt {reg11} $.
qstr_Managed_to_buy_{reg1|Managed to buy {reg10}% of needed raw resources^needed for production.
qstr_Produced_{reg10}.{re|Produced {reg10}.{reg12} {s1} (sold {reg11}%).
qstr_Quality_of_product_i|Quality of product is {reg10}%.
qstr_Engineers_percentage|Engineers percentage is {reg10}%.
qstr_Deterioration_of_mac|Deterioration of machine tools is {reg10}%.
qstr_bad|bad
qstr_medium|medium
qstr_good|good
qstr_exellent|exellent
qstr_Worker_wage_is_{s1};|Worker wage is {s1}; Working conditions are {s2}.
qstr_Select_development_m|Select development mode:
qstr_Set_workers_wage_lev|Set workers wage level:
qstr_Sell_factory__{reg10|Sell factory ({reg10} pounds)
qstr_Building^{s1}^_{reg1|Building^{s1}^({reg10}%)
qstr_pes_region_factory_p|pes region factory photo notavailable
qstr_pes_region_factory_ph|pes region factory photo empty
qstr_Steel_Factory|Steel Factory
qstr_pes_region_factory_pho|pes region factory photo steel
qstr_Ammunition_Factory|Ammunition Factory
qstr_pes_region_factory_phot|pes region factory photo ammunition
qstr_Lumber_Mill|Lumber Mill
qstr_pes_region_factory_photo|pes region factory photo timber
qstr_Machinery_Parts_Plan|Machinery Parts Plant
qstr_pes_region_factory_photo_|pes region factory photo machineparts
qstr_Cotton_Mill|Cotton Mill
qstr_pes_region_factory_photo_f|pes region factory photo fabric
qstr_Paper_Mill|Paper Mill
qstr_pes_region_factory_photo_p|pes region factory photo paper
qstr_Construction_Materia|Construction Materials^Factory
qstr_Construction_Material|Construction Materials Factory
qstr_pes_region_factory_photo_c|pes region factory photo constructionmaterials
qstr_Weaponry_Factory|Weaponry Factory
qstr_pes_region_factory_photo_w|pes region factory photo weaponry
qstr_Military_Supplies^Fa|Military Supplies^Factory
qstr_Military_Supplies_Fa|Military Supplies Factory
qstr_pes_region_factory_photo_m|pes region factory photo militarysupplies
qstr_Clothing_Factory|Clothing Factory
qstr_pes_region_factory_photo_cl|pes region factory photo clothes
qstr_Furniture_Factory|Furniture Factory
qstr_pes_region_factory_photo_fu|pes region factory photo furniture
qstr_tons_of_steel|tons of steel
qstr_ammunition|ammunition
qstr_tons_of_timber|tons of timber
qstr_tons_of_lumber|tons of lumber
qstr_weapons|weapons
qstr_clothings|clothings
qstr_tons_of_coal|tons of coal
qstr_tons_of_iron|tons of iron
qstr_tons_of_constr._mate|tons of constr. materials
qstr_kilograms_of_cotton|kilograms of cotton
qstr_kilograms_of_fabric|kilograms of fabric
qstr_pieces_of_furniture|pieces of furniture
qstr_machine_parts|machine parts
qstr_tons_of_military_sup|tons of military supplies
qstr_kilograms_of_paper|kilograms of paper
qstr_tons_of_meat|tons of meat
qstr_tons_of_flour|tons of flour
qstr_{reg12}_{s3}_has_bou|{reg12} {s3} has bought {reg10} {s1} from {s4} for {reg11}.
qstr_{s1}_s_{s2}_decided_|{s1}'s {s2} decided to fire {reg10} workers.
qstr_Population_of_{s1}_i|Population of {s1} is buying resources. Literacy {reg10}, population {reg11}, urbanization {reg12}.
qstr_Steel|Steel
qstr_Ammunition|Ammunition
qstr_Lumber|Lumber
qstr_Wood|Wood
qstr_Weaponry|Weaponry
qstr_Clothes|Clothes
qstr_Coal|Coal
qstr_Iron|Iron
qstr_Construction_materia|Construction materials
qstr_Cotton|Cotton
qstr_Fabric|Fabric
qstr_Furniture|Furniture
qstr_Machine_parts|Machine parts
qstr_Military_supplies|Military supplies
qstr_Paper|Paper
qstr_Meat|Meat
qstr_Flour|Flour
qstr_Price___{reg10}.{reg|Price - {reg10}.{reg11} pounds
qstr_Supply___{reg11}.{re|Supply - {reg11}.{reg12} {s1}
qstr_Demand___{reg11}.{re|Demand - {reg11}.{reg12} {s1}
qstr_{reg10}._{s1}|{reg10}. {s1}
qstr_{reg10}.{reg11}|{reg10}.{reg11}
qstr_{reg10}%|{reg10}%
qstr_handicraft^only|handicraft^only
qstr_{reg10}k_$|{reg10}k $
qstr_{reg10}_mil.|{reg10} mil.
qstr_{reg10}_th.|{reg10} th.
qstr_{reg10}.{reg11}%|{reg10}.{reg11}%
qstr_{s1}_produced_{reg10|{s1} produced {reg10} {s2}.
qstr_Produces_steel_out^o|Produces steel out^of iron and coal.
qstr_Produces_ammunition_|Produces ammunition out^of steel.
qstr_Produces_lumber_out^|Produces lumber out^of wood.
qstr_Produces_weaponry_ou|Produces weaponry out^of steel and lumber.
qstr_Produces_clothes_out|Produces clothes out^of fabric.
qstr_Produces_constructio|Produces construction^materials out of steel and coal.
qstr_Produces_fabric_out^|Produces fabric out^ of cotton.
qstr_Produces_furniture_o|Produces furniture out^ of lumber.
qstr_Produces_machine_par|Produces machine parts out^ of steel and coal.
qstr_Produces_military_su|Produces military supplies out^ of steel and fabric.
qstr_Produces_paper_out^_|Produces paper out^ of wood.
qstr_Produced_{reg2}_{s1}|Produced {reg2} {s1} with {reg11} artisans, raw resources multiplier was {reg12}.
qstr_Chance_to_build_fact|Chance to build factory in {s1} is {reg10}.{reg11}%.
qstr_Building_factory_in_|Building factory in {s1}
qstr_Price_of_{s1}_has_ch|Price of {s1} has changed by {reg10}.
qstr_Urbanization_of_{s1}|Urbanization of {s1}'s center {s2} was increased by {reg10}.
qstr_{s1}_gives_{reg11}%_|{s1} gives {reg11}% votes.
qstr_{reg10}%_of_parliame|{reg10}% of parliament voted for bill. Bill rejected.
qstr_{reg10}%_of_parliamen|{reg10}% of parliament voted for bill. Bill accepted.
qstr_{s1}_rural_wealth_{r|{s1} rural wealth {reg10} urban wealth {reg11} middle wealth {reg12} bourgeoisie wealth {reg13} aristocracy wealth {reg14} sum wage {reg15} gdp rural {reg16} gdp urban {reg17} population root {reg18}
qstr_{s1}_cannot_launch_g|{s1} cannot launch grenade attack - {reg1} seconds cooldown.
qstr_{s1}_cannot_launch_ga|{s1} cannot launch gas attack - {reg1} seconds cooldown.
qstr_You_became_a_high_co|You became a high command officer, which means you are free to act independent during service.
qstr_You_became_a_non_com|You became a non-commissioned officer, which means you will now command troops in battle.
qstr_You_became_a_marshal|You became a marshall of {s10}, which means you can start and manage campaigns.
qstr_{s50}_{s51}|{s50} {s51}
qstr_Your_government_type|Your government type doesn't allow to manage this factory.
qstr_Unable_to_manage_ene|Unable to manage enemy faction's factory.
qstr_{s1}:_Peaceful_demon|{s1}: Peaceful demonstration in support of social welfare! Citizens of {s2} gathered on the main square of the city, calling on the government to intervene in the worsening situation of dire working conditions.
qstr_The_demonstration_en|The demonstration ended without a response from the government.
qstr_The_police_dispersed|The police dispersed the crowd, but managed to do it without victims.
qstr___Massacre_in_{s2}!_|''Massacre in {s2}!'' The police started shooting at peaceful protesters, at least {reg10} people were wounded.
qstr_{s1}:_Workers_in_{s2|{s1}: Workers in {s2} have sabotaged production in {s3} in protest of bad working conditions! Machinery has been damaged severely.
qstr_{s1}:_Riot_in_{s2}!_|{s1}: Riot in {s2}! {s3} has been damaged after group of workers caused a commotion in protest of bad working conditions.
qstr_{s1}:_Workers_of_{s2|{s1}: Workers of {s2} have gone on a strike in the {s3}, in protest of poor working conditions and low wages. The strike is set to continue for the following {reg4} days, strike leaders say.
qstr_{s1}:_Workers_in_{s2}|{s1}: Workers in {s2} have initiated a strike in the {s3} in protest of bad working conditions. The strike will end in {reg4} days.
qstr_{s1}:_Strike_in_{s2}|{s1}: Strike in {s2}! All labour activity has stopped in {s3} as workers fight against the current working conditions. The strike will continue for {reg4} more days.
qstr_{s1}_in_{s2}|{s1} in {s2},
qstr__{s1}_in_{s2}| {s1} in {s2},
qstr_{s1}:_Worker_unions_|{s1}: Worker unions have called for a general strike! United in protest, workers have joined the picket lines in {s3}{s4}{s5}{s6}{s7}!
qstr_{s3}_s_police_arrest|{s3}'s police arrests {reg1} political figures supporting {s1}. Alongside the arrests, the government has also announced the banning of the movements newspaper. ^^Effect: {s1}'s influence decreases.
qstr_{s3}:_Mass_arrests_o|{s3}: Mass arrests of pro-{s1} politicians. Major portions of {s1} supporters are forced into clandestine efforts as open agitation has become dangerous.^^Effect: {s1}'s influence decreases.
qstr___Arrested!___Famous|''Arrested!'' Famous opposition politicians from {s1} in {s3} have been publicly declared enemy of the state and have been arrested or forced into hiding.^^Effect: {s1}'s influence decreases.
qstr_{s3}_s_officials_fac|{s3}'s officials face backlash after efforts to undermining the opposition have been discovered. ^^Effect: {s2}'s influence decreases.
qstr_{s3}:___Outrageous!_|{s3}: ''Outrageous!'' Political observers have discovered vile plans by the {s2}.^^Effect: {s2}'s influence decreases.
qstr_{s3}:_{s2}_has_lost_|{s3}: {s2} has lost standing in the public eye after a scandal manifests itself within the party ranks.^^Effect: {s2}'s influence decreases.
qstr_{s3}:_{s2}_has_been_|{s3}: {s2} has been found guilty of attempting to cover up a break-in of the opposition's headquarters in the capital.^^Effect: {s2}'s influence decreases.
qstr_{s3}:_{s1}_was_fined|{s3}: {s1} was fined ${reg2} over involvement in an illegal financial scheme. ^^Effect: {s1}'s influence decreases.
qstr___Corruption_scandal|''Corruption scandal in {s3}'': {s1} faced backlash after members were found trying to bribe officials.^^Effect: {s1}'s influence decreases.
qstr_{s3}:_Famous_politic|{s3}: Famous politician {s4} from {s1} discovered to have been involved in a recent financial scandal, discrediting his party in the eyes of the voters.^^Effect: {s1}'s influence decreases.
qstr_{s1}_s_government_ha|{s1}'s government has been changed to {s2}.
qstr_Constitutional_Dual_|Constitutional Dual Monarchy
qstr_Absolute_Monarchy|Absolute Monarchy
qstr_Constitutional_Monar|Constitutional Monarchy
qstr_Republic|Republic
qstr_Soviet_Republic|Soviet Republic
qstr_{reg0}._Company_has_|{reg0}. Company has switched to walking.
qstr_{reg0}._Company_has_s|{reg0}. Company has switched to running.
qstr_{s1}_cannot_change_f|{s1} cannot change formation - only light infantry can apply extended line formation.
qstr_{s1}_cannot_change_fo|{s1} cannot change formation - you need to research Modern Attack Tactics technology to apply line formation.
qstr_{s1}_cannot_change_for|{s1} cannot change formation - you need to research Skirmish Line Tactics technology to apply dense line formation.
qstr_{s1}_cannot_change_form|{s1} cannot change formation - you need to research Adaptive Training technology to apply extended line formation.
qstr_{s1}_cannot_change_forma|{s1} cannot change formation - you need to research Skirmish Line Tactics technology to apply line formation.
qstr_{s1}_cannot_change_format|{s1} cannot change formation - discipline level is less than 30%.
qstr_day|day
qstr_cloud1|cloud1
qstr_cloud2|cloud2
qstr_cloud3|cloud3
qstr_cloud4|cloud4
qstr_cloud5|cloud5
qstr_sunset|sunset
qstr_clouds1|clouds1
qstr_clouds2|clouds2
qstr_clouds3|clouds3
qstr_clouds4|clouds4
qstr_evening|evening
qstr_night|night
qstr_dusk|dusk
qstr_Hotkeys:_U_to_access|Hotkeys: U to access the aerial view E and Q to rotate camera horizontally Middle mouse button and moving mouse up and down to rotate camera vertically Space and Ctrl to control your height ~ tilde (next to 1) to make selected companies run. You can select companies either by clicking on the units on screen, or by selecting them in the UI in the bottom left Use your right mouse button to place, and orientate your units.
qstr_{reg0}._Company_was_|{reg0}. Company was forced to retreat.
qstr_1st_{s1}|1st {s1}
qstr_2nd_{s1}|2nd {s1}
qstr_3rd_{s1}|3rd {s1}
qstr_4th_{s1}|4th {s1}
qstr_5th_{s1}|5th {s1}
qstr_6th_{s1}|6th {s1}
qstr_7th_{s1}|7th {s1}
qstr_8th_{s1}|8th {s1}
qstr_debug_YuriCannonOrde|debug YuriCannonOrder Begin
qstr_debug_YuriCannonOrder|debug YuriCannonOrder End
qstr_You_got_keys_of_dung|Tenéis las llaves de la mazmorra.
qstr_You_must_stay_behind|¡Debéis permanecer detrás de la línea! El punto no ha sido anotado.
qstr_Tutorial|Tutorial
qstr_Your_current_rank_is|Your current rank is {s1}.^^Current points/points needed for promotion: {reg10}/{reg11}
qstr_^{s32}_s_Infamy:_{re|^{s32}'s Infamy: {reg10}
qstr_You_were_born_the_{r|Habéis nacido como {reg3?hija:hijo} de mercaderes ambulantes, siempre yendo de un sitio a otro en busca de beneficios. Aunque vuestros padres eran más ricos que muchos y os educaron tanto como pudieron, vos no tuvisteis demasiadas oportunidades para crear lazos de amistad con otras personas, ya que sólo visitabais las aldeas atendiendo al negocio familiar.
qstr_You_were_born_the_{re|You were born the {reg3?daughter:son} of a small businessman, always dealing with different sorts of customers and partners. Your parents were wealth enough to send you to a private school. You father wasn't able to deal with the new times, which changed trading technoligies, so after his death you had only a small part of his business.
qstr_You_were_born_the_{reg|You were born the {reg3?daughter:son} of a minor staff officer, who took a part in a lot of conflicts of the early 19th century. Born in one of his campaigns, you never knew your mother. Although your father tried to teach you everything he knew, he wasn't a good teacher, so after his death you had only some army skills and his last bought gun.
qstr_{reg3?daughter:son}|{reg3?hija:hijo}
qstr_You_were_born_the_{reg3|You were born the {reg3?daughter:son} of a mafia capo, who was a respected member of a local band. Your father didn't want you to follow his steps, so you had a chance for a lawful life. But circumstances of the new times left you no choice, so after his death you replaced him with his mafia heritage.
qstr_You_were_born_the_{reg3?|You were born the {reg3?daughter:son} of a university professor. As a son of a science man, you got a very good education. Although your family wasn't rich your father tought you that money aren't the most important, so after his death you entered the world with a good amount of knowledge.
qstr_You_were_born_the_{reg3?d|You were born the {reg3?daughter:son} of a regular factory laborer, who spent his life toughly working for his family. Although you were tought to live fairly, your father gave you freedom of chosing your future profession. After his death, you still was seeking for a business to get in your live.
qstr_You_were_a_child_of_|Sois {reg3?una hija:un hijo} de la estepa, nacisteis en una tribu de nómadas que vivían en campamentos extendidos por las áridas praderas. Como otras gentes tribales, vuestra familia adoraba a los caballos sobre cualquier otra cosa, y os enseñaron a cabalgar antes incluso de que aprendierais a andar. 
qstr_As_the_{reg3?daughte|Como {reg3?hija:hijo} de un ladrón, habéis tenido poca educación formal. Os pasasteis la niñez en la calle, mendigando hasta que aprendisteis a robar monederos, y robando monederos hasta que aprendisteis a forzar cerraduras. Todos esos años, no obstante, os enseñaron a defenderos en la calle, así como los secretos de las ciudades y de los callejones oscuros.
qstr_You_were_as_far_as_a|You were, as far as anyone outside the university could tell, a studious person. Always obeying the rules, always getting good grades. If that was an illusion or not, only you know. But suffice you say, you were in university, be it because of a patronage from someone wealthy or because your family was rich enough to afford it, and even if you were a student whose record was questionable at best, it gained you valuable insight and experience.
qstr_The_thrumming_of_mac|The thrumming of machines and the pounding of metal is a sound you know better than anyone. It was hard work, waking up real early and going to bed real late, working every second between those two events under the watchful eye of demanding overseers. You became intimately familiar with technology, particularly industry, as you worked. Your calloused hands are proof that you know hard work, and though you left the factory life behind, it will never leave you.
qstr_Living_on_the_street|Living on the streets was tough. Stealing to live, if you could call the scraps you could get any sort of proper life, was part and parcel of your existence. Everyone looked down at you as a street urchin, as someone to be reviled and pitied at best, or actively driven out at worst. This hard life gave you perspective, it gave you skills others may see as unsavory. Luckily, in war, unsavory skills are quite useful.
qstr_Extra_extra!_Local_n|Extra extra! Local newspaper has a bunch of stories that you never really cared for! Hawking newspapers all day certainly improved your skills at speaking, making people who otherwise wouldn't care for the goings-on to buy a newspaper. Of course, a keen knowledge of business is hardly a bad thing. Perhaps the skills you learned will do you well in the new world you find yourself in.
qstr_As_a_{reg3?girl:boy}|Al abandonar la niñez, os enviaron a vivir a la corte de uno de los señores de aquellas tierras. Allí aprendisteis a ser humilde, mientras servíais a los señores y señoras de la casa. Pero de sus juegos de ajedrez, sus cotilleos, e incluso de sus poesías sobre grandes hazañas y amores de corte, aprendisteis todo acerca del conflicto y la competición del mundo de los adultos. También aprendisteis de los juegos que practicaban otros niños, que se golpeaban con palos imitando las espadas de sus mayores.
qstr_You_were_drawn_to_th|You were drawn to the human body, and how it functioned. Perhaps a family member got sick, and you vowed to help others through the same. Perhaps you liked giving people hope and treating them. Maybe you just liked cutting things apart. Either way, in college, you went into the fields of medicine.
qstr_Perhaps_you_live_som|Perhaps you live somewhere where grand architecture spirals up into the sky, or where imposing walls surrounded you. Or a small village, with beautiful and ancientchurches, was where your interest in buildings came. It doesn’t matter, because you loved buildings,and learned to raise them up in university. Perhaps now, you shall use that to tear them down. 
qstr_Philology_the_study_|Philology, the study of languages and how they compare, is extremely important to the diplomacy of Europe, where besides Latin, language like English, Russian, French, and so forth mustbe mastered. Studying this in university gave you a keen tongue and learned how to speak and communicate withthe high lords and common folk across the many realms of Europe.
qstr_{reg3?daughter:man}|{reg3?hija:hombre}
qstr_{reg3?woman:man}|{reg3?mujer:hombre}
qstr_You_decided_to_lead_|You decided to lead a bohemian life, travelling from place to place playing music. This has put you in touch with the common people, and most of your interactions with higher society consisted of a tip of the hat when they tossed a coin into your cup. But still, you have learned how to advertise yourself, how to speak to a crowd, and how to entertain. All very useful skills, indeed.
qstr_You’re_a_businessp|You’re a businessperson, someone who has capital and funds enough to make more   capital. Perhaps you rose from the working class, or perhaps you started with a small loan from your family.   Either way, you’re well-off and can definitely get a foot in wherever you go now.
qstr_You_fell_into_crimin|You fell into criminal life, and never really got out. The police know who you are    in some places, and in others they leer as if they should know you. No matter, of course, since between arrests   and brief jail times, you’ve learned how to survive outside the law.
qstr_You_went_to_the_Amer|You went to the Americas to seek a new life, perhaps to escape persecution   in Europe, perhaps to make a new life free from debts. Whatever your reasons, you took the journey   across to the Atlantic. And now, for whatever reason, you have returned to Europe.
qstr_You_fought_in_the_Cr|You fought in the Crimea, either with or against Russia, and your   experiences in that war were invaluable and horrific. You saw men die, you saw foolish cavalry   charges, you saw the awesome power of cannons. As you returned home, weary and war-shocked, you knew you would never be the same.
qstr_Only_you_know_exactl|Sólo vos sabéis cuál fue la causa de que abandonaseis vuestra antigua vida y os lanzaseis a la aventura. De todas formas, no fue una decisión difícil, habida cuenta la ira de vuestro corazón. Queréis venganza. Queréis justicia. Lo que os hicieron no puede ser desecho, y estas deudas sólo pueden ser pagadas con sangre...
qstr_Only_you_know_exactly|Sólo vos sabéis cuál fue la causa de que abandonaseis vuestra antigua vida y os lanzaseis a la aventura. Lo único que podéis decir es que no soportabais quedaros, no con los dolorosos recuerdos de vuestros seres amados tan cerca. Tal vez vuestra nueva vida os permita olvidar, u honrar a aquéllos que no os atrevéis a nombrar...
qstr_Only_you_know_exactly_|Sólo vos sabéis cuál fue la causa de que abandonaseis vuestra antigua vida y os lanzaseis a la aventura. Ni siquiera os acordáis de por qué vuestra casa se convirtió en una prisión, de cuándo lo familiar se transformó en mundano, pero vuestros deseos de aventura inundaron vuestra vida. Ya sea que soñáis con llegar a un lugar lejano o simplemente deseáis caminar sin rumbo y libremente, no podíais soportar quedaros en el mismo lugar. Simplemente echasteis a andar, y nunca más mirasteis atrás...
qstr_Only_you_know_exactly_w|Sólo vos sabéis cuál fue la causa de que abandonaseis vuestra antigua vida y os lanzaseis a la aventura. Sin embargo, sabéis que no podéis regresar. No hay nada ni nadie a donde regresar. Vuestro hogar ya no existe y debéis aceptar que os enfrentáis al mundo {reg3?sola:solo}, para ahogaros o salir a flote...
qstr_Only_you_know_exactly_wh|Sólo vos sabéis cuál fue la causa de que abandonaseis vuestra antigua vida y os lanzaseis a la aventura. Para todos los demás, está claro que lo único que os motiva es el beneficio personal. Queréis riquezas, poder, que os respeten y que os teman. Queréis ser la persona a la que los demás obedecen. Queréis que la gente conozca vuestro nombre y tiemble cada vez que se pronuncie. Lo queréis todo, y no permitiréis que nadie se interponga en vuestro camino...
