ui_music_volume|Volumen de música:
ui_edit_profile|Editar perfil
ui_new_profile|Nuevo perfil
ui_enter_username|Introducir nombre de usuario:
ui_invalid_username|Los nombres de usuario sólo pueden contener letras, números o el símbolo '_'.
ui_confirmation|¿Estás seguro?
ui_multiplayer|Multijugador
ui_server_name|Servidor
ui_module_name|Módulo
ui_game_type|Tipo de partida
ui_map_name|Mapa
ui_ping|Ping
ui_dedicated|Dedicado
ui_number_of_players|Jugadores
ui_password_protected|Contraseña
ui_connect|Conectar
ui_local_area_network|Red de Área Local
ui_internet|Internet
ui_favorites|Favoritos
ui_source|Fuente:
ui_server_password|Contraseña del servidor:
ui_refresh|Refrescar
ui_start_search|Comenzar búsqueda
ui_add_to_favorites|Añadir a favoritos
ui_remove_from_favorites|Eliminar de favoritos
ui_use_speedtree|Usar Speedtree
ui_use_instancing|Usar Instancing
ui_error|Error
ui_error_server_full|El servidor está lleno.
ui_error_server_full_for_non_private|El servidor está lleno para jugadores sin una contraseña de miembro privado.
ui_error_server_password_incorrect|Contraseña incorrecta.
ui_error_incorrect_serial|Número de serie incorrecto.
ui_error_incorrect_authorization_key|Clave de autorización incorrecta.
ui_error_banned_from_server|Estás baneado de este servidor.
ui_error_username_taken|Tu nombre de perfil ya está siendo usado por otro jugador.
ui_error_authentication_failed|Falló la autentificación.
ui_unable_to_connect_to_server|Incapaz de conectar con el servidor.
ui_connection_to_server_is_lost|Se perdió la conexión con el servidor.
ui_kicked_from_server|Echado del servidor.
ui_switch_to_module_question|Este servidor está utilizando otro módulo distinto del que usas ahora mismo. ¿Quieres que Mount&Blade cambie a ese módulo?
ui_download_module_question|Este servidor está usando un módulo que no está instalado en tu ordenador. ¿Quieres visitar el sitio de descarga de este módulo?
ui_download_mb_new_version_question|Este servidor está usando una versión más reciente (%d.%d%d%d) de Mount&Blade que la que tú tienes ahora mismo (%d.%d%d%d). ¿Quieres visitar el sitio de descarga de TaleWorlds?
ui_download_mb_old_version_question|Este servidor está usando una versión más antigua (%d.%d%d%d) de Mount&Blade que la que tú tienes ahora mismo (%d.%d%d%d).
ui_download_module_new_version_question|Este servidor está usando una versión del módulo actual más reciente (%d.%d%d%d) que la tú tienes ahora (%d.%d%d%d). ¿Quieres visitar el sitio de descarga de este módulo?
ui_download_module_old_version_question|Este servidor está usando una versión del módulo actual más antigua (%d.%d%d%d) que la tú tienes ahora (%d.%d%d%d).
ui_authenticating_with_steam|Autentificando con Steam...
ui_validating_serial_number|Validando el número de serie...
ui_scanning_lan|Analizando la red de área local...
ui_retrieving_servers|Recuperando lista de servidores...
ui_shield_size2|Tamaño: %dx%d
ui_click_to_view_notes|Pinchar para ver las notas
ui_retrieving_server_infos|Recuperando información de los servidores (%d)...
ui_connecting_to_server|Conectando con el servidor...
ui_requesting_to_join_the_game|Solicitando unirse al juego...
ui_loading|Cargando...
ui_group_value_control|¡Grupo %d!
ui_drop_weapon|Tirar arma
ui_multiplayer_message_all|Enviar mensaje a todos
ui_multiplayer_message_team|Enviar mensaje a equipo
ui_command_line|Línea de comando
ui_use_ranged_weapon_as_melee|Cambiar tipo de arma
ui_send_message_all|Enviar mensaje a todos
ui_send_message_team|Enviar mensaje a equipo
ui_select|Seleccionar
ui_context_menu|Menú de contexto
ui_round_starts_in_value_seconds|Ronda comienza en %d segundos...
ui_watching_value|Siguiendo %s
ui_capital_spec|SPEC
ui_capital_dead|MUERTO
ui_instancing_error1|No se pudo cerrar Instance Buffer (tamaño: %d), Desactivado mesh-instancing (Código de error: %d)
ui_instancing_error2|No se ha podido encontrar Instanced Objects, mesh-instancing desactivado
ui_by_keyboard|Por teclas de movimiento
ui_combat_speed_slowest|Muy lento
ui_combat_speed_slower|Lento
ui_combat_speed_normal|Normal
ui_combat_speed_faster|Rápido
ui_combat_speed_fastest|Muy rápido
ui_module_newer_than_application|El módulo que has seleccionado precisa una versión más actual del juego.
ui_module_older_than_application|El módulo que has seleccionado precisa una versión más antigua del juego.
ui_unbalanced|Desbalanceado
ui_can_crush_through_blocks|Se puede cargar contra los bloques
ui_turn_camera_with_horse|Girar cámara con el caballo en primera persona:
ui_widescreen_mode_on|Modo pantalla múltiple activado
ui_widescreen_mode_off|Modo pantalla múltiple desactivado
ui_notification_cant_upgrade|(No se puede mejorar: sin dinero suficiente)
ui_turn_never|Nunca
ui_turn_ranged_only|Sólo a distancia
ui_turn_melee_only|Sólo cuerpo a cuerpo
ui_turn_always|Siempre
ui_general_options|Opciones generales
ui_vac_enabled|Anti trucos de Valve activados
ui_campaign_ai|IA de la campaña:
ui_downloading_map|Descargando mapa (%d KB)
ui_download_completed|Descarga completada.
ui_server_filter|Filtro servidor
ui_has_players|Tiene jugadores
ui_is_not_full|No completo
ui_is_password_free|Sin contraseña
ui_native_only|Solo nativos
ui_ping_limit|Límite de ping 
ui_filter_info|%d partidas y %d jugadores filtrados 
ui_is_version_compatible|Compatible con versión
ui_ttnet_account|Cuenta TTNET  
ui_username|Nombre de usuario
ui_password|Contraseña
ui_error_incorrect_username_or_password|Nombre de usuario o contraseña incorrecto
ui_validating_account|Validando cuenta...
ui_plase_enter_your_serial_key|Por favor introduce el número de serie
ui_texture_detail2|Detalle de textura:
ui_antialiasing2|Antialiasing:
ui_napoleonic_key_does_not_exist|This mod requires the Napoleonic Wars DLC to play!
ui_delete_module_workshop|Are you sure you want to delete and unsubscribe from the module?
ui_delete_module|Are you sure you want to delete the module?
ui_delete_native_module|You cannot delete Native.
ui_incompatible_module|This server is incompatible with your current module. You can use the configuration utility to change module.
