ui_music_volume|Hlasitost hudby:
ui_shader_quality|Kvalita stínů:
ui_flora_lod_detail|Detaily stromů
ui_flora_degrade_distance|Vzdálenost mezi stromy:
ui_antialiasing|Antialiasing:
ui_use_depth_effects|Hloubkové efekty:
ui_hdr_mode|HDR režim:
ui_autoexpore|Aut. expozice:
ui_choose_profile|Vybrat profil
ui_create|Vytvořit
ui_edit|Upravit
ui_join_game|Připojit se ke hře
ui_host_game|Vytvořit hru
ui_custom|Vlastní
ui_medium|Střední
ui_male|Muž
ui_female|Žena
ui_gender|Vybrat pohlaví:
ui_edit_profile|Upravit profil
ui_new_profile|Nový profil
ui_enter_username|Zadej uživatelské jméno:
ui_invalid_username|Uživatelské jméno může obsahovat pouze písmena, čísla nebo podtržítko.
ui_confirmation|Víš to jistě?
ui_multiplayer|Více hráčů
ui_server_name|Server
ui_module_name|Modul
ui_game_type|Typ hry
ui_map_name|Mapa
ui_ping|Ping
ui_dedicated|Dedik.
ui_number_of_players|Hráči
ui_password_protected|Heslo
ui_connect|Připojit
ui_local_area_network|Místní síť
ui_internet|Internet
ui_favorites|Oblíbené
ui_source|Zdroj:
ui_server_password|Heslo serveru:
ui_refresh|Obnovit
ui_start_search|Zahájit hledání
ui_add_to_favorites|Přidat k oblíbeným
ui_remove_from_favorites|Odstranit z oblíbených
ui_use_speedtree|Použít Speedtree
ui_use_instancing|Použít instancování
ui_error|Chyba
ui_error_server_full|Server je plný.
ui_error_server_full_for_non_private|Pro hráče, kteří neznají privátní heslo, je server plný.
ui_error_server_password_incorrect|Nesprávné heslo.
ui_error_incorrect_serial|Nesprávné sériové číslo.
ui_error_incorrect_authorization_key|Nesprávný autorizační klíč.
ui_error_banned_from_server|Z tohoto serveru tě vyhodili.
ui_error_username_taken|Název tvého profilu už používá někdo jiný.
ui_error_authentication_failed|Autentizace se nezdařila.
ui_unable_to_connect_to_server|Nelze se připojit k serveru.
ui_connection_to_server_is_lost|Připojení k serveru se ztratilo.
ui_kicked_from_server|Vyhozen ze serveru.
ui_switch_to_module_question|Tento server běží na jiném modulu, než jaký v současné době používáš ty. Chceš, aby hra přepnula na serverový modul?
ui_download_module_question|Tento server běží na modulu, který nemáš nainstalován. Chceš se připojit na internetovou adresu, odkud si budeš moci tento modul stáhnout?
ui_download_mb_new_version_question|Tento server běží na novější verzi (%d.%d%d%d) hry Mount&Blade, než jakou v současné době používáš ty (%d.%d%d%d). Chceš nyní navštívit internetové stránky TaleWorlds a stáhnout si aktualizace?
ui_download_mb_old_version_question|Tento server běží na starší verzi (%d.%d%d%d) hry Mount&Blade, než jakou v současné době používáš ty (%d.%d%d%d).
ui_download_module_new_version_question|Tento server běží na novější verzi (%d.%d%d%d) aktuálního modulu, než jakou v současné době používáš ty (%d.%d%d%d). Chceš navštívit příslušné webové stránky a nový modul si stáhnout?
ui_download_module_old_version_question|Tento server běží na starší verzi (%d.%d%d%d) aktuálního modulu, než jakou v současné době používáš ty (%d.%d%d%d).
ui_authenticating_with_steam|Autentizace na systému Steam...
ui_validating_serial_number|Ověřování sériového čísla...
ui_scanning_lan|Prohledávání místní sítě...
ui_retrieving_servers|Stahování seznamu serverů...
ui_shield_size2|Velikost: %dx%d
ui_click_to_view_notes|Kliknutím zobrazíš poznámky
ui_retrieving_server_infos|Získávání informací od serverů (%d)...
ui_connecting_to_server|Připojování k serveru...
ui_requesting_to_join_the_game|Požadování připojení ke hře...
ui_loading|Načítání...
ui_group_value_control|Skupiny %d!
ui_drop_weapon|Upustit zbraň
ui_multiplayer_message_all|Poslat zprávu všem
ui_multiplayer_message_team|Poslat zprávu týmu
ui_command_line|Příkazová řádka
ui_use_ranged_weapon_as_melee|Zapnout režim zbraně
ui_send_message_all|Poslat zprávu všem
ui_send_message_team|Poslat zprávu týmu
ui_select|Zvolit
ui_context_menu|Kontextová nabídka
ui_round_starts_in_value_seconds|Kolo začíná za %d s.
ui_watching_value|Sledování: %s
ui_capital_spec|SPEC.
ui_capital_dead|MRTVÝ
ui_instancing_error1|Nelze uzamknout instanční buffer (velikost: %d), síťové instancování je zrušeno (kód chyby: %d)
ui_instancing_error2|Neodpovídá instancovaným objektům, instancování sítě zrušeno
ui_by_keyboard|Klávesami pro pohyb
ui_combat_speed_slowest|Nejpomalejší
ui_combat_speed_slower|Pomalejší
ui_combat_speed_normal|Normální
ui_combat_speed_faster|Rychlejší
ui_combat_speed_fastest|Nejrychlejší
ui_module_newer_than_application|Zvolený modul vyžaduje novější verzi hry.
ui_module_older_than_application|Zvolený modul vyžaduje starší verzi hry.
ui_unbalanced|Nevyváženo
ui_can_crush_through_blocks|Dokáže prorazit bloky
ui_turn_camera_with_horse|Otáčet kameru s koněm (pohled 1. osoby)
ui_widescreen_mode_on|Režim více obrazovek povolen
ui_widescreen_mode_off|Režim více obrazovek zakázán
ui_notification_cant_upgrade|(Není možné vylepšit: nedostatek peněz)
ui_turn_never|Nikdy
ui_turn_ranged_only|Pouze z dálky
ui_turn_melee_only|Pouze zblízka
ui_turn_always|Vždy
ui_general_options|Obecné
ui_vac_enabled|Valve Anti Cheat zapnut
ui_campaign_ai|AI pro kampaň:
ui_downloading_map|Stahování mapy (%d KB)
ui_download_completed|Stahování dokončeno.
ui_server_filter|Filtr serverů
ui_has_players|Má hráče
ui_is_not_full|Není plno
ui_is_password_free|Bez hesla
ui_native_only|Pouze native
ui_ping_limit|Limit ping
ui_filter_info|%d her a %d hráčů vyfiltrováno
ui_is_version_compatible|Kompatibilní s verzí
ui_ttnet_account|Účet na Ttnet Oyun
ui_username|Jméno
ui_password|Heslo
ui_error_incorrect_username_or_password|Nesprávné jméno nebo heslo
ui_validating_account|Ověřování účtu...
ui_plase_enter_your_serial_key|Zadej prosím své sériové číslo
ui_texture_detail2|Detaily textur:
ui_antialiasing2|Antialiasing:
ui_napoleonic_key_does_not_exist|Tento mod vyžaduje DLC Napoleonské války!
ui_delete_module_workshop|Opravdu chceš tento mod odinstalovat a odhlásit?
ui_delete_module|Opravdu chceš tento modul smazat?
ui_delete_native_module|Modul Native smazat nemůžeš.
ui_incompatible_module|Tento server není kompatibilní s tvým stávajícím modulem. Modul můžeš změnit v nastavení.
