1861
qstr_French_Second_Republ French_Second_Republic
qstr_Dahomey Dahomey
qstr_faction_flag_dahomey faction_flag_dahomey
qstr_faction_color_dahome faction_color_dahomey
qstr_Dahomean Dahomean
qstr_Asante_Empire Asante_Empire
qstr_Ashanti Ashanti
qstr_faction_flag_ashanti faction_flag_ashanti
qstr_faction_color_ashant faction_color_ashanti
qstr_Asante Asante
qstr_Chan_Santa_Cruz Chan_Santa_Cruz
qstr_Cruzob Cruzob
qstr_faction_flag_cruzob faction_flag_cruzob
qstr_faction_color_cruzob faction_color_cruzob
qstr_Maya Maya
qstr_Kingdom_of_Mosquito Kingdom_of_Mosquito
qstr_Mosquito Mosquito
qstr_faction_flag_mosquit faction_flag_mosquito
qstr_faction_color_mosqui faction_color_mosquito
qstr_Miskito Miskito
qstr_Kingdom_of_Micronesi Kingdom_of_Micronesia
qstr_Micronesia Micronesia
qstr_faction_flag_microne faction_flag_micronesia
qstr_faction_color_micron faction_color_micronesia
qstr_Micronesian Micronesian
qstr_Kingdom_of_Vanuatu Kingdom_of_Vanuatu
qstr_Vanuatu Vanuatu
qstr_faction_flag_vanuatu faction_flag_vanuatu
qstr_faction_color_vanuat faction_color_vanuatu
qstr_Melanesian Melanesian
qstr_Kingdom_of_Bilua Kingdom_of_Bilua
qstr_Bilua Bilua
qstr_faction_flag_bilua faction_flag_bilua
qstr_faction_color_bilua faction_color_bilua
qstr_ui_x_mark ui_x_mark
qstr_Dictatorship Dictatorship
qstr_{reg0}.{reg1}k {reg0}.{reg1}k
qstr_{reg0}.{reg1}M {reg0}.{reg1}M
qstr_{reg0}___{reg1} {reg0}_-_{reg1}
qstr_{s2} {s2}
qstr_ui_province_populati ui_province_population
qstr_{reg0}.{reg1}% {reg0}.{reg1}%
qstr_ui_population ui_population
qstr_ui_literacy ui_literacy
qstr_ui_urbanization ui_urbanization
qstr_Population Population
qstr_Literacy Literacy
qstr_Urbanization Urbanization
qstr_faction_{reg0}_facti faction_{reg0}_faction_literacy_{reg1}_average_literacy_multiplier_{reg2}_province_literacy_{reg3}_array_size_{reg4}
qstr_faction_{reg0}_factio faction_{reg0}_faction_literacy_{reg1}_average_literacy_multiplier_{reg2}_province_literacy_{reg3}_array_size_{reg4}_literacy_multiplier_{reg5}
qstr_faction_{reg0}_faction faction_{reg0}_faction_literacy_{reg1}_average_literacy_multiplier_{reg2}_province_literacy_{reg3}_array_size_{reg4}_literacy_multiplier_{reg5}_literacy_multiplier_{reg6}
qstr_faction_{reg0}_faction_ faction_{reg0}_faction_literacy_{reg1}_average_literacy_multiplier_{reg2}_province_literacy_{reg3}_array_size_{reg4}_literacy_multiplier_{reg5}_sum_literacy_multiplier_{reg6}
qstr_faction_{reg0}_faction_u faction_{reg0}_faction_urbanization_{reg1}_average_urbanization_multiplier_{reg2}_province_urbanization_{reg3}_array_size_{reg4}_urbanization_multiplier_{reg5}_sum_urbanization_multiplier_{reg6}
qstr_{s3} {s3}
qstr_province_{reg7}_fact province_{reg7}_faction_{reg0}_province_population_multiplier_{reg1}_average_urbanization_multiplier_{reg2}_faction_population_{reg3}
qstr_province_{reg7}_facti province_{reg7}_faction_{reg0}_province_population_multiplier_{reg1}_sum_population_multiplier_{reg2}_faction_population_{reg3}_population_multiplier_{reg4}
qstr_Republic_of_Ecuador Republic_of_Ecuador
qstr_Ecuador Ecuador
qstr_faction_flag_ecuador faction_flag_ecuador
qstr_faction_color_ecuado faction_color_ecuador
qstr_Ecuadorian Ecuadorian
qstr_Brazil_Empire Brazil_Empire
qstr_Brazil Brazil
qstr_faction_flag_brazil faction_flag_brazil
qstr_faction_color_brazil faction_color_brazil
qstr_Brazilian Brazilian
qstr_Republic_of_Peru Republic_of_Peru
qstr_Peru Peru
qstr_faction_flag_peru faction_flag_peru
qstr_faction_color_peru faction_color_peru
qstr_Peruvian Peruvian
qstr_Republic_of_Bolivia Republic_of_Bolivia
qstr_Bolivia Bolivia
qstr_faction_flag_bolivia faction_flag_bolivia
qstr_faction_color_bolivi faction_color_bolivia
qstr_Bolivian Bolivian
qstr_Republic_of_Paraguay Republic_of_Paraguay
qstr_Paraguay Paraguay
qstr_faction_flag_paragua faction_flag_paraguay
qstr_faction_color_paragu faction_color_paraguay
qstr_Paraguayan Paraguayan
qstr_00 00
qstr_0 0
qstr_{reg0}.{s60}{reg1}k {reg0}.{s60}{reg1}k
qstr_{reg0}.{s60}{reg1}M {reg0}.{s60}{reg1}M
qstr_{reg0}{s60}_January {reg0}{s60}_January
qstr_{reg0}{s60}_February {reg0}{s60}_February
qstr_{reg0}{s60}_March {reg0}{s60}_March
qstr_{reg0}{s60}_April {reg0}{s60}_April
qstr_{reg0}{s60}_May {reg0}{s60}_May
qstr_{reg0}{s60}_June {reg0}{s60}_June
qstr_{reg0}{s60}_July {reg0}{s60}_July
qstr_{reg0}{s60}_August {reg0}{s60}_August
qstr_{reg0}{s60}_Septembe {reg0}{s60}_September
qstr_{reg0}{s60}_October {reg0}{s60}_October
qstr_{reg0}{s60}_November {reg0}{s60}_November
qstr_{reg0}{s60}_December {reg0}{s60}_December
qstr_st st
qstr_nd nd
qstr_rd rd
qstr_th th
qstr_Argentine_Confederat Argentine_Confederation
qstr_Argentina Argentina
qstr_faction_flag_argenti faction_flag_argentina
qstr_faction_color_argent faction_color_argentina
qstr_Argentinian Argentinian
qstr_State_of_Buenos_Aire State_of_Buenos_Aires
qstr_Buenos_Aires Buenos_Aires
qstr_faction_flag_buenosa faction_flag_buenosaires
qstr_faction_color_buenos faction_color_buenosaires
qstr_Republic_of_Uruguay Republic_of_Uruguay
qstr_Uruguay Uruguay
qstr_faction_flag_uruguay faction_flag_uruguay
qstr_faction_color_urugua faction_color_uruguay
qstr_Uruguayan Uruguayan
qstr_Republic_of_Chile Republic_of_Chile
qstr_Chile Chile
qstr_faction_flag_chile faction_flag_chile
qstr_faction_color_chile faction_color_chile
qstr_Chilean Chilean
qstr_Mapuche Mapuche
qstr_faction_flag_mapuche faction_flag_mapuche
qstr_faction_color_mapuch faction_color_mapuche
qstr_Tehuelche Tehuelche
qstr_faction_flag_tehuelc faction_flag_tehuelche
qstr_faction_color_tehuel faction_color_tehuelche
qstr_Selknam Selknam
qstr_faction_flag_selknam faction_flag_selknam
qstr_faction_color_selkna faction_color_selknam
qstr_globals globals
qstr_factions factions
qstr_factions_strings factions_strings
qstr_provinces provinces
qstr_provinces_borders provinces_borders
qstr_provinces_manufactur provinces_manufacturers
qstr_provinces_supply_cha provinces_supply_chains_in
qstr_provinces_supply_chai provinces_supply_chains_out
qstr_provinces_rural_reso provinces_rural_resource_bonuses
qstr_Mapuche_Confederatio Mapuche_Confederation
qstr_Tehuelche_Tribes Tehuelche_Tribes
qstr_Selknam_Tribes Selknam_Tribes
qstr_Cape_Colony Cape_Colony
qstr_Cape Cape
qstr_faction_flag_cape faction_flag_cape
qstr_faction_color_cape faction_color_cape
qstr_Boers Boers
qstr_Orange_River_Soverei Orange_River_Sovereignty
qstr_ORS ORS
qstr_faction_flag_ors faction_flag_ors
qstr_faction_color_ors faction_color_ors
qstr_Colony_of_Natal Colony_of_Natal
qstr_Natal Natal
qstr_faction_flag_natal faction_flag_natal
qstr_faction_color_natal faction_color_natal
qstr_Republic_of_Transvaa Republic_of_Transvaal
qstr_Transvaal Transvaal
qstr_faction_flag_transva faction_flag_transvaal
qstr_faction_color_transv faction_color_transvaal
qstr_Kingdom_of_Basotho Kingdom_of_Basotho
qstr_Basotho Basotho
qstr_faction_flag_basotho faction_flag_basotho
qstr_faction_color_basoth faction_color_basotho
qstr_Basuto Basuto
qstr_Kingdom_of_Zulu Kingdom_of_Zulu
qstr_Zulu Zulu
qstr_faction_flag_zulu faction_flag_zulu
qstr_faction_color_zulu faction_color_zulu
qstr_Kingdom_of_Eswatini Kingdom_of_Eswatini
qstr_Eswatini Eswatini
qstr_faction_flag_eswatin faction_flag_eswatini
qstr_faction_color_eswati faction_color_eswatini
qstr_Republic_of_Lydenbur Republic_of_Lydenburg
qstr_Lydenburg Lydenburg
qstr_faction_flag_lydenbu faction_flag_lydenburg
qstr_faction_color_lydenb faction_color_lydenburg
qstr_Gaza_Empire Gaza_Empire
qstr_Gaza Gaza
qstr_faction_flag_gaza faction_flag_gaza
qstr_faction_color_gaza faction_color_gaza
qstr_Ndwandwe Ndwandwe
qstr_Mashona_Tribes Mashona_Tribes
qstr_Mashona Mashona
qstr_faction_flag_mashona faction_flag_mashona
qstr_faction_color_mashon faction_color_mashona
qstr_Manica_Tribes Manica_Tribes
qstr_Manica Manica
qstr_faction_flag_manica faction_flag_manica
qstr_faction_color_manica faction_color_manica
qstr_Rozvi_Empire Rozvi_Empire
qstr_Rozvi Rozvi
qstr_faction_flag_rozvi faction_flag_rozvi
qstr_faction_color_rozvi faction_color_rozvi
qstr_Kingdom_of_Mthwakazi Kingdom_of_Mthwakazi
qstr_Mthwakazi Mthwakazi
qstr_faction_flag_mthwaka faction_flag_mthwakazi
qstr_faction_color_mthwak faction_color_mthwakazi
qstr_Lega_Tribes Lega_Tribes
qstr_Lega Lega
qstr_faction_flag_lega faction_flag_lega
qstr_faction_color_lega faction_color_lega
qstr_Kazembe_Tribes Kazembe_Tribes
qstr_Kazembe Kazembe
qstr_faction_flag_kazembe faction_flag_kazembe
qstr_faction_color_kazemb faction_color_kazembe
qstr_Baluba Baluba
qstr_Kingdom_of_Kuba Kingdom_of_Kuba
qstr_Kuba Kuba
qstr_faction_flag_kuba faction_flag_kuba
qstr_faction_color_kuba faction_color_kuba
qstr_Bushong Bushong
qstr_Kingdom_of_Luba Kingdom_of_Luba
qstr_Luba Luba
qstr_faction_flag_luba faction_flag_luba
qstr_faction_color_luba faction_color_luba
qstr_Kingdom_of_Lunda Kingdom_of_Lunda
qstr_Lunda Lunda
qstr_faction_flag_lunda faction_flag_lunda
qstr_faction_color_lunda faction_color_lunda
qstr_Balunda Balunda
qstr_Kingdom_of_Anziku Kingdom_of_Anziku
qstr_Anziku Anziku
qstr_faction_flag_anziku faction_flag_anziku
qstr_faction_color_anziku faction_color_anziku
qstr_Teke Teke
qstr_Kingdom_of_Orungu Kingdom_of_Orungu
qstr_Orungu Orungu
qstr_faction_flag_orungu faction_flag_orungu
qstr_faction_color_orungu faction_color_orungu
qstr_Mpongwe Mpongwe
qstr_Kingdom_of_Loango Kingdom_of_Loango
qstr_Loango Loango
qstr_faction_flag_loango faction_flag_loango
qstr_faction_color_loango faction_color_loango
qstr_Bakongo Bakongo
qstr_Kingdom_of_Kakongo Kingdom_of_Kakongo
qstr_Kakongo Kakongo
qstr_faction_flag_kakongo faction_flag_kakongo
qstr_faction_color_kakong faction_color_kakongo
qstr_Kingdom_of_Kasanze Kingdom_of_Kasanze
qstr_Kasanze Kasanze
qstr_faction_flag_kasanze faction_flag_kasanze
qstr_faction_color_kasanz faction_color_kasanze
qstr_Kingdom_of_Kongo Kingdom_of_Kongo
qstr_Kongo Kongo
qstr_faction_flag_kongo faction_flag_kongo
qstr_faction_color_kongo faction_color_kongo
qstr_Makua_Tribes Makua_Tribes
qstr_Makua Makua
qstr_faction_flag_makua faction_flag_makua
qstr_faction_color_makua faction_color_makua
qstr_Ovimbundu_Tribes Ovimbundu_Tribes
qstr_Ovimbundu Ovimbundu
qstr_faction_flag_ovimbun faction_flag_ovimbundu
qstr_faction_color_ovimbu faction_color_ovimbundu
qstr_Kingdom_of_Barotse Kingdom_of_Barotse
qstr_Barotse Barotse
qstr_faction_flag_barotse faction_flag_barotse
qstr_faction_color_barots faction_color_barotse
qstr_Griqualand_West Griqualand_West
qstr_Griqualand Griqualand
qstr_faction_flag_griqual faction_flag_griqualand
qstr_faction_color_griqua faction_color_griqualand
qstr_Griqua Griqua
qstr_Bemba_Tribes Bemba_Tribes
qstr_Bemba Bemba
qstr_faction_flag_bemba faction_flag_bemba
qstr_faction_color_bemba faction_color_bemba
qstr_Nama_Tribes Nama_Tribes
qstr_Nama Nama
qstr_faction_flag_nama faction_flag_nama
qstr_faction_color_nama faction_color_nama
qstr_Tswana_Tribes Tswana_Tribes
qstr_Tswana Tswana
qstr_faction_flag_tswana faction_flag_tswana
qstr_faction_color_tswana faction_color_tswana
qstr_Chokwe_Tribes Chokwe_Tribes
qstr_Chokwe Chokwe
qstr_faction_flag_chokwe faction_flag_chokwe
qstr_faction_color_chokwe faction_color_chokwe
qstr_Herero_Tribes Herero_Tribes
qstr_Herero Herero
qstr_faction_flag_herero faction_flag_herero
qstr_faction_color_herero faction_color_herero
qstr_Fang_Tribes Fang_Tribes
qstr_Fang Fang
qstr_faction_flag_fang faction_flag_fang
qstr_faction_color_fang faction_color_fang
qstr_Bobangi_Tribes Bobangi_Tribes
qstr_Bobangi Bobangi
qstr_faction_flag_bobangi faction_flag_bobangi
qstr_faction_color_bobang faction_color_bobangi
qstr_Sultanate_of_Dar_al_ Sultanate_of_Dar_al_Kuti
qstr_Kuti Kuti
qstr_faction_flag_daralku faction_flag_daralkuti
qstr_faction_color_daralk faction_color_daralkuti
qstr_Bangala_Tribes Bangala_Tribes
qstr_Bangala Bangala
qstr_faction_flag_bangala faction_flag_bangala
qstr_faction_color_bangal faction_color_bangala
qstr_Azande_Tribes Azande_Tribes
qstr_Azande Azande
qstr_faction_flag_azande faction_flag_azande
qstr_faction_color_azande faction_color_azande
qstr_Mangbetu_Tribes Mangbetu_Tribes
qstr_Mangbetu Mangbetu
qstr_faction_flag_mangbet faction_flag_mangbetu
qstr_faction_color_mangbe faction_color_mangbetu
qstr_Acholi_Tribes Acholi_Tribes
qstr_Acholi Acholi
qstr_faction_flag_acholi faction_flag_acholi
qstr_faction_color_acholi faction_color_acholi
qstr_Kingdom_of_Buganda Kingdom_of_Buganda
qstr_Buganda Buganda
qstr_faction_flag_buganda faction_flag_buganda
qstr_faction_color_bugand faction_color_buganda
qstr_Kingdom_of_Bunyoro Kingdom_of_Bunyoro
qstr_Bunyoro Bunyoro
qstr_faction_flag_bunyoro faction_flag_bunyoro
qstr_faction_color_bunyor faction_color_bunyoro
qstr_Kingdom_of_Karagwe Kingdom_of_Karagwe
qstr_Karagwe Karagwe
qstr_faction_flag_karagwe faction_flag_karagwe
qstr_faction_color_karagw faction_color_karagwe
qstr_Kingdom_of_Ankole Kingdom_of_Ankole
qstr_Ankole Ankole
qstr_faction_flag_ankole faction_flag_ankole
qstr_faction_color_ankole faction_color_ankole
qstr_Gogo_Tribes Gogo_Tribes
qstr_Gogo Gogo
qstr_faction_flag_gogo faction_flag_gogo
qstr_faction_color_gogo faction_color_gogo
qstr_Sangu_Tribes Sangu_Tribes
qstr_Sangu Sangu
qstr_faction_flag_sangu faction_flag_sangu
qstr_faction_color_sangu faction_color_sangu
qstr_Hehe_Tribes Hehe_Tribes
qstr_Hehe Hehe
qstr_faction_flag_hehe faction_flag_hehe
qstr_faction_color_hehe faction_color_hehe
qstr_Nyamwezi_Tribes Nyamwezi_Tribes
qstr_Nyamwezi Nyamwezi
qstr_faction_flag_nyamwez faction_flag_nyamwezi
qstr_faction_color_nyamwe faction_color_nyamwezi
qstr_Kingdom_of_Ngoyo Kingdom_of_Ngoyo
qstr_Ngoyo Ngoyo
qstr_faction_flag_ngoyo faction_flag_ngoyo
qstr_faction_color_ngoyo faction_color_ngoyo
qstr_Woyo Woyo
qstr_Yao_Tribes Yao_Tribes
qstr_Yao Yao
qstr_faction_flag_yao faction_flag_yao
qstr_faction_color_yao faction_color_yao
qstr_provinces_strings provinces_strings
qstr_sea_provinces sea_provinces
qstr_provinces_transporta provinces_transportation_cost
qstr_profiling_result_{re profiling_result_{reg0}
qstr_{reg_} {reg)}
qstr_{reg0}_{reg1}1 {reg0}_{reg1}
qstr_1_{reg0} 1_{reg0}
qstr_2_{reg0} 2_{reg0}
qstr_rika rika
qstr_1 1
qstr_sea_province1_{reg0} sea_province1_{reg0}_sea_province2_{reg1}
qstr_index_{reg0}_sea_pro index_{reg0}_sea_province2_{reg1}
qstr_index_{reg0}_terrain index_{reg0}_terrain_{reg1}
qstr_1_minvalue_{reg0}_pr 1_minvalue_{reg0}_provincevalue_{reg1}_maxvalue_{reg2}_grayvalue_{reg3}_
qstr_2_minvalue_{reg0}_pr 2_minvalue_{reg0}_provincevalue_{reg1}_maxvalue_{reg2}_grayvalue_{reg3}_
qstr_3_minvalue_{reg0}_pr 3_minvalue_{reg0}_provincevalue_{reg1}_maxvalue_{reg2}_grayvalue_{reg3}_
qstr_Irish_Free_State Irish_Free_State
qstr_Ireland Ireland
qstr_faction_flag_ireland faction_flag_ireland1
qstr_faction_color_irelan faction_color_ireland
qstr_Irish Irish
qstr_Catalan_State Catalan_State
qstr_Catalonia Catalonia
qstr_faction_flag_catalon faction_flag_catalonia
qstr_faction_color_catalo faction_color_catalonia
qstr_Catalan Catalan
qstr_Basque_State Basque_State
qstr_Basque Basque
qstr_faction_flag_basque faction_flag_basque
qstr_faction_color_basque faction_color_basque
qstr_German_Empire German_Empire
qstr_Germany Germany
qstr_faction_flag_germane faction_flag_germanempire
qstr_faction_color_german faction_color_germany
qstr_German German
qstr_North_German_Confede North_German_Confederation
qstr_North_Germany North_Germany
qstr_South_German_Confede South_German_Confederation
qstr_South_Germany South_Germany
qstr_faction_flag_southge faction_flag_southgermany
qstr_faction_color_southg faction_color_southgermany
qstr_Ainu_Mosir Ainu_Mosir
qstr_Ainu Ainu
qstr_faction_flag_ainu faction_flag_ainu
qstr_faction_color_ainu faction_color_ainu
qstr_Republic_of_Texas Republic_of_Texas
qstr_Texas Texas
qstr_faction_flag_texas faction_flag_texas
qstr_faction_color_texas faction_color_texas
qstr_Texan Texan
qstr_faction_flag_kaiserr faction_flag_kaiserreich
qstr_Republic_of_Finland Republic_of_Finland
qstr_Finland Finland
qstr_faction_flag_finland faction_flag_finland1
qstr_faction_color_finlan faction_color_finland
qstr_Finnish Finnish
qstr_State_of_Finland State_of_Finland
qstr_Empire_of_Japan Empire_of_Japan
qstr_faction_flag_japan faction_flag_japan
qstr_faction_color_japan faction_color_japan
qstr_United_Principalitie United_Principalities_of_Wallachia_and_Moldavia
qstr_Romania Romania
qstr_faction_flag_romania faction_flag_romania
qstr_faction_color_romani faction_color_romania
qstr_Romanian Romanian
qstr_Principality_of_Bulg Principality_of_Bulgaria
qstr_Bulgaria Bulgaria
qstr_faction_flag_bulgari faction_flag_bulgaria
qstr_faction_color_bulgar faction_color_bulgaria
qstr_Bulgarian Bulgarian
qstr_Polish_State Polish_State
qstr_Poland Poland
qstr_faction_flag_poland faction_flag_poland
qstr_faction_color_poland faction_color_poland
qstr_Polish Polish
qstr_Polish_Lithuanian_Co Polish-Lithuanian_Commonwealth
qstr_Rzeczpospolita Rzeczpospolita
qstr_faction_flag_plc faction_flag_plc
qstr_faction_color_plc faction_color_plc
qstr_Polish_Lithuanian Polish-Lithuanian
qstr_State_of_Lithuania State_of_Lithuania
qstr_Lithuania Lithuania
qstr_faction_flag_lithuan faction_flag_lithuania
qstr_faction_color_lithua faction_color_lithuania
qstr_Lithuanian Lithuanian
qstr_Republic_of_Latvia Republic_of_Latvia
qstr_Latvia Latvia
qstr_faction_flag_latvia faction_flag_latvia
qstr_faction_color_latvia faction_color_latvia
qstr_Latvian Latvian
qstr_Republic_of_Estonia Republic_of_Estonia
qstr_Estonia Estonia
qstr_faction_flag_estonia faction_flag_estonia
qstr_faction_color_estoni faction_color_estonia
qstr_Estonian Estonian
qstr_United_Baltic_Duchy United_Baltic_Duchy
qstr_Baltics Baltics
qstr_faction_flag_baltics faction_flag_baltics
qstr_faction_color_baltic faction_color_baltics
qstr_Baltic Baltic
qstr_faction_flag_romaniae faction_flag_romaniaearly
qstr_faction_flag_poland1 faction_flag_poland1
qstr_faction_flag_latvia1 faction_flag_latvia1
qstr_Kingdom_of_Scotland Kingdom_of_Scotland
qstr_Scotland Scotland
qstr_faction_flag_scotlan faction_flag_scotland
qstr_faction_color_scotla faction_color_scotland
qstr_Scottish Scottish
qstr_State_of_Azerbaijan State_of_Azerbaijan
qstr_Azerbaijan Azerbaijan
qstr_faction_flag_azerbai faction_flag_azerbaijan1
qstr_faction_color_azerba faction_color_azerbaijan
qstr_Azeri Azeri
qstr_State_of_Armenia State_of_Armenia
qstr_Armenia Armenia
qstr_faction_flag_armenia faction_flag_armenia
qstr_faction_color_armeni faction_color_armenia
qstr_Armenian Armenian
qstr_State_of_Georgia State_of_Georgia
qstr_Georgia Georgia
qstr_faction_flag_georgia faction_flag_georgia
qstr_faction_color_georgi faction_color_georgia
qstr_Georgian Georgian
qstr_faction_flag_georgia1 faction_flag_georgia1
qstr_Ukrainian_State Ukrainian_State
qstr_Ukraine Ukraine
qstr_faction_flag_ukraine faction_flag_ukraine
qstr_faction_color_ukrain faction_color_ukraine
qstr_Crimean_Khanate Crimean_Khanate
qstr_Crimea Crimea
qstr_faction_flag_crimea faction_flag_crimea
qstr_faction_color_crimea faction_color_crimea
qstr_Crimean Crimean
qstr_Kazakh_Khanate Kazakh_Khanate
qstr_Kazakhs Kazakhs
qstr_faction_flag_kazakh faction_flag_kazakh
qstr_faction_color_kazakh faction_color_kazakh
qstr_Kazakh Kazakh
qstr_Khanate_of_Turkestan Khanate_of_Turkestan
qstr_Turkestan Turkestan
qstr_faction_flag_turkest faction_flag_turkestan
qstr_faction_color_turkes faction_color_turkestan
qstr_Turkic Turkic
qstr_State_of_Arabia State_of_Arabia
qstr_Arabia Arabia
qstr_faction_flag_arabia faction_flag_arabia
qstr_faction_color_arabia faction_color_arabia
qstr_Arabian Arabian
qstr_Kingdom_of_Syria Kingdom_of_Syria
qstr_Syria Syria
qstr_faction_flag_syria1 faction_flag_syria1
qstr_faction_color_syria faction_color_syria
qstr_Syrian Syrian
qstr_Kingdom_of_Iraq Kingdom_of_Iraq
qstr_Iraq Iraq
qstr_faction_flag_iraq1 faction_flag_iraq1
qstr_faction_color_iraq faction_color_iraq
qstr_Iraqi Iraqi
qstr_Levantine_Emirate Levantine_Emirate
qstr_Lebanon Lebanon
qstr_faction_flag_lebanon faction_flag_lebanon1
qstr_faction_color_lebano faction_color_lebanon
qstr_Lebanese Lebanese
qstr_State_of_Israel State_of_Israel
qstr_Israel Israel
qstr_faction_flag_israel faction_flag_israel
qstr_faction_color_israel faction_color_israel
qstr_Israeli Israeli
qstr_State_of_Palestine State_of_Palestine
qstr_Palestine Palestine
qstr_faction_flag_palesti faction_flag_palestine
qstr_faction_color_palest faction_color_palestine
qstr_Palestinian Palestinian
qstr_Kingdom_of_England Kingdom_of_England
qstr_England England
qstr_faction_flag_england faction_flag_england
qstr_English English
qstr_Kingdom_of_Norway Kingdom_of_Norway
qstr_Norway Norway
qstr_faction_flag_norway faction_flag_norway
qstr_faction_color_norway faction_color_norway
qstr_Norwegian Norwegian
qstr_Confederate_States_o Confederate_States_of_America
qstr_CSA CSA
qstr_faction_flag_csa faction_flag_csa
qstr_faction_color_csa faction_color_csa
qstr_Confederate Confederate
qstr_Emirate_of_Transjord Emirate_of_Transjordan
qstr_Transjordan Transjordan
qstr_faction_flag_transjo faction_flag_transjordan
qstr_faction_color_transj faction_color_transjordan
qstr_Transjordanian Transjordanian
qstr_Kingdom_of_Hejaz Kingdom_of_Hejaz
qstr_Hejaz Hejaz
qstr_faction_color_hejaz faction_color_hejaz
qstr_Hejazi Hejazi
qstr_Mutawakkilite_Kingdo Mutawakkilite_Kingdom_of_Yemen
qstr_Yemen Yemen
qstr_faction_flag_yemen1 faction_flag_yemen1
qstr_faction_color_yemen faction_color_yemen
qstr_Yemeni Yemeni
qstr_faction_flag_oman1 faction_flag_oman1
qstr_Khanate_of_Mongolia Khanate_of_Mongolia
qstr_Mongolia Mongolia
qstr_faction_flag_mongoli faction_flag_mongolia1
qstr_faction_color_mongol faction_color_mongolia
qstr_Mongolian Mongolian
qstr_State_of_India State_of_India
qstr_India India
qstr_faction_flag_india faction_flag_india
qstr_faction_color_india faction_color_india
qstr_Indian Indian
qstr_State_of_Pakistan State_of_Pakistan
qstr_Pakistan Pakistan
qstr_faction_flag_pakista faction_flag_pakistan
qstr_faction_color_pakist faction_color_pakistan
qstr_Pakistani Pakistani
qstr_Khedivate_of_Egypt Khedivate_of_Egypt
qstr_Egypt Egypt
qstr_faction_flag_egypt1 faction_flag_egypt1
qstr_faction_color_egypt faction_color_egypt
qstr_Egyptian Egyptian
qstr_State_of_Canada State_of_Canada
qstr_Canada Canada
qstr_faction_flag_canada1 faction_flag_canada1
qstr_faction_color_canada faction_color_canada
qstr_Canadian Canadian
qstr_Republic_of_Quebec Republic_of_Quebec
qstr_Quebec Quebec
qstr_faction_flag_quebec faction_flag_quebec
qstr_faction_color_quebec faction_color_quebec
qstr_Quebecois Quebecois
qstr_State_of_Ceylon State_of_Ceylon
qstr_Ceylon Ceylon
qstr_faction_flag_ceylon1 faction_flag_ceylon1
qstr_faction_color_ceylon faction_color_ceylon
qstr_Ceylonese Ceylonese
qstr_State_of_Bengal State_of_Bengal
qstr_Bangladesh Bangladesh
qstr_faction_flag_banglad faction_flag_bangladesh
qstr_faction_color_bangla faction_color_bangladesh
qstr_Bengali Bengali
qstr_Dominion_of_Canada Dominion_of_Canada
qstr_Dominion_of_Newfound Dominion_of_Newfoundland
qstr_Newfoundland Newfoundland
qstr_faction_flag_newfoun faction_flag_newfoundland1
qstr_Dominion_of_Pakistan Dominion_of_Pakistan
qstr_Federation_of_Malaya Federation_of_Malaya
qstr_Malaya Malaya
qstr_faction_flag_malaya1 faction_flag_malaya1
qstr_faction_color_malaya faction_color_malaya
qstr_Malay Malay
qstr_Straits_Settlement Straits_Settlement
qstr_Singapore Singapore
qstr_faction_flag_singapo faction_flag_singapore1
qstr_faction_color_singap faction_color_singapore
qstr_Singaporean Singaporean
qstr_faction_flag_qatar1 faction_flag_qatar1
qstr_faction_flag_brunei1 faction_flag_brunei1
qstr_faction_flag_morocco faction_flag_morocco1
qstr_Republic_of_Philippi Republic_of_Philippines
qstr_Philippines Philippines
qstr_faction_flag_philipp faction_flag_philippines1
qstr_faction_color_philip faction_color_philippines
qstr_Filipino Filipino
qstr_Republic_of_Indonesi Republic_of_Indonesia
qstr_Indonesia Indonesia
qstr_faction_flag_indones faction_flag_indonesia
qstr_faction_color_indone faction_color_indonesia
qstr_Indonesian Indonesian
qstr_Deylik_of_Algiers Deylik_of_Algiers
qstr_Algeria Algeria
qstr_faction_flag_algeria faction_flag_algeria1
qstr_faction_color_algeri faction_color_algeria
qstr_Algerian Algerian
qstr_Emirate_of_Cyrenaica Emirate_of_Cyrenaica
qstr_Cyrenaica Cyrenaica
qstr_faction_flag_cyrenai faction_flag_cyrenaica
qstr_faction_color_cyrena faction_color_cyrenaica
qstr_Cyrene Cyrene
qstr_Kingdom_of_Libya Kingdom_of_Libya
qstr_Libya Libya
qstr_faction_flag_libya1 faction_flag_libya1
qstr_faction_color_libya faction_color_libya
qstr_Libyan Libyan
qstr_Emirate_of_Tripoli Emirate_of_Tripoli
qstr_Tripolitania Tripolitania
qstr_faction_flag_tripoli faction_flag_tripoli
qstr_faction_color_tripol faction_color_tripoli
qstr_Tripolitanian Tripolitanian
qstr_Commonwealth_of_Aust Commonwealth_of_Australia
qstr_Australia Australia
qstr_faction_flag_austral faction_flag_australia2
qstr_Commonwealth_of_New_ Commonwealth_of_New_Zealand
qstr_New_Zealand New_Zealand
qstr_faction_flag_newzeal faction_flag_newzealand2
qstr_New_Zealander New_Zealander
qstr_State_of_the_Sudan State_of_the_Sudan
qstr_Sudan Sudan
qstr_faction_flag_sudan2 faction_flag_sudan2
qstr_faction_flag_somalia faction_flag_somalia1
qstr_faction_color_sudan faction_color_sudan
qstr_Sudanese Sudanese
qstr_State_of_Kenya State_of_Kenya
qstr_Kenya Kenya
