stringsfile version 1
1418
str_no_string NO_STRING!
str_province1122 Montevideo
str_province1123 Colonia
str_province1124 Atacama
str_province1125 Coquimbo
str_province1126 Valparaiso
str_province1127 Santiago
str_province1128 Rancagua
str_province1129 Maule
str_province1130 Los_Rios
str_province1131 Los_Lagos
str_province1132 Rivadavia
str_province1133 La_Pampa
str_province1134 San_Rafael
str_province1135 Biobio
str_province1136 Araucania
str_province1137 Neuquen
str_province1138 Rio_Negro
str_province1139 Chubut
str_province1140 Palena
str_province1141 Coihaique
str_province1142 Santa_Cruz
str_province1143 Puerto_Natales
str_province1144 Puerto_Williams
str_province1145 Falklands_Islands
str_province1146 Tierra_del_Fuego
str_province1147 Vakaga
str_province1148 Ouham
str_province1149 Mambere
str_province1150 Bangui
str_province1151 Ouaka
str_province1152 Upper_Kotto
str_province1153 Upper_Mbomou
str_province1154 Mbomou
str_province1155 North_Ubangi
str_province1156 South_Ubangi
str_province1157 Likouala-Sangha
str_province1158 Woleu-Ntem
str_province1159 Equatorial_Guinea
str_province1160 Estuaire
str_province1161 Ogooue-Ivindo
str_province1162 Cuvette
str_province1163 Upper_Ogooue
str_province1164 Ogooue-Lolo
str_province1165 Ngounie
str_province1166 Maritime_Ogooue
str_province1167 Nyanga
str_province1168 Kouilou
str_province1169 Cabinda
str_province1170 Lekoumou-Niari
str_province1171 Kongo-Central
str_province1172 Mpumbu
str_province1173 Kinshasa
str_province1174 Mai-Ndombe
str_province1175 Mbandaka
str_province1176 Mongala
str_province1177 Tshuapa
str_province1178 Tshopo
str_province1179 Lower_Uele
str_province1180 East_Tshopo
str_province1181 Upper_Uele
str_province1182 Ituri
str_province1183 Acholi
str_province1184 Kampala
str_province1185 Hoima
str_province1186 North_Kivu
str_province1187 Rwanda-Burundi
str_province1188 Kagera
str_province1189 Kigoma
str_province1190 Mwanza
str_province1191 Mara
str_province1192 Arusha
str_province1193 Kilimanjaro-Tanga
str_province1194 Dodoma
str_province1195 Singida
str_province1196 Tabora
str_province1197 Rukwa
str_province1198 Mbeya
str_province1199 Iringa
str_province1200 Dar_es_Salaam
str_province1201 Lindi
str_province1202 Ruvuma
str_province1203 Niassa
str_province1204 Cabo_Delgado
str_province1205 Nampula
str_province1206 Zambezia
str_province1207 Lilongwe
str_province1208 Muchinga
str_province1209 Nkhata
str_province1210 Luapula
str_province1211 Tanganika
str_province1212 South_Kivu
str_province1213 Maniema
str_province1214 Sankuru
str_province1215 North_Kasai
str_province1216 Kwilu
str_province1217 Kwango
str_province1218 Uige
str_province1219 Zaire
str_province1220 Luanda
str_province1221 Cuanza_Norte
str_province1222 Malanje
str_province1223 Lunda_Norte
str_province1224 South_Kasai
str_province1225 Lomami
str_province1226 Upper_Lomami
str_province1227 Upper_Katanga
str_province1228 Lualaba
str_province1229 Lunda_Sul
str_province1230 Cuanza_Sul
str_province1231 Benguela
str_province1232 Huambo
str_province1233 Bie
str_province1234 Moxico
str_province1235 Solwezi
str_province1236 Kabwe
str_province1237 Lusaka
str_province1238 Tete
str_province1239 Sofala
str_province1240 Manica
str_province1241 Manicaland
str_province1242 Mashonaland
str_province1243 Matabeleland_South
str_province1244 Matabeleland_North
str_province1245 Choma
str_province1246 Mongu
str_province1247 Cuando_Cubango
str_province1248 Huila
str_province1249 Namibe
str_province1250 South_Kunene
str_province1251 North_Kunene
str_province1252 Oshana
str_province1253 Kavango
str_province1254 Ngamiland
str_province1255 Serowe
str_province1256 Limpopo
str_province1257 Maputo
str_province1258 Inhambane
str_province1259 Kwa-Zulu
str_province1260 Eswatini
str_province1261 East_Transvaal
str_province1262 Korana
str_province1263 Basotho
str_province1264 Natal
str_province1265 Eastern_Cape
str_province1266 Western_Cape
str_province1267 Northern_Cape
str_province1268 Griqualand
str_province1269 Mafeking
str_province1270 Kweneng-Ngwaketse
str_province1271 Ghanzi
str_province1272 Kgalagadi
str_province1273 Kalahari
str_province1274 Karas
str_province1275 Hardap
str_province1276 Omaheke
str_province1277 Khomas
str_province1278 Otjozondjupa
str_province1279 Erongo
str_province1280 Kaiser-Wilhelmsland
str_province1281 Fernando_Po
str_province1282 Sao_Tome_and_Principe
str_province1283 Cape_Verde
str_province1284 Canary_Islands
str_province1285 Madeira
str_province1286 Azores
str_province1287 Bermuda
str_province1288 Faroe_Islands
str_province1289 Malta
str_province1290 Svalbard
str_province1291 Franz_Josef_Land
str_province1292 Aleut_Islands
str_province1293 Aland
str_province1294 Gotland
str_province1295 Andaman_and_Nicobar
str_province1296 Maldives
str_province1297 Cyclades
str_sea_province0 Beaufort_Sea
str_sea_province1 Labrador_Sea
str_sea_province2 North_Atlantic_Ocean
str_sea_province3 Norwegian_Sea
str_sea_province4 Irish_Sea
str_sea_province5 English_Channel
str_sea_province6 North_Sea
str_sea_province7 Skagerrak
str_sea_province8 Baltic_Sea
str_sea_province9 Gulf_of_Bothnia
str_sea_province10 Gulf_of_Finland
str_sea_province11 Norwegian_Sea
str_sea_province12 Chukchi_Sea
str_sea_province13 Gulf_of_Mexico
str_sea_province14 West_Caribbean_Sea
str_sea_province15 Bahamas_Coast
str_sea_province16 East_Caribbean_Sea
str_sea_province17 Gulf_of_Maine
str_sea_province18 Central_Atlantic_Ocean
str_sea_province19 West_African_Coast
str_sea_province20 Northeast_Atlantic_Ocean
str_sea_province21 Bay_of_Biscay
str_sea_province22 West_Mediterranean_Sea
str_sea_province23 Adriatic_Sea
str_sea_province24 Central_Mediterranean_Sea
str_sea_province25 Levantine_Sea
str_sea_province26 South_Black_Sea
str_sea_province27 North_Black_Sea
str_sea_province28 West_Atlantic_Ocean
str_sea_province29 Gulf_of_Guinea
str_sea_province30 South_Brazil_Coast
str_sea_province31 South_Atlantic_Ocean
str_sea_province32 Benguela_Coast
str_sea_province33 Argentine_Sea
str_sea_province34 Bouvet_Sea
str_sea_province35 South_African_Coast
str_sea_province36 Red_Sea
str_sea_province37 Gulf_of_Aden
str_sea_province38 Gulf_of_Persia
str_sea_province39 Zanzibar_Coast
str_sea_province40 Arabian_Sea
str_sea_province41 Northeast_Arabian_Sea
str_sea_province42 Western_Bay_of_Bengal
str_sea_province43 Mozambique_Channel
str_sea_province44 Southwest_Indian_Ocean
str_sea_province45 Central_Indian_Ocean
str_sea_province46 Northeast_Indian_Ocean
str_sea_province47 Eastern_Bay_of_Bengal
str_sea_province48 Straits_of_Malacca
str_sea_province49 Gulf_of_Thailand
str_sea_province50 South_China_Sea
str_sea_province51 Java_Sea
str_sea_province52 South_China_Sea
str_sea_province53 East_Indian_Ocean
str_sea_province54 Southeast_Indian_Ocean
str_sea_province55 Banda_Sea
str_sea_province56 Coral_Sea
str_sea_province57 New_Zealand_Coast
str_sea_province58 Gulf_of_Tonkin
str_sea_province59 Philippine_Coast
str_sea_province60 North_Philippine_Sea
str_sea_province61 South_Philippine_Sea
str_sea_province62 Bismarck_Sea
str_sea_province63 East_Coral_Sea
str_sea_province64 Fiji-Tonga_Coast
str_sea_province65 Taiwan_Strait
str_sea_province66 Izu_Sea
str_sea_province67 Yellow_Sea
str_sea_province68 Sea_of_Japan
str_sea_province69 Sea_of_Okhotsk
str_sea_province70 Philippine_Sea
str_sea_province71 Northwest_Pacific_Ocean
str_sea_province72 West_Pacific_Ocean
str_sea_province73 Central_Pacific_Ocean
str_sea_province74 Bering_Sea
str_sea_province75 North_Pacific_Ocean
str_sea_province76 Gulf_of_Alaska
str_sea_province77 North_American_West_Coast
str_sea_province78 East_Pacific_Ocean
str_sea_province79 Coast_of_Mexico
str_sea_province80 Peruvian_Coast
str_sea_province81 South_Pacific_Ocean
str_sea_province82 Chilean_Coast
str_sea_province83 Barents_Sea
str_sea_province84 Hudson_Bay
