ui_music_volume|Zene hangereje:
ui_m_ultra_high2|Nagyon magas
ui_off2|Ki
ui_group_header|Katona osztálya
ui_group_rename|Csoport átnevezése
ui_group_1|Gyalogság
ui_group_2|Íjászok
ui_group_3|Lovasság
ui_group_4|Névtelen
ui_group_5|Névtelen
ui_group_6|Névtelen
ui_group_7|Névtelen
ui_group_8|Névtelen
ui_group_9|Névtelen
ui_group_rename|Csoport átnevezése
ui_group_close|Bezárás
ui_party_b_group_information|%s csoportja: %s
ui_thrown_or_s|Eldobva/%s
ui_ranged_damage|Becélozva: %d%s
ui_overall_quality|Minőség
ui_shader_quality|Árnyékolás min.:
ui_flora_lod_detail|Növényzet részl.:
ui_flora_degrade_distance|Látótáv:
ui_antialiasing|Elsimítás:
ui_use_depth_effects|Mélységeffektek haszn.
ui_hdr_mode|HDR mód:
ui_autoexpore|Automatikus expozíció
ui_choose_profile|Profil választása
ui_create|Létrehozás
ui_edit|Szerkesztés
ui_join_game|Csatlakozás játékhoz
ui_host_game|Játék szervezése
ui_custom|Egyéni
ui_medium|Közepes
ui_male|Férfi
ui_female|Nő
ui_gender|Nem kiválasztása:
ui_edit_profile|Profil szerkesztése
ui_new_profile|Új profil
ui_enter_username|Felhasználói név:
ui_invalid_username|A felhasználói név csak betűket és számokat, vagy _ karaktert tartalmazhat.
ui_confirmation|Biztos vagy benne?
ui_multiplayer|Többjátékos mód
ui_server_name|Kiszolgáló
ui_module_name|Modul
ui_game_type|Játéktípus
ui_map_name|Térkép
ui_ping|Ping
ui_dedicated|Dedikált
ui_number_of_players|Játékosok
ui_password_protected|Jelszó
ui_connect|Csatlakozás
ui_local_area_network|Helyi hálózat
ui_internet|Internet
ui_favorites|Kedvencek
ui_source|Forrás:
ui_server_password|Kiszolgáló jelszó:
ui_refresh|Frissítés
ui_start_search|Keresés indítása
ui_add_to_favorites|Hozzáadás a kedvencekhez
ui_remove_from_favorites|Eltávolítás a kedvencek közül
ui_use_speedtree|Speedtree haszn.
ui_use_instancing|Instancing haszn.
ui_error|Hiba
ui_error_server_full|A kiszolgáló megtelt.
ui_error_server_full_for_non_private|A kiszolgáló nem fogad több saját tagi jelszóval nem rendelkező játékost.
ui_error_server_password_incorrect|Hibás jelszó.
ui_error_incorrect_serial|Hibás sorozatszám.
ui_error_incorrect_authorization_key|Hibás azonosító kulcs.
ui_error_banned_from_server|Erről a kiszolgálóról kitiltottak.
ui_error_username_taken|A profilnevedet már használja egy másik játékos.
ui_error_authentication_failed|Hibás azonosítás.
ui_unable_to_connect_to_server|Sikertelen csatlakozás a kiszolgálóhoz.
ui_connection_to_server_is_lost|Megszűnt a kapcsolat a kiszolgálóval.
ui_kicked_from_server|Kirúgtak a kiszolgálóról.
ui_switch_to_module_question|A kiszolgálón más modul fut, mint amivel te játszol. Szeretnéd, ha a Mount&Blade átváltana a megfelelő modulra?
ui_download_module_question|A kiszolgálón olyan modul fut, amit még nem telepítettél a számítógépedre. Ellátogatsz a letöltési helyre?
ui_download_mb_new_version_question|Ezen a kiszolgálón a Mount&Blade újabb változata fut (%d.%d%d%d), mint amelyikkel te játszol (%d.%d%d%d). Ellátogatsz a TaleWorlds letöltő oldalára?
ui_download_mb_old_version_question|Ezen a kiszolgálón a Mount&Blade régebbi változata fut (%d.%d%d%d), mint amelyikkel te játszol (%d.%d%d%d).
ui_download_module_new_version_question|Ezen a kiszolgálón a használt modul újabb változata fut (%d.%d%d%d), mint amelyikkel te játszol (%d.%d%d%d). Ellátogatsz a modul letöltési helyére?
ui_download_module_old_version_question|Ezen a kiszolgálón a használt modul régebbi változata fut (%d.%d%d%d), mint amelyikkel te játszol (%d.%d%d%d).
ui_authenticating_with_steam|Azonosítás a Steamen...
ui_validating_serial_number|Sorozatszám érvényesítése...
ui_scanning_lan|Helyi hálózat vizsgálata...
ui_retrieving_servers|Kiszolgálólista fogadása...
ui_shield_size2|Méret: %dx%d
ui_click_to_view_notes|Kattints a jegyzetek megtekintéséhez
ui_retrieving_server_infos|Információ fogadása a kiszolgálóról (%d)...
ui_connecting_to_server|Csatlakozás a kiszolgálóhoz...
ui_requesting_to_join_the_game|Csatlakozási kérelem elküldése...
ui_loading|Betöltés...
ui_group_value_control|%d csoport!
ui_drop_weapon|Fegyver eldobása
ui_multiplayer_message_all|Üzenet küldése mindenkinek
ui_multiplayer_message_team|Üzenet küldése a csapatnak
ui_command_line|Parancssor
ui_use_ranged_weapon_as_melee|Fegyvermód váltása
ui_send_message_all|Üzenet küldése mindenkinek
ui_send_message_team|Üzenet küldése a csapatnak
ui_select|Kiválasztás
ui_context_menu|Tartalomérzékeny menü
ui_round_starts_in_value_seconds|A forduló %d másodperc múlva kezdődik...
ui_watching_value|%s követése
ui_capital_spec|SPEC
ui_capital_dead|HALOTT
ui_instancing_error1|Nem sikerült lezárni az instancing puffert (mérete: %d), mesh-instancing letiltva (Hibakód: %d)
ui_instancing_error2|Nem sikerült beilleszteni az instancing objektumokat, Hálós instancing letiltása 
ui_by_keyboard|A mozgásbillentyűkkel
ui_combat_speed_slowest|Leglassabb
ui_combat_speed_slower|Lassabb
ui_combat_speed_normal|Normál
ui_combat_speed_faster|Gyorsabb
ui_combat_speed_fastest|Leggyorsabb
ui_module_newer_than_application|A választott modulhoz a játék újabb változata szükséges.
ui_module_older_than_application|A választott modulhoz a játék régebbi változata szükséges.
ui_unbalanced|Kiegyensúlyozatlan
ui_can_crush_through_blocks|Blokkokon átpréselődés lehetséges
ui_turn_camera_with_horse|A kamera a lóval együtt fordul:
ui_widescreen_mode_on|Többképernyős mód engedélyezve
ui_widescreen_mode_off|Többképernyős mód letiltva
ui_notification_cant_upgrade|(Nem sikerült fejleszteni: nincs elegendő pénz)
ui_turn_never|Soha
ui_turn_ranged_only|Csak célzófegyver
ui_turn_melee_only|Csak közelharci
ui_turn_always|Mindig
ui_general_options|Általános beáll.
ui_vac_enabled|Valve csalásellenes eng.
ui_campaign_ai|Hadjárat MI:
ui_downloading_map|Térkép letöltése (%d Kb)
ui_download_completed|Letöltés kész.
ui_server_filter|Szerverszűrés
ui_has_players|Vannak játékosok
ui_is_not_full|Nincs tele
ui_is_password_free|Nincs jelszó
ui_native_only|Csak anyanyelvi
ui_ping_limit|Ping korlát
ui_filter_info|%d játék és %d játékos kiszűrve
ui_is_version_compatible|Kompatibilis ezzel a verzióval:
ui_ttnet_account|TTnet Oyun felh. fiók
ui_username|Felhasználónév
ui_password|Jelszó
ui_error_incorrect_username_or_password|Érvénytelen felhasználónév vagy jelszó
ui_validating_account|Felhasználói fiók érvényesítése...
ui_plase_enter_your_serial_key|Írd be a termékaktivációs kódodat
ui_texture_detail2|Texturareszletesseg:
ui_antialiasing2|Elsimitas:
ui_napoleonic_key_does_not_exist|This mod requires the Napoleonic Wars DLC to play!
ui_delete_module_workshop|Are you sure you want to delete and unsubscribe from the module?
ui_delete_module|Are you sure you want to delete the module?
ui_delete_native_module|You cannot delete Native.
ui_incompatible_module|This server is incompatible with your current module. You can use the configuration utility to change module.
