dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Хотите поговорить о чем-нибудь другом?
dlga_lord_recruit_2:lord_recruit_2_discontent|Как вы думаете, что из себя представляет {s15}?
dlga_lord_recruit_2:lord_recruit_3_a|Помните, о чем мы с вами говорили?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|Ходят слухи, что {s16} в конфликте с Вами.
dlga_lord_recruit_quarrel_describe:lord_recruit_2|Это не секрет. {s14}
dlga_lord_recruit_2:lord_pretalk|Ничего.
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Иногда я беспокоюсь о положении вещей в стране.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Может быть, вы сможете рассказать какие-то подробности?
dlga_lord_recruit_hesitant:lord_pretalk|Да, хорошо.
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|Если уж об этом зашла речь, следует признаться, меня тоже иногда беспокоит положение дел в нашей державе.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|Вы испытываете мое терпение. Сказано же, что мне добавить нечего.
dlga_lord_recruit_3:lord_recruit_3_a|Что же, мне есть, что вам сказать.
dlga_lord_recruit_3:lord_pretalk|Хм, интересно. Впрочем, довольно говорить о политике.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Да, именно так.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Позвольте мне выразиться несколько точнее.
dlga_lord_recruit_3_a:lord_recruit_3_b|Да?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Да?
dlga_lord_recruit_3_b:lord_recruit_3_why|Я хочу занять трон Кальрадии и прошу вас помочь мне в этом.
dlga_lord_recruit_3_b:lord_recruit_3_why.1|Я прошу вас поклясться в верности моему сеньору, {s45}, как монарху всей Кальрадии.
dlga_lord_recruit_3_b:lord_pretalk|Забудьте.
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Никто из нас не имеет столько, сколько одна лишь крепость, названная в Вашу честь. Вы управляете Вашим королевством из пещеры в лесу?
dlga_lord_recruit_3_why:lord_recruit_3_d|С чего {s44} должен получить мою поддержку?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|Если бы {s45} был {s47}, {s45} судил бы всех людей по справедливости и уважал права простых людей.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|Если бы {s45} был {s47}, {s45} уважал бы древние права знати этих земель.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Потому что {s45} может сплотить Кальрадию и положить конец распрям.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Потому что {s45} наградит вас наделами.
dlga_lord_recruit_3_d:lord_pretalk|Забудьте.
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Может, вы скажете всем в округе то, что, по-вашему, они хотят услышать больше всего? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|Я прошу вас принести клятву верности человеку по имени {s16}.
dlga_lord_recruit_4:lord_pretalk|Забудьте.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Дайте подумать...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|Пришла пора принять решение.
dlga_lord_recruit_6:lord_pretalk|Не обязательно решать прямо сейчас, мы можем вернуться к этому разговору позже.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Хорошо...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Будь по-вашему! Я присягну на верность {reg4?королеве:королю}, который зовет себя {s4}.
dlga_lord_recruit_pledge:lord_recruit_pledge|Помните, вы обещали мне феод. Я не забуду этого.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|Да будет так! Я приношу вам клятву верности как преданный вассал. Я стану сражаться с вашими врагами там, где потребуется мой меч. Я буду стоять за ваши притязания и поддерживать ваших законных наследников. Взамен я ожидаю покровительства и признания моих вассальных прав.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|Да будет так! Пусть Вами будет извещен {s4}, что я приношу {reg4?ей:ему} вассальную клятву. Я стану сражаться с {reg4?ее:его} врагами там, где потребуется мой меч. Я буду стоять за {reg4?ее:его} притязания и поддерживать законных наследников. Взамен я ожидаю покровительства и признания моих вассальных прав.
dlga_lord_recruit_pledge_conclude:close_window|Это очень важное решение... Теперь мне надо удалиться: для подготовки к грядущим переменам потребуется некоторое время.
dlga_lord_start:close_window.3|{reg4?Моя:Мой} {s11}, {s10}, {reg4?прислала:прислал} мне дар, который вы передали через {reg4?нее:него}. Это был благородный жест, {сир/миледи}. Я сожалею, что мы с вами ссорились.
dlga_lord_start:close_window.4|{reg4?Моя:Мой} {s11}, {s10}, {reg4?прислала:прислал} мне дар, который вы передали через {reg4?нее:него}. Ради {reg4?ее:его} блага я соглашусь забыть старые обиды.
dlga_lord_start:close_window.5|{reg4?Моя:Мой} {s11}, {s10}, {reg4?прислала:прислал} мне дар, который вы передали через {reg4?нее:него}. Ха! Неужто вы и правда считаете, будто мое расположение можно купить?
dlga_lord_start:close_window.6|{reg4?Моя:Мой} {s11}, {s10}, {reg4?прислала:прислал} мне дар, который вы передали через {reg4?нее:него}. Он хорош, но я не могу простить былых обид.
dlga_lord_talk:denounce_lord_results|{s4} получил обвинения, как Вы и хотели.
dlga_denounce_lord_results:lord_pretalk|Да. Надеюсь, что теперь {s4} дважды подумает, прежде чем вверять ему дополнительные феоды или должности. Мы вам благодарны.
dlga_denounce_lord_results:close_window|Охотно вам верю. А мы слышали, что он вынудил вас забрать свои слова обратно, и теперь выглядит еще увереннее, чем прежде. Простите меня, {сир/миледи}, если мои слова благодарности кажутся вам недостаточно искренними.
dlga_lord_talk:lord_quest_intrigue_result|Я сделал как вы просили, и {s5} теперь знает об опасности, которую представляет {s4}.
dlga_lord_quest_intrigue_result:lord_pretalk|Итак, мы слышали. Надеемся теперь {s5} дважды подумает, прежде чем вверять ему какие-нибудь дополнительные феоды, награды или звания. Мы благодарны Вам.
dlga_lord_quest_intrigue_result:close_window|Это мы слышали - но увы, похоже, что {s5} этого не воспринял. Все же, мы благодарны за вашу попытку.
dlga_lord_talk:lord_lend_companion_end|Я хочу, чтобы {s14} {reg3?вернулась:вернулся} ко мне, {s65}, если вам больше не требуются {reg3?ее:его} услуги.
dlga_lord_lend_companion_end:lord_pretalk|У вас в отряде уже слишком много воинов, {playername}. Вы не сможете вести больше людей, чем сейчас.
dlga_lord_lend_companion_end:lord_pretalk.1|Конечно, {playername}. {reg3?Она толковая девушка:Он толковый парень}. Вам повезло, что у вас такие достойные спутники.
dlga_lord_talk:lord_ask_to_collect_debt|Я здесь, чтобы взыскать с вас деньги, которые ссудил вам {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Вот как? {s1} действительно одолжил мне денег на обратный путь, но мною в прошлом оказано ему немало услуг и считаю, что мы в расчете.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} считает, что за вами долг. Он попросил меня поговорить с вами от его имени.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Тогда я больше не буду настаивать.
dlga_convince_accept:close_window|{s8} действительно дал мне денег взаймы, и срок уплаты давно истек, так что мне очень неловко. Огромное спасибо, что отнесете ему деньги. Пожалуйста, передайте ему кошель с {reg10} динар и мою благодарность.
dlga_lord_talk:lord_ask_to_make_peace|Прошу вас, {s64}! Войну, которую ведут между собой {s12} и {s13}, давно пора прекратить!
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|А? Не уверен, что я вас понимаю, {playername}. О войне нельзя просто забыть. У меня, видите ли, очень хорошая память... С какой стати я буду заключать мир с этими негодяями?
dlga_lord_ask_to_make_peace_2:convince_begin|Может быть, я смогу уговорить вас...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Неважно. Сейчас и впрямь не время для мира...
dlga_convince_accept:close_window.1|Вы... убедили меня, {playername}. Хорошо, я даю вам свое благословение, пусть {s14} узнает от вас о моем предложении мира. Они могут его не принять, но ежели они согласятся, то и я согласен на мир.
dlga_lord_talk:lord_challenge_duel_for_lady|Говорят,{s1} опорочен вами. Я требую вас взять свои слова назад!
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Разве ж это обвинения? Даже дети знают, что она спит со своими конюхами и с любым, до кого успеет дотянуться, пока ее муж в отъезде. Я лишь повторяю то, о чем говорят все...
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Вы откажетесь от своей лжи, любезный, или подтвердите ее против моего меча!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Воля ваша...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Насчет {s5}! Оставьте свои притязания!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Или что? Вы собрались драться за даму? Открою вам тайну: наш сеньор не одобряет подобной горячности. Тем более сейчас, когда враг у ворот и каждый воин на счету.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Вы боитесь сразиться со мной?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Простите. Мне не стоило так распаляться...
dlga_lord_talk:lord_message_delivered|{s9} передает вам сообщение.
dlga_lord_message_delivered:lord_pretalk|Правда? Дайте-ка посмотреть... Ну и ну! Хорошо, что вы доставили мне это сообщение, {playername}. Возьмите мою печать в качестве доказательства, что я получил его, и пусть {s9} получит мой привет.
dlga_lord_talk:lord_message_delivered_enemy|{s9} передает вам сообщение.
dlga_lord_message_delivered_enemy:close_window|Правда? Дайте-ка посмотреть... Хммм... Хорошо, что вы доставили мне его, {playername}. Возьмите мою печать в качестве доказательства, что я получил его, вместе с моей благодарностью.
dlga_lord_talk:lord_deliver_message_prisoner|{s11} передает вам сообщение.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Правда?! О, благодарю вас, {playername}! Вы принесли крохотный лучик надежды в эти унылые стены. Может быть, однажды я сумею вас отблагодарить...
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Это самое малое, что я мог сделать, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Мою благодарность нельзя выразить словами, {playername}. Спасибо, спасибо!
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Не беспокойтесь, {s65}. У вас еще будет шанс отблагодарить меня, когда вы окажетесь на свободе.
dlga_lord_deliver_message_prisoner_2b:close_window|Ах, конечно же, {playername}. Моя благодарность пребудет с вами вечно.
dlga_lord_talk:lord_rescue_by_replace_offer|Не бойтесь, я здесь, чтобы спасти вас.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Боже мой, вы серьезно? У вас уже есть план?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Простенькая уловка, {s65}. Если мы поменяемся одеждой, я займу ваше место здесь, в темнице, а вы сбежите в моем платье. Стражники получили от меня приличную сумму, так что, думаю, они уже скупили половину винных припасов в соседней таверне. Наверняка они вскоре напьются до такой степени, что своих собственных матерей не узнают, не то что нас. Так что времени на то, чтобы выбраться отсюда, у вас будет предостаточно.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Хмм, может быть, это и сработает... Но как же вы, {мой друг/моя милая}? Вряд ли стражникам понравится этот трюк. Вдруг они с вами что-то сделают?!
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Не о чем беспокоиться, {s65}. Я уже начинаю привыкать к этому месту.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|До тех пор, пока я помню об обещанной награде, со мной все будет в порядке.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|У вас отважная душа. Я не забуду вашего поступка.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Конечно, {мой друг/милая дева}, конечно! Приходите ко мне, как только освободитесь, и, скорее всего, я смогу отплатить вам добром за добро.
dlga_lord_rescue_by_replace_offer_6:close_window|Скорее же, {s65}, давайте меняться одеждой. Вам уже давно пора отсюда исчезнуть.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, мне бы хотелось, чтобы {s4} вновь принял мою присягу.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Это слишком большой вопрос для меня, {playername}. Только сам {s4} решает, помиловать или отказать.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Как пожелаете, {s65}. Я приму любое ваше решение.
dlga_lord_ask_pardon_terms:lord_pretalk.1|Обидно, {s65}. Обидно.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Отлично, идите и умирайте без меня.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Да, я к вашим услугам.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|По зрелом размышлении я отказываюсь. Я не хочу больше служить вам.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Да, меня устраивают эти условия.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Цена слишком высока, {s65}. Мне придется отказаться.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Отлично. Невзирая на ваше предательство, {playername}, наши сердца радуются, что вы вернулись на путь истинный. Сим принимаю вашу вассальную клятву. Восстаньте же снова как честный воин у меня на службе.
dlga_lord_ask_pardon_terms_rejected:close_window|Тогда убирайтесь с глаз моих, подлое отродье! Прочь отсюда, и никогда не возвращайтесь!
dlga_lord_talk:lord_ask_pardon|Мне хотелось бы, чтобы {s4} заключил мир со мной.
dlga_lord_ask_pardon:lord_pretalk|Вы серьезно, {playername}? Тогда идите и своим клинком добудьте мир для всех нас.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, вы {лорд/леди} без сеньора, владеете землями от своего имени и не имеете никаких законных притязаний. Ни один монарх в Кальрадии не согласится заключить с вами длительный мир.
dlga_lord_ask_pardon:lord_pretalk.2|Заключить мир, когда у меня такое преимущество? Не лучшая мысль.
dlga_lord_ask_pardon:lord_pretalk.3|Я не вижу необходимости в заключении мира.
dlga_lord_ask_pardon:lord_truce_offer|Ладно... Мне уже прискучило сражаться с вами. Могу предложить перемирие на сорок дней. Если вы сдержите свое слово и перестанете докучать моим землям и подданным, мы сможем поговорить снова...
dlga_lord_truce_offer:close_window|Я принимаю ваше предложение. Давайте снимем тяжкое бремя войны, хотя бы на время.
dlga_lord_truce_offer:lord_pretalk|Если подумать, принимать подобное решение не в моих интересах.
dlga_lord_ask_pardon:lord_ask_pardon_2|Хмм. Я мог бы использовать свое влияние, чтобы договориться о вашем прощении, {playername}, но есть люди, которые считают вас врагом. Они не будут удовлетворены, пока вы не выплатите дань. Вам нужно принести не меньше {reg16} динар, чтобы завести хотя бы каких-то друзей в {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Я не в праве что-либо предлагать. {s7} вправе.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Да... У меня есть большие заботы чем Вы или ваши сторонники. Однако, вы навредили моим вассалам и обиды нуждаются в компенсации. За {reg16} динар, полагаю, я мог бы договориться о вашем прощении. Что скажете?
dlga_lord_ask_pardon:lord_pretalk.5|Прошу прощения. Я не знаю, как мне искупить вину...
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|У меня есть такие деньги. {reg16} динар.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Боюсь, такую сумму я выплатить не могу.
dlga_lord_ask_pardon_tribue_accept:close_window|Превосходно, {playername}. Я использую эти деньги, чтобы загладить вашу вину перед теми, кого вы обидели и дам понять, что вы больше не враг для {s4}.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Превосходно, {playername}. Я воспользуюсь деньгами, чтобы пригладить перья тех, кто могут выступить против Вашего прощения, и я уверен, что скоро весть распространится, Вы больше не враг {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Тогда я ничего не могу сделать для вас, {playername}. Нет денег - нет прощения.
dlga_lord_talk:lord_active_mission_1|Что касается задания, которое вы дали мне...
dlga_lord_talk:lord_switch_to_spouse|Давайте обсудим дела, связанные с нашим домашним хозяйством.
dlga_lord_switch_to_spouse:lord_pretalk|Давайте подождем, пока мы не дома, дорогая, поскольку сложно заниматься запасами кладовой и подобными вопросами в пути.
dlga_lord_switch_to_spouse:spouse_talk|Конечно, дорогая.
dlga_lord_talk:lord_request_mission_ask|У вас есть для меня задания?
dlga_lord_talk:combined_political_quests|Как вы думаете, мы можем помочь друг другу упрочить свое положение в этом государстве?
dlga_combined_political_quests:lord_pretalk|Сомневаюсь, что у нас с вами есть хотя бы какие-то общие интересы.
dlga_combined_political_quests:lord_pretalk.1|Хм... Давайте обсудим это в более приватной обстановке - и позже.
dlga_combined_political_quests:lord_pretalk.2|Хм... У меня действительно есть идея, но это потребовало бы от Вас, чтобы Вы были свободны от споров. Если Вы подождете некоторое время, не входя ни в какие споры с другими лордами нашего государства, возможно, мы продолжим этот разговор.
dlga_lord_talk:lord_ask_resign_marshalship|Я хочу оставить пост маршала.
dlga_lord_ask_resign_marshalship:lord_pretalk|Пусть будет так. Я найду еще кого-нибудь.
dlga_lord_talk:lord_ask_enter_service|{s66}, я хочу предложить вам мой меч и вассальную присягу!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, я хочу присягнуть вам на верность и сражаться за вашу честь.
dlga_lord_talk:lord_ask_leave_service|{s66}, мне бы хотелось освободиться от клятвы, данной вам.
dlga_lord_talk:lord_talk_preoffer|У меня к вам есть предложение.
dlga_lord_talk:lord_give_troops|Я хочу передать вам часть войска.
dlga_lord_give_troops:lord_pretalk|Хорошо, мне как раз не хватает хороших бойцов. Спасибо.
dlga_lord_talk:lord_give_order_ask|У меня для вас новое задание.
dlga_lord_talk:lord_give_suggestion_ask|Могу я предложить план действий?
dlga_lord_give_order_ask:lord_give_order|Да?
dlga_lord_give_suggestion_ask:lord_give_order|Я с удовольствием последую вашим указаниям, {сир/Ваше Высочество}. Если вы намерены управлять масштабной кампанией, тем не менее, вы можете также объявить себя маршалом, чтобы не было никаких причин для замешательства.
dlga_lord_give_suggestion_ask:lord_pretalk|Прошу прощения, но я слишком плохо вас знаю, чтобы последовать вашему совету.
dlga_lord_give_suggestion_ask:lord_give_order.1|Что случилось?
dlga_lord_give_order:lord_give_order_answer|Следуйте за мной.
dlga_lord_give_order:lord_give_order_answer.1|Вы последуете за мной? У меня есть план!
dlga_lord_give_order:lord_give_order_details_ask|Отправляйтесь в...
dlga_lord_give_order:lord_give_order_details_ask.1|Совершите налет на деревню...
dlga_lord_give_order:lord_give_order_details_ask.2|Патрулируйте окрестности...
dlga_lord_give_order:lord_give_order_assault|Вместе мы сможем захватить {s11}. Но выдвигаться стоит немедленно...
dlga_lord_give_order:lord_give_order_details_ask.3|На нас напали, но врага можно обратить в бегство. Вам стоит двинуться к...
dlga_lord_give_order:lord_give_order_details_ask.4|На нас напали, но врага можно обратить в бегство. Вам стоит собрать армию и двигаться к...
dlga_lord_give_order_assault:lord_pretalk|Этой осадой командует {s4}. Предлагаю с {reg4?ней:ним} поговорить.
dlga_lord_give_order_assault:lord_pretalk.1|Наша подготовка не завершена. Нам нужно еще {s11}
dlga_lord_give_order_assault:close_window|Так и быть, на стены!
dlga_lord_give_order:lord_give_order_details_ask.5|Здесь есть крепость, которую будет несложно захватить. Отправляйтесь к...
dlga_lord_give_order:lord_give_order_details_ask.6|Сюда идут бесчисленные вражеские войска. Отступайте в...
dlga_lord_give_order:lord_give_order_stop|Некоторое время вы не будете мне нужны. Можете заняться своими делами.
dlga_lord_give_order:lord_give_order_stop.1|Вы больше не должны сопровождать меня.
dlga_lord_give_order:lord_pretalk|Неважно.
dlga_lord_give_order_details_ask:lord_pretalk|Я не стану поджимать хвост и убегать от врага, даже не увидев его воинов.
dlga_lord_give_order_details_ask:lord_pretalk.1|Хотите, чтобы мои люди истекли кровью под стенами крепости, пока остальные будут стоять и смотреть? Ну уж нет.
dlga_lord_give_order_details_ask:lord_give_order_details|Где?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Неважно.
dlga_lord_give_order_stop:lord_pretalk|Хорошо. На этом я и остановлюсь.
dlga_lord_give_order_answer:lord_give_order|Сомневаюсь, что это правильно. Логичнее Вам следовать за мной. Или у вас другие идеи?
dlga_lord_give_order_answer:lord_pretalk|Хорошо. Я так и сделаю.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Простите. Сейчас мне пора заняться своими делами.
dlga_lord_start:lord_talk.5|Что случилось?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Я хочу начать новую кампанию. Давайте соберем здесь армию.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Вы хотите собрать всех лордов для новой кампании?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Да, надо собрать все наши силы, прежде чем мы выступим на врага.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Думаю, все-таки нет необходимости призывать всех и каждого.
dlga_lord_give_order_call_to_arms:lord_pretalk|Ладно. Я разошлю гонцов с приказом каждому прибыть сюда.
dlga_lord_talk:lord_give_order_disband_army_verify|Я хочу завершить эту кампанию и распустить всех по домам.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Вы хотите закончить текущую кампанию и отпустить со службы всех вассалов?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Да. Все силы здесь нам больше не требуются.
dlga_lord_give_order_disband_army_2:lord_pretalk|Думаю, лучше пока держаться вместе.
dlga_lord_give_order_disband_army:lord_pretalk|Хорошо. Я дам всем знать, что они могут быть свободны.
dlga_lord_talk:lord_talk_ask_something|Мне бы хотелось кое-что спросить.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Да? И что же?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Что-нибудь еще?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Мне нужно узнать, где находится один человек.
dlga_lord_talk_ask_something_2:lord_tell_objective|Что вы и ваши люди тут делаете?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|Как дела в государстве?
dlga_lord_talk_ask_about_strategy:lord_pretalk|Вы должны решить это, поскольку Вы - маршал.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Как дела на войне?
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Святые небеса! Если я не разрешаю вам даже повидаться с ней, с какой стати мне благословлять ваш брак?
dlga_lord_marriage_permission:lord_pretalk.1|Моя {s11} не будет отдана замуж против ее воли.
dlga_lord_marriage_permission:lord_pretalk.2|Простите, молодой человек. {s11} не будет отдана замуж за вас. Пусть лучше ее мужем будет {s12}.
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Прекрасные новости, молодой человек! Я с радостью введу вас в нашу семью. Однако давайте обсудим условия брака. Согласно традиции, каждый из нас должен позаботиться о том, чтобы {s11} жила безбедно даже в случае непредвиденных обстоятельств.
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Принимая во внимание высокий статус наших домов, я считаю, что вы можете собрать приданое в {reg3}, а я - в {reg4} динар. Эта сумма станет залогом благосостояния вашей супруги на случай, если вы не сможете обеспечить ей безбедную жизнь. Что скажете?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Хорошо, так и сделаем.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|Пока что я не могу себе это позволить.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|Это слишком много.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Что ж. Принимая во внимание традиции и правила приличия, я не стану обрекать свою дочь на нищее существование. Если что-то придумаете, дайте мне знать.
dlga_lord_marriage_permission_engagement_date:close_window|Чудно! Можете считать, что вы официально помолвлены. По этому поводу я устрою в {s24} большой пир, как только смогу. Разумеется, вам сообщат, когда все будет готово.
dlga_lord_marriage_permission_engagement_date:close_window.1|К сожалению, осталась одна маленькая трудность - у нас нет безопасного места для проведения свадебной церемонии. Поэтому давайте пока воздержимся от свадьбы.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Ничего страшного, просто найдите нужную сумму. Я хочу, чтобы моя дочь ни в чем не нуждалась.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|Какая жалость. Но я бы пошел против своего родительского долга, если бы отпустил от себя дочурку без хорошего приданого.
dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10} Я имею честь посещать {s14}{s12}?
dlga_lord_courtship_permission:lord_pretalk|До меня доходили слухи, что вы уже говорили с ней, без моего разрешения. Позвольте мне сказать вам следующее: я ее лорд и защитник, и у меня есть планы на нее. Я не желаю, чтобы меня осмеявали за спиной, как человека, что не может контролировать женщин своей семьи. Прошу вас не обсуждать это со мной вновь.
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|Что нужно сделать, чтобы заключить прочный союз с вашим домом?
dlga_lord_talk_ask_something_2:lord_pretalk|Не имеет значения.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Ладно. Может, я отвечу, а может - нет. О ком вы хотите узнать?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Неважно.
dlga_lord_talk_ask_location_2:lord_pretalk|Забудьте.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Расскажите о войне с {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|Это все, что мне нужно было знать. Благодарю вас.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7}{s9}{s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|У вас были другие вопросы?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Наш лидер, {s4}, чересчур осторожен. {reg4?Ей:Ему} следует либо напасть на врага во главе армии, либо отправляться домой.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Наша армия топчется на одном месте и ничего не делает. Очевидно, на призыв ответило слишком мало вассалов. Возможно, {s4} не пользуется особой поддержкой лордов этого государства.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Я не согласен с этой стратегией. Я бы предпочел {s4}.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Лично я считаю, что лучше напасть на {s8}, но наш маршал, {s10}, считает, что это {s9}
