trp_multiplayer_profile_troop_male|сетевая профиль войско мужчина
trp_kingdom_1_lady_7|Леди Ауберина
trp_kingdom_1_lady_7_pl|Ауберина
trp_kingdom_1_lady_8|Леди Тибаль
trp_kingdom_1_lady_8_pl|Тибаль
trp_kingdom_1_lady_9|Леди Магара
trp_kingdom_1_lady_9_pl|Магара
trp_kingdom_1_lady_10|Леди Федосья
trp_kingdom_1_lady_10_pl|Федосья
trp_kingdom_1_lady_11|Леди Мелисара
trp_kingdom_1_lady_11_pl|Мелисара
trp_kingdom_1_lady_12|Леди Ирена
trp_kingdom_1_lady_12_pl|Ирена
trp_kingdom_l_lady_13|Леди Филенна
trp_kingdom_l_lady_13_pl|Филенна
trp_kingdom_1_lady_14|Леди Сонадель
trp_kingdom_1_lady_14_pl|Сонадель
trp_kingdom_1_lady_15|Леди Боадила
trp_kingdom_1_lady_15_pl|Боадила
trp_kingdom_1_lady_16|Леди Элис
trp_kingdom_1_lady_16_pl|Элис
trp_kingdom_1_lady_17|Леди Джохана
trp_kingdom_1_lady_17_pl|Джохана
trp_kingdom_1_lady_18|Леди Бернатис
trp_kingdom_1_lady_18_pl|Бернатис
trp_kingdom_1_lady_19|Леди Энриката
trp_kingdom_1_lady_19_pl|Энриката
trp_kingdom_1_lady_20|Леди Гаэта
trp_kingdom_1_lady_20_pl|Гаэта
trp_kingdom_2_lady_1|Леди Юнита
trp_kingdom_2_lady_1_pl|Юнита
trp_kingdom_2_lady_2|Леди Катя
trp_kingdom_2_lady_2_pl|Катя
trp_kingdom_2_lady_3|Леди Сеомиза
trp_kingdom_2_lady_3_pl|Сеомиза
trp_kingdom_2_lady_4|Леди Дрина
trp_kingdom_2_lady_4_pl|Дрина
trp_kingdom_2_lady_5|Леди Неша
trp_kingdom_2_lady_5_pl|Неша
trp_kingdom_2_lady_6|Леди Табата
trp_kingdom_2_lady_6_pl|Табата
trp_kingdom_2_lady_7|Леди Пелека
trp_kingdom_2_lady_7_pl|Пелека
trp_kingdom_2_lady_8|Леди Хариса
trp_kingdom_2_lady_8_pl|Хариса
trp_kingdom_2_lady_9|Леди Ваена
trp_kingdom_2_lady_9_pl|Ваена
trp_kingdom_2_lady_10|Леди Джоака
trp_kingdom_2_lady_10_pl|Джоака
trp_kingdom_2_lady_11|Леди Тежина
trp_kingdom_2_lady_11_pl|Тежина
trp_kingdom_2_lady_12|Леди Олексия
trp_kingdom_2_lady_12_pl|Олексия
trp_kingdom_2_lady_13|Леди Минфа
trp_kingdom_2_lady_13_pl|Минфа
trp_kingdom_2_lady_14|Леди Акилина
trp_kingdom_2_lady_14_pl|Акилина
trp_kingdom_2_lady_15|Леди Сепана
trp_kingdom_2_lady_15_pl|Сепана
trp_kingdom_2_lady_16|Леди Ярина
trp_kingdom_2_lady_16_pl|Ярина
trp_kingdom_2_lady_17|Леди Сихавана
trp_kingdom_2_lady_17_pl|Сихавана
trp_kingdom_2_lady_18|Леди Эрентина
trp_kingdom_2_lady_18_pl|Эрентина
trp_kingdom_2_lady_19|Леди Тамара
trp_kingdom_2_lady_19_pl|Тамара
trp_kingdom_2_lady_20|Леди Валка
trp_kingdom_2_lady_20_pl|Валка
trp_kingdom_3_lady_1|Леди Борже
trp_kingdom_3_lady_1_pl|Борже
trp_kingdom_3_lady_2|Леди Туана
trp_kingdom_3_lady_2_pl|Туана
trp_kingdom_3_lady_3|Леди Махраза
trp_kingdom_3_lady_3_pl|Махраза
trp_kingdom_3_lady_4|Леди Аясу
trp_kingdom_3_lady_4_pl|Аясу
trp_kingdom_3_lady_5|Леди Равина
trp_kingdom_3_lady_5_pl|Равина
trp_kingdom_3_lady_6|Леди Руха
trp_kingdom_3_lady_6_pl|Руха
trp_kingdom_3_lady_7|Леди Чедина
trp_kingdom_3_lady_7_pl|Чедина
trp_kingdom_3_lady_8|Леди Кефра
trp_kingdom_3_lady_8_pl|Кефра
trp_kingdom_3_lady_9|Леди Нирваза
trp_kingdom_3_lady_9_pl|Нирваза
trp_kingdom_3_lady_10|Леди Дулуя
trp_kingdom_3_lady_10_pl|Дулуя
trp_kingdom_3_lady_11|Леди Селика
trp_kingdom_3_lady_11_pl|Селика
trp_kingdom_3_lady_12|Леди Талата
trp_kingdom_3_lady_12_pl|Талата
trp_kingdom_3_lady_13|Леди Язрина
trp_kingdom_3_lady_13_pl|Язрина
trp_kingdom_3_lady_14|Леди Надха
trp_kingdom_3_lady_14_pl|Надха
trp_kingdom_3_lady_15|Леди Зенура
trp_kingdom_3_lady_15_pl|Зенура
trp_kingdom_3_lady_16|Леди Ариза
trp_kingdom_3_lady_16_pl|Ариза
trp_kingdom_3_lady_17|Леди Атхана
trp_kingdom_3_lady_17_pl|Атхана
trp_kingdom_3_lady_18|Леди Квитала
trp_kingdom_3_lady_18_pl|Квитала
trp_kingdom_3_lady_19|Леди Хиндаль
trp_kingdom_3_lady_19_pl|Хиндаль
trp_kingdom_3_lady_20|Леди Мечет
trp_kingdom_3_lady_20_pl|Мечет
trp_kingdom_4_lady_1|Леди Ядета
trp_kingdom_4_lady_1_pl|Ядета
trp_kingdom_4_lady_2|Леди Миара
trp_kingdom_4_lady_2_pl|Миара
trp_kingdom_4_lady_3|Леди Дрия
trp_kingdom_4_lady_3_pl|Дрия
trp_kingdom_4_lady_4|Леди Глунда
trp_kingdom_4_lady_4_pl|Глунда
trp_kingdom_4_lady_5|Леди Лоэка
trp_kingdom_4_lady_5_pl|Лоэка
trp_kingdom_4_lady_6|Леди Брина
trp_kingdom_4_lady_6_pl|Брина
trp_kingdom_4_lady_7|Леди Эйр
trp_kingdom_4_lady_7_pl|Эйр
trp_knight_4_2b_daughter_1|Леди Тера
trp_knight_4_2b_daughter_1_pl|Тера
trp_kingdom_4_lady_9|Леди Хильда
trp_kingdom_4_lady_9_pl|Хильда
trp_knight_4_2c_wife_1|Леди Эндегрида
trp_knight_4_2c_wife_1_pl|Эндегрида
trp_kingdom_4_lady_11|Леди Герьяса
trp_kingdom_4_lady_11_pl|Герьяса
trp_knight_4_2c_daughter|Леди Свипуль
trp_knight_4_2c_daughter_pl|Свипуль
trp_knight_4_1b_wife|Леди Инганна
trp_knight_4_1b_wife_pl|Инганна
trp_kingdom_4_lady_14|Леди Кайтели
trp_kingdom_4_lady_14_pl|Кайтели
trp_knight_4_1b_daughter|Леди Эйлиф
trp_knight_4_1b_daughter_pl|Эйлиф
trp_knight_4_2b_daughter_2|Леди Гудрун
trp_knight_4_2b_daughter_2_pl|Гудрун
trp_kingdom_4_lady_17|Леди Бергита
trp_kingdom_4_lady_17_pl|Бергита
trp_knight_4_2c_wife_2|Леди Айза
trp_knight_4_2c_wife_2_pl|Айза
trp_knight_4_1c_daughter|Леди Альфруна
trp_knight_4_1c_daughter_pl|Альфруна
trp_kingdom_4_lady_20|Леди Африда
trp_kingdom_4_lady_20_pl|Африда
trp_kingdom_5_lady_1|Леди Брина
trp_kingdom_5_lady_1_pl|Брина
trp_kingdom_5_lady_2|Леди Алина
trp_kingdom_5_lady_2_pl|Алина
trp_kingdom_5_lady_3|Леди Анета
trp_kingdom_5_lady_3_pl|Анета
trp_kingdom_5_lady_4|Леди Риада
trp_kingdom_5_lady_4_pl|Риада
trp_kingdom_5_5_wife|Леди Саратена
trp_kingdom_5_5_wife_pl|Саратена
trp_kingdom_5_2b_wife_1|Леди Баофея
trp_kingdom_5_2b_wife_1_pl|Баофея
trp_kingdom_5_1c_daughter_1|Леди Элеандра
trp_kingdom_5_1c_daughter_1_pl|Элеандра
trp_kingdom_5_2c_daughter_1|Леди Меракед
trp_kingdom_5_2c_daughter_1_pl|Меракед
trp_kingdom_5_1c_wife_1|Леди Аделиса
trp_kingdom_5_1c_wife_1_pl|Аделиса
trp_kingdom_5_2c_wife_1|Леди Калантина
trp_kingdom_5_2c_wife_1_pl|Калантина
trp_kingdom_5_1c_daughter_2|Леди Форбеса
trp_kingdom_5_1c_daughter_2_pl|Форбеса
trp_kingdom_5_2c_daughter_2|Леди Клаудора
trp_kingdom_5_2c_daughter_2_pl|Клаудора
trp_kingdom_5_1b_wife|Леди Анаиза
trp_kingdom_5_1b_wife_pl|Анаиза
trp_kingdom_5_2b_wife_2|Леди Мирэя
trp_kingdom_5_2b_wife_2_pl|Мирэя
trp_kingdom_5_1c_daughter_3|Леди Агасия
trp_kingdom_5_1c_daughter_3_pl|Агасия
trp_kingdom_5_lady_16|Леди Женеява
trp_kingdom_5_lady_16_pl|Женеява
trp_kingdom_5_1c_wife_2|Леди Гвенаэль
trp_kingdom_5_1c_wife_2_pl|Гвенаэль
trp_kingdom_5_2c_wife_2|Леди Ясуфа
trp_kingdom_5_2c_wife_2_pl|Ясуфа
trp_kingdom_5_1c_daughter_4|Леди Эллиан
trp_kingdom_5_1c_daughter_4_pl|Эллиан
trp_kingdom_5_lady_20|Леди Тимети
trp_kingdom_5_lady_20_pl|Тимети
trp_kingdom_6_lady_1|Леди Райма
trp_kingdom_6_lady_1_pl|Райма
trp_kingdom_6_lady_2|Леди Танайха
trp_kingdom_6_lady_2_pl|Танайха
trp_kingdom_6_lady_3|Леди Сулаха
trp_kingdom_6_lady_3_pl|Сулаха
trp_kingdom_6_lady_4|Леди Шата
trp_kingdom_6_lady_4_pl|Шата
trp_kingdom_6_lady_5|Леди Баутана
trp_kingdom_6_lady_5_pl|Баутана
trp_kingdom_6_lady_6|Леди Махаила
trp_kingdom_6_lady_6_pl|Махаила
trp_kingdom_6_lady_7|Леди Исна
trp_kingdom_6_lady_7_pl|Исна
trp_kingdom_6_lady_8|Леди Сиафана
trp_kingdom_6_lady_8_pl|Сиафана
trp_kingdom_6_lady_9|Леди Ифара
trp_kingdom_6_lady_9_pl|Ифара
trp_kingdom_6_lady_10|Леди Ясмин
trp_kingdom_6_lady_10_pl|Ясмин
trp_kingdom_6_lady_11|Леди Дула
trp_kingdom_6_lady_11_pl|Дула
trp_kingdom_6_lady_12|Леди Рува
trp_kingdom_6_lady_12_pl|Рува
trp_kingdom_6_lady_13|Леди Лука
trp_kingdom_6_lady_13_pl|Лука
trp_kingdom_6_lady_14|Леди Зандина
trp_kingdom_6_lady_14_pl|Зандина
trp_kingdom_6_lady_15|Леди Луля
trp_kingdom_6_lady_15_pl|Луля
trp_kingdom_6_lady_16|Леди Захара
trp_kingdom_6_lady_16_pl|Захара
trp_kingdom_6_lady_17|Леди Сафия
trp_kingdom_6_lady_17_pl|Сафия
trp_kingdom_6_lady_18|Леди Калиса
trp_kingdom_6_lady_18_pl|Калиса
trp_kingdom_6_lady_19|Леди Янаб
trp_kingdom_6_lady_19_pl|Янаб
trp_kingdom_6_lady_20|Леди Сур
trp_kingdom_6_lady_20_pl|Сур
trp_town_1_arena_master|Владелец арены
trp_town_2_arena_master|Владелец арены
trp_town_3_arena_master|Владелец арены
trp_town_4_arena_master|Владелец арены
trp_town_5_arena_master|Владелец арены
trp_town_6_arena_master|Владелец арены
trp_town_7_arena_master|Владелец арены
trp_town_8_arena_master|Владелец арены
trp_town_9_arena_master|Владелец арены
trp_town_10_arena_master|Владелец арены
trp_town_11_arena_master|Владелец арены
trp_town_12_arena_master|Владелец арены
trp_town_13_arena_master|Владелец арены
trp_town_14_arena_master|Владелец арены
trp_town_15_arena_master|Владелец арены
trp_town_16_arena_master|Владелец арены
trp_town_17_arena_master|Владелец арены
trp_town_18_arena_master|Владелец арены
trp_town_19_arena_master|Владелец арены
trp_town_20_arena_master|Владелец арены
trp_town_21_arena_master|Владелец арены
trp_town_22_arena_master|Владелец арены
trp_town_1_armorer|
trp_town_2_armorer|Торговка доспехами
trp_town_3_armorer|Торговец доспехами
trp_town_4_armorer|Торговец доспехами
trp_town_5_armorer|Торговец доспехами
trp_town_6_armorer|Торговец доспехами
trp_town_7_armorer|Торговец доспехами
trp_town_8_armorer|Торговец доспехами
trp_town_9_armorer|Торговец доспехами
trp_town_10_armorer|Торговец доспехами
trp_town_11_armorer|Торговец доспехами
trp_town_12_armorer|Торговец доспехами
trp_town_13_armorer|Торговец доспехами
trp_town_14_armorer|Торговка доспехами
trp_town_15_armorer|Торговец доспехами
trp_town_16_armorer|Торговец доспехами
trp_town_17_armorer|Торговец доспехами
trp_town_18_armorer|Торговка доспехами
trp_town_19_armorer|Торговец доспехами
trp_town_20_armorer|Торговец доспехами
trp_town_21_armorer|Торговец доспехами
trp_town_22_armorer|Торговка доспехами
trp_town_1_weaponsmith|
trp_town_2_weaponsmith|Торговец оружием
trp_town_3_weaponsmith|Торговец оружием
trp_town_4_weaponsmith|Торговец оружием
trp_town_5_weaponsmith|Торговец оружием
trp_town_6_weaponsmith|Торговец оружием
trp_town_7_weaponsmith|Торговец оружием
trp_town_8_weaponsmith|Торговка оружием
trp_town_9_weaponsmith|Торговец оружием
trp_town_10_weaponsmith|Торговец оружием
trp_town_11_weaponsmith|Торговец оружием
trp_town_12_weaponsmith|Торговец оружием
trp_town_13_weaponsmith|Торговец оружием
trp_town_14_weaponsmith|Торговец оружием
trp_town_15_weaponsmith|Торговец оружием
trp_town_16_weaponsmith|Торговец оружием
trp_town_17_weaponsmith|Торговец оружием
trp_town_18_weaponsmith|Торговец оружием
trp_town_19_weaponsmith|Торговец оружием
trp_town_20_weaponsmith|Торговец оружием
trp_town_21_weaponsmith|Торговец оружием
trp_town_22_weaponsmith|Торговец оружием
trp_town_1_tavernkeeper|Хозяин таверны
trp_town_2_tavernkeeper|Хозяин таверны
trp_town_3_tavernkeeper|Хозяйка таверны
trp_town_4_tavernkeeper|Хозяин таверны
trp_town_5_tavernkeeper|Хозяин таверны
trp_town_6_tavernkeeper|Хозяйка таверны
trp_town_7_tavernkeeper|Хозяйка таверны
trp_town_8_tavernkeeper|Хозяин таверны
trp_town_9_tavernkeeper|Хозяйка таверны
trp_town_10_tavernkeeper|Хозяйка таверны
trp_town_11_tavernkeeper|Хозяйка таверны
trp_town_12_tavernkeeper|Хозяин таверны
trp_town_13_tavernkeeper|Хозяйка таверны
trp_town_14_tavernkeeper|Хозяин таверны
trp_town_15_tavernkeeper|Хозяйка таверны
trp_town_16_tavernkeeper|Хозяин таверны
trp_town_17_tavernkeeper|Хозяйка таверны
trp_town_18_tavernkeeper|Хозяин таверны
trp_town_19_tavernkeeper|Хозяйка таверны
trp_town_20_tavernkeeper|Хозяин таверны
trp_town_21_tavernkeeper|Хозяйка таверны
trp_town_22_tavernkeeper|Хозяин таверны
trp_town_1_merchant|Торговец
trp_town_2_merchant|Торговец
trp_town_3_merchant|Торговка
trp_town_4_merchant|Торговец
trp_town_5_merchant|Торговец
trp_town_6_merchant|Торговка
trp_town_7_merchant|Торговец
trp_town_8_merchant|Торговец
trp_town_9_merchant|Торговец
trp_town_10_merchant|Торговец
trp_town_11_merchant|Торговец
trp_town_12_merchant|Торговка
trp_town_13_merchant|Торговка
trp_town_14_merchant|Торговец
trp_town_15_merchant|Торговец
trp_town_16_merchant|Торговка
trp_town_17_merchant|Торговка
trp_town_18_merchant|Торговец
trp_town_19_merchant|Торговец
trp_town_20_merchant|Торговка
trp_town_21_merchant|Торговка
trp_town_22_merchant|Торговец
trp_salt_mine_merchant|Барезан
trp_salt_mine_merchant_pl|Барезан
trp_town_1_horse_merchant|
trp_town_2_horse_merchant|Торговец лошадьми
trp_town_3_horse_merchant|Торговец лошадьми
trp_town_4_horse_merchant|Торговец лошадьми
trp_town_5_horse_merchant|Торговка лошадьми
trp_town_6_horse_merchant|Торговец лошадьми
trp_town_7_horse_merchant|Торговец лошадьми
trp_town_8_horse_merchant|Торговец лошадьми
trp_town_9_horse_merchant|Торговец лошадьми
trp_town_10_horse_merchant|Торговка лошадьми
trp_town_11_horse_merchant|Торговец лошадьми
trp_town_12_horse_merchant|Торговец лошадьми
trp_town_13_horse_merchant|Торговец лошадьми
trp_town_14_horse_merchant|Торговка лошадьми
trp_town_15_horse_merchant|Торговец лошадьми
trp_town_16_horse_merchant|Торговец лошадьми
trp_town_17_horse_merchant|Торговец лошадьми
trp_town_18_horse_merchant|Торговка лошадьми
trp_town_19_horse_merchant|Торговец лошадьми
trp_town_20_horse_merchant|Торговец лошадьми
trp_town_21_horse_merchant|Торговец лошадьми
trp_town_22_horse_merchant|Торговка лошадьми
trp_town_1_mayor|Цеховой мастер
trp_town_2_mayor|Цеховой мастер
trp_town_3_mayor|Цеховой мастер
trp_town_4_mayor|Цеховой мастер
trp_town_5_mayor|Цеховой мастер
trp_town_6_mayor|Цеховой мастер
trp_town_7_mayor|Цеховой мастер
trp_town_8_mayor|Цеховой мастер
trp_town_9_mayor|Цеховой мастер
trp_town_10_mayor|Цеховой мастер
trp_town_11_mayor|Цеховой мастер
trp_town_12_mayor|Цеховой мастер
trp_town_13_mayor|Цеховой мастер
trp_town_14_mayor|Цеховой мастер
trp_town_15_mayor|Цеховой мастер
trp_town_16_mayor|Цеховой мастер
trp_town_17_mayor|Цеховой мастер
trp_town_18_mayor|Цеховой мастер
trp_town_19_mayor|Цеховой мастер
trp_town_20_mayor|Цеховой мастер
trp_town_21_mayor|Цеховой мастер
trp_town_22_mayor|Цеховой мастер
trp_village_1_elder|Старейшина
trp_village_2_elder|Старейшина
trp_village_3_elder|Старейшина
trp_village_4_elder|Старейшина
trp_village_5_elder|Старейшина
trp_village_6_elder|Старейшина
trp_village_7_elder|Старейшина
trp_village_8_elder|Старейшина
trp_village_9_elder|Старейшина
trp_village_10_elder|Старейшина
trp_village_11_elder|Старейшина
trp_village_12_elder|Старейшина
trp_village_13_elder|Старейшина
trp_village_14_elder|Старейшина
trp_village_15_elder|Старейшина
trp_village_16_elder|Старейшина
trp_village_17_elder|Старейшина
trp_village_18_elder|Старейшина
trp_village_19_elder|Старейшина
trp_village_20_elder|Старейшина
trp_village_21_elder|Старейшина
trp_village_22_elder|Старейшина
trp_village_23_elder|Старейшина
trp_village_24_elder|Старейшина
trp_village_25_elder|Старейшина
trp_village_26_elder|Старейшина
trp_village_27_elder|Старейшина
trp_village_28_elder|Старейшина
trp_village_29_elder|Старейшина
trp_village_30_elder|Старейшина
trp_village_31_elder|Старейшина
trp_village_32_elder|Старейшина
trp_village_33_elder|Старейшина
trp_village_34_elder|Старейшина
trp_village_35_elder|Старейшина
trp_village_36_elder|Старейшина
trp_village_37_elder|Старейшина
trp_village_38_elder|Старейшина
trp_village_39_elder|Старейшина
trp_village_40_elder|Старейшина
trp_village_41_elder|Старейшина
trp_village_42_elder|Старейшина
trp_village_43_elder|Старейшина
trp_village_44_elder|Старейшина
trp_village_45_elder|Старейшина
trp_village_46_elder|Старейшина
trp_village_47_elder|Старейшина
trp_village_48_elder|Старейшина
trp_village_49_elder|Старейшина
trp_village_50_elder|Старейшина
trp_village_51_elder|Старейшина
trp_village_52_elder|Старейшина
trp_village_53_elder|Старейшина
trp_village_54_elder|Старейшина
trp_village_55_elder|Старейшина
trp_village_56_elder|Старейшина
trp_village_57_elder|Старейшина
trp_village_58_elder|Старейшина
trp_village_59_elder|Старейшина
trp_village_60_elder|Старейшина
trp_village_61_elder|Старейшина
trp_village_62_elder|Старейшина
trp_village_63_elder|Старейшина
trp_village_64_elder|Старейшина
trp_village_65_elder|Старейшина
trp_village_66_elder|Старейшина
trp_village_67_elder|Старейшина
trp_village_68_elder|Старейшина
trp_village_69_elder|Старейшина
trp_village_70_elder|Старейшина
trp_village_71_elder|Старейшина
trp_village_72_elder|Старейшина
trp_village_73_elder|Старейшина
trp_village_74_elder|Старейшина
trp_village_75_elder|Старейшина
trp_village_76_elder|Старейшина
trp_village_77_elder|Старейшина
trp_village_78_elder|Старейшина
trp_village_79_elder|Старейшина
trp_village_80_elder|Старейшина
trp_village_81_elder|Старейшина
trp_village_82_elder|Старейшина
trp_village_83_elder|Старейшина
trp_village_84_elder|Старейшина
trp_village_85_elder|Старейшина
trp_village_86_elder|Старейшина
trp_village_87_elder|Старейшина
trp_village_88_elder|Старейшина
trp_village_89_elder|Старейшина
trp_village_90_elder|Старейшина
trp_village_91_elder|Старейшина
trp_village_92_elder|Старейшина
trp_village_93_elder|Старейшина
trp_village_94_elder|Старейшина
trp_village_95_elder|Старейшина
trp_village_96_elder|Старейшина
trp_village_97_elder|Старейшина
trp_village_98_elder|Старейшина
trp_village_99_elder|Старейшина
trp_village_100_elder|Старейшина
trp_village_101_elder|Старейшина
trp_village_102_elder|Старейшина
trp_village_103_elder|Старейшина
trp_village_104_elder|Старейшина
trp_village_105_elder|Старейшина
trp_village_106_elder|Старейшина
trp_village_107_elder|Старейшина
trp_village_108_elder|Старейшина
trp_village_109_elder|Старейшина
trp_village_110_elder|Старейшина
trp_merchants_end|merchants end
trp_merchants_end_pl|merchants end
trp_local_merchant|Местный торговец
trp_local_merchant_pl|Местных торговцев
trp_tax_rebel|Мятежник
trp_tax_rebel_pl|Мятежников
trp_trainee_peasant|Крестьянин
trp_trainee_peasant_pl|Крестьян
trp_fugitive|Нервный человек
trp_fugitive_pl|Нервных людей
trp_belligerent_drunk|Драчливый пьянчуга
trp_belligerent_drunk_pl|Драчливых пьянчуг
trp_hired_assassin|Наемный убийца
trp_hired_assassin_pl|Наемных убийц
trp_fight_promoter|Грубиян
trp_fight_promoter_pl|Грубиянов
trp_spy|Обычный горожанин
trp_spy_pl|Обычных горожан
trp_spy_partner|Обыкновенный горожанин
trp_spy_partner_pl|Обыкновенных горожан
trp_nurse_for_lady|Нянюшка
trp_nurse_for_lady_pl|Нянюшек
trp_temporary_minister|Министр
trp_temporary_minister_pl|Министров
trp_swadian_crossbowman_multiplayer_ai|Свадийский арбалетчик
trp_swadian_crossbowman_multiplayer_ai_pl|Свадийских арбалетчиков
trp_swadian_infantry_multiplayer_ai|Свадийский воин
trp_swadian_infantry_multiplayer_ai_pl|Свадийских воинов
trp_swadian_man_at_arms_multiplayer_ai|Свадийский тяжелый всадник
trp_swadian_man_at_arms_multiplayer_ai_pl|Свадийских тяжелых всадников
trp_vaegir_archer_multiplayer_ai|Вегирский лучник
trp_vaegir_archer_multiplayer_ai_pl|Вегирских лучников
trp_vaegir_spearman_multiplayer_ai|Вегирский копейщик
trp_vaegir_spearman_multiplayer_ai_pl|Вегирских копейщиков
trp_vaegir_horseman_multiplayer_ai|Вегирский всадник
trp_vaegir_horseman_multiplayer_ai_pl|Вегирских всадников
trp_khergit_dismounted_lancer_multiplayer_ai|Хергитский пеший улан
trp_khergit_dismounted_lancer_multiplayer_ai_pl|Хергитских пеших уланов
trp_khergit_veteran_horse_archer_multiplayer_ai|Хергитский конный лучник
trp_khergit_veteran_horse_archer_multiplayer_ai_pl|Хергитских конных лучников
trp_khergit_lancer_multiplayer_ai|Хергитский улан
trp_khergit_lancer_multiplayer_ai_pl|Хергитских уланов
trp_nord_veteran_multiplayer_ai|Нордский пехотинец
trp_nord_veteran_multiplayer_ai_pl|Нордских пехотинцев
trp_nord_scout_multiplayer_ai|Нордский разведчик
trp_nord_scout_multiplayer_ai_pl|Нордских разведчиков
trp_nord_archer_multiplayer_ai|Нордский лучник
trp_nord_archer_multiplayer_ai_pl|Нордских лучников
trp_rhodok_veteran_crossbowman_multiplayer_ai|Родокский арбалетчик
trp_rhodok_veteran_crossbowman_multiplayer_ai_pl|Родокских арбалетчиков
trp_rhodok_veteran_spearman_multiplayer_ai|Родокский копейщик
trp_rhodok_veteran_spearman_multiplayer_ai_pl|Родокских копейщиков
trp_rhodok_scout_multiplayer_ai|Родокский разведчик
trp_rhodok_scout_multiplayer_ai_pl|Родокских разведчиков
trp_sarranid_infantry_multiplayer_ai|Сарранидский воин
trp_sarranid_infantry_multiplayer_ai_pl|Сарранидских воинов
trp_sarranid_archer_multiplayer_ai|Сарранидский лучник
trp_sarranid_archer_multiplayer_ai_pl|Сарранидских лучников
trp_sarranid_horseman_multiplayer_ai|Сарранидский всадник
trp_sarranid_horseman_multiplayer_ai_pl|Сарранидских всадников
trp_swadian_crossbowman_multiplayer|Свадийский арбалетчик
trp_swadian_crossbowman_multiplayer_pl|Свадийских арбалетчиков
trp_swadian_infantry_multiplayer|Свадийский воин
trp_swadian_infantry_multiplayer_pl|Свадийских воинов
trp_swadian_man_at_arms_multiplayer|Свадийский тяжелый всадник
trp_swadian_man_at_arms_multiplayer_pl|Свадийских тяжелых всадников
trp_vaegir_archer_multiplayer|Вегирский лучник
trp_vaegir_archer_multiplayer_pl|Вегирских лучников
trp_vaegir_spearman_multiplayer|Вегирский копейщик
trp_vaegir_spearman_multiplayer_pl|Вегирских копейщиков
trp_vaegir_horseman_multiplayer|Вегирский всадник
trp_vaegir_horseman_multiplayer_pl|Вегирских всадников
trp_khergit_veteran_horse_archer_multiplayer|Хергитский конный лучник
trp_khergit_veteran_horse_archer_multiplayer_pl|Хергитских конных лучников
trp_khergit_infantry_multiplayer|Хергитский воин
trp_khergit_infantry_multiplayer_pl|Хергитских воинов
trp_khergit_lancer_multiplayer|Хергитский улан
trp_khergit_lancer_multiplayer_pl|Хергитских уланов
trp_nord_archer_multiplayer|Нордский лучник
trp_nord_archer_multiplayer_pl|Нордских лучников
trp_nord_veteran_multiplayer|Нордский хускарл
trp_nord_veteran_multiplayer_pl|Нордских хускарлов
trp_nord_scout_multiplayer|Нордский разведчик
trp_nord_scout_multiplayer_pl|Нордских разведчиков
trp_rhodok_veteran_crossbowman_multiplayer|Родокский арбалетчик
trp_rhodok_veteran_crossbowman_multiplayer_pl|Родокских арбалетчиков
trp_rhodok_sergeant_multiplayer|Родокский сержант
trp_rhodok_sergeant_multiplayer_pl|Родокских сержантов
trp_rhodok_horseman_multiplayer|Родокский всадник
trp_rhodok_horseman_multiplayer_pl|Родокских всадников
trp_sarranid_archer_multiplayer|Сарранидский лучник
trp_sarranid_archer_multiplayer_pl|Сарранидских лучников
trp_sarranid_footman_multiplayer|Сарранидский пехотинец
trp_sarranid_footman_multiplayer_pl|Сарранидских пехотинцев
trp_sarranid_mamluke_multiplayer|Сарранидский мамлюк
trp_sarranid_mamluke_multiplayer_pl|Сарранидских мамлюков
trp_quick_battle_troop_1|Родриго де Браганка
trp_quick_battle_troop_1_pl|Родриго де Браганка
trp_quick_battle_troop_2|Усиатра
trp_quick_battle_troop_2_pl|Усиатра
trp_quick_battle_troop_3|Хеген
trp_quick_battle_troop_3_pl|Хеген
trp_quick_battle_troop_4|Конрад
trp_quick_battle_troop_4_pl|Конрад
trp_quick_battle_troop_5|Сверре
trp_quick_battle_troop_5_pl|Сверре
trp_quick_battle_troop_6|Борислав
trp_quick_battle_troop_6_pl|Борислав
trp_quick_battle_troop_7|Ставрос
trp_quick_battle_troop_7_pl|Ставрос
trp_quick_battle_troop_8|Гамара
trp_quick_battle_troop_8_pl|Гамара
trp_quick_battle_troop_9|Этрод
trp_quick_battle_troop_9_pl|Этрод
trp_quick_battle_troop_10|Заира
trp_quick_battle_troop_10_pl|Заира
trp_quick_battle_troop_11|Арго Сенднар
trp_quick_battle_troop_11_pl|Арго
trp_tutorial_fighter_1|Начинающий воин
trp_tutorial_fighter_1_pl|Воинов
trp_tutorial_fighter_2|Начинающий воин
trp_tutorial_fighter_2_pl|Воинов
trp_tutorial_fighter_3|Регулярный воин
trp_tutorial_fighter_3_pl|Воинов
trp_tutorial_fighter_4|Воин-ветеран
trp_tutorial_fighter_4_pl|Воинов
trp_tutorial_archer_1|Лучник
trp_tutorial_archer_1_pl|Лучников
trp_tutorial_master_archer|Тренер дальнего боя
trp_tutorial_master_archer_pl|Тренеров дальнего боя
trp_tutorial_rider_1|Всадник
trp_tutorial_rider_2|Конный лучник
trp_tutorial_master_horseman|Тренер верховой езды
trp_tutorial_master_horseman_pl|Тренеров верховой езды
trp_swadian_merchant|Торговец из Правена
trp_vaegir_merchant|Торговец из Рейвадина
trp_khergit_merchant|Торговец из Тульги
trp_nord_merchant|Торговец из Саргота
