str_no_string|НЕТ СТРОК!
str_npc1_payment_response|Хорошо, возьмите {reg3} динар и присоединяйтесь к остальным.
str_npc4_payment_response|Конечно. Вот, ровно {reg3}.
str_npc5_payment_response|Что ж... Вот, возьмите, {reg3} динар. Ваше первое жалование.
str_npc7_payment_response|Нет, разумеется нет. Вот вам {reg3} динар.
str_npc8_payment_response|С деньгами у меня порядок, мадам. Вот, возьмите - {reg3} динар.
str_npc9_payment_response|Хорошо, вот вам {reg3} динар.
str_npc10_payment_response|Конечно. Вот, {reg3} динар.
str_npc11_payment_response|Хорошо, вот {reg3} динар. Собирайтесь, скоро мы отправляемся.
str_npc13_payment_response|Конечно, вот {reg3} динар. Собирайтесь, мы скоро уходим.
str_npc14_payment_response|Да, вот вам {reg3} динар. Мы будем очень рады принять вас к себе в отряд.
str_npc15_payment_response|Разумеется, вот {reg3} динар. Хорошо, что вы теперь с нами.
str_npc16_payment_response|Так и быть, вот ваши {reg3} динар. Собирайтесь.
str_npc1_morality_speech|Эй, босс! Пожалуйста, поймите меня правильно, просто жизнь сейчас очень тяжелая, и {s21} нам нелегко. Если позволите, то я попрошу вас быть впредь чуть повнимательнее.
str_npc2_morality_speech|Надеюсь, вы простите мне эти слова, но нам всем очень тяжело {s21}. Я, конечно, попытаюсь быть истинным солдатом и не распускаться, но даже солдатам нужно немного сострадания.
str_npc3_morality_speech|Возможно, мне не стоит этого говорить, {сир/мадам}, но у меня в голове не укладывается, как мы могли {s21}. Конечно, я понимаю, что это война, но не нужно лишний раз проявлять жестокость!
str_npc4_morality_speech|Прошу прощения, но членам дома Рольфа не нравится {s21}. Я буду очень недоволен, если дела и дальше пойдут в том же духе.
str_npc5_morality_speech|Простите, командир, но {s21} - подло! Ваш главный долг - это долг перед людьми, которые приняли от вас соль. Самое малое, чего они могут ожидать - это еда, жалование, право на добычу и то, что вы не будете без надобности рисковать их жизнями.
str_npc6_morality_speech|Простите, {сир/мадам}. Как вы знаете, я присоединился к вам, чтобы бороться с несправедливостью, защищать невиновных и искупать свои грехи. Но {s21}? Такого я совсем не ждал.
str_npc7_morality_speech|Командир, мне очень не нравится то, что нам приходится {s21}. Так поступают только отпетые главари бандитов, которым плевать на своих людей.
str_npc8_morality_speech|Мне совсем не понравилось то, что вы решили {s21}. Пасть в бою - это честь, но идти в бой вместе с трусом - это позор.
str_npc9_morality_speech|{Сир/Мадам}, мне совершенно не нравится {s21}! Люди из моего дома скорее умрут, чем покроют себя позором. Пожалуйста, не заставляйте меня стыдиться того, что я служу у вас.
str_npc10_morality_speech|Прошу прощения, командир, но мне совершенно не нравится то, что нам приходится {s21}. Это всего лишь простые люди, которые как могут зарабатывают на жизнь. Если бы вы иногда щадили их, от этого всем было бы лучше.
str_npc11_morality_speech|Простите меня, командир, но {s21} нехорошо. Я тридцать лет следовал за армиями и знаю, что солдаты ждут от своего лидера еды, платы и того, что {он/она} будет изо всех сил беречь их пропащие шкуры.
str_npc12_morality_speech|Капитан, очень плохо, что нам приходится {s21}. Я готов быть воином, но не разбойником, Молю, проявите немного сострадания.
str_npc13_morality_speech|Командир, если можно этого избежать, мне бы не хотелось {s21}. Кальрадия не так велика, и репутация тут ценится очень высоко. Я бы не хотел, чтобы мои недоброжелатели сложили об этом прискорбном случае едкую сатирическую поэму.
str_npc14_morality_speech|Я не собираюсь {s21}. Если я прослыву трусом, меня перестанут бояться.
str_npc15_morality_speech|{Сир/Мадам}, я всего лишь хочу сказать вам, что разумный командир никогда не позволит своему отряду {s21}. Надеюсь, вы простите мне такую прямоту.
str_npc16_morality_speech|Командир, я не люблю {s21}. Столько глоток не перерезано, столько кошельков не обыскано...
str_npc1_2ary_morality_speech|Босс, я только хочу сказать, что {s21} мне по нутру! Жизнь - это борьба!
str_npc2_2ary_morality_speech|{Сир/Мадам}, меня немного беспокоит то, что нам приходится {s21}. Я купец, а в нашем деле честное слово ценится превыше всего. Я не хочу испортить себе репутацию, иначе моей торговле конец!
str_npc3_2ary_morality_speech|{Сир/Мадам}, я думаю, что вы поспешили, приняв решение {s21}. Нет ничего постыдного в том, чтобы избегать кровопролития.
str_npc4_2ary_morality_speech|Прошу прощения, но что бы ни думали другие, я не возражаю против того, чтобы {s21}. В этом мире нужно извлекать пользу из всего!
str_npc6_2ary_morality_speech|{Сир/Мадам}! Вы можете {s21} сколько угодно, но я не хочу этим заниматься! Так мне грехов не искупить.
str_npc9_2ary_morality_speech|Командир, мне неприятно то, что вы решили {s21}. Такая особа, как вы, должна являть собой пример благородства для всех.
str_npc10_2ary_morality_speech|{Брат/Сестра}, мне не нравится то, что мы вынуждены {s21}. С людьми надо обращаться хорошо, тогда они будут верны вам до конца.
str_npc14_2ary_morality_speech|Командир, не беспокойтесь насчет того, что вам приходится {s21}. Армии собираются для того, чтобы повиноваться лидеру, а из трудностей состоит вся солдатская жизнь.
str_npc15_2ary_morality_speech|Знаете ли, {playername}, мне не очень-то нравится то, как легко вам удается {s21}. Если вы предали их, то однажды предадите и меня, вот как я думаю.
str_npc16_2ary_morality_speech|Командир, я только хочу сказать, что я не против того, чтобы {s21}. Чтобы выжить, можно пойти на что угодно, а будь они на нашем месте, то поступили бы так же.
str_npc1_personalityclash_speech|Командир, не обижайтесь, но меня раздражает {s11}, которая ведет себя так, будто она королева мира, а не ваша преданная слуга.
str_npc2_personalityclash_speech|{Сир/Мадам}, как вы помните, до того как присоединиться к вашему отряду, я был купцом. И я безмерно уважаю людей, которые живут мирной жизнью и рискуют всем, чтобы доставить свои товары в самые дальние страны.
str_npc3_personalityclash_speech|Командир, я думаю, что {s11} - упрямый и жестокий человек. Он только и говорит о том, что надо пороть, избивать и вешать других солдат.
str_npc4_personalityclash_speech|{Сир/Мадам}, послушайте. Дом Рольфа - одно из самых древних и уважаемых семейств в этой части мира, ему была пожалована провинция еще во времена Старой Кальрадианской Империи. Однако {s11} осмеливается высказывать мне неуважение и сомневаться в моей родословной.
str_npc5_personalityclash_speech|Командир, уделите мне минутку! Похоже, {s11} считает меня обычным бандитом, а все потому, что в прошлом я вознаграждал себя трофеями, изымая их из караванов, что проходили по моим семейным землям.
str_npc6_personalityclash_speech|Прошу прощения, {сир/мадам}, но я больше не могу молчать. Эта девица - {s11} - каждый раз, когда она видит меня, то делает в мою сторону крестьянский жест, отгоняющий нечистую силу!
str_npc7_personalityclash_speech|Командир, я, как могу, стараюсь терпеть грубости и дурные привычки ваших людей, но этот {s11} просто невыносим!
str_npc8_personalityclash_speech|Просто, чтобы вы знали - я не могу больше выносить этого шута {s11}! Как я только что сказала нашим товарищам, у местных крестьян такие огромные рты и косматые брови, будто их матери спали с обезьянами!
str_npc9_personalityclash_speech|Сир, {s11} - ужасный хвастун, он не испытывает ни малейшего уважения к женщинам! Я больше не могу слушать, как он разглагольствует о своих любовных победах.
str_npc10_personalityclash_speech|Простите, командир, мне очень неловко беспокоить вас, но я только хочу сказать, что не выношу этого Рольфа, который называет себя бароном.
str_npc11_personalityclash_speech|Прошу прощения, командир, но я больше не могу молчать. Этот человек, {s11} - он же убил собственного брата!
str_npc12_personalityclash_speech|Милорд. Эта женщина из варваров - {s11} - жаловалась на головные боли. Возможно, у нее избыток жизненных сил, и я подумал, не поставить ли ей пиявок.
str_npc13_personalityclash_speech|Командир, мне ужасно надоел {s11} - он говорит только о рыцарстве да об оружии!
str_npc14_personalityclash_speech|Простите, командир. Несколько минут назад я высказал мнение насчет свободного использования кнута и всяких наказаний, необходимых для поддержания дисциплины среди солдат. Если люди не боятся своего командира, то они, чего доброго, сбегут с поля боя!
str_npc15_personalityclash_speech|Простите. Я надеюсь, вы согласитесь со мной, что эта девушка, {s11}, может накликать беду на весь отряд. Она просто дикарка, без малейшего понятия о субординации и основах боевого искусства.
str_npc16_personalityclash_speech|Эй, командир! Этот {s11} какой-то странный: он чего-то карябает в грязи и разговаривает сам с собой.
str_npc1_personalityclash_speech_b|Она простая бандитка, как и я, а потому не имеет права приказывать мне держаться от нее подальше - а она только что так и сделала!
str_npc2_personalityclash_speech_b|Мне совершенно неинтересно слушать о том, как {s11} грабил или собирается ограбить караван - он совершенно не уважает честной торговли!
str_npc3_personalityclash_speech_b|Я знаю, что армия - это не лазарет и что здесь важна строгая дисциплина. Но я также думаю, что человек по природе своей склонен к неоправданной жестокости. Надеюсь, вы со мной согласны.
str_npc4_personalityclash_speech_b|{Сир/Мадам}, для нас и впрямь настали тяжкие времена, если обывателям позволяют потешаться над господами. Вот и все.
str_npc5_personalityclash_speech_b|Я сказал ему, что если профессия воина ему так претит, то пусть лучше станет священником или нищим, и не будет повода для беспокойства. Надеюсь, вы согласитесь со мной.
str_npc6_personalityclash_speech_b|Я знаю, что совершил ужасное преступление, но я хочу искупить свой грех, а не страдать ежедневно из-за суеверности какой-то ведьмы. Вот и все, что я хотел вам сказать.
str_npc7_personalityclash_speech_b|Мне не нравится, как он смотрит на меня у костра, ковыряясь в зубах. Кажется, мы с ним уже встречались - это просто тупой и невежественный бандит. Я не хочу путешествовать с такими, как он.
str_npc8_personalityclash_speech_b|{s11}, этот нахал, подслушивал меня и потом назвал невежественной дикаркой и другими словами, которые я не стану повторять! Я не прирезала его на месте лишь из уважения к вам, но все равно решила вас предупредить.
str_npc9_personalityclash_speech_b|Если он не прекратит, я скажу ему, что он просто негодяй, а если дойдет до драки, то и не подумаю извиниться. Это все, {сир/мадам}.
str_npc10_personalityclash_speech_b|Насколько я понимаю, он простой бандит. Дом Рольфа, ой, держите меня! Благородные выскочки сами по себе отвратительны, но те, кто ими притворяется, - еще хуже. В любом случае, я тут немного нагрубил ему минуту назад, и он, похоже, обиделся. Просто хочу вас предупредить.
str_npc11_personalityclash_speech_b|Он братоубийца, проклятый небесами, он принесет нам всем горе, точно говорю! Я не хочу находиться с ним рядом и думаю, что его надо прогнать. Вот и все. Простите за беспокойство.
str_npc12_personalityclash_speech_b|Но как только я принес их, она отскочила, ударила меня и обвинила в колдовстве! Командир, я не могу больше принимать жалобы от таких невежественных и неблагодарных людей.
str_npc13_personalityclash_speech_b|Подвиги - это хорошо, но не могут же они быть единственной целью в жизни. Я не доверяю тем, кто ни разу не просыпался пьяным в канаве или не был бит туфелькой любовницы.
str_npc14_personalityclash_speech_b|Эта девчонка {s11} посмела меня отчитать! Я не потерплю, чтобы над моими методами насмехались в присутствии всех остальных, и не буду служить командиру такого распущенного отряда. Спасибо, что выслушали меня.
str_npc15_personalityclash_speech_b|А кроме того я думаю, что она воровка. Она рылась в моем багаже и трогала чертежи, а когда я попытался вмешаться, наставила на меня нож. Мудрый командир не стал бы держать такую в отряде.
str_npc16_personalityclash_speech_b|Я подумала, что он колдун, а когда спросила, он ответил, чтобы я не совала нос не в свои дела. Поэтому мне пришлось порыться в его вещах, и там я нашла странные чертежи и диаграммы. Кажется, он колдун, {сир/мадам}, и если он попытается меня проклясть, я его зарежу!
str_npc1_personalityclash2_speech|Босс, я особой чувствительностью не отличаюсь, но мне не понравилось то, как {s11} говорит о перерезании глоток раненым врагам.
str_npc2_personalityclash2_speech|{Сир/Мадам}, мне хотелось бы, чтобы {s11} держался от меня подальше - после всего того, что он наговорил мне в прошлом бою.
str_npc3_personalityclash2_speech|{Сир/Мадам}! С тех пор, как вы взяли меня к себе в отряд, я изо всех сил пытаюсь быть достойным солдатом и чтить воинский кодекс. И если все же совершаю ошибки, то, надеюсь, вы меня простите.
str_npc4_personalityclash2_speech|{Сир/Мадам}! Когда мы делили трофеи, мне довелось перекинуться парой слов с этой {s11}. Пожалуйста, сообщите ей, что при разговоре со мной ей следует называть меня барон", "барон Рольф" или "ваша милость", но никак не просто "Рольф"!"
str_npc5_personalityclash2_speech|Командир, эта {s11} дождется, я вырежу ей язык!
str_npc6_personalityclash2_speech|Милорд, вы видели, как {s11} вел себя вчера на поле боя? Он насмехался над павшими врагами, которые лежали на земле израненные и беззащитные, потешался над их родословной и говорил, что сражаться с нами было очень глупо с их стороны.
str_npc7_personalityclash2_speech|Командир, я все пыталась вспомнить, где же мне встречала этого {s11}. Вчера я посмотрела, как он сражается, и внезапно вспомнила! Он хороший боец, но он очень жесток.
str_npc8_personalityclash2_speech|Командир, {s11} - ужасно высокомерная девица! Я пыталась быть с ней вежливой, даже дружелюбной, но в ответ слышу только грубости!
str_npc9_personalityclash2_speech|{Сир/Миледи}! Надеюсь, вы не рассердитесь на мои слова, но, по-моему, этот купец {s11} не знает своего места! Во время битвы он бросился мне наперерез и атаковал врага, на которого я хотел напасть!
str_npc10_personalityclash2_speech|{Брат/Сестра}, у меня есть вопрос. Нашим отрядом управляете вы или {s11}?
str_npc11_personalityclash2_speech|Командир! Мне не нравится этот {s11}! В прошлом бою, когда мы собирали трофеи, он принялся бормотать какое-то языческое заклинание.
str_npc12_personalityclash2_speech|Командир, {s11} и его распущенность становятся просто нестерпимыми! В прошлом бою, когда я оказывал раненым помощь, он позволил себе оскорблять меня, потому что я применил настойку опия, которая снижает боль при хирургических операциях, и медовые припарки.
str_npc13_personalityclash2_speech|Здравствуйте, командир! А этот {s11} какой-то ненормальный, правда? Сами посудите: в прошлом бою я мило обсуждал с врагами их матерей, пока мы дрались на мечах, так у него чуть припадок не случился!
str_npc14_personalityclash2_speech|Сир, {s11} не знает, что такое дисциплина. Во время последней стычки я сказал ему, чтобы держал строй вместе с остальными, а он велел мне заткнуться!
str_npc15_personalityclash2_speech|Командир, если честно, мне кажется, что {s11} не получил должного медицинского образования! После последнего боя он занимался ранеными, и я решил напомнить ему, что несравненный Галериан часто применял при лечении свекловицу, чтобы выправить баланс жидкостей, вызванный кровопотерей.
str_npc16_personalityclash2_speech|Прошу прощения, {сир/мадам}. Может быть, {s11} и хороший вор, но для воина у него кишка тонка - ну, на мой взгляд.
str_npc1_personalityclash2_speech_b|Она еще так весело при этом насвистывает - у меня мороз по коже!
str_npc2_personalityclash2_speech_b|На нас несется враг, а он говорит: Отойди, торговец, это работа для рыцаря!" В следующий раз и правда отойду, пусть его проткнут копьем!"
str_npc3_personalityclash2_speech_b|После прошлого боя я обыскивала убитых и решила подобрать один кошелек. Но тут выскочила {s11}, выбила кошелек у меня из рук и сказала, что это она убила врага, так что и добыча ее. Милорд, в пылу боя я не видела, кто там кого убил, но если бы {s11} просто сказала мне, что это ее трофей, то я бы с радостью его отдала!
str_npc4_personalityclash2_speech_b|Я благородной крови, а она - самой что ни на есть плебейской. Она должна знать свое место.
str_npc5_personalityclash2_speech_b|Когда мы собрали трофеи с последней битвы, я обнаружил там отличный котелок. Мне очень давно хотелось такой, чтобы варить в нем рагу и кормить своих людей в холодные зимние месяцы. Но тут {s11} схватила котелок и сказала, что не позволит мне осквернять" его языческой едой и что забирает его себе. Я, конечно, уступил, но в будущем не собираюсь терпеть такого!"
str_npc6_personalityclash2_speech_b|Милорд, такое высокомерие неугодно небесам, и я боюсь, что расплата постигнет всех нас!
str_npc7_personalityclash2_speech_b|Когда я еще жила в ущельях, иногда у нас происходили стычки с бандой, называющей себя Братством леса. Командир, я не могу доверять человеку, который скрывает свое происхождение, а особенно бандиту, зовущему себя лордом!
str_npc8_personalityclash2_speech_b|Когда мы чистили оружие после последнего боя, я сказала, что она - очень симпатичная девушка и что, когда я отберу назад свои земли, то смогу найти ей подходящего мужа из своих воинов. Думаю, это было очень щедро с моей стороны, потому что женщина, от которой отрекся отец, вряд ли сумеет найти себе мужа. Но вместо благодарности она просто взяла и отвернулась, не сказав ни слова! Я не стала учить ее манерам только из уважения к вам.
str_npc9_personalityclash2_speech_b|Я очень ценю то, что он рискует своей жизнью в бою, но одно это еще не делает его благородным. Он низкого происхождения и все свое богатство заработал торговлей и ростовщичеством. Он может помогать нам в бою, но не должен пытаться урвать кусок славы истинных воинов.
str_npc10_personalityclash2_speech_b|В бою он то и дело кричал мне: Вперед, назад, держать строй!" А когда я сказал, чтобы он не лез, он пообещал меня высечь! Командир, когда-нибудь он дождется у меня арбалетной стрелы в грудь, уж не обессудьте!"
str_npc11_personalityclash2_speech_b|Он сказал, что это была благодарственная молитва о победе, но что-то я сомневаюсь. Командир, я не хочу, чтобы он поднимал души умерших и чтобы они потом беспокоили нас. Лучше бы вам от него избавиться!
str_npc12_personalityclash2_speech_b|Командир, если бы этот человек хоть что-нибудь понимал в медицине, он бы знал, что никогда нельзя подрывать веру пациента в доктора, особенно во время сложной операции. Если бы вы исключили его из отряда, то сделали бы всем нам огромное одолжение.
str_npc13_personalityclash2_speech_b|Когда пыль улеглась, {s11} повернулся ко мне и сказал, что я не должен гневить небеса своей гордыней". Я ответил, что, по крайней мере, не убивал собственного брата - а ведь это должно прогневать небеса куда больше, чем небольшая перепалка на поле боя. Тогда {s11} покраснел, как задница бабуина, и ударил бы меня, если б я не увернулся. Вы уж скажите ему, чтобы расслабился малость, ладно?"
str_npc14_personalityclash2_speech_b|{Сир/Мадам}, такое неуважение к старшинству плохо влияет на весь наш отряд, и если это повторится, я непременно высеку его.
str_npc15_personalityclash2_speech_b|{s11} ответил, что Галериан был древним недоучкой". Командир, ни один врач не станет так пренебрежительно отзываться о великих целителях прошлого! Не думаю, что этому мошеннику место среди нас."
str_npc16_personalityclash2_speech_b|После нашей последней битвы я принялась вспарывать умершим животы и искать там спрятанное золото, как и должно поступать всякой девушке, которая думает о собственном будущем. Он ахнул и назвал меня животным! Если он не будет держать свой цивилизованный язык за зубами, я и в его кишках контрабанду поищу.
str_npc1_personalitymatch_speech|Босс. В прошлом бою {s11} вел себя не так уж плохо... Как знать, может, он чего-то и стоит.
str_npc2_personalitymatch_speech|{Сир/Мадам}! Я только хочу сказать, что хоть {s11} порой ведет себя отвратительно и напрашивается на драку, но вообще я горжусь тем, что служу вместе с ним.
str_npc3_personalitymatch_speech|Здравствуйте, {сир/мадам}! Я хочу сказать, что {s11} - истинный рыцарь. Вы видели, как он сражался в прошлом бою?
str_npc4_personalitymatch_speech|Простите меня, {сир/мадам}. Я хотел сказать, что {s11} отлично сражался в последнем бою.
str_npc5_personalitymatch_speech|Отличный был бой, {playername} Бахадур! Хорошо, что {s11} с нами!
str_npc6_personalitymatch_speech|Командир, иногда я очень устаю от этого постоянного кровопролития. Но я понимаю, что гордых военачальников нужно ставить на место, а бандитов - усмирять, иначе мира в Кальрадии не будет никогда.
str_npc7_personalitymatch_speech|Командир, {s11} только что говорила со мной. Может, она и дикарка, но все равно очень хороший друг.
str_npc8_personalitymatch_speech|Бой прошел как по маслу, командир! И мне очень понравились ругательства, которые {s11} выкрикивал нашим врагам.
str_npc9_personalitymatch_speech|Командир, {s11} отлично показала себя в прошлом бою! Она чудесная, очень достойная девушка.
str_npc10_personalitymatch_speech|Привет, братец! Радостной тебе победы! Кстати, а старушка {s11} не так уж и плоха для ее-то возраста, что скажешь? Впрочем, я и сам уже почти старик.
str_npc11_personalitymatch_speech|Эх, командир! От такого боя у меня потом все суставы ломит. Но здорово мы их отделали, да?
str_npc12_personalitymatch_speech|Кровавое, очень кровавое дело, командир, но делать его все равно надо. Да и {s11}, кажется, разделяет мои двойственные чувства насчет этих постоянных драк.
str_npc13_personalitymatch_speech|Сегодня вы прославили свое имя! Да и {s11} тоже. Когда она идет в бой, то поет песни своих народов - творческая душа, как и я!
str_npc14_personalitymatch_speech|Командир, мне очень нравится сражаться бок о бок с такими людьми, как {s11}.
str_npc15_personalitymatch_speech|Командир, только что мы обсуждали прошлую битву, и я с удивлением признал, что {s11} имеет довольно неплохую голову на плечах!
str_npc16_personalitymatch_speech|Эй, командир! Сейчас мы с {s11} отлично поболтали, пока обыскивали убитых в нашей последней схватке.
str_npc1_personalitymatch_speech_b|Без таких честных людей, которые приносят в Кальрадию серебро, мерзавцам вроде меня тяжко бы пришлось! Хорошо, что он с нами.
str_npc2_personalitymatch_speech_b|Памятуя о том, как он сражался в последний раз, я без раздумий доверю ему свою жизнь. Но за кошельком все же буду следить.
str_npc3_personalitymatch_speech_b|Надо признать, что он отличный товарищ - умный и благовоспитанный. Да, наверное... Хотя ладно, не буду болтать лишнего. Доброго вам дня, {сир/мадам}.
str_npc4_personalitymatch_speech_b|Вы правильно поступили, что приняли его к нам! Он умеет сражаться и уважает товарищей по оружию, в отличие от некоторых.
str_npc5_personalitymatch_speech_b|Что касается его других качеств, то я думаю, что он такой же барон, как и я. Хотя, признаться, мне нравится, как упорно он им притворяется.
str_npc6_personalitymatch_speech_b|Должен сказать, что {s11} очень утешил меня. Я рассказал ему о своем грехе, а он ответил, что небеса простят меня, если я искренне покаюсь и заслужу прощение. Он очень мудрый, и я рад, что он теперь с нами.
str_npc7_personalitymatch_speech_b|Если в будущем у вас отпадет нужда в наших услугах, она пообещала пойти вместе со мной в ущелья, найти бандитов, которые убили моего любимого, и помочь мне отомстить за него. Она очень добрая! Хорошо, что она теперь с нами.
str_npc8_personalitymatch_speech_b|Он смог упомянуть их генеалогию, внешность и их представления о хорошей еде - и все это в форме отличного старо-кальрадианского пятистишия. Лично я предпочитаю саги, но мы, норды, уважаем любую хорошую поэзию.
str_npc9_personalitymatch_speech_b|Будь она благородной крови, я бы попросил ее руки! Жаль, что она дочь купца. Но разговоры с ней помогают приятно провести время в походе.
str_npc10_personalitymatch_speech_b|Что ж, теперь вы видите, что на молодости свет клином не сошелся - боевой опыт тоже кой-чего стоит. Думаю, мы с ней могли бы поучить молодых воевать, а?
str_npc11_personalitymatch_speech_b|{s11} задал всем жару! Вообще мы с ним неплохо себя показали, хотя нам было очень нелегко.
str_npc12_personalitymatch_speech_b|Его очень печалит необходимость лишать жизни своих собратьев, но он старается держаться. Мы с ним говорили о будущем, о том, как хорошо было бы объединить все эти мелкие государства Кальрадии, чтобы здесь мог наконец наступить мир.
str_npc13_personalitymatch_speech_b|Я предпочитаю скромных, а не воинственных девушек, но я заметил, что за своим грубоватым поведением она прячет очень тонкую женственную натуру. Да, в походах она держится особняком, но я надеюсь, что мои искренние слова растопят северный лед, которым сковано ее сердце.
str_npc14_personalitymatch_speech_b|Он профессиональный солдат, и пусть он не так хорошо подготовлен физически, как остальные, он никогда не паникует в бою. Вы правильно сделали, что приняли его в наш отряд.
str_npc15_personalitymatch_speech_b|Войну, как и любое другое дело, нужно тщательно планировать, готовить, и затем четко следовать намеченной стратегии. При прочих равных бой выигрывает та армия, которая лучше обучена - и наш последний бой тому подтверждение. Пусть люди проклинают его - со временем они скажут ему спасибо.
str_npc16_personalitymatch_speech_b|Она рассказывала вам о себе? Вы знаете, что за несчастья ее постигли? У меня просто кровь вскипает от одной мысли об этом. Я хотела бы порезать этих негодяев на мелкие кусочки - и будьте уверены, так оно и будет, если мы когда-нибудь встретим их на нашем пути.
str_npc1_retirement_speech|Я немного устал от постоянных походов, устал проливать кровь за кого-то другого. Добыча, конечно, хороша, но, думаю, с меня хватит. Я отправляюсь назад, в свою деревню. Женюсь там, осяду и начну разводить лошадей - если смогу себе это позволить.
str_npc2_retirement_speech|Что-то мне надоела эта воинская жизнь. Я хочу купить на заработанные деньги товары - меха, ткани, бархат - и отвезти все это в горы. Спасибо, что приняли меня в свой отряд. Желаю вам всяческих удач!
str_npc3_retirement_speech|Мне нужно вам кое-что сказать. Я решила, что военная жизнь - не для меня. Мужа мне искать тоже поздно - никто не возьмет замуж женщину, служившую солдатом. Но у меня хватит денег, чтобы заняться торговлей. Надеюсь, вы не будете держать на меня зла, {сир/мадам}.
str_npc4_retirement_speech|Я честно сражался бок о бок с вами, как и подобает мужчине из Дома Рольфа, но меня больше не устраивает то, как вы нами командуете. Я вернусь к себе на родину - там мои услуги нужны куда больше.
str_npc5_retirement_speech|Бахадур - с тех пор, как я принял от вас соль, я сражался за вас храбро и преданно. Но вы не всегда были справедливы ко мне. Поэтому я возвращаюсь домой, к отцу и братьям. Надеюсь, хан уже про все забыл.
str_npc6_retirement_speech|Я присоединился к вашему отряду в надежде, что вы выведете меня из тьмы, и здесь я и вправду обрел некий покой. Однако мне не слишком нравится ваша манера командовать, и я решил, что найду свой путь искупления где-нибудь еще.
str_npc7_retirement_speech|Я устала от этой жалкой жизни, вечных сражений, от людей, снедаемых страхом, алчностью, похотью и сотнями других грехов. Деньги у меня есть, так что я отправляюсь за море, в другую страну, лучше Кальрадии. Прощайте.
str_npc8_retirement_speech|Я сражалась за вас и делала это хорошо. Но мне не совсем нравится быть под вашим началом, да и дела другие есть. Я возьму то, что мне удалось заработать, соберу свою армию и вернусь на север, чтобы отвоевать дворец моего мужа у предателя-деверя. Всего вам хорошего.
