qstr_thawb1_belt1|thawb1 belt1
qstr_Living_on_the_street|Living on the streets was tough. Stealing to live, if you could call the scraps you could get any sort of proper life, was part and parcel of your existence. Everyone looked down at you as a street urchin, as someone to be reviled and pitied at best, or actively driven out at worst. This hard life gave you perspective, it gave you skills others may see as unsavory. Luckily, in war, unsavory skills are quite useful.
qstr_Extra_extra!_Local_n|Extra extra! Local newspaper has a bunch of stories that you never really cared for! Hawking newspapers all day certainly improved your skills at speaking, making people who otherwise wouldn't care for the goings-on to buy a newspaper. Of course, a keen knowledge of business is hardly a bad thing. Perhaps the skills you learned will do you well in the new world you find yourself in.
qstr_As_a_{reg3?girl:boy}|{reg3?Девушкой:Юношей} Вас отослали ко двору одного из знатных людей. Одним из первых уроков, выученных во время служения знатным господам и дамам стало смирение. Но, наблюдая за ними во время игр и развлечений, подслушивая сплетни, внимая стихам о великих свершениях и любви, Вы очень быстро осознали, что мир взрослых это мир состязаний и противостояния.
qstr_You_were_drawn_to_th|You were drawn to the human body, and how it functioned. Perhaps a family member got sick, and you vowed to help others through the same. Perhaps you liked giving people hope and treating them. Maybe you just liked cutting things apart. Either way, in college, you went into the fields of medicine.
qstr_Perhaps_you_live_som|Perhaps you live somewhere where grand architecture spirals up into the sky, or where imposing walls surrounded you. Or a small village, with beautiful and ancientchurches, was where your interest in buildings came. It doesn’t matter, because you loved buildings,and learned to raise them up in university. Perhaps now, you shall use that to tear them down. 
qstr_Philology_the_study_|Philology, the study of languages and how they compare, is extremely important to the diplomacy of Europe, where besides Latin, language like English, Russian, French, and so forth mustbe mastered. Studying this in university gave you a keen tongue and learned how to speak and communicate withthe high lords and common folk across the many realms of Europe.
qstr_{reg3?daughter:man}|{reg3?дочь:сын}
qstr_{reg3?woman:man}|{reg3?взрослой женщиной:взрослым мужчиной}
qstr_You_decided_to_lead_|You decided to lead a bohemian life, travelling from place to place playing music. This has put you in touch with the common people, and most of your interactions with higher society consisted of a tip of the hat when they tossed a coin into your cup. But still, you have learned how to advertise yourself, how to speak to a crowd, and how to entertain. All very useful skills, indeed.
qstr_You’re_a_businessp|You’re a businessperson, someone who has capital and funds enough to make more   capital. Perhaps you rose from the working class, or perhaps you started with a small loan from your family.   Either way, you’re well-off and can definitely get a foot in wherever you go now.
qstr_You_fell_into_crimin|You fell into criminal life, and never really got out. The police know who you are    in some places, and in others they leer as if they should know you. No matter, of course, since between arrests   and brief jail times, you’ve learned how to survive outside the law.
qstr_You_went_to_the_Amer|You went to the Americas to seek a new life, perhaps to escape persecution   in Europe, perhaps to make a new life free from debts. Whatever your reasons, you took the journey   across to the Atlantic. And now, for whatever reason, you have returned to Europe.
qstr_You_fought_in_the_Cr|You fought in the Crimea, either with or against Russia, and your   experiences in that war were invaluable and horrific. You saw men die, you saw foolish cavalry   charges, you saw the awesome power of cannons. As you returned home, weary and war-shocked, you knew you would never be the same.
qstr_Only_you_know_exactl|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. И все же, это не было трудным решением, учитывая какой огонь ярости пылал в вашем сердце. Вы жаждали мести. Вы требовали справедливости. Зло, причиненное вам, не будет забыто, этот долг может быть оплачен только кровью...
qstr_Only_you_know_exactly|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Вы просто не могли остаться, не могли переносить воспоминания о тех, кого любили так близко и так мучительно. Возможно, новая жизнь позволит вам забыть или прославить то имя, которое вы уже не в силах произнести...
qstr_Only_you_know_exactly_|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Вы даже не можете сказать, когда ваш дом стал тюрьмой, когда знакомое стало чужим, но грезы о странствиях прочно вошли в жизнь. Тоска ли это по дальним краям или вас просто манит дорога, но вам было невыносимо оставаться на одном месте. Вы просто ушли, не оглядываясь назад...
qstr_Only_you_know_exactly_w|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Однако, вы знаете, что уже не сможете вернуться. Там не осталось ничего, к чему стоило бы возвращаться. Что бы там ни произошло, это уже в прошлом, и теперь вы один на один с большим безжалостным миром. Остается или плыть, или утонуть...
qstr_Only_you_know_exactly_wh|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Любому ясно, что вами движет исключительно жажда личной выгоды. Вы желаете богатства, власти и уважения. Вы хотите быть тем, кому спешат повиноваться. Вы хотите, чтобы люди знали ваше имя и дрожали всякий раз, когда его произносят. Вы хотите все и никому не позволите встать у вас на пути...
qstr_Back_to_the_beginnin|Вернуться к началу...
qstr_View_next_segment...|Следующий отрывок...
qstr_^No_food:___{reg7}|^Еды нет:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Задолженность:  -{reg6}
qstr_On_loan|Взаймы,
qstr_Appoint_next_marshal|Назначить другого маршала
qstr_Award_{s12}_as_fief|Отдать {s12} во владение
qstr_No_one|Ни одного
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_currently_re|В настоящий момент Вы читаете {s8}.
qstr_You_are_not_reading_|Вы не читаете никаких книг.
qstr_none|никого
qstr_{s5}_and_{s6}|{s5} и {s6}
qstr_Your_estates_are:_{s|Ваши владения: {s8}.^{s9}
qstr_Current_party_size_l|Текущий предельный размер отряда: {reg5}.^Текущие модификаторы размера отряда:^^Основной размер: +30^Лидерство:{s2}{reg1}^Харизма:{s3}{reg2}^Известность:{s4}{reg3}^ВСЕГО: {reg5}
qstr_Loyal|Верные
qstr_Devoted|Преданные
qstr_Fond|Теплые
qstr_Gracious|Благодарные
qstr_Friendly|Дружелюбные
qstr_Supportive|Поддерживающие
qstr_Favorable|Благоприятные
qstr_Cooperative|Сотрудничающие
qstr_Accepting|Приязненные
qstr_Indifferent|Безразличные
qstr_Suspicious|Подозрительные
qstr_Grumbling|Недовольные
qstr_Hostile|Неприязненные
qstr_Resentful|Возмущенные
qstr_Angry|Сердитые
qstr_Hateful|Ненавидящие
qstr_Revengeful|Мстительные
qstr_Vengeful|Кровожадные
qstr_Your_relation_with_t|Ваши отношения с фракциями:^{s2}
qstr_Player_renown_is_inc|Известность игрока повышена на 100.
qstr_Player_honor_is_incr|Честь игрока повышена на 1 и составляет {reg7}.
qstr_north_region|north region
qstr_middle_region|middle region
qstr_south_region|south region
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} принима{reg2?е:ю}т предложение.
qstr_No_one_accepts_the_o|Никто не принимает Вашего предложения.
qstr_You_start_reading_{s|Вы начали читать {s2} и после прочтения нескольких страниц поняли, что можете многое узнать из этой книги. Вы решаете держать ее поближе и читать всякий раз как предоставляется возможность.
qstr_You_flip_through_the|Вы просматриваете страницы {s2}, но видите трудный для понимания текст. Упорное чтение вызывает у Вас головную боль и Вы решаете отложить книгу до лучших времен.
qstr_Villagers|Селяне
qstr_You_have_encountered|Ваш противник - {s1}.
qstr_You_have_engaged_{s1|{s1} атакован вами во время их нападения на {s3}.
qstr_You_were_caught_by_{|{s1} прерывает нападение вашего войска на {s3}.
qstr_You_were_victorious!|Вы победили!
qstr_Battle_was_lost._You|Битва проиграна. Ваши войска были полностью разбиты.
qstr_Your_companions_carr|Ваши соратники выносят вас с поля битвы.
qstr_You_have_defeated_th|Вы разбили врага.
qstr_You_have_retreated_f|Вы бежали с поля боя.
qstr_^^Ally_Casualties:{s|^^Потери союзников:{s0}
qstr_{s1}_of_{s3}_managed|{s1} ({s3}) сумел бежать.
qstr_Some_of_your_tendons|Во время боя Вы повредили сухожилие. Ваша сила уменьшилась на 1.
qstr_You_took_a_nasty_wou|Вы получили рану, которая оставит вас слегка хромым даже после исцеления. Вы теряете 1 единицу ловкости.
qstr_You_have_trouble_thi|Ваши мысли путаются после битвы. Возможно, это является следствием сильного удара по голове. Частые головные боли отныне станут Вашим спутником. Ваш интеллект уменьшился на 1 пункт.
qstr_Perhaps_I_m_getting_|Кажется, мне перестало везти...
qstr_Retirement_is_starti|Слово отставка" звучит все лучше и лучше.
qstr_No_matter!_I_will_pe|Не важно! Я продолжу!
qstr_What_did_I_do_to_des|Что я сделал, чтобы заслужить подобное?
qstr_I_suppose_it_ll_make|Как минимум, из этого может получиться неплохая история...
qstr_{s9}_wants_you_to_fo|{s9} требует, чтобы Вы следовали за его армией до особого распоряжения.
qstr_The_local_road_netwo|The local road network connects {s2} to the cities of {s60}, {s61} and {s62}. This region has access to the sea.
qstr_The_local_road_networ|The local road network connects {s2} to the cities of {s60}, {s61} and {s62}.
qstr_{s8}_of_{s9}|{s8} ({s9})
qstr__Your_own_banner_fli|Ваше знамя развивается над воротами замка.
qstr__You_see_the_banner_|По знамени, развивающемся над воротами, вы понимаете, что замком владеет {s7}.
qstr__Your_own_banner_flie|Ваше знамя развивается над воротами города.
qstr__You_see_the_banner_o|По знамени, развивающемся над воротами, вы понимаете, что городом владеет {s7}.
qstr_Cannot_besiege:_too_|Cannot besiege: too far from any center of your faction (closest centers to this {reg6?town:castle} are {s60}, {s61} and {s62}) and can't be besieged from the sea.
qstr_The_{reg6?town_s:cas|Запасов продуктов в {reg6?городе:замке} хватит по крайней мере еще на {reg3} дней.
qstr_The_{reg6?town_s:cast|Запасы продуктов в {reg6?городе:замке} подошли к концу и защитники голодают.
qstr_You_re_preparing_to_|Вы начинаете подготовку к штурму. Работы будут закончены через {reg9} часов.
qstr_Your_forces_are_buil|Ваши войска приступают к постройке осадной башни. Им потребуется около {reg9} часов для завершения строительства.
qstr_You_are_ready_to_att|Ваши войска готовы к штурму.
qstr_The_siege_tower_is_b|Осадная башня построена и войска готовы к атаке.
qstr_As_a_last_defensive_|Последним оплотом остается главный зал замка, куда вы отступаете с остатками Ваших войск. Вас ждет отчаянная схватка. Если Вы будете побеждены, отступать Вам будет некуда.
qstr_You_ve_been_driven_a|Вас оттеснили со стен и войска атакующих вливаются на улицы. Если победа останется за Вами, Вы сможете повернуть ход событий в свою пользу.
qstr_You_ve_breached_the_|Ваши войска пробились на стены, но упорные защитники продолжают сопротивляться на улицах города! Вашим войскам придется преодолеть их сопротивление, прежде чем атаковать цитадель.
qstr_The_town_centre_is_y|Центр города в Ваших руках. Для окончательной победы ваши войска должны сломить сопротивление последних защитников цитадели.
qstr_The_remaining_defend|Оставшиеся защитники отступили в замок, создав там последний рубеж обороны. Вам необходимо во что бы то ни стало взять его.
qstr_However_since_you_ar|Так как {s9} не принимал Вашей вассальной присяги, то он не признает Вас владельцем этого {reg8?города:замка}.
qstr_The_enemy_has_been_f|Враг обращен в бегство. Атака отбита, но осада продолжается.
qstr_As_you_approach_you_|При Вашем приближении стражники приветствуют Вас и распахивают перед Вами ворота.
qstr_As_you_approach_you_a|Замечая Ваше приближение, стражники приветствуют Вас и распахивают перед Вами ворота.
qstr__This_village_and_th| Эта деревня и прилегающие земли принадлежат Вам.
qstr__You_remember_that_t| Вы вспоминаете, что этой деревней владеет {s7}.
qstr__These_lands_belong_| Эти земли не имеют лорда.
qstr__The_village_is_infe| Деревню наводнили {reg8} {s35}.
qstr__The_village_has_bee| Деревня разграблена. Немногие выжившие разбегаются, когда Вы проезжаете мимо сгоревших домов.
qstr__The_village_is_bein| На деревню совершено нападение.
qstr_soldiers|soldiers
qstr_rebels|rebels
qstr_No_one_here_seems_to|Желающих присоединиться к Вашему отряду не видно.
qstr_One_{s3}_volunteers_|Один {s3} пожелал следовать за Вами.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} пожелали последовать за Вами.
qstr_Try_as_you_might_you|Несмотря на все усилия, Вам не удалось победить бандитов. В ярости они сравняли деревню с землей в наказание за сопротивление и, оставив позади пылающие развалины, отправились на поиски новых угодий.
qstr_village|Деревня
qstr_town|Город
qstr_castle|Замок
qstr_The_{s17}_has_no_imp|{s17} не содержит улучшений.
qstr_The_{s17}_has_the_fo|{s17} содержит следующие улучшения: {s18}.
qstr_The_assasins_beat_yo|Убийцы избивают вас и бросают, решив, будто вы умерли.
qstr_You_have_fallen._The|Вы упали без сознания. Бандиты быстро обчищают Ваши карманы, не оставляя даже мелкой монетки и растворяются в ночи. Впрочем, они оставили Вас в живых, если это можно так назвать.
qstr_Luckily_some_of_your|К счастью, после того как Вы не вернулись, Ваши спутники отправились на поиски и нашли Вас на обочине дороги. Они перенесли Вас в безопасное место и перевязали раны.
qstr_Luckily_some_passing|К счастью, жители города, проходившие мимо заметили Вас, лежащего на обочине дороги и, поняв, что это не обычный бродяга, отнесли Вас в ближайшую таверну, где перевязали Ваши раны.
qstr_You_fail_to_steal_an|Вы не смогли украсть скот.
qstr_You_drive_away_{reg1|Вы угнали {reg17} {reg12?голов:голову} скота из деревенского стада.
qstr_You_are_at_{s2}.|{s2}.
qstr__This_castle_has_no_| В этом замке нет гарнизона.
qstr__This_town_has_no_ga| В этом городе нет гарнизона.
qstr__You_have_successful| Вы благополучно проскользнули мимо стражи.
qstr_{s13}_A_tournament_w|{s13} Скоро здесь состоится турнир.
qstr___Join_the_commander| (Join the commanders' meeteing)
qstr___{reg1}_pounds_per_| ({reg1} pounds per night)
qstr_You_are_not_allowed_|You are not allowed here (need to have relation with faction 5 and higher).
qstr_Moreover_you_earn_{r|Кроме того, Вы получаете {reg8} динар от ставок на себя...
qstr_Victory_is_yours!_Yo|Победа за Вами! Вы выиграли в этом поединке, теперь Вам нужно подготовиться к следующему.
qstr_You_have_been_bested|Вы проиграли в этом поединке, но признав ваше мастерство и храбрость, герольд позволяет вам принять участие в следующем.
qstr_You_were_beaten._The|Вы проиграли. Селяне радуются своему успеху, но урок, который Вы хотели им преподать пропал даром...
qstr_After_beating_your_l|После победы над последним противником вы объясняете крестьянам, каким образом можно защититься от подобной атаки. Возможно, они примут это к сведению и будут лучше подготовлены в следующий раз.
qstr_The_bandits_are_brok|Бандиты повержены! Те немногие кто выжил убегают с поджатыми хвостами в страхе перед крестьянами и их новым защитником.
qstr_{s1}_s_Ship|Судно, принадлежащее {s1}
qstr_However_{reg3?You_ar|{reg3?Вы не смогли:{s1} не смог} найти товаров, которые могут принести прибыль.
qstr_^Buying_{s4}_here_an|^Купив {s4} здесь и продав его в {s5} Вы получите прибыль в размере {reg6} динар за единицу товара.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы обнаружили:{s1} обнаружил} следующее:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} получают {reg0} опыта.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} дополнительно получает {reg0} опыта.
qstr_^You_earned_{reg0}_e|^Вы получаете {reg0} опыта.{s2}
qstr_The_training_didn_t_|Тренировка прошла плохо.
qstr_The_training_didn_t_g|Тренировка прошла не совсем хорошо.
qstr_The_training_went_qu|Тренировка прошла удовлетворительно.
qstr_The_training_went_ve|Тренировка прошла хорошо.
qstr_The_training_went_pe|Тренировка прошла отлично.
qstr_{s13}_asked_you_to_r|{s13} просил вас явиться к нему, имея минимум {reg13} воинов в отряде.
qstr_{s13}_ordered_you_to|{s13} приказал Вам присоединиться к осаде {s14}.
qstr_Find_and_speak_with_|Разыщите и поговорите с {s3} ({s4}) для принесения ему вассальной присяги.
qstr_There_has_been_an_al|Ходят слухи о пограничной стычке: {s9}
qstr_^^Note_that_so_long_|^^Обратите внимание: пока Вы являетесь маршалом, другие вассалы будут ожидать, что Вы поведете их за собой. Если Вы ждете начала пира, свадьбы или других событий, вы можете сложить с себя полномочия маршала, обратившись к Вашему сеньору.
qstr_Temperature:_+{reg0}|Temperature: +{reg0} C ^Pressure: {reg1} hPa ^Humidity: {reg2}% ^Wind: {reg3} km/h ^Cloudiness: {reg4}% ^Precipitation: {reg5}%
qstr_You_have_bought_a_fi|You have bought a field gun.
qstr_You_have_exceeded_pa|You have exceeded party size limit.
qstr_You_have_no_enough_m|You have no enough money.
qstr_Not_available_in_thi|Not available in this town.
qstr_You_have_bought_a_ho|You have bought a howizer.
qstr_Not_available_for_th|Not available for this faction.
qstr_Breaking_camp...|Лагерь свернут...
qstr_The_{s31}_gets_1_inf|The {s31} gets 1 infamy because of the prolonged war with {s32}.
qstr_Party_has_nothing_to|Бойцам нечего есть!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?бежали:бежал} из вашего отряда ночью.
qstr_{s1}_of_{s3}_has_bee|{s1} ({s3}) был освобожден из заточения.
qstr_Building_of_{s0}_in_|Строительство улучшения {s0} в {s4} было завершено.
qstr_{s1}_is_no_longer_in|В {s1} больше нет бандитов (ночью).
qstr_You_pay_for_accommod|Вы платите за постой.
qstr_Betrothal_to_{s5}_ex|Помолвка с {s5} утратила силу
qstr__Your_tactics_skill_| Ваш навык тактики увеличен на 1 пункт.
qstr__Your_persuasion_ski| Ваш навык убеждения увеличен на 1 пункт.
qstr__Your_leadership_ski| Ваш навык лидерства увеличен на 1 пункт.
qstr__Your_intelligence_h| Ваш интеллект увеличен на 1 пункт.
qstr__Your_trade_skill_ha| Ваш навык торговли увеличен на 1 пункт.
qstr__Your_weapon_master_| Ваш навык владения оружием увеличен на 1 пункт.
qstr__Your_engineer_skill| Ваше инженерное мастерство увеличено на 1 пункт.
qstr_You_have_finished_re|Вы прочли {s1}.{s2}
qstr_Book_Read|Чтение книги
qstr_{s1}_is_scouted.|Разведка у {s1} завершена.
qstr_{s1}_has_switched_fr|{s1} перешел от {s2} к {s3}.
qstr_The_{s1}_has_finishe|The {s1} has finished researching technology of {s2}
qstr_The_year_is_{reg0}.|The year is {reg0}.
qstr_North_German_Confede|North German Confederation
qstr_German_Empire|German Empire
qstr_Kingdom_of_Italy|Kingdom of Italy
qstr_Finished_improving_r|Finished improving relations with {s31}.
qstr_{reg65?my_Lady:my_Lo|{reg65?миледи:милорд}
qstr_{reg65?My_Lady:My_Lo|{reg65?Миледи:Милорд}
qstr_{reg65?madame:sir}|{reg65?мадам:сир}
qstr_{reg65?Madame:Sir}|{reg65?Мадам:Сир}
qstr__no_fiefs_|(нет владений)
qstr__fiefs:_{s0}_|(владения: {s0})
qstr_It_s_your_money_or_y|Кошелек или жизнь, {парень/девчонка}. Только без резких движений, а то мои парни нервничают.
qstr_Lucky_for_you_you_ca|Твое счастье, что я в хорошем настроении. Давай всю наличность и, может быть, мы оставим тебя в живых.
qstr_This_a_robbery_eh?_I|Это ограбление, ясно? Даю тебе один шанс: отдавай все что есть или прощайся с жизнью. Уразумел?
qstr_we_have_made_very_li|пока мы практически не продвинулись к цели
qstr_we_have_suceeded_in_|мы получили кое-что, но впереди еще долгий путь
qstr_we_have_become_a_sig|мы представляем из себя силу, с которой нельзя не считаться и у нас хорошие шансы на победу
qstr_we_are_winning_the_w|мы практически победили, но еще враги еще строят козни.
qstr_we_are_on_the_verge_|мы в шаге от победы. Оставшиеся противники не представляют угрозы, но их необходимо нейтрализовать окончательно.
qstr_Ever_since_the_fall_|Ever since the fall of the Holy Roman Empire, the Austrian Emperor has been doing their best to undermine Northern conglomeration efforts. We will have to defeat and dissolve the weak German Confederation, lead by the Austrians, in order to rise to the position of a German hegemon, and annex the Kingdom of Hannover.^^ - Defeat the German Confederation armies belonging to Austria, Wurtemberg and Hannover^ - Conquer and hold the Bavarian fortification of Nuremberg ^ - Conquer the capital city of Stuttgart^ - Sign peace with German Confederation on conditions of taking Nuremberg and Stuttgart^^ We will be able to hold onto any conquests we make during the war, and our ultimate goal is to annex the Northern German states. Victory will pave the way to ultimate unification after we take back Alsace-Lorraine.
qstr_War_with_France_has_|War with France has broken out, and our goal will be to utterly destroy them, take back German clay in Alsace-Lorraine, and ultimately declare Empire under our soon-to-be Emperor {playername}. It's time to display to the Southern Germans, foremost the Bavarians, that we are indeed capable of defending and leading the German people.^^ - Conquer the French border city of Strasbourg^ - Annihilate the French Army entirely^ - Sign peace with France on conditions of taking Strasbourg^^Let a united Germany rise from the ashes of the 2nd French Empire.
qstr_The_first_step_towar|The first step towards German unification must be the reconquest of the Northern German regions of Schleswig, Holstein, and Lauenburg, which, for the past centuries, have been under occupation by the Danish Kingdom. Taking back the region, and destroying the Danish in the process, would certainly display might and competence in the eyes of the German states.^^ - Conquer the city of Kiel.^ - Defeat the Danish armies and destroy their economy to force them to surrender.^ - Sign peace with Denmark on conditions of taking Kiel^^Once we've defeated the Danes, we can move on to our Southern rival, the Austro-Hungarian Empire.
qstr_Papal_State_and_our_|Papal State, and our primary Italian adversary, the Kingdom of Two Sicilies
qstr_Papal_State_and_our_p|Papal State, and our primary Italian adversary, the Kingdom of Sardinia
qstr_Kingdom_of_Two_Sicil|Kingdom of Two Sicilies, and our primary Italian adversary, the the Kingdom of Sardinia
qstr_Your_highness_those_|Your highness, those people are our allies! We will be condemned by the entire international community, and lose a valuable ally! Are you sure?
qstr_We_ve_agreed_by_truc|We've agreed by truce not to attack them, at least for the moment being. We will face extreme scrutiny if we do, regardless of how righteous our cause my be. Are you sure?
qstr_Considering_we_have_|Considering we have a valid reason to attack {s31}, I don't see any inherent reason why this should speak against us. If you wish, I will send out a message to their ambassador immediately.
qstr_I_am_afraid_we_don_t|I am afraid we don't have a justification for conflict at this point in time. We can naturally still declare war against {s31}, but expect international pressure to mount extremely quickly, and for it to put us in the crossfire of future and ongoing conflicts.
qstr_This_is_my_decision_|This is my decision to make, go ahead anyways.
qstr_Then_send_that_ambas|Then send that ambassador a message, and one to our generals, too.
qstr_You_have_my_blessing|You have my blessings, go ahead.
qstr_Let_s_not_act_rashly|Let's not act rashly. We have all the time we need, let's wait.
qstr_Hold_it_then_we_can_|Hold it, then, we can't get ourselves condemned by a dozen nations at once!
qstr_This_will_be_unneces|This will be unnecessary bloodshed through and through. Hold off on it.
qstr_{playername}_when_we|{playername}, в начале этого долгого пути практически никто не обладал достаточным мужеством, чтобы поддержать Нас, и еще меньше было готово отдать за Нас свою жизнь. Но Вы ни минуты не колеблясь бросились на Наших врагов. Вместе мы прошли через многое и часто надежда оставляла нас, но с Божьей помощью мы преодолели все. Теперь для Нас настало время покинуть Ваш отряд и взять принадлежащее Нам по праву. Отныне Мы несем ответственность за правление {s3}. Перед Нами стоит множество задач и Мы надеемся на Вашу помощь в их решении. И, конечно, Вы навсегда останетесь первейшим из Наших почитаемых вассалов.
qstr__We_will_of_course_n| Естественно, необходимо дождаться окончания кампании.
qstr_I_am_{s4}_the_ruler_|Я {s4}, сюзерен {s6}
qstr_I_am_{s4}_a_vassal_o|Я {s4}, вассал {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? и правитель {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} приказал Вам найти и доставить ему {reg3} голов скота.
qstr_{s9}_asked_you_to_sc|{s9} приказал Вам разведать окрестности {s13}, {s14} и {s15}, после чего доложить ему о результатах разведки.
qstr_you|вы
qstr_You_are_challenging_|Вы вызываете меня на дуэль? Фигляр! Впрочем, как пожелаете, {playername}. Я готов размяться с Вами, всадник без головы.
qstr_{s16}_and_{s17}|{s16} и {s17}
qstr_Very_well_I_will_acc|Хорошо, Мы вновь примем Вас в ряды Наших вассалов, если Вы готовы снова принести Нам торжественную присягу.
qstr_A_pardon_will_only_b|Мы даруем Вам прощение, если Вы готовы отказаться от {s17} в Нашу пользу. Вы согласны с таким условием?
qstr_No._There_is_no_chan|Никогда! Никогда не бывать миру между нами!
qstr_Our_marshal_{s1}|Наш маршал, {s1}
qstr_{s11}_and_{s12}|{s11} и {s12}
qstr_We_are_not_at_war_wi|В настоящее время мы ни с кем не воюем.
qstr_We_are_at_war_with_{|Мы воюем с {s12}.
qstr_go_on_the_offensive_|перейти в наступление
qstr_act_to_defend_our_la|принять меры для защиты наших земель
qstr_take_more_time_to_ga|ждать больше времени до сбора армии
qstr_You_promised_to_help|Вы обещали поддержку {s13} в его претензиях на трон {s14}.
qstr_What_do_you_say_to_e|Что Вы скажете о службе в качестве капитана наемников у {s9}? Без сомнения, Вы подходите для этой задачи.
qstr_{s9}_asked_you_to_ta|{s9} просил Вас доставить сообщение {s13}. {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s9}_asked_you_to_tak|{s9} просил Вас доставить сообщение {s13} ({s15}). {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s11}_asked_you_to_e|{s11} просил Вас сопровождать его {s17} {s13} в {s14}.
qstr_{s13}_asked_you_to_d|{s13} просил Вас разобраться с бандитами, захватившими деревню {s15} и после этого связаться с ним.
qstr_{s9}_asked_you_to_ra|{s9} просил, чтобы Вы обучили {reg1} человек до {s14} и привели их к нему.
qstr_{s9}_asked_you_to_co|{s9} просил Вас помочь в сборе налогов с {s3}. Он предложил Вам 1/5 от тех денег, что Вы соберете.
qstr_{s9}_asked_you_to_hu|{s9} просил Вас помочь в охоте на беглеца по имени {s4}. По всей вероятности, сейчас он находится в {s3}.
qstr_{s9}_asked_you_to_as|{s9} просил Вас помочь в убийстве торговца из {s3}.
qstr_{s9}_has_asked_you_t|{s9} просил Вас встретиться с его шпионом в {s13}.
qstr_{s11}_asked_you_to_f|{s11} просил Вас проследить за шпионом, который покинет {s12}. Будьте осторожны, чтобы шпион не заметил Вас, в противном случае он начнет подозревать слежку и повернет обратно. Когда шпион встретится со своим связником, Вам необходимо захватить их и привезти к {s11}.
qstr_{s11}_asked_you_to_c|{s11} просил Вас захватить одного из вассалов {s13} (любого) и привезти его к {s11}.
qstr_{s9}_asked_you_to_le|{s9} просил, чтобы Вы одолжили ему Вашего спутника {s3} на неделю.
qstr_{s9}_asked_you_to_col|{s9} просил Вас взыскать {reg4} динар, которые {s3} должен ему. На момент получения задания {s3} был в {s4}.
qstr_{s11}_gave_you_a_fak|{s11} дал Вам подложное письмо для {s13}, изобличающее его вассала {s16}. Поблизости от {s14}, отдайте это письмо одному из ваших {s15} и пошлите его в город гонцом. Он должен быть твердо уверен в истинности Ваших намерений.
qstr_{s9}_has_requested_y|{s9} просил, чтобы Вы привели ему {reg1} пленных {s3}.
qstr_Lend_your_experience|Предоставить Вашего опытного хирурга {s3} для {s1}.
qstr_Then_take_it_with_my|Примите это вкупе с моей вечной признательностью. Вы благородный человек. Я никогда не забуду, как Вы помогли мне в трудную минуту.
qstr_Forgive_me_{playerna|Простите меня, {playername}, но я настаиваю, чтобы Вы приняли их. Деньги мало значат для меня, а мой долг перед Вами высок. Возьмите-же и не будем больше об этом.
qstr_{playername}_what_a_|{playername}, Вы прекрасный человек и я не позволю Вам отказаться от награды. Мой долг перед Вами больше, нежели возможно выразить в словах, так возьмите эти деньги. Вы распорядитесь ими гораздо лучше чем я.
qstr_{s11}_asked_you_to_r|{s11} просила Вас спасти ее {s17}, {s13}, из {s14} поменявшись с ним одеждой и заняв его место в темнице.
qstr_{s11}_asked_you_to_re|{s11} просила Вас спасти ее {s17}, {s13}, томящегося в {s14}.
qstr_{s11}_asked_you_to_d|{s11} просила Вас доставить послание {s13}, находящемуся в плену в {s14}.
qstr_You_agreed_to_challe|Вы согласились бросить вызов {s13} в защиту чести госпожи {s11}.
qstr_{s5}__Persuasion_str|{s5} (сила убеждения: {reg5})
qstr_Persuasion_Attempt|Попытка убеждения
qstr_A_villager_from_{s7}|Селянин из деревни {s7} умолял Вас спасти ее от разбойников, нашедших там пристанище.
qstr_You_chose_well_{sir/|Одобряю Ваш выбор, {сир/мадам}. Мои соратники знают как держать слово и сполна отрабатывают свою плату.
qstr_Well_done_{sir/madam|Прекрасно, {сир/мадам}. Деньги и вино, и во всей Кальрадии Вам некого опасаться.
qstr_We_are_at_your_servi|Мы к Вашим услугам, {сир/мадам}. Просто покажите, кого нужно поучить манерам, а остальное мы сделаем сами.
qstr_The_Guildmaster_of_{|Цеховой мастер города {s13} просил Вас позаботиться о разбойниках, промышляющих в округе.
qstr_{s9}_of_{s3}_asked_y|{s9} ({s3}) просил Вас доставить {s6} в количестве {reg5} шт. в таверну города {s4} за 7 дн.
qstr_Escort_the_merchant_|Сопроводить торговый караван до {s8}.
