stringsfile version 1
3399
str_no_string NO_STRING!
str_npc10_home_description In_my_father's_day_the_Swadians_would_come_calling,_thinking_to_make_us_knuckle_our_foreheads_and_call_them_their_overlords._But_Grunwalder,_an_old_veteran_of_the_wars_from_the_hills,_showed_us_how_to_form_a_battleline_with_spear_and_crossbow_that_could_break_a_Swadian_charge._He_fell_in_battle,_but_the_people_gave_his_name_to_the_castle_that_was_built_here,_where_he_fell,_so_that_we_would_remember,_and_always_stand_firm_against_the_horsemens'_onslaught.
str_npc11_home_description I'm_from_Uxkhal._You_know_the_saying,_{sir/madame}_--_'Barley_grown_in_Uxkhal_is_made_into_ale_in_Praven,_and_we're_all_the_better_for_it.'_Not_sure_what_that_means,_{sir/madame},_but_it's_true_about_the_barley._And_wheat,_and_oats._We_grow_more_grain_here_in_the_Vale_of_Uxkhal_then_all_the_rest_of_Calradia_put_together,_and_our_ale_is_the_best,_too._You_can_see_it_in_the_soil_here_--_rich_and_black,_and_smells_of_good_harvests_and_full_bellies.
str_npc12_home_description The_lord_over_there_in_Almerra_Castle_had_the_dropsy,_and_had_requested_a_doctor_from_Uxkhal_to_treat_him._Like_a_typical_university-educated_doctor,_he_went_right_to_Galerian_for_a_cure._Galerian_commends_sun-metal_for_dropsy._Now_most_of_Galerian's_writings_were_useless_back_in_the_days_of_the_Calradic_emperors_when_they_were_first_written_down,_and_they're_doubly_worthless_today,_but_sometimes_he_hits_upon_the_right_cure_by_chance:_sun-metal_does_cure_some_kinds_of_dropsy_in_small_doses._However,_sun-metal_in_large_doses_is_poison,_something_that_the_Galerian-worshippers_never_grasped.
str_npc13_home_description I_had_come_up_here_with_a_small_Swadian_force,_but_they_were_caught_by_the_Rhodoks_in_the_woods_and_their_horsemen_cut_down_amid_the_trees._I_fled_and_found_shelter_up_in_the_high_valleys,_in_the_arms_of_the_comeliest_cowherd_you_ever_saw._She_took_me_to_a_cave_near_the_high_pastures,_and_would_bring_me_cheese_and_berries,_and_tell_me_the_tales_from_the_hills_--_of_playful_goat-men_who_guide_lost_animals_back_to_their_flocks,_or_of_ghostly_huntsmen_who_ride_the_winds,_chasing_stormclouds._Such_rustics_they_are!
str_npc14_home_description I_say_'trying'_because_in_my_opinion,_Vaegirs_don't_take_well_to_discipline._Finest_archers_you_ever_saw,_and_good_riders_too,_but_they_have_no_stomach_for_fighting_in_ranks._Their_skills_serve_them_well_enough_against_Khergits_and_Nords,_particularly_when_they_can_hide_behind_walls,_but_Sarranids_can_match_them_arrow_for_arrow,_and_I've_seen_Swadian_knights_cut_through_Vaegirs_like_a_knife_through_butter._Now,_a_Rhodok_spear-wall_is_designed_to_stop_a_Swadian_charge_in_its_tracks,_and_usually_does.
str_npc15_home_description Like_most_castles_that_last_around_here,_it's_got_foundations_that_are_old_Imperial_Calradic._You_can't_see_them_any_more_with_all_the_rebuilding,_but_the_slabs_are_the_size_of_a_house._They_must_have_been_real_sorcerors_back_in_those_days,_because_I_don't_see_how_they_moved_those_things_otherwise._Beautiful_location,_too_--_Culmarr_sits_right_in_front_of_the_pass_leading_out_of_Calradia,_which_allows_the_lord_to_charge_a_pretty_penny_in_tolls_during_the_three_months_of_the_year_that_it's_not_snowed_in.
str_npc16_home_description The_snows_in_these_valleys_don't_melt_until_late_in_the_year,_and_the_land_is_hard_to_plough._You_can_grow_a_bit_of_barley,_but_not_much_else._But_there's_wealth_here_in_the_woods:_deer,_rabbit_and_lynx,_meat_and_furs,_and_the_mountains_have_iron,_and_traders_would_ship_enough_saltfish_up_the_river_from_the_coast_to_keep_the_people_fed_for_the_winter.
str_npc1_home_description_2 They_go_easy_on_us_farming_folk,_and_don't_ask_for_much_in_tax_--_not_that_we_would_be_able_to_pay_in_any_case._The_land_isn't_good_enough_for_most_crops._Frankly,_it's_only_good_for_horse-rearing,_and_that_only_for_half_of_the_year,_in_the_winter_after_the_rains._In_the_summer_they_take_their_herds_back_into_the_mountains._Caravans_come_over_the_hills_and_bring_spice_to_Tulga,_but_we_don't_see_much_of_that_money_down_in_the_villages.
str_npc2_home_description_2 I_had_loaded_up_on_saffron,_cinnamon,_cloves,_pepper_and_other_spices_and_a_chest_full_of_denars._I_estimated_that_I_could_buy_linens,_furs,_velvet,_iron_and_wool,_and_the_extra_horses_to_carry_them_back,_and_I'd_still_make_a_profit._I_just_hadn't_figured_in_the_Khergits,_who_apparently_don't_care_for_others_cutting_in_on_their_monopoly.
str_npc3_home_description_2 The_poets_call_Veluca_a_paradise,_and_I_think_for_once_that_they_do_not_exaggerate.
str_npc4_home_description_2 How_do_I_know_this,_you_ask?_Well..._I_was_taken_by_them,_and_held_for_ransom,_but_I_got_away._That's_really_all_there_is_to_tell.
str_npc5_home_description_2 Of_course,_you_know_how_things_go._My_father's_generation_were_hard_warriors_from_the_cold_lands_across_the_mountains,_but_this_generation_all_has_houses_in_the_town_and_great_estates_and_spend_time_as_much_trading_as_they_do_practicing_archery._The_next_generation_will_grow_soft_on_Velucan_wine_and_will_lose_their_lands_to_the_next_batch_of_illiterate_hill-raiders_to_come_over_the_mountains,_just_you_watch._It's_how_things_always_were,_and_how_things_always_will_be.
str_npc6_home_description_2 We_men_of_Suno_also_never_forget_an_insult,_and_avenge_any_wrong_done_unto_us._Old-fashioned_Calradic_honour,_I_dare_say,_has_brought_me_to_my_current_fallen_state._But_despite_that,_I_am_proud_to_be_from_this_region._Our_lord_is_a_vassal_of_the_Swadian_king_in_Praven,_but_as_far_as_we_are_concerned_he_is_just_yet_another_barbarian_chieftain,_and_we_are_the_Empire's_true_heirs.
str_npc7_home_description_2 We_were_allowed_to_fish_the_river,_raise_pigs_amid_the_reedbeds,_and_grow_whatever_we_could_in_our_private_plots,_but_in_the_open_fields_we_were_only_permitted_to_grow_flax,_to_be_taken_to_Sargoth_and_woven_into_linen._So_we_were_always_hungry,_and_weak,_and_never_had_the_courage_to_rebel.
str_npc8_home_description_2 The_skalds'_tales_at_least_gave_Gundig_an_excuse_to_raise_a_warband_--_not_that_we_Nords_ever_need_an_excuse,_mind._He_sailed_across_the_sea,_rallied_the_Calradian_Nords_to_his_banner,_and_marched_on_the_Rock_of_Rivacheg._The_Vaegirs_killed_him,_and_threw_his_banner_into_the_surf._But_the_Nords_keep_coming,_and_some_day_all_of_Calradia_will_be_ours.
str_npc9_home_description_2 Just_as_the_Nords_can_call_on_their_kinfolk_overseas,_so_does_the_Vaegir_king_call_on_his_kinfolk_from_over_the_mountains._Had_my_father_not_disinherited_me,_I_would_also_have_taken_an_oath_of_fealty_to_the_lord_of_Reyvadin._But_just_as_I_was_shorn_of_my_inheritance,_so_also_was_I_shown_of_my_obligations,_and_it_is_the_Vaegir_king's_loss.
str_npc10_home_description_2 We_grow_mulberry_trees_here_for_silk_and_kermes_too_for_the_dye._We_take_it_to_Jelkala_where_they_weave_it_into_the_finest_velvet_--_not_that_I_have_ever_had_enough_denars_in_my_pocket_to_buy_velvet,_mind._But_the_craftsmen_of_Jelkala_also_make_good_crossbows,_and_for_that_I'll_not_begrudge_them_their_little_luxuries
str_npc11_home_description_2 The_Swadian_king_will_tell_you_that_Praven_was_the_biggest_city_in_Calradia_back_under_the_Empire,_and_that's_why_he_should_rule_the_whole_land_today._Mind_you,_I_don't_care_much_about_politics,_{sir/madame}_--_I've_sold_provisions_to_every_army_that_ever_marched_in_Calradia,_and_I_tell_you_that_I_wouldn't_give_a_single_one_of_them_a_single_biscuit_unless_I_had_the_cold,_hard_denars_in_my_hand_first._Why_these_high_and_mighty_kings_and_nobles_can't_pay_their_bills,_I'll_never_know._But_I_prattle_on_a_bit,_there,_don't_I?
str_npc12_home_description_2 The_difference_between_poison_and_cure_is_the_dose._You_tell_that_to_everyone_you_meet,_and_tell_them_you_heard_it_first_from_Jeremus_the_Great._People_think_that_all_the_wisdom_worth_knowing_was_written_in_Old_Calradic,_but_I_say_you_can_learn_twice_as_much_from_village_midwives_and_careful_examination_of_nature_than_from_the_entire_imperial_corpus._That's_why_they_threw_me_out_of_the_university,_although_in_retrospect_that_was_a_blessing._Anyway,_I_put_that_lord_back_on_his_feet,_and_he_availed_me_of_a_sack_of_gold_and_the_corpse_of_a_freshly_hanged_criminal_to_dissect._Ha!_To_think_of_the_lengths_I_had_to_go_to_get_specimens_back_in_those_days.
str_npc13_home_description_2 Eventually_I_had_to_leave,_and_sometimes_I_wonder_if_there_is_a_little_herdsboy_swaddled_on_her_back,_as_she_takes_the_cows_up_to_pasture_each_morning._I'd_be_tempted_to_try_to_find_her_--_but_no,_no,_one_should_never_look_back.
str_npc14_home_description_2 If_anyone_were_ever_to_unify_this_little_land_of_ours,_I'd_sign_up_to_serve_them,_free_of_charge._I'd_put_together_an_army_of_Rhodok_spears_with_Nord_footmen_on_the_flanks_and_Vaegir_archers_in_front,_take_along_some_Khergit_scouts_to_find_and_fix_the_enemy,_and_some_Swadian_lancers_and_Sarranid_mamlukes_to_finish_them_off._I'd_take_that_army_over_the_mountains_and_make_the_whole_world_kneel_to_Calradia...._Of_course,_that's_what_the_Emperors_thought,_and_in_the_end_the_tribes_took_away_their_Empire.
str_npc15_home_description_2 And_here's_the_funny_thing_--_when_the_Rhodok_lands_first_rebelled_against_the_Swadians,_they_all_said_they_weren't_going_to_have_any_noble_lords_ruling_over_them._You_can_guess_how_long_that_lasted._One_Rhodok_hill_chieftain_sets_himself_up_in_Culmarr,_calls_himself_'Count',_and_the_good_burghers_of_Jelkala_and_Veluca_have_to_lick_his_boots_if_they_want_to_sell_their_wine_and_velvet_outside_Calradia._And_if_you_want_to_keep_the_counts_under_control,_and_the_peasants_providing_the_towns_with_food_rather_than_selling_to_the_highest_bidder,_then_you_need_a_King_too,_don't_you?_The_Rhodok_lands_are_no_different_than_anyone_else,_whatever_guff_they_talk_about_'ancient_liberties'_and_'freedom.'
str_npc16_home_description_2 Still,_it_was_a_thin_living,_and_there_were_always_too_many_mouths_around_to_feed._The_Vaegir_king_and_the_Khergit_khan_don't_make_life_any_easier_for_us,_squeezing_for_tax_money_the_villages_they_control,_and_raiding_for_plunder_the_villages_they_don't._Of_course,_I_can't_say_I_wouldn't_do_the_same_if_I_had_a_castle_and_an_army_all_of_my_own._The_mighty_do_whatever_they_can,_and_the_humble_do_whatever_they_must.
str_npc1_home_recap I'm_from_the_high_steppe,_near_{s21}.
str_npc2_home_recap I_was_born_over_the_mountains.__I'm_a_merchant,_the_son_of_a_merchant,_and_the_grandson_of_a_merchant.
str_npc3_home_recap I_used_to_live_in_my_father's_house_in_{s20},_but_I_spent_much_of_my_childhood_in_{s21}.
str_npc4_home_recap Our_ancestral_barony_is_over_the_mountains,_across_the_Culdarr_pass.
str_npc5_home_recap I_was_born_in_the_highlands_on_the_other_side_of_the_mountains,_past_Tulga,_but_I_have_relatives_in_{s21}.
str_npc6_home_recap My_family_lives_in_{s21},_but_I_cannot_bear_to_face_them.
str_npc7_home_recap I_was_born_in_a_hovel_in_the_fens,_not_far_from_{s21}.
str_npc8_home_recap I_was_born_overseas,_in_Nordland,_and_my_husband's_hall_also_was_in_Nordland.
str_npc9_home_recap I_am_from_the_Vaegir_homeland_over_the_mountains,_where_the_Vaegir_lords_lived_before_the_Emperor_brought_them_in_Calradia.
str_npc10_home_recap Born_and_raised_in_Jelkala,_{Brother/Sister},_and_I_hope_some_day_to_buy_land_there._But_I_had_a_mind_to_see_a_bit_of_the_world_first,_so_I_took_my_crossbow_and_went_off_to_the_wars.
str_npc11_home_recap I_was_born_in_the_train_of_an_army,_and_lived_all_my_days_in_the_train_of_an_army._My_folk_are_from_Praven,_however,_so_I_guess_that's_as_much_home_to_me_as_anywhere.
str_npc12_home_recap I_come_from_overseas._I_travel_the_world_in_search_of_medical_lore.
str_npc13_home_recap Oh,_far_away_from_here,_my_{lord/lady},_else_you_would_already_have_heard_about_me,_and_would_not_need_to_ask_such_things.
str_npc14_home_recap I_am_the_younger_son_of_the_Count_of_Geroia.
str_npc15_home_recap I'm_from_over_the_hills._But_Calradia_is_where_the_money_is_to_be_made,_these_days,_if_your_trade_is_siegecraft.
str_npc16_home_recap Why,_captain,_I_was_born_in_Uslum_village,_but_my_mother_lost_her_land_to_a_scheming_relative_and_had_to_put_herself_in_bond_to_a_nearby_lord.
str_npc1_honorific boss
str_npc2_honorific {sir/madame}
str_npc3_honorific {sir/madame}
str_npc4_honorific captain
str_npc5_honorific {playername}_Bahadur
str_npc6_honorific captain
str_npc7_honorific captain
str_npc8_honorific {playername}
str_npc9_honorific {my_good_sir/my_good_lady}
str_npc10_honorific {Brother/Sister}
str_npc11_honorific {laddie/lassie}_--_I_mean_Captain
str_npc12_honorific captain
str_npc13_honorific oh_valorous_one
str_npc14_honorific commander
str_npc15_honorific captain
str_npc16_honorific captain
str_npc1_kingsupport_1 That's_a_great_idea,_Boss._All_these_kings_and_khans_and_landed_nobles_who_rule_now,_with_their_prisons_and_gibbets_and_scaffolds,_the_whippings_and_brandings_and_hangings_for_any_man_who_might_be_driven_by_the_crying_of_his_children_to_steal_a_loaf_of_bread,_or_maybe_a_horse_--_Calradia_deserves_something_better.
str_npc2_kingsupport_1 Well,_captain_--_I'd_support_you._I_think_you'd_give_Calradia_the_kind_of_enlightened_rule_which_it_has_long_needed.
str_npc3_kingsupport_1 Well,_my_lord_--_I_would_worry_for_you._Our_histories_tell_us_that_power_tends_to_corrupt._But_in_the_end,_I_am_comforted_by_the_mercy_and_judgment_you_have_shown_as_captain_of_this_company.
str_npc4_kingsupport_1 Well,_captain,_I_think_that_you_would_be_the_kind_of_{king/queen}_that_well-born_gentlemen_such_as_myself_would_be_proud_to_follow_into_battle...
str_npc5_kingsupport_1 A_fine_idea,_Bahadur_-_you_have_shown_that_you_know_how_to_govern_men._Mind_that_you_govern_them_justly,_though...
str_npc6_kingsupport_1 I_cannot_judge_the_legal_merits_of_your_claim._However,_I_think_that_unlike_the_other_kings_here,_you_have_the_capacity_to_unify_this_land_--_and_that_would_put_a_stop_to_these_endless_wars,_between_kingdom_and_kingdom,_noble_and_noble,_and_brother_and_brother,_that_have_brought_us_all_into_disgrace_in_the_eyes_of_the_heavens.
str_npc7_kingsupport_1 Aye_--_you'll_do_well._You_know_how_to_treat_bandits_and_ruffians.
str_npc8_kingsupport_1 The_saga_of_Bjernstad_tells_us_that_a_man_who_does_great_deeds,_beyond_those_of_the_other_men_of_his_time,_may_claim_the_throne._I'd_say_that_you_could_make_that_claim.
str_npc9_kingsupport_1 Very_good,_my_lord._I'm_a_Vaegir_by_blood,_but_Yaroglek_never_stood_for_me_when_I_was_cheated_of_my_inheritance._So_I_don't_owe_him_anything,_and_I_say,_'Let_the_throne_go_to_the_most_valiant!'_Which_would_be_you,_{sir/my_lady}.
str_npc10_kingsupport_1 Well,_{Brother/Sister},_I_suppose_there_must_be_{kings/kings_and_queens},_and_if_there_must_be_{kings/kings_and_queens},_then_you_would_be_as_good_a_{king/queen}_as_any...
str_npc11_kingsupport_1 Why,_that's_a_fine_idea,_{laddie/lassie}!_I_suppose_I_shall_have_to_learn_to_call_you_'Majesty',_or_'Your_Grace',_then...
str_npc12_kingsupport_1 I_am_sure_that_you_would_make_a_fine_king,_captain._I_flatter_myself_that_I_am_a_good_judge_of_character,_and_you_have_demonstrated_a_capacity_for_compassion_that_far_exceeds_that_of_these_others_who_call_themselves_monarchs.
str_npc13_kingsupport_1 That_would_be_a_fine_thing,_{sir/my_lady}!_Many_is_the_tale_of_the_hero_who_has_proven_his_worthiness_to_wear_a_crown_through_valor._Perhaps_you_know_the_song_of_Antaran_son_of_Ashdab,_who_rose_from_obscurity_to_become_king_of_Dabarah._A_splendid_tale!
str_npc14_kingsupport_1 Well,_sir,_the_heavens_have_instituted_a_hierarchy_in_this_world,_and_normally_I_would_have_no_truck_with_usurpation._But_I_also_think_that_the_kings_of_this_land_are_a_weak_and_sorry_lot,_not_worthy_of_the_name_of_king,_and_that_leaves_the_crown_free_to_be_taken_by_a_better_{man/ruler},_such_as_yourself.
str_npc15_kingsupport_1 Well,_you_pay_your_men_on_time,_when_you_can,_generally_speaking._That's_the_best_qualification_for_kingship_there_is,_in_my_book._You_show_some_respect_for_the_rights_of_others.
str_npc16_kingsupport_1 Why_not,_captain?_I'm_sure_you'd_make_a_fine_{king/queen}_--_and_of_course_I'd_hope_you_remember_the_little_people_like_myself_who_did_you_a_pretty_turn_on_your_scramble_to_the_throne.
str_npc1_kingsupport_2 Sure_would,_Boss._But_let_me_tell_you_what_might_bring_others_to_your_cause_--_particularly_us_poor_folk._They_tell_us_that_in_the_old_days,_each_new_Emperor_who_took_the_throne_would_issue_a_great_amnesty_for_all_but_the_worst_prisoners_in_his_dungeons,_give_people_a_second_chance_to_make_something_of_themselves_--_like_you_gave_me_a_second_chance,_Boss.
str_npc2_kingsupport_2 Most_of_the_lords_of_this_land_--_well,_let's_just_say_that_they_never_held_a_denar_that_they_didn't_collect_as_rent_or_take_as_pillage._You,_on_the_other_hand,_have_some_experience_of_commerce_and_trade,_of_the_effort_and_risk_involved_in_making_sure_that_men_don't_go_hungry_in_Sargoth_while_there's_a_glut_of_grain_in_Praven,_to_give_an_example...._If_you_like,_captain,_I_reckon_I_could_find_some_support_for_you_among_the_merchants_and_burghers_of_this_realm.
str_npc3_kingsupport_2 I_would,_{my_lord/my_lady}._But_I_would_strongly_recommend_that_you_reinstitute_an_old_Calradic_imperial_tradition_--_the_council_of_lords_and_commons,_drawn_from_both_the_nobles_of_the_land_and_well-educated_men_of_property,_with_the_power_to_overrule_any_new_taxes_or_other_tyrannical_measures_that_might_tempt_you._It_would_be_for_your_own_good,_{sir/my_lady}.
str_npc4_kingsupport_2 Of_course,_{captain/my_lady}._The_trick_is_now_to_get_others_to_follow_you._As_you_know,_one's_lineage_is_a_great_determinant_of_one's_worthiness._Perhaps_you_have_a_long-lost_ancestor_of_whom_you_have_not_told_me?
str_npc5_kingsupport_2 Ay,_Bahadur,_I_would._But_there_is_something_I_should_say,_on_behalf_of_the_men_of_the_steppes_such_as_myself._It_would_bring_great_joy_to_us,_to_hear_from_the_lips_of_one_who_would_be_khan,_that_you_would_restore_an_anicent_right._From_the_days_of_the_old_emperors,_the_men_of_the_steppes_have_enjoyed_the_right_to_bring_their_flocks_to_new_pastures_or_to_market,_which_necessarily_involves_the_crossing_of_lands_owned_by_the_great_lords_of_this_realm.
str_npc6_kingsupport_2 I_would._I_would_tell_anyone_who_listens_of_your_deeds_on_behalf_of_the_weak_and_helpless,_of_your_ability_to_lead_men_against_great_odds_and_triumph,_and_tell_them_that_if_you_were_to_become_{king/queen},_there_would_be_one_law_and_one_peace_--_from_the_Rhodok_highlands_to_the_Vaegir_wastes,_from_the_high_steppe_to_the_Nordic_shore.
str_npc7_kingsupport_2 Yes,_captain,_I_would._A_{king/queen}'s_duty_is_to_keep_the_roads_safe_for_decent_folk,_make_it_so_a_woman_can_gather_the_firewood_or_draw_the_water_without_being_accosted_by_some_drooling,_scabby_ape_of_an_outlaw._Anyway,_you've_split_the_skulls_of_a_number_of_such_brutes_in_your_time._Men_would_fear_to_even_meet_the_eyes_of_a_woman_on_the_road,_if_you_were_{king/queen}.
str_npc8_kingsupport_2 I_would_--_on_one_condition._You'd_be_king_in_Praven_or_Sargoth_or_wherever_you_want_to_rule,_but_I'd_rule_my_own_hall._And_if_I_had_a_dispute_with_any_other_of_your_thegns,_be_it_over_land,_livestock,_or_blood,_you'd_let_us_settle_it_sword_to_sword,_according_to_the_old_ways,_and_let_the_heavens_decide_who_is_in_the_right.
str_npc9_kingsupport_2 I_would,_{sir/madame},_and_others_would_too._But_here's_what_I_think_--_you_need_to_show_the_noble_lords_that_you'll_uphold_their_ancient_rights._Right_now,_Calradia's_a_mess_--_the_lord_owns_the_land,_except_it's_the_king_who_owns_the_forest,_but_the_city_has_the_right_to_levy_tax_at_its_gates,_and_the_commons_can_use_the_pastures_on_odd_Tuesdays,_except_in_Rivacheg_when_it's_Wednesday._Who_can_remember?_So_I_say_you_make_things_simple,_like_it_was_in_the_old_days_--_first_the_{king/sovereign},_then_the_lords,_then_everyone_else.
str_npc10_kingsupport_2 Certainly,_{Brother/Sister}._But_I'd_ask_that_you_consider_a_thought_of_mine._If_you_became_{king/queen},_then_I'd_ask_you_open_your_court_to_the_common_folks,_and_not_just_to_the_lords_and_blue-bloods._I'd_ask_you_to_let_it_be_known_that_should_any_man_be_judged_and_sentenced,_that_he_have_the_right_to_appeal_to_you_directly._Right_now,_the_lords_have_the_right_--_I_say_every_man_in_Calradia_should_have_it,_too.
str_npc11_kingsupport_2 Of_course,_I_would!_Let_me_see_your_hand,_there..._Aha!_You've_got_the_'Mark_of_Kings.'_That's_what_we_call_it_in_Praven,_anyway._I_hear_in_Suno_it's_the_'Emperor's_Line,'_but_they_call_everything_differently,_over_there._Anyway,_yours_is_very_long_--_I'd_say_that_it_means_that_you're_meant_to_rule!_It's_your_destiny!_In_fact,_I_think_I_can_even_recall_a_prophecy_to_that_effect._Hmm,_how_did_it_go...
str_npc12_kingsupport_2 Of_course,_captain.__But_if_I_have_learned_anything_in_my_travels_in_this_land,_it_is_that_Calradians_are_sticklers_for_precedent._Everything_must_be_done_as_it_was_done_in_the_days_of_the_old_Empire_--_even_though_not_more_than_one_in_a_hundred_of_them_can_read_enough_Old_Calradic_to_understand_the_chronicles!_Veluca_merchants_marry_their_daughters_according_to_the_'imperial'_rite._Rivacheg_cattle_herders_churn_'imperial'_butter._And_of_course,_every_king_must_be_crowned_according_to_'imperial'_law.
str_npc13_kingsupport_2 Of_course,_{my_lord/my_lady}._Also,_as_we_learn_from_the_tale_of_Antaran,_when_claiming_a_throne,_it_does_not_hurt_to_be_the_subject_of_an_epic,_recited_around_campfires_and_hearthfires,_describing_one's_deeds._As_you_no_doubt_know,_I_fancy_myself_a_fair_crafter_of_couplets.
str_npc14_kingsupport_2 I_would_indeed,_sir._I_think_you_can_unite_this_land,_and_then_we'll_be_able_to_raise_an_army_such_as_Calradia_has_not_seen_for_many_generations_--_Swadian_lances,_Vaegir_archers,_Rhodok_spears,_Sarranid_swords,_Nord_axes,_and_Khergit_skirmishers,_and_take_it_over_the_mountains_to_subdue_all_the_lands_that_the_Calradic_emperors_once_held_sway.
str_npc15_kingsupport_2 I_would._People_might_say_that_you_don't_have_royal_blood_in_your_veins._But_as_far_as_I've_seen,_royal_blood_makes_you_a_skinflint._Kings_and_nobles_will_take_out_loans_or_commission_building_projects_without_half_a_thought_to_how_they're_ever_going_to_pay_back_all_those_commoners_who_expect_to_eat_after_an_honest_day's_work._If_you_ask_me,_an_honest_tongue_makes_a_{man/woman}_a_{king/queen},_not_a_fancy_pedigree.
str_npc16_kingsupport_2 Of_course,_my_{lord/lady}._And_what's_more,_I_figure_a_girl_like_me_could_do_you_a_bit_of_a_service_raising_support_with_the_lords_of_this_land._I_may_have_only_had_a_small_part_in_their_schemes_and_intrigues_over_the_years,_but_I_think_I_know_what_they_want._And_given_what_I_know_of_their_secrets,_they'd_not_want_to_be_denying_me_admission_to_their_halls,_now_would_they?
str_npc1_kingsupport_2a Please_go_on...
str_npc2_kingsupport_2a Please_continue...
str_npc3_kingsupport_2a Please_continue...
str_npc4_kingsupport_2a Of_course_-_let_me_tell_you_all_about_him.
str_npc5_kingsupport_2a Please_go_on...
str_npc6_kingsupport_2a Splendid
str_npc7_kingsupport_2a Well,_yes,_I_will_try_to_keep_order...
str_npc8_kingsupport_2a Fair_enough
str_npc9_kingsupport_2a That_seems_sensible_enough...
str_npc10_kingsupport_2a Of_course_-_I_would_give_my_subjects_that_right
str_npc11_kingsupport_2a See_if_you_can_recall_that_prophesy.
str_npc12_kingsupport_2a Interesting._Please_go_on...
str_npc13_kingsupport_2a Why,_yes,_that_you_are.
str_npc14_kingsupport_2a Please_go_on...
str_npc15_kingsupport_2a Well-spoken,_my_good_man
str_npc16_kingsupport_2a Interesting..._Please_continue
str_npc1_kingsupport_2b Well._We_saw_how_that_turned_out...
str_npc2_kingsupport_2b I_do_not_ask_for_their_support,_as_they_would_no_doubt_wish_to_make_a_profit_on_the_transaction.
str_npc3_kingsupport_2b I_have_no_intention_of_hobbling_myself_in_that_way.
str_npc4_kingsupport_2b I_will_have_no_part_of_this
str_npc5_kingsupport_2b I_said_that_I_wished_to_be_{king/queen},_not_that_I_wished_to_involve_myself_in_the_minutiae_of_nomadism
str_npc6_kingsupport_2b I'm_not_sure_that_I_can_quite_deliver_all_that
str_npc7_kingsupport_2b I_think_you're_maybe_taking_the_idea_of_the_king's_peace_a_bit_too_far,_there
str_npc8_kingsupport_2b That's_a_pretty_tall_condition
str_npc9_kingsupport_2b I'm_not_sure_that_implementing_your_idea_would_be_as_'simple'_as_you_think
str_npc10_kingsupport_2b Hmm._Let_me_think_it_over.
str_npc11_kingsupport_2b Ah..._I'll_have_my_hand_back,_please.
str_npc12_kingsupport_2b Enough,_sir._I_will_not_have_you_mock_our_traditions
str_npc13_kingsupport_2b Hmm._I'm_not_sure_about_that.
str_npc14_kingsupport_2b Actually,_I_was_looking_forward_to_a_bit_of_rest_after_becoming_{king/queen}...
str_npc15_kingsupport_2b {King/Queen}_of_the_Clerks,_maybe,_Enough_of_such_talk
str_npc16_kingsupport_2b No_offense,_but_I'm_not_sure_that's_the_approach_I'd_take
str_npc1_kingsupport_3 If_I_could_go_about_this_land_for_a_few_weeks,_telling_the_common_folk_that_you_were_going_to_amnesty_their_kinfolk_like_the_emperors_of_old_--_well,_they_would_start_talking_of_you_as_the_Emperor,_and_that_would_pave_your_way_to_the_throne._Shall_I_do_that,_Boss?
str_npc2_kingsupport_2 If_you_like,_captain,_I_can_take_a_few_weeks_to_visit_the_guildhalls_and_caravanseries_where_I_have_contacts,_and_explain_to_them_that,_in_you,_they_will_have_a_{king/ruler}_who_will_check_the_rapacious_nobles,_who,_with_their_tariffs_and_taxes,_would_strangle_commerce_for_the_sake_of_a_few_extra_denars_to_spend_on_their_wars_and_their_feasts._What_do_you_say_to_that,_captain?
str_npc3_kingsupport_3 If_you_were_to_make_such_a_pledge,_{sir/madame},_I_think_that_it_would_help_many_of_the_lords_of_this_land_overcome_any_reluctance_that_they_might_have._If_your_aim_is_to_restore_the_old_Calradic_system,_then_arguably_you_are_a_more_legitimate_{king/ruler}_then_any_of_these_come-lately_usurpers._Give_me_leave_for_several_weeks,_{sir/madame},_and_I_will_let_it_be_known_in_the_noble_courts_and_merchant_houses_of_this_land_that_you_intend_to_restore_their_ancient_rights.
str_npc4_kingsupport_3 Yes_--_I_think_I_have_heard_of_that_line,_In_fact,_I_can_envision_{his/her}_entire_genealogy._If_you_give_me_leave,_'Majesty',_I_shall_travel_about_the_villages_and_castles_of_this_realm_over_the_next_several_weeks,_spreading_word_of_your_royal_birth._Of_course,_I_would_hope_that_you_would_remember_your_faithful_subject,_when_it_comes_to_distributing_lands...
str_npc5_kingsupport_3 Anyway,_lord,_in_these_sorry_times_the_men_of_the_great_estates_have_taken_to_blocking_our_passage,_charging_us_huge_fees_to_cross._It_is_a_great_burden_on_my_people,_Bahadur._If_I_could_take_a_few_weeks_to_let_the_men_of_the_steppes_know_that_you_would_support_the_restoration_of_our_ancient_rights,_well,_then,_I_think_you_would_find_many_who_would_support_you_as_khan,_And_when_men_speak_of_you_as_khan,_that's_the_first_step_to_becoming_one.
str_npc6_kingsupport_3 Very_well._Although_I_am_now_a_stranger_to_my_family,_I_have_entered_many_a_noble's_hall_in_your_train,_and_I_reckon_I_would_be_welcome_again._I_shall_go_about_this_land_and_tell_the_nobles_that_when_you_are_{king/queen},_you_will_strive_your_hardest_to_protect_the_weak_and_to_crush_discord,_so_that_no_man_will_raise_his_hand_against_another_with_impunity,_and_one_day,_perhaps,_the_sin_of_fraticide_will_be_no_more.
