str_no_string|ŽÁDNÉ ŘETĚZCE!
str_npc3_retirement_speech|Promiň, ale musím ti něco říct. Rozhodla jsem se, že válečnický život pro mě není to pravé. Myslím, že už je pro mě trochu pozdě na to, abych se dobře vdala. U nás by si nikdo nevzal za manželku ženskou, která sloužila ve vojenské kumpanii. Ale mám dost peněz, abych si mohla otevřít kupecký krám. Doufám, že se nebudeš zlobit, {pane/paní}.
str_npc4_retirement_speech|Bojoval jsem po tvém boku se ctí a odvahou, jak se sluší na syna z rodu Rolfů, ale nejsem s tvým velením zcela spokojen. Vrátím se domů, na panství svých předků, kde bude mých služeb více zapotřebí.
str_npc5_retirement_speech|Bahadure, přijal jsem tvou sůl a bojoval jsem tedy za tebe zuřivě a věrně. Ty ses mi však za mé služby často {neodvděčil/neodvděčila} takovým velením, jaké jsem si zasluhoval. A tak se vrátím domů a budu doufat, že už na mne chánovi chlapi pozapomněli a zase se uvidím s otcem a s bratry.
str_npc6_retirement_speech|Přidal jsem se k této společnosti, neboť jsem doufal, že mne vyvede z temnot, a skutečně jsem zde nalezl klid a pokoj duše. Mám však určité pochybnosti o tvých velitelských schopnostech a mám důvodné podezření, že cestu ke spáse lze nalézt kdekoliv.
str_npc7_retirement_speech|Tenhle mizerný život a nekonečné válčení už mě unavuje, stejně jako pohled na lidi ponížené strachem, chamtivostí, chtíčem a stovkami dalších hříchů. Našetřila jsem si nějaké peníze. Odjedu do zámoří, hledat lepší zemi, než je Calradie. Předpokládám, že se beze mne docela dobře obejdeš.
str_npc8_retirement_speech|Bojovala jsem ve tvé štítové hradbě a vedlo se mi dobře. Tvé velení se mi však někdy nelíbilo a kromě toho mám jiné povinnosti. Vezmu si svůj podíl na kořisti, seberu vlastní válečnou družinu a odpluji do Nordlandu dobýt panství svého muže zpět z rukou svého proradného švagra. Měj se dobře.
str_npc9_retirement_speech|Bojovalo se nám spolu dobře a vydobyli jsme si velkou slávu. Mám však určité výhrady k tvým velitelským schopnostem a kromě toho musím jít se ujmout svého dědictví. Opouštím tě. Snad se ještě někdy potkáme.
str_npc10_retirement_speech|Už mě unavuje projíždět Calradií křížem krážem nazdařbůh. Našetřil jsem si dost, abych si mohl někde koupit kousek půdy, a myslím, že to zkusím. Měj se dobře, a hodně štěstí.
str_npc11_retirement_speech|{Prokázal/Prokázala} jsi staré ženské velkou službu, když jsi mě {přijal/přijala} do své družiny. Bohužel už mě však tento způsob života netěší o nic víc, než když jsem jezdila s vozem v terénu. Trochu moc zima, občas hlad a nakonec tě nečeká nic než díra v zemi. A tak si půjdu po svých, i když ještě nevím kam přesně.
str_npc12_retirement_speech|Nevedlo se mi ve tvé družině špatně. Měl jsem plné břicho, občas i nějaké zlato ve váčku a rozšířil jsem si znalosti o zraněních a nemocech. V tomto směru si nemůžu stěžovat! Teď už si ale myslím, že mě služba ve tvé družině omezuje. Je mou povinností předat získané znalosti dalším chirurgům, na to si musím najmout písaře - a těch je v Calradii po čertech málo. Měl bych se vrátit domů.
str_npc13_retirement_speech|Tvá šťastná hvězda stoupá, proslulost tvého jména se zvyšuje a já se obávám, že má vlastní reputace ve tvém stínu bledne, tak, jako bledý měsíc zastiňuje zářivé, spalující slunce. Rozhodl jsem se, že se postavím na vlastní nohy. Přeju ti ohromnou spoustu štěstí!
str_npc14_retirement_speech|Chtěl bych tě požádat o rozvázání pracovního poměru. Chci si najít jiné zaměstnání.
str_npc15_retirement_speech|Vážím si toho, že sis mě {najal/najala}, ale moc se mi nelíbí, jak se věci vyvrbily. Odjedu někam jinam - možná pojedu domů, možná si najdu nějakou jinou práci. Ještě jsem se nerozhodl.
str_npc16_retirement_speech|Vedlo se mi ve tvé družině dobře a ukořistila jsem na bojišti pěkných pár cenností, ale už mě to neláká. Opustím tě a nabídnu své schopnosti zase někomu jinému.
str_npc1_rehire_speech|Veliteli, rád tě zase vidím. Vím, že jsme se v minulosti moc neshodli, ale upřímně řečeno, byla to nejlepší doba v celém mém životě. A abych pravdu řekl, těžko se mi teď hledá práce. Poslyš, kdybys mě {chtěl/chtěla} vzít zpátky, rád bych se zase přidal ke tvé družině.
str_npc2_rehire_speech|{Pane/Paní}! Rád tě zase vidím. I když, musím se přiznat. Hledal jsem tě. Koupil jsem si náklad zboží, jak jsem ti říkal, naložil jsem ho a vyjel jsem s ním do stepi. Ale {nevěřil/nevěřila} bys tomu, zase tam podnikají nájezdy Khergité, a tak jsem o všechno přišel. Hádám, že je mi zkrátka souzeno, že si musím štěstí vybojovat. A mezi lidmi se povídá, že se ti nevede špatně. Takže, co říkáš, {pane, nevzal/paní, nevzala} bys mě zpátky?
str_npc3_rehire_speech|Zdravím, {pane/paní}! Moc ráda tě zase vidím. Od té doby, co jsme se rozešli, jsem se bohužel moc daleko nedostala. Rodina mé mámy, od které jsem čekala, že mi do začátku s obchodem trochu vypomůže, mě nepřijala tak dobře, jak jsem doufala. Tetičky mi v jednom kuse vyčítají, jak jsem se mohla dobře vdát, kdybych se byla netahala s žoldnéřskou kumpanií. Možná jsem přece jenom lepší válečník než kupec a raději se podělím o jídlo u táboráku s drsnými chlapy, než bych popíjela víno se smetánkou ve Veluce. {Pane/Paní}, musím se tě zeptat. Vezmeš mě zpátky?
str_npc4_rehire_speech|Dobrý den, {kapitáne/kapitánko}. Dlouho jsme se neviděli. Slyšel jsem, že se ti vedlo dobře. Co se mě týče, měl jsem na svém panství jednu potíž za druhou. Kobylky, přívalové deště, vzpurné poddané a tak podobně. Říkal jsem si, že bych se mohl zase chopit meče. Vím, že mezi námi byla trocha zlé krve, ale bylo by mi ctí opět bojovat po tvém boku.
str_npc5_rehire_speech|{playername} Bahadure! Tvá sláva roste nade všechny meze. I v mé vlasti za horami už máš značný věhlas. Vrátil jsem se tam a doufal jsem, že už na mě chánovi muži zapomněli. Jenže nezapomněli, ještě jsem ani nevkročil do rodného údolí, už mě příbuzní varovali, že mě chán i Humyané pořád hledají. Tak jsem se zase vrátil a doufám, že jsi aspoň ty {zepomněl/zapomněla} na drsná slova, která jsem ti řekl, a chci se zeptat, jestli bych zase mohl bojovat s tebou.
str_npc6_rehire_speech|Rád tě zase vidím, {pane/paní}. Lidé všude žasnou nad tvými statečnými činy. Zato mě se tak dobře nevedlo, od té doby, co jsem tě opustil. Kamkoli se vrtnu, cítím, jak se ke mně vracejí mí démoni. V duši mám nepokoj. Z důvodů, které nedokážu plně vysvětlit, jsem ve tvé družině našel klid, i když jsem měl určité výhrady proti tvým velitelským schopnostem. Přijmeš mě znovu do svých služeb?
str_npc7_rehire_speech|{Kapitáne/Kapitánko}! Ráda tě zase vidím. Promiň mi, co jsem říkala, když jsme se rozloučili. Nastoupila jsem ve Werchegu na loď, vypluli jsme k jihu, ale přepadli nás piráti, a když jsem zaplatila výkupné, vysadili mě zase tady. Možná jsou na světě lepší místa než Calradie, ale mně zatím není souzeno se tam dostat. Tak jsem si říkala, když už mám žít tady, bylo by mi v tvé družině stejně dobře jako kdekoli jinde. Vezmeš mě zpátky?
str_npc8_rehire_speech|Buď {pozdraven/pozdravena}, {playername}. Tak si říkám, jestli by mohla být zapomenuta drsná slova, jež byla mezi námi v minulosti vyřčena. Rozhodila jsem sítě mezi zdejšími seveřany, jestli bych tu dokázala najít dost chlapů, se kterými bych mohla dobýt zpět panství svého muže. Nesehnala jsem však posádku ani pro jeden drakkar a chlapi, které jsem zverbovala, se navíc rychle začali nudit a pozdrhali mi. Ale samozřejmě až potom, co prochlastali všechno mé našetřené zlato. A tak jsem si říkala, jaké to byly dobré časy, když jsme bojovali pospolu, a jaká dobrá kořist...
str_npc9_rehire_speech|{Člověče zlatý/Holka zlatá}! Jak rád já tě zase vidím! Hledal jsem práci snad u všech pánů, co jich v zemi je, ale všude jsem se šeredně zklamal. Polovina z nich mě poslala vybírat daně od svých vazalů, jako bych byl nějaký poslíček v bance nebo co nebo nahánět nevolníky jako prachsprostý rychtář. Jeden pán po mě dokonce chtěl, abych odpravil jeho věřitele! Hledal jsem tě a chtěl jsem se zeptat, jestli bych se nemohl zase přidat k tobě.
str_npc10_rehire_speech|{Kapitán/Kapitánko}! Rád vás zase vidím. Ukázalo se, že jako farmář za moc nestojím. Hádám, že jsem byl na tu čeládku moc měkký. Úplně mě oškubali. Myslím, že ze všeho nejlíp mi jde boj. Takže povězte, {kapitáne/kapitánko}, pořád hledáte dobré chlapy?
str_npc11_rehire_speech|{Kapitáne/Kapitánko}! Moc ráda vás zase vidím! Mezi lidmi se povídá, že se vám daří, na co sáhnete, a ty zisky... Pravda, jsem takový neposedný pytel starých kostí. Opustila jsem vás, když mi přestal vonět válečnický život, ale bydlela jsem pak nějaký čas ve městě a uvědomila jsem si, že jsou na světě horší věci než plné bříško, poctivá společnost a radost z pohledu na prchající nepřátele. Takže, nebudete zase někoho potřebovat?
str_npc12_rehire_speech|{Kapitáne/Kapitánko}! Jak rád vidím poctivou tvář, jako jsi ty. Svět je samá lež a špinavost. Představ si, vrátil jsem se domů, abych publikoval své poznatky, najal jsem si písaře, sepsal jsem několik pojednání a čekal jsem na redakční posudky. Ale ukázalo se, že univerzitám záleží na skutečných znalostech v oboru medicíny asi tolik, jako kdysi tomu přihřátému Galénovi. A ti vydavatelé, takovou bezohlednost jsem snad v životě neviděl. Půjčovali knížky po jednotlivých kapitolách studentům, takže se mi jich půlka vůbec nevrátila a zbytek je politý vínem a podobně. Nedal jsem pak dohromady ani jeden exemplář svých sebraných spisů. Pořád se snažím, ale potřeboval bych nejdřív nějaké peníze. Nehledáš náhodou polního chirurga?
str_npc13_rehire_speech|Buď {pozdraven/pozdravena}, {slavný hrdino/slavná hrdinko}. Doufal jsem, že se zase uvidíme. Všude, kudy procházím, slýchám příběhy a písně o tvých skutcích. Musím říct, že jsem trpce litoval, že jsem od tebe odešel, a přiznám se, že mě hryzala žárlivost na tvůj věhlas. Říkal jsem si, jestli bych nemohl zase bojovat po tvém boku a podílet se tak na odlesku tvé slávy. Možná bychom zase mohli nějaký čas jezdit pospolu?
str_npc14_rehire_speech|{Kapitáne/Kapitánko}. To je fajn, že tě zase vidím. Když jsme se minule rozešli, byl bych přísahal, že už ti v životě sloužit nebudu, ale možná jsem tě soudil moc tvrdě. Všude po celé Calradii tě lidé velebí. Zkusil jsem vstoupit do služby v armádách jiných pánů a můžeš mi věřit, že to, co jsem tam viděl, obnovilo mou důvěru v tvé velitelské schopnosti. Kdybys mě {chtěl/chtěla} do své družiny, zase bych za tebe rád bojoval.
str_npc15_rehire_speech|Koho to nevidím, {playername}. Nemůžu říct, že by mě to setkání netěšilo. Víš, když jsem od tebe odcházel, už jsem měl dohodnutou jinou práci, ale představ si, že když byl čas jít si pro výplatu, měl pán plno řečí a výmluv a dokonce si různě na mou práci stěžoval. Nebudu tvrdit, že jsem byl ve tvé družině vždycky šťastný, ale aspoň jsem vždycky dostal po každé bitvě zaplaceno. Ještě pořád nabízíš práci?
str_npc16_rehire_speech|{Kapitáne/Kapitánko}! Povídá se, že jste se {měl/měla} dobře za tu dobu, co jsme se neviděli.  Přiznám se dobrovolně, že jsem na vás nadávala, když jsme se rozešli, ale pak jsem o tom přemýšlela a nebylo to u vás tak špatné. Všichni tihle páni mi s radostí svěří různé bezvýznamné úkoly, ale aby mě postavili pěkně do bojové linie, to ani za prase. Že prý jim děsím mužstvo. Zaslechla jsem, jak si mumlali, že prý jsem čarodějnice nebo že za syrova požírám ještě teplá srdce zabitých nepřátel a podobný fujtajbl. Ne že by mi vadilo někoho podříznout ve spaní, ale mám z toho podstatně větší radost, když je vzhůru, klade odpor a snaží se mě odkopnout. Tak jsem si říkala, že se po vás poohlédnu a poptám se, jestli mě zase nevezmete.
str_npc1_home_intro|{Veliteli/Velitelko}, víte, že jsem se narodil kousek odtud, v širé stepi? Tady jsem si taky vypěstoval dobré oko pro koně, protože tahle země je moc dobrá pro koně, ale zatraceně tvrdá pro lidi. Myslím, že právě to se na ní Khergitům tak líbí.
str_npc2_home_intro|Blížíme se k Sargothu. Tam jsem měl namířeno, když mě Khergiti dostali.
str_npc3_home_intro|Cítíš to taky? Citronovníky, jabloně a kvetoucí krokusy. Tak voní Veluka. Když jsem byla malá holčička, prožila jsem tu jedno opravdu šťastné léto. Hrála jsem si v zahradách matčiny rodiny, zatímco byl otec pryč za obchodem.
str_npc4_home_intro|Elderdažské hvozdy. Pche. Hemží se to tu psanci a bandity.
str_npc5_home_intro|Bahadure, blížíme se k Halmaru, k největšímu městu na dolní stepi. Jedna teta z matčiny strany se provdala za zdejšího měšťana, tak jsem si říkal, že bych se mohl hlásit do služby zdejšímu pánovi. Teda, než jsem narazil na tebe.
str_npc6_home_intro|Podle těch vinic a teras na úbočí kopců bych řekl, že už jsem skoro doma. Po setkání s rodinou zrovna moc netoužím, takže jestli půjdeš do města, počkal bych radši před hradbami. Jsem si jistý, že to chápeš.
str_npc7_home_intro|Cítíš to taky? Nasolené ryby, tlející plachtovina a říční bahno. Vůně mého dětství. Dělá se mi z toho špatně od žaludku.
str_npc8_home_intro|Hmm. Slyšíš to? To je určitě rachot vlnobití, narážejícího na pevninu. Musíme být někde poblíž Gundigova vrchu.
str_npc9_home_intro|Střež se Rivachežské skály! Je to nejsilnější pevnost v celé Calradii. Můj otec byl jedním z těch, kteří ji drželi proti Nordům, když se poprvé pokusili o nájezd z pobřeží do vnitrozemí.
str_npc10_home_intro|Cítíš ten čerstvý vzduch, {bratře/sestro}? Tady býval můj domov, než jsem se vydal za hranice za výdělkem. Je dobré vrátit se zpátky na vrchovinu. Voní tu ve vzduchu svoboda. Tady se kdysi zrodila Rhodocká privilegia, jejich kolébka leží přímo pod hradem Grunwalder.
str_npc11_home_intro|Vidím hory. Určitě už se blížím k domovu.
str_npc12_home_intro|Projíždíme kolem místa, kde jsem dosáhl jednoho ze svých největších léčitelských triumfů, jestli tě to zajímá.
str_npc13_home_intro|Ach, to je hrad Ergellon! Takové hezké místo na úpatí Rhodocké vrchoviny. To poslední léto, které jsem tam {strávil/strávila}, bylo nádherné.
str_npc14_home_intro|Vidíš támhle tu pevnost na tom výběžku nad údolím? To je Ismirala. Před několika lety jsem tam zůstal přes zimu a snažil jsem se vycvičit zbrojnoše tamního pána.
str_npc15_home_intro|Vidíš ten hrad támhle na kopci? Říká se mu Kulmar. Měl jsem tam před nedávnem menší fušku. Není tak pompézní jako některé jiné hrady v téhle zemi, ale je to ta nejlepší kamenická práce, jakou jsem kdy viděl.
str_npc16_home_intro|{Kapitáne/Kapitánko}, vidíte to? Jsou tu ve sněhu zaječí stopy. Blížíme se k místu, kde jsem se narodila.
str_npc1_home_description|Jo, Khergiti tu žili vždycky, dokonce i za starých časů. Císař jim tehdy zaplatil a udělil jim půdu, aby drželi v bezpečné vzdálenosti jiné nájezdnické kmeny. Povídám, že můj dědeček byl khergitský náčelník, i když se na něj máma nepamatovala, stejně jako já neznám svého otce. Když pak byla máma mladá holka, začali Khergiti podnikat početné nájezdy přes hory a teď máme v Tulze khergitského chána.
str_npc2_home_description|Lidé považují Nordy za skupinu krvežíznivých barbarů, ale jestli chceš vědět, co si o tom myslím já, na obchod mají hlavu chytrou víc než dost. Kolem pobřeží pro ně lidi pěstují len a tady se z něho tká plátno. Nemůže se sice srovnávat s drahými látkami, jako je hedvábí nebo samet z Jelkaly, ale je z něj dobré letní oblečení a hodí se jako lodní plachotvina. A kromě toho je lněné plátno moc dobré zboží - nikde jinde se v Calradii nevyrábí.
str_npc3_home_description|Zimy jsou ve Veluce deštivé, ale v létě bývá horko a sucho, a tak si tu lidé staví velké cisterny na vodu, aby měli čím zalévat. Pěstují hroznové víno. Velucké víno je vyhlášené, {pane/paní}, a kdo si to může dovolit, postaví si oplocenou zahradu se spoustou ovocných stromů, kde pak vysedáváme dlouho do noci a posloucháme hudbu, hrajeme šachy nebo prostě jen vychutnáváme noční vzduch.
str_npc4_home_description|No víš, swádský král to tu vyhlásil za svou osobní loveckou rezervaci a řekl, že zabije každého, kdo by se tu odvážil byť i jen napnout luk. Jak myslíš, že to dopadlo? Člověk má doma plno hladových krků, tak neodolá a trochu si zapytlačí. Přijde na to královský šerif, chudáka oběsí a zabaví mu pozemky. Jeho synové, než aby hladověli, se radši dají na zboj. A pak pochopitelně každý v celém údolí, kdo potřebuje utéct před věřiteli, před zlou, hádavou ženou nebo před pomstychtivým šlechticem, zamíří právě sem a přidá se ke zbojníkům. Ti se živí převážně divočáky, borůvkami a měšci neopatrných poutníků. 
str_npc5_home_description|Khergité sem přijížděli vždycky, někdy obchodovat, jindy plenit, a v posledních dnech Říše se tu začali usazovat. Stejně jako Vaegirové, Swádové, Rhodokové, Nordové a rod Sarranů jsme si od císaře nechali zaplatit za to, že budeme Říši držet od těla ostatní kmeny. Když ale za časů mého dědečka zaútočila na naše domovské země Velká horda, byli jsme sem násilně vytlačeni. Odsunuli jsme Vaegiry a usadili jsme se v jejich pevnostech.
str_npc6_home_description|Tady v Sunoském údolí máme nářečí a zvyky, které více než kdekoli jinde v Calradii ctí tradice starého calradského impéria. Pěstujeme olivy a víno, což jsou plodiny, které sem kdysi ze zámoří dovezli calradští císaři, a zachováváme i jiné staré calradské tradice. Dodržujeme své sliby a platíme své dluhy. 
str_npc7_home_description|Než jsem se vdala a než mě unesli bandité, bydlívala jsem tady. Narodila jsem se v chatrči a jako malá jsem pomáhala na polích. Naši páni prý byli Nordové, ale nikdy jsme je ve skutečnosti neviděli, jen jejich prokleté noshledy a dozorce. Můj otec jim ještě poklonkoval, takový to byl zbabělec.
str_npc8_home_description|Tys ten příběh o Gundigově vrchu {neslyšel/neslyšela}? Když Gundig řečený Chlupaté gatě přijel z Nordlandu do Calradie, zabodl na pevnině svůj praporec a prohlásil, že zde praporec zůstane, dokud on nedobude zpět své 'dědictví'.  Ano, své 'dědictví', tak to říkal. Gundig věřil skáldům, kteří mu namluvili, že císař odkázal Calradii Nordům, i když jim ve skutečnosti udělil jen úzký pruh země podél pobřeží, aby měl kde rekrutovat posádky pro své galéry.
str_npc9_home_description|Nordové se ve svých drakkarech plavili proti proudu řek. Měšťané z pobřeží je mohli zastavit, ale byli na to příliš velcí zbabělci stejně jako teď, a tak jim začali vyplácet roční výpalné, známé jako Nordské prachy, aby je nechali na pokoji. Jen vaegirský král jim nezaplatil. Můj otec se rozhodl přejít přes hory a bojovat s nepřáteli vaegirů. Tři roky po sobě se snažili dobýt Skálu, ale vaegirští páni je pokaždé odrazili.
str_npc10_home_description|Za časů mého otce nám sem nakráčeli Swádové. Mysleli si, že před nimi padneme čelem k zemi a uznáme jejich nadvládu. Jenže Grunwalder, starý zkušený voják, který válčil na Vysočině, nám tehdy ukázal, jak držet bojovou linii s kopím a kuší, která dokázala swádský útok zastavit. Padl sice v bitvě, ale lidé po něm pojmenovali hrad, který na tom místě postavili, aby se na něj nikdy nezapomnělo a aby navždy pevně stál a čelil útoku nájezdníků.
str_npc11_home_description|Pocházím z Uxkalu. Víš, co se o nás povídá, {pane/paní}. Z uxkalského ječmene se v Pravenu pálí kořalka a my pálenkou křtění jsme správně zapálení. Nevím, jak to v tom přísloví přesně mysleli, {pane/paní}, ale s tím ječmenem je to pravda. I co se pšenice a ovsa týče. Tady v uxkalském údolí se pěstuje víc obilí, než by se dohromady našlo v celém zbytku Calradie, a ta naše ohnivá voda je taky nejlepší široko daleko. Však vidíš {sám/sama}, jaká je tu půda. Úrodná černozem a jak hezky voní dobrou úrodou a plným bříškem.
str_npc12_home_description|Hradní pán z Almery trpěl vodnatostí a poslal si pro doktora až do Uxkalu, aby ho z ní vyléčil. A ten jako každý na universitě študovaný doktor sáhl přímo po galénských léčebných metodách. Galén doporučuje na vodnatost sluneční kov. Ona sice většina Galénových spisů stála za starou bačkoru už za časů calradijských císařů, když je ten starý šejdíř sepsal, a dnes jsou tuplem k ničemu, ale tu a tam čistě náhodou na správný lék kápnou: sluneční kov v malých dávkách skutečně může při některých typech vodnatosti pomoct. Ve větším množství je však sluneční kov silně jedovatý, čehož si uctívači Galéna jaksi dosud nevšimli.
str_npc13_home_description|Přijel jsem sem s malou swádskou jednotkou, ale v lesích nás načapali Rhodokové a jezdci nám mezi stromy odřízli cestu. Utekl jsem a našel si úkryt nahoře v horských údolích. A tam jsem padl rovnou do náruče té nejkrásnější pastýřky, jakou jsem kdy viděl. Vzala mě k sobě do jeskyně vysoko na pastvinách, nosila mi sýr a lesní plody a vyprávěla mi příběhy ze zdejšího kraje - o rozpustilých faunech, napůl lidech, napůl kozách, kteří vodí ztracená zvířata zpátky ke stádu, i o přízračných lovcích, kteří jezdí na křídlech větru a pronásledují bouřkové mraky. Takoví jsou to roztomilí, prostí venkované!
str_npc14_home_description|Povídám, že to 'zkusili', protože podle mě jsou Vaegirové na štíru s disciplínou. Jsou to nejlepší lučištníci, jaké jsem kdy viděl, a ani v sedle nejsou špatní, ale na boj zblízka prostě nemají žaludek. Proti Khergitům a Nordům jsou jejich schopnosti dobré, hlavně když se můžou schovat za hradby, ale Sarranidé se jim v lukostřelbě zcela vyrovnají. A také jsem na vlastní oči viděl, jak se swádští rytíři prosekali davem Vaegirů jako nůž máslem. Jenže rhodocká hradba z kopí je určena právě k zastavení swádského útoku a většinou to funguje.
str_npc15_home_description|Stejně jako většina v okolí stojících hradů má základy ještě z dob staré Calradské říše. Vidět už po všech těch přestavbách nejsou, ale jsou tam dlaždice o velikosti selského stavení. V té době museli být stavitelé hotoví kouzelníci, protože jinak nechápu, jak s takovým kusem šutru vůbec mohli pohnout. Taky je na krásném místě, Kulmar stojí přímo před pohraničním průsmykem, takže si tamní pán přijde na pěkné peníze za mýtné během těch tří měsíců, kdy není průsmyk zapadlý sněhem.
str_npc16_home_description|Tady v údolích taje sníh až koncem jara, což značně komplikuje orbu. Dá se tu vypěstovat trochu ječmene, ale jinak nic moc. V lesích je ale spousta přírodního bohatství: vysoká, králíci a rysové, čili maso a kožešiny, a v horách je železo. Kupci z pobřeží je přijíždějí směňovat za nasolené ryby a tak mají lidé dost jídla na celou zimu.
str_npc1_home_description_2|Nás staré Calradiany dneska nikdo nebere moc vážně, ale taky z nás neždímají nijak velké daně - stejně bychom je neměli z čeho zaplatit. Zdejší půda se pro pěstování většiny zemědělských plodin moc nehodí. Upřímně řečeno je dobrá tak na chov koní, a i to jen půl roku, po zimních deštích. Na léto honáci odtáhnou se stády zpátky do hor. Vysočinou projíždějí karavany a vozí do Tulgy koření, ale tady na venkově z toho žádné zisky nemáme.
str_npc2_home_description_2|Naložil jsem šafrán, skořici, hřebíček, pepř a další koření a vzal jsem plnou truhličku denárů. Říkal jsem si, že bych mohl nakoupit lněné plátno, kožešiny, samet, železo a vlnu, k tomu pár nákladních koní, abych to odvezl zpátky a ještě bych vydělal. Jen jsem nějak nepočítal s Khergity, kteří se zjevně nemazlí s nikým, kdo by se chtěl podílet na jejich monopolu.
str_npc3_home_description_2|Básníci nazývají Veluku rájem a řekla bych, že pro jednou nepřehánějí.
str_npc4_home_description_2|Ptáš se, jak to vím? No... jednou mě zajali a chtěli za mě výkupné, ale podařilo se mi utéct. Nic víc na tom není, opravdu.
str_npc5_home_description_2|Samozřejmě, však víš, jak to chodí. Naši pradědové byli drsní válečníci z chladných krajů za horami, ale teď má každý výstavní dům ve městě nebo hezké panské sídlo a obchodu věnuje skoro víc času než lukostřelbě. Další generace bude změkčilá, odkojená veluckým vínem a o tuhle zemi ji připraví příští várka negramotných barbarů z vysočiny, které se uráčí přelézt přes hory, uvidíš. Tak to bylo vždycky a taky to tak vždycky bude.
str_npc6_home_description_2|My, lidé ze Suna, také nikdy neodpouštíme urážku a odplácíme každou křivdu, která nám byla učiněna. Troufám si tvrdit, že mě do mého momentálního nešťastného postavení dostala tradiční calradijská čest. Ale i tak jsem hrdý na to, že pocházím právě odsud. Náš pán je vazalem swádského krále v Pravenu, ale co se nás týče, je to prostě jen další barbarský náčelník, zatímco my jsme pravými dědici říše. 
str_npc7_home_description_2|Nechali nás lovit v řece ryby, chovat v rákosí prasata a na zahrádce jsme si mohli pěstovat, co jsme chtěli. Na polích však nebylo dovoleno pěstovat nic jiného než len, který pak vozili do Sargothu a spřádali na plátno. Tím pádem jsme pořád byli hladoví a slabí a neměli jsme odvahu se vzbouřit.
str_npc8_home_description_2|Když nic jiného, poskytly příběhy skáldů Gundigovi dobrou záminku, proč sebrat zbrojnou družinu. Ne že by Nordové kdy nějakou záminku potřebovali, ale na tom nesejde. Plavil se přes moře, sjednotil pod svou vlajkou calradijské Nordy a vyrazili na Rivachežskou skálu. Tam ho Vaegirové zabili a jeho praporec hodili do vln. Stále však přicházejí další a další Nordové, až jednoho dne bude Calradie skutečně naše.
str_npc9_home_description_2|A stejně, jako se mohou Nordové obrátit na své příbuzné za mořem, může i vaegirský král povolat na pomoc své příbuzné za horami. Kdyby mě byl tatík nevydědil, taky bych byl složil vazalskou přísahu lordu Reyvadinovi. Když mě ale oškubali o dědictví, zprostili mě tím i povinností, a tak má vaegirský král zkrátka smůlu.
str_npc10_home_description_2|Pěstujeme tu moruše kvůli hedvábí a taky karmazín na jeho barvení. Vyvážíme ho do Jelkaly, kde z něj tkají ten nejjemnější samet. Teda, ne že bych si já sám někdy samet mohl dovolit, ale co... Řemeslníci v Jelkale dělají taky zatraceně dobré kuše a tak mají na trochu luxusu nárok.
str_npc11_home_description_2|Swádský král by ti řekl, že Praven býval za časů Říše největším městem v celé Calradii a že by tedy měl podle práva vládnout celé zemi on. Víš, já se o politiku moc nestarám, {pane/paní}. Už jsem prodala zásoby skoro každé armádě, která kdy přes Calradii táhla, a můžu ti říct, že mezi nimi nebyl nikdo, komu bych nabídla byť i jen suchar, dokud jsem nedržela dobré, tvrdé chladivé denáry pěkně v hrsti. Nechápu, jak je možné, že všichni tihle mocní králové a šlechtici v jednom kuse nemají na zaplacení. Moc mi to kecá, co?
str_npc12_home_description_2|Rozdíl mezi jedem a lékem spočívá v dávkování. Můžeš to všem klidně vykládat na potkání a taky jim řekni, žes to slyšel od slavného Jeremiáše. Lidé si myslí, že všechna moudrost, která stála za zaznamenání, byla zapsána už za časů staré calradické říše, ale můžu ti říct, že se kolikrát od venkovské porodní báby nebo pečlivým pozorováním přírody dozvíš víc, než ze všech těch říšských žvástů. Proto mě taky vyhodili z university, i když teď, když se na to dívám zpětně, mi to připadá jako požehnání. Tak jsem prostě toho pána zase postavil na nohy, dostal jsem za to měšec zlata a mrtvolu čerstvě oběšeného zločince pro pitevní účely. Ha! Když si vzpomenu, co to tehdy dalo práce, než člověk sehnal vhodný exemplář...
str_npc13_home_description_2|Nakonec jsem musel odjet a někdy si říkám, jestli už nemá v šátku na zádech malého pasáčka, když ráno vyhání na pastvu. Občas mám sto chutí za ní zajet. Ale ne, člověk by se neměl ohlížet za vlastní minulostí.
str_npc14_home_description_2|Jestli se někdy někomu podaří tu naši zemičku sjednotit, rád mu budu sloužit, ani žold nebudu požadovat. Dám dohromady armádu z rhodockých kopiníků a nordických pěšáků na křídlech a vaegirských lučištníků uprostřed, najmu pár khergitských zvědů, aby vyhledali a zadrželi nepřítele, a pár swádských kopiníků a sarranidských mamlúků, aby celé dílo dokonali. Přejdu s tou armádou přes hory a přinutím celý svět, aby před Calradií poklekl na kolena. I když, přesně tohle si mysleli dávní císaři, a nakonec je o jejich říše připravilo pár kmenů obyčejných barbarů.
