qstr_thawb1_belt1|thawb1 belt1
qstr_A_watch_tower_lets_t|Gözcü kulesi köylülerin daha erken alarm vermelerini sağlar. Düşmanların köyü yağmalaması için gereken zamanı %25 artırır.
qstr_School|Okul
qstr_A_shool_increases_th|Okul köylülerin sadakatini her ay +1 artırır.
qstr_Messenger_Post|Ulak Karakolu
qstr_A_messenger_post_let|Ulak karakolu, yakında düşman olduğu zamanlarda çok uzakta olsan da köylülerin sana mesaj yollamasına olanak tanır.
qstr_Prison_Tower|Kule Hapishanesi
qstr_A_prison_tower_reduc|Kule Hapishanesi burada tutulan mahkumların başarıyla kaçma şansını düşürür.
qstr_Prosperity_of_{s2}_h|{s2}nde refah seviyesi {s3} durumdan {s4} durumuna geçti.
qstr_{s4}_looks_upset.|{s4} sinirli görünüyor.
qstr_your_party|grubun
qstr_{reg0?One_of_your_pr|{reg0?Senin mahkumun olan, :}{s3}ndan {s1} tutsaklıktan kaçtı!
qstr_You_brought_{reg3}_h|{s1} için {reg3} baş sığır götürdün.
qstr_I_heard_that_there_w|Yakında {s62} içinde bir turnuva olacağını duydum.
qstr_I_heard_that_one_can|{s63}nde çok ucuza {s62} bulunduğunu duydum.
qstr_I_heard_that_they_pa|{s63}nde {s62} için çok yüksek fiyatlar ödendiğini duydum.
qstr_two_days_ago|iki gün önce
qstr_Best_threat_of_{s4}_|{s4} en iyi tehdit {reg1} değerinde
qstr_No_center_found_to_d|Savunulacak toprak yok
qstr_You_gain_right_to_ru|Yönetme hakkı kazandın
qstr_You_lose_right_to_ru|Yönetme hakkını kaybettin
qstr_Added_money_for_your|Added money for your old horse
qstr_debug_game_missile_l|debug game missile launch begin
qstr_debug_game_missile_la|debug game missile launch end
qstr_Line_Infantry_Compan|Line Infantry Company
qstr_Light_Infantry_Compa|Light Infantry Company
qstr_Guard_Infantry_Compa|Guard Infantry Company
qstr_Cavalry_Squadron|Cavalry Squadron
qstr_Mounted_Rifles_Squad|Mounted Rifles Squadron
qstr_Cavalry_Guard_Squadr|Cavalry Guard Squadron
qstr_Field_Guns_Battery|Field Guns Battery
qstr_Howitzers_Battery|Howitzers Battery
qstr_Heavy_Howitzers_Batt|Heavy Howitzers Battery
qstr_Machine_Guns_Crew|Machine Guns Crew
qstr_Shock_Troops_Company|Shock Troops Company
qstr_Armor_Squadron|Armor Squadron
qstr__I.| I.
qstr_L.I.|L.I.
qstr__G.| G.
qstr_M.C.|M.C.
qstr_M.R.|M.R.
qstr_C.G.|C.G.
qstr_G.B.|G.B.
qstr_H.B.|H.B.
qstr_H.H.|H.H.
qstr_M.G.|M.G.
qstr_S.I.|S.I.
qstr_A.|A.
qstr_Cannot_form_square:_t|Cannot form square: too few soldiers (need at least 25).
qstr_1_{reg1}|1 {reg1}
qstr_flag1_0|flag1 0
qstr_{s31}_created_a_casu|{s31} created a casus belli for {s32} for {reg10} days.
qstr_{s31}_s_infamy_is_in|{s31}'s infamy is increased by {reg10} and is now {reg11}.
qstr_{s31}_s_infamy_is_de|{s31}'s infamy is decreased by {reg10} and is now {reg11}.
qstr_Belongs_to_{s31}|Belongs to {s31}
qstr_Controlled_by_{s31}^|Controlled by {s31}^Belongs to {s32}
qstr_{s31}_becomes_an_all|{s31} becomes an ally of {s32}.
qstr_{s31}_breaks_an_alli|{s31} breaks an alliance with {s32}.
qstr_Absolute_Monarchy|Absolute Monarchy
qstr_Constitutional_Monar|Constitutional Monarchy
qstr_Republic|Republic
qstr_Parliament_Compositi|Parliament Composition
qstr_{s1}:_{reg1}%|{s1}: {reg1}%
qstr_Ruling_party|Ruling party
qstr_Influence:_{reg1}%|Influence: {reg1}%
qstr_Annual_Income:_{reg1|Annual Income: {reg1}.{reg10} p.
qstr_Corruption_level:_{r|Corruption level: {reg10}%
qstr_+{reg10}_pounds|+{reg10} pounds
qstr_Goods_and_services_t|Goods and services tax: {reg10}%
qstr__{reg10}_pounds|-{reg10} pounds
qstr_Public_servants_wage|Public servants wage expenses:^-{reg10} pounds
qstr_Lost_from_corruption|Lost from corruption: -{reg10} pounds
qstr_Last_budget_change:^|Last budget change:^{reg10} pounds
qstr_PPS_Faction_iteratio|PPS Faction iteration of {s1}.
qstr_Center_iteration_of_|Center iteration of {s1}.
qstr_{s1}_s_{s2}_Iteratio|{s1}'s {s2} Iteration:
qstr_price_item_{s1}_raw_|price item {s1} raw resource1 {reg10} raw resource1 amount {reg11} output size {reg12}.
qstr_Produced_{reg10}_wit|Produced {reg10} with {reg20} workers, raw resources multiplier was {reg30}.
qstr_Spent_{reg10}_pounds|Spent {reg10} pounds for wage.
qstr_Searching_for_{s1}_i|Searching for {s1} in {reg10} centers.
qstr_{s1}_has_{reg10}_of_|{s1} has {reg10} of {s2}.
qstr_In_sum_bought_{reg1}|In sum, bought {reg1}/{reg10} of {s1}.
qstr_Workers_unemployed__|Workers unemployed - {reg1}, employed {reg2} workers.
qstr_{reg1}_thousands_of_|{reg1} thousands of population
qstr_Daily_GDP_is_{reg1}_p|Daily GDP is {reg1} pounds^({reg2}% of {s1}'s economy).
qstr_This_region_produces|This region produces increased amount of {s2}.
qstr_Add_Workplaces^^Buyi|Add Workplaces^^Buying more equipment will increase^number of workplaces.
qstr_Improve_Worker_Condi|Improve Worker Conditions^^Improving working conditions means inceasing^worker wage, improving production safety and,^in the end, introducing social benefits to workers.^This will increase quality of product^and increase factory attractiveness^for potential workers.
qstr_Improve_Equipment^^T|Improve Equipment^^Thorough maintaining and improving factory^equipment increases quality of product, making^it more likely to be sold.
qstr_No_development_mode.|No development mode.
qstr_{reg10}/{reg11}_work|{reg10}/{reg11} workers
qstr_Budget:_{reg10}_poun|Budget: {reg10} pounds.
qstr_Income:_{reg10}_poun|Income: {reg10} pounds.
qstr_Spent_{reg10}_pounds_|Spent {reg10} pounds and earnt {reg11} pounds.
qstr_Managed_to_buy_{reg1|Managed to buy {reg10}% of needed raw resources^needed for production.
qstr_Produced_{reg10}.{re|Produced {reg10}.{reg12} {s1} (sold {reg11}%).
qstr_Quality_of_product_i|Quality of product is {reg10}%.
qstr_Engineers_percentage|Engineers percentage is {reg10}%.
qstr_Deterioration_of_mac|Deterioration of machine tools is {reg10}%.
qstr_bad|bad
qstr_medium|medium
qstr_good|good
qstr_exellent|exellent
qstr_Worker_wage_is_{s1};|Worker wage is {s1}; Working conditions are {s2}.
qstr_Select_development_m|Select development mode:
qstr_Set_workers_wage_lev|Set workers wage level:
qstr_Sell_factory__{reg10|Sell factory ({reg10} pounds)
qstr_Building^{s1}^_{reg1|Building^{s1}^({reg10}%)
qstr_pes_region_factory_p|pes region factory photo notavailable
qstr_pes_region_factory_ph|pes region factory photo empty
qstr_Steel_Factory|Steel Factory
qstr_pes_region_factory_pho|pes region factory photo steel
qstr_Ammunition_Factory|Ammunition Factory
qstr_pes_region_factory_phot|pes region factory photo ammunition
qstr_Lumber_Mill|Lumber Mill
qstr_pes_region_factory_photo|pes region factory photo timber
qstr_Machinery_Parts_Plan|Machinery Parts Plant
qstr_pes_region_factory_photo_|pes region factory photo machineparts
qstr_Cotton_Mill|Cotton Mill
qstr_pes_region_factory_photo_f|pes region factory photo fabric
qstr_Paper_Mill|Paper Mill
qstr_pes_region_factory_photo_p|pes region factory photo paper
qstr_Construction_Materia|Construction Materials^Factory
qstr_Construction_Material|Construction Materials Factory
qstr_pes_region_factory_photo_c|pes region factory photo constructionmaterials
qstr_Weaponry_Factory|Weaponry Factory
qstr_pes_region_factory_photo_w|pes region factory photo weaponry
qstr_Military_Supplies^Fa|Military Supplies^Factory
qstr_Military_Supplies_Fa|Military Supplies Factory
qstr_pes_region_factory_photo_m|pes region factory photo militarysupplies
qstr_Clothing_Factory|Clothing Factory
qstr_pes_region_factory_photo_cl|pes region factory photo clothes
qstr_Furniture_Factory|Furniture Factory
qstr_pes_region_factory_photo_fu|pes region factory photo furniture
qstr_tons_of_steel|tons of steel
qstr_ammunition|ammunition
qstr_tons_of_timber|tons of timber
qstr_tons_of_lumber|tons of lumber
qstr_weapons|weapons
qstr_clothings|clothings
qstr_tons_of_coal|tons of coal
qstr_tons_of_iron|tons of iron
qstr_tons_of_constr._mate|tons of constr. materials
qstr_kilograms_of_cotton|kilograms of cotton
qstr_kilograms_of_fabric|kilograms of fabric
qstr_pieces_of_furniture|pieces of furniture
qstr_machine_parts|machine parts
qstr_tons_of_military_sup|tons of military supplies
qstr_kilograms_of_paper|kilograms of paper
qstr_tons_of_meat|tons of meat
qstr_tons_of_flour|tons of flour
qstr_{reg12}_{s3}_has_bou|{reg12} {s3} has bought {reg10} {s1} from {s4} for {reg11}.
qstr_{s1}_s_{s2}_decided_|{s1}'s {s2} decided to fire {reg10} workers.
qstr_Population_of_{s1}_i|Population of {s1} is buying resources. Literacy {reg10}, population {reg11}, urbanization {reg12}.
qstr_Steel|Steel
qstr_Ammunition|Ammunition
qstr_Lumber|Lumber
qstr_Wood|Wood
qstr_Weaponry|Weaponry
qstr_Clothes|Clothes
qstr_Coal|Coal
qstr_Iron|Iron
qstr_Construction_materia|Construction materials
qstr_Cotton|Cotton
qstr_Fabric|Fabric
qstr_Furniture|Furniture
qstr_Machine_parts|Machine parts
qstr_Military_supplies|Military supplies
qstr_Paper|Paper
qstr_Meat|Meat
qstr_Flour|Flour
qstr_Price___{reg10}.{reg|Price - {reg10}.{reg11} pounds
qstr_Supply___{reg11}.{re|Supply - {reg11}.{reg12} {s1}
qstr_Demand___{reg11}.{re|Demand - {reg11}.{reg12} {s1}
qstr_{reg10}._{s1}|{reg10}. {s1}
qstr_{reg10}.{reg11}|{reg10}.{reg11}
qstr____| - 
qstr_{reg10}%|{reg10}%
qstr_handicraft^only|handicraft^only
qstr_{reg10}k_p.|{reg10}k p.
qstr_{reg10}_p.|{reg10} p.
qstr_{reg10}_mil.|{reg10} mil.
qstr_{reg10}_th.|{reg10} th.
qstr_{reg10}.{reg11}%|{reg10}.{reg11}%
qstr_{s1}_produced_{reg10|{s1} produced {reg10} {s2}.
qstr_Produces_steel_out^o|Produces steel out^of iron and coal.
qstr_Produces_ammunition_|Produces ammunition out^of steel.
qstr_Produces_lumber_out^|Produces lumber out^of wood.
qstr_Produces_weaponry_ou|Produces weaponry out^of steel and lumber.
qstr_Produces_clothes_out|Produces clothes out^of fabric.
qstr_Produces_constructio|Produces construction^materials out of steel and coal.
qstr_Produces_fabric_out^|Produces fabric out^ of cotton.
qstr_Produces_furniture_o|Produces furniture out^ of lumber.
qstr_Produces_machine_par|Produces machine parts out^ of steel and coal.
qstr_Produces_military_su|Produces military supplies out^ of steel and fabric.
qstr_Produces_paper_out^_|Produces paper out^ of wood.
qstr_Produced_{reg2}_{s1}|Produced {reg2} {s1} with {reg11} artisans, raw resources multiplier was {reg12}.
qstr_Chance_to_build_fact|Chance to build factory in {s1} is {reg10}.{reg11}%.
qstr_Building_factory_in_|Building factory in {s1}
qstr_Price_of_{s1}_has_ch|Price of {s1} has changed by {reg10}.
qstr_Urbanization_of_{s1}|Urbanization of {s1}'s center {s2} was increased by {reg10}.
qstr_{reg10}._party_gives|{reg10}. party gives {reg11} votes
qstr_{s1}_rural_wealth_{r|{s1} rural wealth {reg10} urban wealth {reg11} middle wealth {reg12} bourgeoisie wealth {reg13} aristocracy wealth {reg14} sum wage {reg15} gdp rural {reg16} gdp urban {reg17} population root {reg18}
qstr_{s1}_cannot_launch_g|{s1} cannot launch grenade attack - {reg1} seconds cooldown.
qstr_{s1}_cannot_launch_ga|{s1} cannot launch gas attack - {reg1} seconds cooldown.
qstr_You_became_a_high_co|You became a high command officer, which means you are free to act independent during service.
qstr_You_became_a_non_com|You became a non-commissioned officer, which means you will now command troops in battle.
qstr_You_became_a_marshal|You became a marshall of {s10}, which means you can start and manage campaigns.
qstr_debug_bms_begin|debug bms begin
qstr_debug_bms_end|debug bms end
qstr_debug_siege_win_batt|debug siege win battle begin
qstr_debug_siege_win_battl|debug siege win battle end
qstr_debug_siege_win_battle|debug siege win battle 2 begin
qstr_debug_siege_win_battle_|debug siege win battle 2 end
qstr_debug_order_move_for|debug order move forwards backwards begin
qstr_debug_order_move_forw|debug order move forwards backwards end
qstr_debug_order_follow_m|debug order follow me begin
qstr_debug_order_follow_me|debug order follow me end
qstr_debug_order_follow_me_|debug order follow me 1000ms begin
qstr_debug_order_follow_me_1|debug order follow me 1000ms end
qstr_debug_pas_points_beg|debug pas points begin
qstr_debug_pas_points_end|debug pas points end
qstr_debug_gas_100ms_begi|debug gas 100ms begin
qstr_debug_gas_100ms_end|debug gas 100ms end
qstr_debug_grenades_100ms|debug grenades 100ms begin
qstr_debug_grenades_100ms_|debug grenades 100ms end
qstr_debug_lmg_runtime_be|debug lmg runtime begin
qstr_debug_lmg_runtime_en|debug lmg runtime end
qstr_debug_musket_ramrod_|debug musket ramrod animation 100ms begin
qstr_debug_musket_ramrod_a|debug musket ramrod animation 100ms end
qstr_debug_musket_ramrod_an|debug musket ramrod animation runtime begin
qstr_debug_musket_ramrod_ani|debug musket ramrod animation runtime end
qstr_debug_smoke_animated|debug smoke animated 200ms begin
qstr_debug_smoke_animated_|debug smoke animated 200ms end
qstr_debug_pss_init_begin|debug pss init begin
qstr_debug_pss_init_end|debug pss init end
qstr_debug_pss_100ms_begi|debug pss 100ms begin
qstr_debug_pss_100ms_end|debug pss 100ms end
qstr_debug_player_hp_rege|debug player hp regen hit begin
qstr_debug_player_hp_regen|debug player hp regen hit end
qstr_debug_player_hp_regen_|debug player hp regen 100ms begin
qstr_debug_player_hp_regen_1|debug player hp regen 100ms end
qstr_debug_iron_sight_run|debug iron sight runtime begin
qstr_debug_iron_sight_runt|debug iron sight runtime end
qstr_debug_iron_sight_100|debug iron sight 100ms begin
qstr_debug_iron_sight_100m|debug iron sight 100ms end
qstr_debug_mg_1000ms_begi|debug mg 1000ms begin
qstr_debug_mg_1000ms_end|debug mg 1000ms end
qstr_debug_mg_runtime_beg|debug mg runtime begin
qstr_debug_mg_runtime_end|debug mg runtime end
qstr_debug_digin_1000ms_b|debug digin 1000ms begin
qstr_debug_digin_1000ms_e|debug digin 1000ms end
qstr_debug_digin_runtime_|debug digin runtime begin
qstr_debug_digin_runtime_e|debug digin runtime end
qstr_debug_vo_on_company_|debug vo on company select begin
qstr_debug_vo_on_company_s|debug vo on company select end
qstr_debug_vo_500ms_begin|debug vo 500ms begin
qstr_debug_pbs_walkrun_or|debug pbs walkrun order begin
qstr_{reg0}._Company_has_|{reg0}. Company has switched to walking.
qstr_{reg0}._Company_has_s|{reg0}. Company has switched to running.
qstr_debug_pbs_walkrun_ord|debug pbs walkrun order end
qstr_debug_prone_100ms_be|debug prone 100ms begin
qstr_debug_prone_100ms_en|debug prone 100ms end
qstr_debug_pbs_formation_|debug pbs formation order begin
qstr_{s1}_cannot_change_f|{s1} cannot change formation - only light infantry can apply extended line formation.
qstr_{s1}_cannot_change_fo|{s1} cannot change formation - you need to research Modern Attack Tactics technology to apply line formation.
qstr_{s1}_cannot_change_for|{s1} cannot change formation - you need to research Skirmish Line Tactics technology to apply dense line formation.
qstr_{s1}_cannot_change_form|{s1} cannot change formation - you need to research Adaptive Training technology to apply extended line formation.
qstr_{s1}_cannot_change_forma|{s1} cannot change formation - you need to research Skirmish Line Tactics technology to apply line formation.
qstr_{s1}_cannot_change_format|{s1} cannot change formation - discipline level is less than 30%.
qstr_debug_pbs_formation_o|debug pbs formation order end
qstr_debug_carbine_melee_|debug carbine melee mode fix begin
qstr_debug_carbine_melee_m|debug carbine melee mode fix end
qstr_debug_player_accurac|debug player accuracy modifier begin
qstr_debug_player_accuracy|debug player accuracy modifier end
qstr_debug_ammo_refill_be|debug ammo refill begin
qstr_debug_ammo_refill_en|debug ammo refill end
qstr_debug_flag_bearer_be|debug flag bearer begin
qstr_debug_flag_bearer_en|debug flag bearer end
qstr_debug_pbs_enemy_retr|debug pbs enemy retreating end battle begin
qstr_debug_pbs_enemy_retre|debug pbs enemy retreating end battle end
qstr_debug_pbs_enemy_retrea|debug pbs enemy retreating end battle 2 begin
qstr_debug_pbs_enemy_retreat|debug pbs enemy retreating end battle 2 end
qstr_debug_pbs_enemy_cann|debug pbs enemy cannoneers retreat begin
qstr_debug_pbs_enemy_canno|debug pbs enemy cannoneers retreat end
qstr_debug_ambience_start|debug ambience start begin
qstr_debug_ambience_start_|debug ambience start end
qstr_debug_ambience_tree_|debug ambience tree birds begin
qstr_debug_ambience_tree_b|debug ambience tree birds end
qstr_debug_ambience_rain_|debug ambience rain 1000ms begin
qstr_debug_ambience_rain_1|debug ambience rain 1000ms end
qstr_debug_pws_sky_bms_be|debug pws sky bms begin
qstr_day|day
qstr_cloud1|cloud1
qstr_cloud2|cloud2
qstr_cloud3|cloud3
qstr_cloud4|cloud4
qstr_cloud5|cloud5
qstr_sunset|sunset
qstr_clouds1|clouds1
qstr_clouds2|clouds2
qstr_clouds3|clouds3
qstr_clouds4|clouds4
qstr_evening|evening
qstr_night|night
qstr_dusk|dusk
qstr_debug_pws_sky_bms_en|debug pws sky bms end
qstr_debug_fgs_trees_ams_|debug fgs trees ams begin
qstr_Hotkeys:_U_to_access|Hotkeys: U to access the aerial view E and Q to rotate camera horizontally Middle mouse button and moving mouse up and down to rotate camera vertically Space and Ctrl to control your height ~ tilde (next to 1) to make selected companies run. You can select companies either by clicking on the units on screen, or by selecting them in the UI in the bottom left Use your right mouse button to place, and orientate your units.
qstr_debug_fgs_trees_ams_e|debug fgs trees ams end
qstr_debug_sound_man_deat|debug sound man death begin
qstr_debug_sound_man_death|debug sound man death end
qstr_debug_sound_man_hit_|debug sound man hit begin
qstr_debug_sound_man_hit_e|debug sound man hit end
qstr_debug_spawn_of_first|debug spawn of first agent begin
qstr_debug_spawn_of_first_|debug spawn of first agent end
qstr_debug_battle_start_b|debug battle start begin
qstr_debug_battle_start_e|debug battle start end
qstr_debug_aerial_view_ru|debug aerial view runtime begin
qstr_debug_aerial_view_run|debug aerial view runtime end
qstr_debug_aerial_view_to|debug aerial view toggle begin
qstr_debug_aerial_view_tog|debug aerial view toggle end
qstr_debug_aerial_view_togg|debug aerial view toggle 2 begin
qstr_debug_aerial_view_toggl|debug aerial view toggle 2 end
qstr_debug_pbs_order_play|debug pbs order player begin
qstr_debug_pbs_order_playe|debug pbs order player end
qstr_debug_pbs_order_player|debug pbs order player f1 begin
qstr_debug_pbs_order_player_|debug pbs order player f1 end
qstr_debug_pbs_agent_spaw|debug pbs agent spawn begin
qstr_debug_pbs_agent_spawn|debug pbs agent spawn end
qstr_debug_pbs_teleport_t|debug pbs teleport to scripted destination begin
qstr_debug_pbs_teleport_to|debug pbs teleport to scripted destination end
qstr_debug_pbs_cancel_run|debug pbs cancel running away begin
qstr_debug_pbs_cancel_runn|debug pbs cancel running away end
qstr_debug_bot_crouching_|debug bot crouching begin
qstr_debug_bot_crouching_e|debug bot crouching end
qstr_debug_bot_animation_|debug bot animation begin
qstr_debug_bot_animation_e|debug bot animation end
qstr_debug_pbs_run_toggle|debug pbs run toggle begin
qstr_debug_pbs_run_toggle_|debug pbs run toggle end
qstr_debug_pbs_company_en|debug pbs company energy begin
qstr_debug_pbs_company_ene|debug pbs company energy end
qstr_debug_pbs_company_st|debug pbs company state begin
qstr_debug_pbs_company_sta|debug pbs company state end
qstr_debug_pbs_agents_mod|debug pbs agents modifiers begin
qstr_debug_pbs_agents_modi|debug pbs agents modifiers end
qstr_debug_pbs_company_pe|debug pbs company penaltytodiscipline fromcloseenemy begin
qstr_debug_pbs_company_pen|debug pbs company penaltytodiscipline fromcloseenemy end
qstr_debug_pbs_company_di|debug pbs company discipline begin
qstr_debug_pbs_company_dis|debug pbs company discipline end
qstr_debug_pbs_reload_can|debug pbs reload cancellation begin
qstr_debug_pbs_reload_canc|debug pbs reload cancellation end
qstr_debug_pbs_company_re|debug pbs company retreat begin
qstr_{reg0}._Company_was_|{reg0}. Company was forced to retreat.
qstr_debug_pbs_company_ret|debug pbs company retreat end
qstr_debug_timer_1000ms_b|debug timer 1000ms begin
qstr_debug_timer_1000ms_e|debug timer 1000ms end
qstr_debug_player_spawn_b|debug player spawn begin
qstr_1st_{s1}|1st {s1}
qstr_2nd_{s1}|2nd {s1}
qstr_3rd_{s1}|3rd {s1}
qstr_4th_{s1}|4th {s1}
qstr_5th_{s1}|5th {s1}
qstr_6th_{s1}|6th {s1}
qstr_7th_{s1}|7th {s1}
qstr_8th_{s1}|8th {s1}
qstr_debug_player_spawn_e|debug player spawn end
qstr_debug_pbs_melee_begi|debug pbs melee begin
qstr_debug_pbs_melee_end|debug pbs melee end
qstr_debug_battle_start_2|debug battle start 2 begin
qstr_debug_battle_start_2_|debug battle start 2 end
qstr_debug_voice_1000ms_b|debug voice 1000ms begin
qstr_debug_voice_1000ms_e|debug voice 1000ms end
qstr_debug_voice_200ms_be|debug voice 200ms begin
qstr_debug_voice_200ms_en|debug voice 200ms end
qstr_debug_pbs_restore_sc|debug pbs restore scripted destination begin
qstr_debug_pbs_restore_scr|debug pbs restore scripted destination end
qstr_debug_pts_weapon_cha|debug pts weapon change begin
qstr_debug_pts_weapon_chan|debug pts weapon change end
qstr_debug_cannon_33ms_be|debug cannon 33ms begin
qstr_debug_cannon_33ms_en|debug cannon 33ms end
qstr_debug_cannon_10ms_be|debug cannon 10ms begin
qstr_debug_cannon_10ms_en|debug cannon 10ms end
qstr_debug_YuriCannonOrde|debug YuriCannonOrder Begin
qstr_debug_YuriCannonOrder|debug YuriCannonOrder End
qstr_debug_YuriCannonSpaw|debug YuriCannonSpawn begin
qstr_debug_YuriCannonSpawn|debug YuriCannonSpawn end
qstr_debug_lemat_canister|debug lemat canister shot begin
qstr_debug_lemat_canister_|debug lemat canister shot end
qstr_debug_pts_surviving_|debug pts surviving bonus begin
qstr_debug_pts_surviving_b|debug pts surviving bonus end
qstr_debug_rifle_damage_m|debug rifle damage model begin
qstr_debug_rifle_damage_mo|debug rifle damage model end
qstr_debug_pai_bandits_sp|debug pai bandits spawn begin
qstr_debug_pai_bandits_spa|debug pai bandits spawn end
qstr_debug_pai_fieldbattl|debug pai fieldbattle spawn begin
qstr_debug_pai_fieldbattle|debug pai fieldbattle spawn end
qstr_debug_pbs_company_pena|debug pbs company penaltytodiscipline fromcasualties begin
qstr_debug_pbs_company_penal|debug pbs company penaltytodiscipline fromcasualties end
qstr_debug_pbs_company_penalt|debug pbs company penaltytodiscipline fromcasualties 1000ms begin
qstr_debug_pbs_company_penalty|debug pbs company penaltytodiscipline fromcasualties 1000ms end
qstr_debug_player_fanning|debug player fanning first shot begin
qstr_debug_player_fanning_|debug player fanning first shot end
qstr_debug_player_fanning_f|debug player fanning first shot 2 begin
qstr_debug_player_fanning_fi|debug player fanning first shot 2 end
qstr_debug_player_fanning_9|debug player fanning 90ms begin
qstr_debug_player_fanning_90|debug player fanning 90ms end
qstr_debug_pai_start_begi|debug pai start begin
qstr_debug_pai_start_end|debug pai start end
qstr_debug_pai_1000ms_beg|debug pai 1000ms begin
qstr_debug_pai_1000ms_end|debug pai 1000ms end
qstr_You_got_keys_of_dung|Zindanın anahtarlarını aldın.
qstr_You_must_stay_behind|Yerdeki çizginin ardında durmalısın! Puan sayılmadı.
qstr_Tutorial|Eğitim
qstr_Your_current_rank_is|Your current rank is {s1}.^^Current points/points needed for promotion: {reg10}/{reg11}
qstr_^{s32}_s_Infamy:_{re|^{s32}'s Infamy: {reg10}
qstr_You_were_born_the_{r|Kâr peşinde oradan oraya giden gezgin tüccarların {reg3?kızı:oğlu} olarak dünyaya geldin. Ailen çoğundan daha zengin olsa ve seni olabildiğince eğitseler de, yolda arkadaş edinecek pek az zamanın oldu ve zamanın çoğunu birilerine birşeyler satarak geçirdin.
qstr_You_were_born_the_{re|You were born the {reg3?daughter:son} of a small businessman, always dealing with different sorts of customers and partners. Your parents were wealth enough to send you to a private school. You father wasn't able to deal with the new times, which changed trading technoligies, so after his death you had only a small part of his business.
qstr_You_were_born_the_{reg|You were born the {reg3?daughter:son} of a minor staff officer, who took a part in a lot of conflicts of the early 19th century. Born in one of his campaigns, you never knew your mother. Although your father tried to teach you everything he knew, he wasn't a good teacher, so after his death you had only some army skills and his last bought gun.
qstr_{reg3?daughter:son}|{reg3?kız:oğlan}
qstr_You_were_born_the_{reg3|You were born the {reg3?daughter:son} of a mafia capo, who was a respected member of a local band. Your father didn't want you to follow his steps, so you had a chance for a lawful life. But circumstances of the new times left you no choice, so after his death you replaced him with his mafia heritage.
qstr_You_were_born_the_{reg3?|You were born the {reg3?daughter:son} of a university professor. As a son of a science man, you got a very good education. Although your family wasn't rich your father tought you that money aren't the most important, so after his death you entered the world with a good amount of knowledge.
qstr_You_were_born_the_{reg3?d|You were born the {reg3?daughter:son} of a regular factory laborer, who spent his life toughly working for his family. Although you were tought to live fairly, your father gave you freedom of chosing your future profession. After his death, you still was seeking for a business to get in your live.
qstr_You_were_a_child_of_|Sen kuru topraklardaki büyük kamplarda yaşayan bir gezgin göçmen kabilesinde doğan bir bozkır çocuğuydun. Kabiledeki diğerleri gibi, ailen atları herşeyin üstünde tutardı, ve neredeyse daha yürümeyi öğrenmeden sana ata binmeyi öğretmişlerdi.
qstr_As_the_{reg3?daughte|Bir hırsızın {reg3?kızı:oğlu} olarak, çok az 'resmi' bir eğitim aldın. Bunun yerine sokaklarda cüzdan çalmayı öğrenene kadar dilendin, maymuncuk kullanmayı öğrenene kadar cüzdan çaldın ve tüm çocukluk hayatın böyle geçti. Yine de, bu uzun yıllar seni sokakların üstadı yaptı, şehirlerde ve gölgelerde yatan sırları herkesten iyi farkedebildin.
qstr_You_were_as_far_as_a|You were, as far as anyone outside the university could tell, a studious person. Always obeying the rules, always getting good grades. If that was an illusion or not, only you know. But suffice you say, you were in university, be it because of a patronage from someone wealthy or because your family was rich enough to afford it, and even if you were a student whose record was questionable at best, it gained you valuable insight and experience.
qstr_The_thrumming_of_mac|The thrumming of machines and the pounding of metal is a sound you know better than anyone. It was hard work, waking up real early and going to bed real late, working every second between those two events under the watchful eye of demanding overseers. You became intimately familiar with technology, particularly industry, as you worked. Your calloused hands are proof that you know hard work, and though you left the factory life behind, it will never leave you.
qstr_Living_on_the_street|Living on the streets was tough. Stealing to live, if you could call the scraps you could get any sort of proper life, was part and parcel of your existence. Everyone looked down at you as a street urchin, as someone to be reviled and pitied at best, or actively driven out at worst. This hard life gave you perspective, it gave you skills others may see as unsavory. Luckily, in war, unsavory skills are quite useful.
qstr_Extra_extra!_Local_n|Extra extra! Local newspaper has a bunch of stories that you never really cared for! Hawking newspapers all day certainly improved your skills at speaking, making people who otherwise wouldn't care for the goings-on to buy a newspaper. Of course, a keen knowledge of business is hardly a bad thing. Perhaps the skills you learned will do you well in the new world you find yourself in.
qstr_As_a_{reg3?girl:boy}|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, bölgenin asillerinden birinin sarayında yaşamaya yollandın. Orada ilk dersin, evin lord ve hanımlarını beklerken göstereceğin tevazuydu. Ama onların satranç oyunlarından, dedikodularından ve hatta büyük işler ve saray aşkları üzerine şiirlerden, yetişkinlerin çatışma ve yarışma dünyaları hakkında çok şey öğrendin. Ayrıca diğer çocukların, büyüklerini taklit edercesine birbirlerine sopa salladıkları kaba oyunlarını öğrendin.
qstr_You_were_drawn_to_th|You were drawn to the human body, and how it functioned. Perhaps a family member got sick, and you vowed to help others through the same. Perhaps you liked giving people hope and treating them. Maybe you just liked cutting things apart. Either way, in college, you went into the fields of medicine.
qstr_Perhaps_you_live_som|Perhaps you live somewhere where grand architecture spirals up into the sky, or where imposing walls surrounded you. Or a small village, with beautiful and ancientchurches, was where your interest in buildings came. It doesn’t matter, because you loved buildings,and learned to raise them up in university. Perhaps now, you shall use that to tear them down. 
