dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_lord_husband_auto_recruit:close_window|Jak sobie życzysz, moja żono.
dlga_lord_talk:lord_recruit_1_relation.1|Jest pewna sprawa, którą chcę omówić na osobności.
dlga_lord_talk:lord_recruit_1_relation.2|Jest coś, co pragnę przedyskutować z tobą na osobności.
dlga_lord_talk:lord_talk|OSZUSTWO - Zresetuj decyzje lorda i niecierpliwość w intrygach
dlga_lord_talk:lord_respond_to_insult_challenge_duel|OSZUSTWO - Walczmy (obelga)
dlga_lord_respond_to_insult:lord_pretalk|Ha! Podziwiam cięty język. Może innego dnia go wytnę, ale dzisiaj oddam ci honor i pogratuluję odwagi.
dlga_lord_respond_to_insult:lord_pretalk.1|Nie miałem złych intencji, pani.
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|Starasz się mnie sprowokować? Wiedz, że nie mam obowiązku potykać się z kobietami, plebsem, rebeliantami czy bandytami. Mogę jednak rozkazać moim ludziom, by cię schwytali i wybatożyli. Chcesz?
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|Starasz się mnie sprowokować? Wiedz, że nie mam obowiązku potykać się z kobietami, plebsem, rebeliantami czy bandytami. Jednak w twoim przypadku mogę zrobić wyjątek. Mam cię nauczyć szacunku dla osób szlachetnych, {chłoptasiu/dziewczynko}?
dlga_lord_respond_to_insult:close_window|Starasz się mnie sprowokować? Wiedz, że nie mam obowiązku potykać się z kobietami, plebsem, rebeliantami czy bandytami. Masz szczęście, że jestem w dobrym nastroju, ponieważ mogę wezwać moich ludzi, by cię wychłostali. Odejdź więc, mam cię dość.
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|Chcę zobaczyć, jak próbują.
dlga_lord_respond_to_insult_challenge_battle:close_window|To nie jest warte rozlewu krwi.
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|Dość tego! Na {niego/nią}, kamraci!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|Zaraz ja cię nauczę...
dlga_lord_respond_to_insult_challenge_duel:close_window|To nie jest warte rozlewu krwi.
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|Niech tak będzie. Broń się!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|Ach, wygląda na to, że masz rację.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|Chcę, żebyście rozwiązali te wszystkie nieporozumienia.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|Nie dacie się przekonać do załatwienia swych spraw?
dlga_lord_quarrel_intervention_2:lord_pretalk|Po namyślę, chyba nie chcę mieć z tym nic wspólnego.
dlga_lord_quarrel_intervention_3a:lord_pretalk|Cieszę się, że tak myślisz.
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|Dla dobra naszej przyjaźni, skłaniam się ku twojemu osądowi. Postaram się zatrzeć złe wrażenie z osobą o imieniu {s11}.
dlga_lord_quarrel_intervention_3b:lord_pretalk|{s11} nie usłyszy ode mnie przeprosin. Znam swoje prawa.
dlga_lord_quarrel_intervention_4:lord_pretalk|Niech będzie tak, jakby nasza sprzeczka nie miała miejsca.
dlga_lord_quarrel_intervention_4:lord_pretalk.1|Myślę, że musisz sprawdzić, czy {s11} będzie w stanie zrobić to samo dla mnie.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|Już zdecydował{em/am}, by poprzeć ciebie.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|Obecnie nie jestem w stanie zdecydować...
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|Ten kogo popieram, to {s15}. {s10}
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|Pozwól, że ci powiem, kogo popieram...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|OSZUSTWO - Zresetuj wsparcie
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|Kogo wspierasz?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|Chciał{bym/abym} wysunąć swoją kandydaturę do tej godności.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|Wspieram mojego męża, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|Wspierał{bym/abym} cię, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|Poprę twój wybór, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|Nieważne.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|To wielce łaskawe, ale nie szukam zaszczytów i wolę nie przyjmować twego wsparcia.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|Nie ufam ci i nie potrzebuję twego poparcia.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|To bardzo wielkoduszne
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|Możesz mu to obwieścić. Nie ufam ci i nie wezmę udziału w grze, którą właśnie toczysz.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|{s4} to osoba, z którą masz stosunki powodujące, że nie będzie chciał twojego poparcia.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|{s4} się o tym dowie i z pewnością ucieszy się z twojego poparcia.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|Ten kogo popieram, to {s4}.
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|Ach. Bardzo interesujące.
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|Czy mogę przekonać cię do poparcia mojej osoby?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|Na razie dość polityki.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|Wywołałeś zbyt wiele kontrowersji, by móc zostać teraz kandydatem. Doradzam, abyś nieco poczekał, nim zaczniesz zabiegać o kolejne zaszczyty dla siebie.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|Przykro mi. Nie chciałbym narażać stosunków, które ja i {s4} utrzymujemy.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|Zaryzykowałbym twierdzenie, że przecież wynagrodzono cię już wspaniale lennami godnymi twych czynów. 
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|Myślę, że musisz się jeszcze trochę wykazać zanim stwierdzę, że nadajesz się na to miejsce.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|Hmm... Odnoszę wrażenie, że prosisz o zbyt wiele, jak na to, jak wyglądają nasze stosunki.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|Wesprę cię z największą radością.
dlga_lord_recruit_1_relation:lord_pretalk|Nużą mnie już rozmowy o polityce. Może porozmawiamy później?
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|Udało ci się podnieść standardy rebelii w imieniu osoby zwanej {s16}. Przybywasz, aby bronić {reg3?jej:jego} interesów?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|Tak.
dlga_lord_recruit_pretender:lord_recruit_1_relation|Nie o to chodzi. Chcę przedyskutować inną kwestię.
dlga_lord_recruit_1_relation:lord_pretalk.2|{s12}
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|Co ogólnie sądzisz o królach, panach i politykach?
dlga_lord_recruit_2:lord_spouse_leave_faction|Mężu, uważam, że powinieneś się zastanowić, czy {s11} zasługuje na twoją lojalność.
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|{s9} od zawsze był dla mnie dobrym panem, ale wysłucham cię. Co proponujesz?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|Nie widzę powodu, dla którego {s9} miałby zostać przeze mnie opuszczony, ale wysłucham twojej rady. Co proponujesz?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|Zgadza się. Jako lennik, {s9} okazał się wielkim rozczarowaniem. Co według ciebie powinniśmy zrobić?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|Mężu, uważam, że powinieneś zostać królem!
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|Jestem prawowitą następczynią tronu Calradii.
dlga_lord_spouse_leave_faction_2:lord_pretalk|Nieważne
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|Być może, pewnego dnia, moja żono - nim jednak ogłoszę się królem, pragnę, by jedno z nas utrzymywało fortecę, która będzie służyła nam za dwór, dopóki nie ogłosimy się publicznie.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|Chociaż nie chcę podkopywać twych roszczeń, moja żono, pragnę, by jedno z nas utrzymywało fortecę, która posłuży nam za dwór, dopóki nie ogłosimy się publicznie.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|Mężu, jestem gotowa. Czas podjąć działania w celu odzyskania tronu.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|Być może nie jestem jeszcze gotowa.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|Być może, ale będę potrzebowała twego wsparcia, przedstawiając moje racje. Przed podjęciem kolejnych decyzji wypadałoby rozwiązać kwestię rebelii, za którą stoi {s4}.
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|Większość zamieszkujących te ziemie rodzin może rościć sobie prawo do tronu... Biorąc pod uwagę kwestie ostatniej sukcesji, mam takie same prawa do tronu, jak {s4}.
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|Jako król będę korzystał z twych osądów w sprawie wyznaczania ministrów, w kwestiach dyplomatycznych i im pokrewnych.
dlga_lord_spouse_leave_faction_husband_king_3:close_window|Dobrze, mężu. Jedźmy wysunąć nasze roszczenia.
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|Lepiej chyba poczekajmy na właściwy moment.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Czy chcesz poruszyć jakieś inne kwestie?
dlga_lord_recruit_2:lord_recruit_2_discontent|Co sądzisz o osobie znajej jako {s15}?
dlga_lord_recruit_2:lord_recruit_3_a|Pamiętasz naszą wcześniejszą rozmowę?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|Doszły mnie słuchy, że {s16} jest z tobą w sporze.
dlga_lord_recruit_quarrel_describe:lord_recruit_2|Ta sprawa nie jest żadną tajemnicą... {s14}
dlga_lord_recruit_2:lord_pretalk|Nieważne.
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Czasem martwi mnie sytuacja królestwa.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Czy mogę cię jakoś przekonać do głębszej wypowiedzi?
dlga_lord_recruit_hesitant:lord_pretalk|Doskonale.
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|Skoro tak to ujmujesz, muszę przyznać, że czasem martwi mnie sytuacja królestwa.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|Wystawiasz moją cierpliwość na próbę. Już mówiłem, nie mam nic do powiedzenia.
dlga_lord_recruit_3:lord_recruit_3_a|Mam ci coś do powiedzenia.
dlga_lord_recruit_3:lord_pretalk|Dobrze wiedzieć, ale skończmy już z tą polityką.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Tak, zgadza się.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Pozwól, że ujmę to inaczej.
dlga_lord_recruit_3_a:lord_recruit_3_b|Tak?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Tak?
dlga_lord_recruit_3_b:lord_recruit_3_why|Proszę cię o wsparcie w staraniach o tron Calradii.
dlga_lord_recruit_3_b:lord_recruit_3_why.1|Proszę cię o uznanie swej lojalności wobec mojego lennika. Jest nim {s45}, władca całej Calradii.
dlga_lord_recruit_3_b:lord_pretalk|Nieważne.
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Żaden z nas nie posiada nawet jednej fortecy w swoim władaniu. Czy chcesz zarządzać swym królestwem jak norą banitów gnieżdżących się w lasach?
dlga_lord_recruit_3_why:lord_recruit_3_d|Dlaczego niby {s44} ma dostać moje poparcie?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|Gdy {s45} zasiądzie jako {s47}, {s45} będzie wobec wszystkich uczciwa i będzie podtrzymywała prawa ludu.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|Gdy {s45} zasiądzie jako {s47}, {s45} będzie podtrzymywała starożytne prawa, jako szlachcic na tych ziemiach.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Ponieważ {s45} może zjednoczyć Calradię i zakończyć wszystkie waśnie.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Ponieważ {s45} w nagrodę przyzna ci ziemie.
dlga_lord_recruit_3_d:lord_pretalk|Nieważne.
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Czy przypadkiem nie mówisz wszystkim tego, co chcą usłyszeć? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|Proszę cię o złożenie obietnicy wierności. {s16} jest osobą, którejś winien służyć.
dlga_lord_recruit_4:lord_pretalk|Nieważne.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Pozwól, że się zastanowię.
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|Najwyższy czas podjąć decyzję.
dlga_lord_recruit_6:lord_pretalk|Nie ma potrzeby podejmowania decyzji. Możemy porozmawiać o tym później.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Dobrze...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Dobrze. Wiedz, że {s4} może liczyć na mnie. Uroczyście ślubuję mą lojalność wobec {reg4?mojej nowej królowej:mojego nowego króla}.
dlga_lord_recruit_pledge:lord_recruit_pledge|Pamiętaj, że obiecał{eś/aś} mi lenno. Będę pamiętać o tej obietnicy.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|Niech tak będzie - ślubuję tobie lojalność jako wierny wasal. Stanę u twego boku w walce z twoimi przeciwnikami i będę popierać roszczenia do tronu zarówno twoje, jak i twoich prawowitych dziedziców. W zamian oczekuję, że będziesz mnie chroni{ł/ła} i respektowa{ł/ła} moje prawa, jako twojego wasala.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|Niech tak będzie. Niech {s4} dowie się od ciebie, że od tego momentu jestem {reg4?jej:jego} wiernym wasalem, i że będę {reg4?jej:jemu} wierny tak długo, na ile starczy mi tchu. Stanę u {reg4?jej:jego} boku w walce, jeśli zajdzie taka potrzeba, i wspierać będę roszczenia do tronu zarówno twoje, jak i twoich prawowitych dziedziców. W zamian oczekuję, że będziesz mnie chronił i respektował moje prawa, jako twojego wasala.
dlga_lord_recruit_pledge_conclude:close_window|Podjąłem moją decyzję... Pozwól, że się teraz oddalę, gdyż będę potrzebować nieco czasu, by przygotować się do nadchodzących wydarzeń.
dlga_lord_start:close_window.3|Otrzymałem podarunek, który sprezentował mi mój {s11} {s10}. To szlachetny gest, {panie/pani}, i wyrażam skruchę z powodu naszych niegdysiejszych waśni.
dlga_lord_start:close_window.4|Otrzymałem podarunek, który sprezentował mi mój {s11} {s10}. Wszelkie waśnie między mną a {reg4?nią/nim} puszczę w niepamięć.
dlga_lord_start:close_window.5|Otrzymałem podarunek, który sprezentował mi mój {s11} {s10}. Ba! Czy sądzisz, że moją przyjaźń można kupić?
dlga_lord_start:close_window.6|Otrzymałem podarunek, który sprezentował mi mój {s11} {s10}. Niezależnie od tego, jak wielkim darzę {reg?ją:go} szacunkiem, nie mogę zapomnieć o kwestiach, które nas poróżniły.
dlga_lord_talk:denounce_lord_results|Postąpiłem zgodnie z twoją sugestią i wyparłem się tego człowieka, którym jest {s4}.
dlga_denounce_lord_results:lord_pretalk|Tak, i miejmy nadzieję, że teraz {s4} dwa razy się zastanowi, zanim ofiaruje mu kolejne lenna, honory i posady. Jesteśmy tobie wdzięczni.
dlga_denounce_lord_results:close_window|Tak też zrobiłeś. Słyszeliśmy, że zmusił cię do cofnięcia twoich słów i wybrnął z tej konfrontacji silniejszy niż wcześniej. Wybacz, {panie/pani}, jeśli moje wyrazy wdzięczności nie są wystarczająco wielkie.
dlga_lord_talk:lord_quest_intrigue_result|Zrobiłem, jak miałem zrobić, i {s5} odbył ze mną rozmowę na temat zagrożeń, jakie może stanowić dla nas {s4}.
dlga_lord_quest_intrigue_result:lord_pretalk|Tak, słyszeliśmy. Miejmy nadzieję, że teraz {s5} dwa razy się zastanowi, zanim ofiaruje mu kolejne lenna, honory i posady. Jesteśmy tobie wdzięczni.
dlga_lord_quest_intrigue_result:close_window|Tak słyszeliśmy. Niestety, zdaje się, że {s5} nie słuchał. Niezależnie od tego, wdzięczni jesteśmy za twoje starania.
dlga_lord_talk:lord_lend_companion_end|Chcę, aby {s14} powrócił do mojej kompanii, {s65}, jeśli nie potrzebujesz już {reg3?jej:jego} usług.
dlga_lord_lend_companion_end:lord_pretalk|Masz już za dużo ludzi w swojej kompanii, {playername}. Nie możesz dowodzić w tym momencie tyloma ludźmi.
dlga_lord_lend_companion_end:lord_pretalk.1|Oczywiście, {playername}. {reg3?To dobra:To dobry} {reg3?dziewczyna:chłopak}, możesz być {szczęśliwy/szczęśliwa}, że masz takich towarzyszy.
dlga_lord_talk:lord_ask_to_collect_debt|{s1} przysłał mnie, abym odebra{ł/ła} jego pieniądze.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Och. Cóż, {s1} pożyczył mi kiedyś trochę srebra, ale zrobiłem mu w przeszłości tyle przysług, że uznaję te pieniądze za należną mi zapłatę.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} uznaje to za dług. Poprosił mnie o pomoc i teraz mówię w jego imieniu.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|W takim razie nie będę dłużej naciskać.
dlga_convince_accept:close_window|Rzeczywiście... {s8} mógł czuć się urażony moją zwłoką w spłacie długu, który i dla mnie był przyczyną nie lada dyskomfortu. Dziękuję za zgodę zabrania do niego pieniędzy. Proszę, daj mu te {reg10} denarów i podziękuj w moim imieniu.
dlga_lord_talk:lord_ask_to_make_peace|Proszę, {s64}, czas, aby {s12} i {s13} przestali toczyć wojnę.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Hę? Chyba źle cię zrozumiałem, {playername}. Wojny nie zapomina łatwo żadna ze stron konfliktu, a ja mam bardzo dobrą pamięć. Dlaczego miałbym mieć interes w negocjowaniu pokoju z tymi psami?
dlga_lord_ask_to_make_peace_2:convince_begin|Może zdołam cię do tego namówić...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Nieważne, pokój może zaczekać.
dlga_convince_accept:close_window.1|Dobrze... udało ci się mnie przekonać, {playername}. Obiecuję, że nie wniosę sprzeciwu w czasie podpisywania traktatu pokojowego. Nie zagwarantuję ci jednak, że {s14} również podpisze ten traktat, ale szansa na to zawsze istnieje...
dlga_lord_talk:lord_challenge_duel_for_lady|Chcę, aby twoje oskarżenia względem: {s1} zostały wycofane.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Jakie oskarżenia? Wszyscy wiedzą, że ona sypia ze stajennymi i każdym, na kim może położyć ręce, kiedy jej mąż wyjeżdża. Ja tylko powtarzam słowa wielu osób.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Odwołasz te słowa, panie, albo udowodnisz je przeciw mojemu mieczowi!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Skoro tak mówisz...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Porzuć swoje konkury wobec {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|A jak nie, to co? Masz zamiar wyzwać mnie na pojedynek o kobietę? Powiem ci jedno - nasz pan z pogardą patrzy na tych, którzy przyjmują takie nierozsądne wyzwania, gdy każdy mężczyzna musi być gotowy, aby stawić czoła nieprzyjacielowi spoza granic.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Boisz się ze mną walczyć?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Proszę o wybaczenie. Postąpiłem zbyt pochopnie...
dlga_lord_talk:lord_message_delivered|{s9} przesyła wiadomość.
dlga_lord_message_delivered:lord_pretalk|Tak? Pokaż, proszę! Tak, tak! Dobrze się spisał{eś/aś}, {playername}. Spodziewałem się tej wiadomości. Weź moją pieczęć na potwierdzenie, że korespondencja dotarła. Gdy {s9} stanie kiedyś na twojej drodze, przekaż mu moje ukłony.
dlga_lord_talk:lord_message_delivered_enemy|{s9} przysyła wiadomość.
dlga_lord_message_delivered_enemy:close_window|Och? Spójrzmy... Hmmm. Dziękuję ci, {playername}, za dostarczenie tej wiadomości. Zabierz moją pieczęć, jako potwierdzenie odbioru, wraz z podziękowaniami.
dlga_lord_talk:lord_deliver_message_prisoner|{s11} przysyła wiadomość.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Czy to może być prawda? Och, dziękuję ci bardzo, {playername}! Przynosisz nadzieję i promień światła w te mroczne mury. Może pewnego dnia zdołam ci się odwdzięczyć.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a| Przynajmniej tyle udało mi się zrobić, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Nie masz pojęcia, jaki jestem ci wdzięczny, {playername}. Dziękuję po stokroć i jeszcze więcej.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Nie martw się, {s65}. Będziesz miał okazję, kiedy znów będziesz wolny.
dlga_lord_deliver_message_prisoner_2b:close_window|Ha, oczywiście, {playername}. Przyjmij moje wielkie podziękowania.
dlga_lord_talk:lord_rescue_by_replace_offer|Nie obawiaj się, jestem tu po to, by cię uratować.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Na Boga, mówisz poważnie? Jaki masz plan?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Prosty fortel, {s65}. Jeśli zamienimy się strojami, zajmę twoje miejsce w więzieniu, a ty uciekniesz przebrany za mnie. Udało mi się dać strażnikom przyzwoitą łapówkę, z pewnością kupili już za nią połowę zapasów wina w pobliskiej tawernie. Przy odrobinie szczęścia wkrótce się upiją i będą mieli problem z rozpoznaniem własnych matek, nie mówiąc o nas. Przynajmniej do momentu, aż będziesz już daleko stąd.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, to może się udać... Ale co z tobą, {przyjacielu/przyjaciółko}? Strażom nie spodoba się to oszustwo. Możesz spędzić w tej celi sporo czasu.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Nie martw się, {s65}. To miejsce już zaczyna mi się podobać.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|Nic mi nie będzie, dopóki na końcu czeka solidna nagroda.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|Jesteś naprawdę dzielną duszą. Nie zapomnę ci tego.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Oczywiście, {przyjacielu/przyjaciółko}, oczywiście! Przyjdź do mnie, kiedy odzyskasz wolność, a być może zdołam spłacić mój dług wobec ciebie.
dlga_lord_rescue_by_replace_offer_6:close_window|Szybko, {s65}, zmieńmy ubrania. Już czas, żebyś był daleko stąd.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, chcę przywrócić moją starą przysięgę wobec państwa o nazwie {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|To zbyt poważna sprawa, bym o niej decydował, {playername}. {s4} jest tym, kogo musisz odszukać. Tylko on sam może udzielić lub odmówić takiej łaskawości.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Jak sobie życzysz, {s65}. Przyjmę twoją ocenę.
dlga_lord_ask_pardon_terms:lord_pretalk.1|Szkoda, {s65}. Szkoda.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Doskonale, idź i umrzyj beze mnie.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Tak, jestem gotów.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|Hmm, po chwili namysłu mówię nie. Nie chcę znów tobie służyć.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Tak, zgadzam się na te warunki.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|To zbyt wysoka cena, {s65}. Muszę odmówić.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Znakomicie. Choć jesteś daleko od nas, {playername}, nasze serca radują się na wieść, że udało ci się odnaleźć właściwą drogę. Niniejszym przywracam twoją przysięgę względem mnie. Po raz kolejny jesteś {wojownikiem/wojowniczką} w mojej służbie.
dlga_lord_ask_pardon_terms_rejected:close_window|Zejdź mi z oczu, zdrajco! Odejdź i nigdy już nie wracaj!
dlga_lord_talk:lord_ask_pardon|Chcę zawrzeć pokój, by {s4} i moi podwładni już nie rozlewali więcej krwi.
dlga_lord_ask_pardon:lord_pretalk|Naprawdę, {playername}? To idź i nabij się na miecz. Dasz pokój nam wszystkim.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, jesteś {panem/panią} bez władcy, posiadasz ziemie, choć nie masz zbyt dużych podstaw, aby rościć sobie do nich prawa. Dopóki trwa taki stan rzeczy, żaden król z Calradii nie przyjmie stałej propozycji pokoju z tobą.
dlga_lord_ask_pardon:lord_pretalk.2|Zawierać pokój, gdy mam nad tobą przewagę? Nie sądzę.
dlga_lord_ask_pardon:lord_pretalk.3|W obecnej sytuacji zawieranie z tobą pokoju nie leży w moim interesie.
dlga_lord_ask_pardon:lord_truce_offer|Mam dość ciągłych konfliktów. Mogę ci zaproponować 40-dniowe zawieszenie broni. Jeśli dotrzymasz słowa i powstrzymasz się od nękania moich ziem i posiadłości, możemy wrócić do rozmów...
dlga_lord_truce_offer:close_window|Przyjmuję propozycję. Skończmy z tymi ciągłymi wojnami, przynajmniej na jakiś czas.
dlga_lord_truce_offer:lord_pretalk|Po dłuższym namyśle, tego rodzaju umowa byłaby mi na rękę.
