str_no_string|NO STRING!
str_npc4_payment_response|Oczywiście. Oto {reg3} denarów.
str_npc5_payment_response|Cóż... oto {reg3} denarów. Twoja pierwsza zapłata.
str_npc7_payment_response|Nie ma problemu. Oto {reg3} denarów.
str_npc8_payment_response|Och, nie jestem kimś ubogim pani. Oto {reg3} denarów dla ciebie.
str_npc9_payment_response|Niech będzie, oto {reg3} denarów.
str_npc10_payment_response|Oczywiście. Oto {reg3} denarów.
str_npc11_payment_response|Niech będzie, oto {reg3} denarów. Przygotuj się. Wkrótce wyruszamy.
str_npc13_payment_response|Niech będzie, oto {reg3} denarów. Przygotuj się, niebawem wyruszamy.
str_npc14_payment_response|W porządku, oto {reg3} denarów. Dobrze cię widzieć w naszej kompanii.
str_npc15_payment_response|W porządku, oto {reg3} denarów. Dobrze, że jesteś z nami.
str_npc16_payment_response|W porządku, oto {reg3} denarów dla ciebie. Przygotuj się.
str_npc1_morality_speech|Hej, {szefie/szefowo}. Proszę, nie miej mi tego za złe, ale to ciężkie życie i to, że musimy {s21} to już za wiele. Uważaj trochę bardziej w przyszłości kapitanie.
str_npc2_morality_speech|Mam nadzieję, że cię nie urażę, ale martwi mnie, jak musimy {s21}. Być może tra mi być twardszym żołnierzem, ale jeśli od czasu do czasu okażemy trochę litości, będę lepiej sypiał.
str_npc3_morality_speech|Być może nie należy w taki sposób mówić {panie/pani}, ale przyznaję, że jestem szokuje mnie na myśl, że kaszesz nam {s21}. Oczywiście zdaję sobie sprawę, że wojna jest okrutna, ale nie ma potrzeby czynić jej jeszcze bardziej nieludzką, niż potrzeba.
str_npc4_morality_speech|Przepraszam - chcę tylko powiedzieć, że mężczyźni z domu Rolfa nie lubią {s21}. Nie będę zadowolony, jeśli będziemy dalej działać w taki sposób.
str_npc5_morality_speech|Przepraszam, {kapitanie/pani}, ale {s21} nie służy oddziałowi. Twoim pierwszym obowiązkiem jest opieka nad ludźmi, którzy przyjęli twoją sól. Trzeba im przynajmniej zaoferować żywność, żołd, okazję do plądrowania, oraz nie wysyłać ich na niepotrzebną śmierć.
str_npc6_morality_speech|Przepraszam {panie/pani}. Jak wiesz, dołączyłem do ciebie, aby walczyć ze złem, chronić niewinnych i odpokutować za grzechy. Nie spodziewałem się, że będziemy {s21}.
str_npc7_morality_speech|{Kapitanie/Pani}, nie podoba mi się, że musimy {s21}. W taki sposób postępuje zwykły bandyta, który nie dba o swoich ludzi.
str_npc8_morality_speech|Z wielkim niezadowoleniem przyjmuję decyzję, gdy rozkazujesz {s21}. Zginąć w bitwie to honor, ale walczyć w bandzie dowodzonej przez tchórza to hańba.
str_npc9_morality_speech|{Panie/Pani} - ja nie zamierzam {s21}. Mężczyźni z mojej rodziny akceptują śmierć, ale nie hańbę. Proszę, nie każ mi się wstydzić, że jestem u ciebie na służbie.
str_npc10_morality_speech|Przepraszam bardzo, {kapitanie/pani}. Nie mogę powiedzieć, że jestem szczęśliwy widząc, że musimy {s21}. To tylko prości ludzie, którzy chcą normalnie żyć. Gdybyś tylko mógł trochę odpuścić tym biedakom, czułbym się znacznie lepiej.
str_npc11_morality_speech|Przepraszam. {kapitanie/pani}. Nie jest dobrze, gdy {s21}. Byłam żołnierzem w armiach przez 30 lat i uważam, że każdy żołnierz oczekuje, iż zostanie przynajmniej nakarmiony, opłacony i że nie będzie musiał nadstawiać skóry na daremno.
str_npc12_morality_speech|{Kapitanie/Pani}, nie podoba mi się, że musimy {s21}. Ja chcę być wojownikiem, a nie bandytą. Proszę, okażmy nieco więcej współczucia.
str_npc13_morality_speech|{Kapitanie/Pani}, jeśli można tego uniknąć, to lepiej nie {s21}. Calradia to nieduża kraina i reputacja jest tutaj bardzo ważna. Nie byłoby nic przeciwko, gdyby jeden z moich rywali ujął ten niefortunny incydent w satyrycznym wersie.
str_npc14_morality_speech|Nie obchodzi mnie to, że musimy {s21}. Nikt o reputacji tchórza nie będzie odpowiednio szanowany przez swoich ludzi.
str_npc15_morality_speech|{Panie/Pani}, jeśli chcesz znać moją opinię, to żaden rozsądny i szanujący się dowódca nie pozwoli {s21}. Mam nadzieję, że nie wyrażam się zbyt śmiało.
str_npc16_morality_speech|{Kapitanie/Pani kapitan}... Nie chcę {s21}. Tyle gardeł pozostało nie poderżniętych, tyle sakiewek nie oczyszczonych...
str_npc1_2ary_morality_speech|{Szefie/Szefowo}, chcę powiedzieć, że nie widzę problemu w tym, że będziemy {s21}. Przeżyć kolejny dzień - to ma dla mnie sens.
str_npc2_2ary_morality_speech|{Panie/Pani}, nie jestem szczęśliwy, gdy każesz nam {s21}. Jestem kupcem i w moim fachu liczy się dane słowo. Nie chcę sobie psuć reputacji, w ten sposób moja kupiecka kariera byłaby skończona {panie/pani}.
str_npc3_2ary_morality_speech|{Panie/Pani}, myślę, że to była dobra decyzja, kazać nam {s21}. Nie ma nic złego w poszukiwaniu sposobu na uniknięcie rozlewu krwi.
str_npc4_2ary_morality_speech|Przepraszam, ale niezależnie od tego co mówią inni uważam, że to była dobra decyzja, kazać nam {s21}. Powinno się podejmować wszelkie możliwe decyzje, aby przetrwać w tych ciężkich czasach.
str_npc6_2ary_morality_speech|{Panie/Pani}, być może woliśz, żeby {s21}, ale ja nie chcę brać w tym udziału. To nie jest droga prowadząca do mojego odkupienia.
str_npc9_2ary_morality_speech|{Kapitanie/Pani}, przeraża mnie, że każesz nam {s21}. Jesteś {mężczyzną, który powinien/kobietą, która powinna} okazywać najwyższe standardy honoru w każdym momencie.
str_npc10_2ary_morality_speech|{Bracie/Siostro}, nie mogę powiedzieć, że cieszy mnie, gdy {s21}. Należy dobrze traktować swoich ludzi, a oni odpłacą za to zainteresowaniem.
str_npc14_2ary_morality_speech|{Kapitanie/Pani}, nie przeszkadza mi {s21}. Armie muszą spełniać życzenia swoich dowódców, a trudy są częścią żołnierskiego życia.
str_npc15_2ary_morality_speech|Wiesz {playername}, nie zachwyca mnie, gdy widzę, jak każesz swoim ludziom {s21}. Jeśli złamiesz słowo względem nich, to równie dobrze możesz złamać słowo względem mnie, tak to rozumiem.
str_npc16_2ary_morality_speech|{Kapitanie/Pani}, dla twojej informacji, dla mnie to żaden problem, że mamy {s21}. Rób to, co jest konieczne, abyśmy przeżyli, a oni zrobią to samo dla nas, kiedy sytuacja się odwróci.
str_npc1_personalityclash_speech|{Kapitanie/Pani}, bez urazy, ale {s11} mnie już męczy. Ona wciąż demonstruje, że jest kimś lepszym, niż twój skromny sługa Borcha.
str_npc2_personalityclash_speech|{Panie/Pani}, jak pewnie pamiętasz, zanim do ciebie dołączyłem, byłem kupcem. Szanuję ludzi, którzy żyją pokojowo i ryzykują wszystko, by dostarczyć towary do odległych krain.
str_npc3_personalityclash_speech|{Kapitanie/Pani}, moim zdaniem, {s11} to okrutny i zły człowiek. Nie mówi o niczym innym, jak o chłostaniu, biciu i wieszaniu swoich kolegów z kompanii.
str_npc4_personalityclash_speech|{Panie/Pani}. Rodzina Rolfów to jedna z najstarszych i najbardziej respektowanych rodzin w tej części świata, której historia sięga czasów Starego Imperium Calradii. Mimo to, {s11} otwarcie okazuje mi lekceważenie i bez wątpienia nie wierzy w historię mojej rodziny.
str_npc5_personalityclash_speech|Chciałbym zająć ci tylko chwilę kapitanie. {s11} zdaje się uważać mnie za pospolitego bandytę, tylko dlatego, że w przeszłości czerpałem korzyści z karawan przejeżdżających przez moje rodzinne ziemie.
str_npc6_personalityclash_speech|Przepraszam {panie/pani}, ale nie mogę już dłużej milczeć. Ta ladacznica {s11} za każdym razem wcelowuje we mnie pięć palców dłoni - chłopski znak oznaczający odegnanie złego.
str_npc7_personalityclash_speech|{Kapitanie/Pani}, starałam się ze wszystkich sił wytrzymać paskudne nawyki i niegrzeczne słowa twoich ludzi. Ale ten, który zwie się {s11}, zachowuje się poniżej wszelkich norm.
str_npc8_personalityclash_speech|Chcę tylko powiedzieć, że ten oszust {s11} jest nie do zniesienia. Kilka minut temu powiedział naszym towarzyszom, że chłopi z tego regionu mają tak wydatne szczęki i wąskie czoła, że z pewnością muszą pochodzić od małp.
str_npc9_personalityclash_speech|Panie, {s11} to zwykły pyszałek, człowiek, który nie szanuje kobiet. Mam dość wysłuchiwania, jak zdobył tę, czy tamtą dziewkę.
str_npc10_personalityclash_speech|Przepraszam kapitanie. Nie chcę zawracać ci głowy takimi rzeczami, ale chciałem tylko powiedzieć, że nie mogę wytrzymać z tym całym Rolfem, który nazywa siebie baronem.
str_npc11_personalityclash_speech|Wybacz kapitanie, ale nie chcę dłużej milczeć. Ten człowiek, {s11}, zabił własnego brata.
str_npc12_personalityclash_speech|Panie. Ta barbarzyńska kobieta, {s11}, narzeka na bóle głowy, to jeden z możliwych objawów nadpobudliwości. Zastanawiam się, czy nie zastosować pijawek.
str_npc13_personalityclash_speech|{Kapitanie/Pani}, {s11} przyprawia mnie o ból głowy, w kółko opowiada o rycerstwie i broni.
str_npc14_personalityclash_speech|Przepraszam kapitanie. Kilka minut temu wyraziłem opinię, że rozsądne korzystanie z bicza czy szubienicy pozwala utrzymać dyscyplinę wśród żołnierzy. Mężczyźni nie obawiający się swoich dowódców częściej uciekają z pola bitwy.
str_npc15_personalityclash_speech|Przepraszam. Mam nadzieję, że mogę wyrazić swoją opinię, ale ta dziewczyna {s11} stanowi zagrożenie dla oddziału. To dziki bachor, nie szanujący władzy i podstawowych zasad sztuki wojennej.
str_npc16_personalityclash_speech|Hej, {kapitanie/pani kapitan}. Muszę coś powiedzieć... Ten {s11} ma w sobie coś bardzo zabawnego. Bez przerwy coś rysuje na piasku i mamrocze do siebie.
str_npc1_personalityclash_speech_b|Ona jest zwykłym bandytą, tak jak ja, i nie ma prawa mówić mi, żebym się trzymał od niej z daleka, jak to właśnie uczyniła.
str_npc2_personalityclash_speech_b|Naprawdę nie obchodzi mnie, ile karawan splądrował {s11} czy ile planuje okraść, ponieważ nie szanuje w ten sposób uczciwego handlu.
str_npc3_personalityclash_speech_b|Wiem dobrze, że armia to nie żłobek, że niezbędna jest silna dyscyplina, lecz człowieka nie powinno bawić okrucieństwo oraz wywyższanie się nad innymi. Mam nadzieję, że nie czujesz się urażon{y/a} taką opinią.
str_npc4_personalityclash_speech_b|{Panie/Pani}, nastały naprawdę ciężkie czasy, gdy zwykłym ludziom pozwala się kpić z wyżej urodzonych. To wszystko.
str_npc5_personalityclash_speech_b|Powiedziałem mu, że jeśli życie wojownika daje mu za dużo do myślenia, to niech zostanie księdzem lub żebrakiem i nie musi o takie rzeczy się troszczyć. Mam nadzieję, że to nie problem, że powiedziałem coś takiego.
str_npc6_personalityclash_speech_b|Wiem, że popełnione przeze mnie przestępstwo jest wstrętne, ale szukam skruchy i zasługuję na coś więcej, niż bycie obiektem przesądów wiedźmy. Pomyślałem sobie, że może zechcesz o tym wiedzieć.
str_npc7_personalityclash_speech_b|Nie obchodzi mnie, jak on na mnie patrzy przy ognisku po posiłku, czyszcząc sobie zęby. Jestem pewna, że to bandyta, którego znałam z tamtych czasów. To podły ignorant. Nie chcę podróżować z takimi ludźmi.
str_npc8_personalityclash_speech_b|{s11}, ten wór zuchwalstwa, podsłuchał mnie, nazwał ignorantką, dzikuską i powiedział jeszcze kilka rzeczy, których nie chcę powtarzać. Jedynie z szacunku dla ciebie powstrzymuję się od poderżnięcia mu gardła. Myślę, że powin{ieneś/naś} o tym wiedzieć.
str_npc9_personalityclash_speech_b|Jeśli będzie naciskał, powiem mu, że jest nikczemnym łajdakiem, a jeśli dojdzie do rękoczynów, nie będę przepraszać. To wszystko {panie/pani}.
str_npc10_personalityclash_speech_b|To tylko prosty bandyta, to wszystko. Rodzina Rolfów, oczywiście. Prawdziwa błękitna krew jest wystarczająco parszywa, a ci, którzy udają, że ją mają, są w ogóle nie do zniesienia. Tak czy inaczej, powiedziałem mu przed chwilą coś ostrego. Wyglądało na to, że się obraził. Pomyślałem sobie, że może zechcesz o tym wiedzieć.
str_npc11_personalityclash_speech_b|To zabójca członka rodziny, przeklęty przez niebiosa, który z całą pewnością przyniesie nam nieszczęście. Nie podoba mi się, że jestem blisko niego i nie sądzę, by powinien z nami przebywać. To wszystko. Przepraszam, że zawracam głowę.
str_npc12_personalityclash_speech_b|Jednak kiedy próbowałem to załagodzić, odepchnęła mnie i uderzyła, oskarżając o czary. {Kapitanie/Pani}, mam już szczerze dość wysłuchiwania narzekań tej niewdzięcznej hołoty.
str_npc13_personalityclash_speech_b|Chwalebne czyny są czymś dobrym, ale nie są to jedyne cele w życiu. Osobiście nigdy nie ufam człowiekowi, który nigdy nie miał okazji obudzić się w rynsztoku lub nie dostał od kochanki po twarzy pantoflem.
str_npc14_personalityclash_speech_b|Eh... {s11} uznaje, że może mnie pouczać. Nie pozwolę, by moje metody były otwarcie kwestionowane i nie będę służył żadnemu dowódcy, który toleruje nieposłuszeństwo w swojej kompanii. Dziękuję za możliwość wypowiedzi.
str_npc15_personalityclash_speech_b|Co więcej, podejrzewam, że ona jest złodziejką. Widziałem, jak szpera w moim bagażu i przegląda moje schematy, a kiedy zwróciłem jej uwagę, wyjęła nóż. Mądry kapitan nie pozwoliłby jej pozostać w kompanii.
str_npc16_personalityclash_speech_b|Obawiając się czarów, zapytałam go o to, ale powiedział mi, że taki bachor jak ja powinien pilnować własnego nosa. Zajrzałam więc w jego bagaż i znalazłam dziwne plany i rysunki. Myślę, że to czarnoksiężnik {panie/pani}, a jeśli odkryję, że próbuje rzucać na mnie czary, poderżnę mu gardło.
str_npc1_personalityclash2_speech|Hej, {szefie/szefowo}, nie uważam się za wrażliwca, ale nie podoba mi się sposób, w jaki {s11} rozprawia o podrzynaniu gardeł rannym przeciwnikom.
str_npc2_personalityclash2_speech|{Panie/Pani}. Jeśli to nie problem, wolałbym nie przebywać tam, gdzie jest {s11}, zwłaszcza po tym, co powiedział mi podczas ostatniej bitwy.
str_npc3_personalityclash2_speech|{Panie/Pani}. Od kiedy dane nam razem podróżować, próbuję uczyć się żołnierskiego życia oraz kodeksu wojownika. Jeśli czasami popełnię błąd, to mam nadzieję, że będzie mi wybaczony.
str_npc4_personalityclash2_speech|{Panie/Pani}. {s11} i ja zamieniliśmy kilka słów przy rozdzielaniu zdobyczy wojennych. Poinformuj ją proszę, że kiedy się do mnie odzywa, ma nazywać mnie baronem, baronem Rolfem lub waszą łaskawością, ale nie samym Rolfem. 
str_npc5_personalityclash2_speech|Kapitanie. {s11} koniecznie musi stracić język.
str_npc6_personalityclash2_speech|Panie. Czy widziałeś, jak {s11} zachowywał się podczas ostatniej bitwy? Urągał leżącemu i bezbronnemu przeciwnikowi, przeklinając jego rodzinę i mówiąc mu, jaki był głupi, że z nami walczył.
str_npc7_personalityclash2_speech|{Kapitanie/Pani}, przez cały czas zastanawiałem się, gdzie widziałem tego, który nazywa siebie baronem. Wiesz, ten {s11}. Kiedy obserwowałam go podczas walki, wtedy mi się przypomniało. To dobry wojownik, ale również okrutny.
str_npc8_personalityclash2_speech|{Kapitanie/Pani kapitan}. {s11} to wyjątkowo zuchwała dziewczyna. Próba bycia grzecznym, czy nawet przyjaznym, mija się z celem... Tylko mnie ofuknęła.
str_npc9_personalityclash2_speech|{Panie/Pani}, mam nadzieję, że to nie problem, że ci to mówię, ale uważam, że ten kupiec {s11}, nie zna swojego miejsca. Podczas ostatniej bitwy wszedł przede mnie i zaatakował wroga, którego sobie upatrzyłem.
str_npc10_personalityclash2_speech|{Bracie/Siostro}, mam pytanie. Czy to ty dowodzisz tą kompanią, czy {s11}?
str_npc11_personalityclash2_speech|{Kapitanie/Pani kapitan}. Nie obchodzi mnie za wiele ten {s11}. Po ostatniej bitwie krążył, mamrocząc jakąś pogańską inkantację i szukał, którego poległego okraść.
str_npc12_personalityclash2_speech|Kapitanie. Ja już dłużej nie mogę tolerować ignorancji, jaką okazuje ten {s11}. Kiedy opatrywałem rany ludziom po ostatniej bitwie, krytykował moje używanie maści na ból podczas operacji oraz przykładanie do ran okładów z miodu.
str_npc13_personalityclash2_speech|Hej, kapitanie! {s11} ma niezły temperament, co? Podczas ostatniej bitwy, kiedy wymieniałem ciosy z przeciwnikami, gawędziłem z nimi na temat ich matek, co wprowadziło go w szał!
str_npc14_personalityclash2_speech|Panie. {s11} w ogóle nie zna dyscypliny. Podczas tej potyczki zawołałem do niego, żeby trzymał szereg z innymi. On tylko krzyknął, żebym się wypchał.
str_npc15_personalityclash2_speech|Kapitanie - muszę ci powiedzieć, że wątpię w medyczne umiejętności, które pokazuje {s11}. Kiedy doglądał ran naszych ludzi po walce, uznałem, że warto mu wspomnieć, że niezrównany Galerian często stosował wywaru z buraków, aby przywrócić brak humoru spowodowany utratą sangwiniczności.
str_npc16_personalityclash2_speech|Proszę o wybaczenie {panie/pani}. {s11} może i ma wprawę w złodziejskim fachu, ale według mnie nie ma w sobie krwi wojownika.
str_npc1_personalityclash2_speech_b|Sposób, w jaki radośnie pogwizduje, kiedy to robi - aż mnie ciarki przechodzą.
str_npc2_personalityclash2_speech_b|Akurat zbliżał się do nas wróg, gdy powiedział: ''ustąp miejsca, kupcze. To robota rycerzy!''. Następnym razem odsunę się i pozwolę mu przyjąć włócznię we flaki.
str_npc3_personalityclash2_speech_b|Po naszym ostatnim zwycięstwie oglądałam sobie zabitych i zabrałam sakiewkę jednego z naszych wrogów. Ledwie to zrobiłam, pojawiła się {s11}, wytrąciła mi sakiewkę z ręki i powiedziała, że to ona go zabiła i zasługuje na łup. Panie, podczas bitwy trudno powiedzieć, kto trafił kogo. Gdyby {s11} powiedziała po prostu, że zasługuje na tę sakiewkę, chętnie bym jej ją oddała.
str_npc4_personalityclash2_speech_b|Jestem w końcu arystokratą, a ona jest tak nisko urodzona. Musi zapamiętać, gdzie jej miejsce.
str_npc5_personalityclash2_speech_b|Kiedy łupy zostały zgromadzone po ostatniej bitwie, znalazłem wśród nich bardzo przyzwoity garnek. Zawsze chciałem mieć taki garnek, abym mógł ugotować gulasz dla swoich ludzi i rozgrzać im brzuchy podczas zimowych miesięcy. Ale {s11} chwyciła garnek i powiedziała mi, że nie wolno mi go skalać pogańskim jedzeniem i że on należy do niej. Oddałem go jej, ale w przyszłości nie będę tolerował takiego braku szacunku.
str_npc6_personalityclash2_speech_b|Panie, taka pycha zostanie zauważona przez niebiosa i obawiam się, że wszyscy zapłacimy za nią wysoką cenę.
str_npc7_personalityclash2_speech_b|Kiedy żyłam w wąwozach, czasami walczyliśmy z rywalizującą z nami bandą zwaną Braterstwem Lasu. {Kapitanie/Pani}, nie ufam żadnemu człowiekowi, który ukrywa swoje pochodzenie, a zwłaszcza pospolitemu bandycie, który nazywa sam siebie lordem.
str_npc8_personalityclash2_speech_b|Kiedy czyściliśmy broń po bitwie, z mych usta padły słowa, że jest atrakcyjną dziewczyną i że kiedy odzyskam ziemie, chętnie zeswatam ją z jednym z moich wojowników. W moim mniemaniu była to bardzo hojna oferta, ponieważ kobieta wydziedziczona przez ojca łatwo nie ułoży sobie życia. Zamiast mi jednak podziękować, odwróciła się do mnie plecami bez słowa. Tylko ze względu na szacunek dla ciebie powstrzymuję się od nauczenia jej odpowiednich manier.
str_npc9_personalityclash2_speech_b|Doceniam, że jest on gotów ryzykować dla mnie życie w walce, ale nie czyni go to od razu rycerzem. Nie jest wysoko urodzony, a jego rodzinny majątek pochodzi z handlu i lichwy. Może walczyć dla nas jako pomocnik, ale nie powinien próbować kraść chwałę od lepszych sobie.
str_npc10_personalityclash2_speech_b|Podczas ostatniej bitwy krzyczał do mnie: ''Naprzód, cofnij się, trzymaj szereg''. Kiedy mu powiedziałem, by zajął się sobą, zagroził mi wychłostaniem. {Kapitanie/Pani}, wybacz że to powiem, ale ten człowiek szuka bełtu w piersi.
str_npc11_personalityclash2_speech_b|Powiedział, że była to modlitwa dziękczynna za zwycięstwo, ale dla mnie to tak nie brzmiało. {Kapitanie/Pani}, nie chcę, by przywoływał duchy zmarłych, które będą nas dręczyć po drodze. Lepiej się go pozbyć.
str_npc12_personalityclash2_speech_b|{Kapitanie/Pani}, gdyby ten człowiek choć odrobinę się znał na sprawach medycznych, wiedziałby, że nigdy nie należy podkopywać wiary pacjenta w doktora, zwłaszcza podczas skomplikowanej operacji. Gdyby możliwe było pozbycie się go z kompanii, wszyscy z pewnością odczulibyśmy ulgę.
str_npc13_personalityclash2_speech_b|Kiedy opadł cały kurz, {s11} odwrócił się do mnie i powiedział, abym nie kusił gniewu niebios swoją pychą. Odpowiedziałem mu, że ja przynajmniej nie zabiłem własnego brata, co z pewnością bardziej rozgniewało niebiosa, niż pogaduszki na polu bitwy. {s11} zrobił się czerwony jak tyłek pawiana i gdybym się nie odsunął, nieźle by mi przyłożył. Powiedz mu, żeby się rozchmurzył, dobra?
str_npc14_personalityclash2_speech_b|{Panie/Pani}, taki opór wobec władzy ma niedobry wpływ na naszą kompanię i jeśli jeszcze raz tak zrobi, każę go wychłostać.
str_npc15_personalityclash2_speech_b|{s11} odpowiedział, że Galenian był ''starym głupcem''. {Kapitanie/Pani}, żaden prawdziwy doktor w taki sposób nie lekceważyłby wielkich mistrzów z przeszłości. Nie wierzę, że musisz zatrudniać takiego ignoranta.
str_npc16_personalityclash2_speech_b|Po ostatniej bitwie, gdy rozcinałam flaki kilku martwym wrogom, aby poszukać ukrytego złota, jak dziewka, która przelicza swoje skryte oszczędności, on zwymiotował i wymamrotał, że jestem zwierzę. Zbadam mu wnętrzności pod kątem kontrabandy, jeśli nie będzie trzymał swojego jęzora za zębami.
str_npc1_personalitymatch_speech|{Szefie/Szefowo}. {s11} nieźle sobie poradził w ostatniej walce. Dobry również z niego kompan.
str_npc2_personalitymatch_speech|{Panie/Pani}. Pragnę ci tylko powiedzieć, że {s11} jest trudny we współżyciu i zaryzykuję stwierdzenie, że kawał z niego szelmy, ale jednak jestem dumny nazywając go moim towarzyszem.
str_npc3_personalitymatch_speech|Witaj {panie/pani}. Chciałam ci tylko powiedzieć, że {s11} to bardzo szlachetny rycerz. Udało ci się go podpatrzeć podczas ostatniej bitwy?
str_npc4_personalitymatch_speech|Przepraszam {panie/pani}. Pragnę tylko pochwalić kogoś... tą osobą jest {s11}. Doskonale sobie poradził w ostatniej bitwie.
str_npc5_personalitymatch_speech|To była wspaniała bitwa {playername} Bahadur! {s11} to dobry człowiek, całe szczęście, że w walce jest po naszej stronie.
str_npc6_personalitymatch_speech|Kapitanie. Czasami męczy mnie ten cały rozlew krwi, choć wiem, że dumnych wojowników należy poniżyć, a okrutnych bandytów ujarzmić, jeśli mamy przywrócić pokój w Calradii.
str_npc7_personalitymatch_speech|Kapitanie. {s11} i ja właśnie rozmawiałyśmy. Być może jest odrobinę dzika, ale wierzę, że jest wierną przyjaciółką.
str_npc8_personalitymatch_speech|To była świetna bitwa, {kapitanie/pani kapitan}. I muszę przyznać, że podziwiam obelgi, które {s11} miota pod adresem wroga.
str_npc9_personalitymatch_speech|Kapitanie. {s11} dobrze się sprawdziła w ostatniej bitwie. To świetna, skromna dziewica, jeśli mogę tak powiedzieć.
str_npc10_personalitymatch_speech|Ahoj, {bracie/siostro}! Życzę ci radosnego zwycięstwa! Powiedz, stara Matka {s11} nie jest taka zła, jak na kobietę w tym wieku, co? Choć nie powiem, sam zaczynam zmieniać się już w starego psa.
str_npc11_personalitymatch_speech|Ach, {kapitanie/pani kapitan}! Taka walka sprawia, że moje stare stawy aż trzeszczą. Nieźle im przyłożyliśmy, co?
str_npc12_personalitymatch_speech|Krwawa robota kapitanie, krwawa... choć wiadomo, że niezbędna. Wydaje mi się, że {s11} podziela moją przeciwstawność w kwestii tej ciągłej walki.
str_npc13_personalitymatch_speech|Dziś zasłużył{eś/aś} sobie na swoje imię, o waleczn{y/a}! I {s11} również! Ona mi się podoba. Idąc do walki, śpiewa pieśni swojego ludu, to artystyczna dusza, taka jak moja.
str_npc14_personalitymatch_speech|Kapitanie. To przyjemność, iść do boju z takimi ludźmi jak {s11}.
str_npc15_personalitymatch_speech|Kapitanie. {s11} i ja zamieniliśmy kilka słów po ostatniej bitwie, ten człowiek naprawdę ma głowę na karku.
str_npc16_personalitymatch_speech|Hej, {kapitanie/pani kapitan}. {s11} i ja właśnie sobie pogawędziliśmy, przerzucając ciała w poszukiwaniu kosztowności. 
str_npc1_personalitymatch_speech_b|Bez dobrych, szczerych dusz, takich jak on, które posiadają srebro, dranie tacy jak ja, mieliby ciężkie życie, gwarantuję. Cieszę się, że jest z nami.
str_npc2_personalitymatch_speech_b|Widząc jak poradził sobie w ostatniej walce, powierzyłbym mu swoje plecy każdego dnia, choć wciąż  rękę trzymałbym na sakiewce.
str_npc3_personalitymatch_speech_b|Przyznaję również, że uważam go za naprawdę dobrego towarzysza, człowieka mądrego i znającego maniery. Może, może... Ach, ale za dużo mówię. Dobrego dnia {panie/pani}.
str_npc4_personalitymatch_speech_b|Przyjęcie go do naszej kompanii było dobrym wyborem. On wie sporo na temat walki, zna również znaczenie szacunku wobec swoich towarzyszów broni, w przeciwieństwie do kilku innych osób, które mógłbym wymienić.
str_npc5_personalitymatch_speech_b|Jak chodzi o jego inne atrybuty, wątpię, by był z niego większy baron niż ze mnie, ale muszę przyznać, że podziwiam bezczelny sposób, w jakim o tym zapewnia.
str_npc6_personalitymatch_speech_b|Muszę przyznać, że {s11} jest dla mnie źródłem wielkiego komfortu. Powiedziałem mu o moim grzechu, a on odpowiedział, że niebiosa mi to wybaczą, jeśli będę szczerze żałował i prosił o wybaczenie. To mądry człowiek i cieszę się, że jest z nami.
str_npc7_personalitymatch_speech_b|Powiedziała mi, że kiedy nie będziesz już nas potrzebować, to powróci ze mną do wąwozów. Tam znajdziemy bandytów, którzy zamordowali moją miłość. To była uprzejma propozycja. Cieszę się, że ona jest z nami.
str_npc8_personalitymatch_speech_b|Udało mu się zmieścić ich genealogię, wygląd i nawyki żywieniowe w zręcznym czterowierszu napisanym w starocalradiańskim. Osobiście preferuję styl sagi, ale my Nordowie, szanujemy poezję, kiedy ją słyszymy.
str_npc9_personalitymatch_speech_b|Gdyby była szlacheckiej krwi, mógłbym poprosić ją o rękę. Szkoda, że jest tylko córką kupca. Jednak rozmowa z nią to przyjemny sposób na zabijanie czasu podczas marszu.
str_npc10_personalitymatch_speech_b|Heh. Wygląda na to, że młodość to nie wszystko, doświadczenie również potrafi wygrywać bitwy. Sądzę, że ona i ja moglibyśmy nauczyć młode szczeniaczki na tym świecie kilku rzeczy, prawda?
str_npc11_personalitymatch_speech_b|Stary {s11} naprawdę pokazał im kilka sztuczek. Niezła z nas para, tak sobie myślę, zważywszy na to, że dzieli nas jakieś sto wiosen.
str_npc12_personalitymatch_speech_b|Głęboko go zasmuca, że musi odbierać życie innym ludziom, ale tak to już jest. Rozmawialiśmy o lepszej przyszłości, o potrzebie zjednoczenia tych wszystkich walczących królestw w Calradii, aby to wszystko wreszcie się skończyło.
str_npc13_personalitymatch_speech_b|Powiem też, że normalnie wolę skromność od zachowań godnych Amazonek. Jednak w tym przypadku muszę przyznać, że zwróciła moją uwagę swoją kobiecością, choć próbuje ją ukrywać. Prawda jest taka, że ona trzyma się z boku podczas marszu i w obozie, ale może moje szczere słowa stopią nordycki lód wokół jej serca.
str_npc14_personalitymatch_speech_b|To zawodowy żołnierz i choć nie porusza się tak szybko jak inni, doskonale wie, jak ważne jest trzymanie szeregu w walce. To była doskonała decyzja, przyjąć go do kompanii.
str_npc15_personalitymatch_speech_b|Wojna jak wszystko inne, wymaga uważnego planowania i przygotowań oraz silnych strategicznych umysłów. Prawda jest taka, że w boju zwycięża lepiej wyszkolona armia, co można było zaobserwować podczas naszego ostatniego starcia. Ludzie mogą go teraz przeklinać, ale jeszcze będą mu dziękować, gwarantuję.
