str_no_string|NINCS SZÖVEG!
str_npc14_personalityclash2_speech_b|{Uram/Hölgyem}, a feljebbvalóval szembeni ily nyílt szembeszegülés bomlasztó hatású lehet seregünkre, s ha ez még egyszer előfordul, meg kell őt korbácsoltatnom.
str_npc15_personalityclash2_speech_b|{s11} azt válaszolta, hogy a galláriaiak 'divatjamúlt tudatlanok'. Kapitány, egy igazi orvos nem engedne meg magának ilyen tiszteletlenséget a múlt nagy tudósaival szemben. Nem hinném, hogy egy ilyen nyilvánvaló imposztort alkalmaznia kellene.
str_npc16_personalityclash2_speech_b|A legutóbbi csetepaténk után felvágtam a hasát pár ellenségünknek, dugiaranyat keresve, hiszen nem lopom én a pénzt. Öklendezett és azt motyogta, hogy 'állat' vagyok. Körül fogok nézni a belsőségeiben csempészáru után, ha nem beszél velem tisztességesen.
str_npc1_personalitymatch_speech|Hé főnök, nem is volt rossz, ahogy {s11} harcolt a legutóbbi csatában! Ráadásul jó ember is.
str_npc2_personalitymatch_speech|{Uram/Hölgyem}! Csak azt akartam elmondani: lehet, hogy {s11} egy goromba alak, s ezzel magam is címeres gazfickónak tűnök majd, de büszke vagyok rá, hogy a bajtársamnak mondhatom!
str_npc3_personalitymatch_speech|Légy üdvözölve, {Uram/Hölgyem}! Csak azt akartam elmondani, hogy {s11} minő bátor lovag. Láttad őt a legutóbbi csatánkban?
str_npc4_personalitymatch_speech|Bocsáss meg, {uram/hölgyem}. csak egy szót szólnék {s11} dicséretére. Remekül helytállt a legutóbbi csatában.
str_npc5_personalitymatch_speech|Ez volt ám a csata, {playername} bahadur! Jó hogy ily harcosokat, mint {s11} magunk mellett tudhatunk.
str_npc6_personalitymatch_speech|Kapitány! Néha aggaszt ez a vérontás, bár tudom, a felfuvalkodott várurakat meg kell alázni, a kegyetlen banditákat pedig megzabolázni, ha békét akarunk hozni Calradia földjére.
str_npc7_personalitymatch_speech|Kapitány, {s11} és én beszélgettünk. Lehet, hogy kissé vad, de azt hiszem, igaz barát.
str_npc8_personalitymatch_speech|Remek csata volt, kapitány, s meg kell mondanom, csodáltam, ahogy {s11} kigúnyolta ellenségeinket.
str_npc9_personalitymatch_speech|Kapitány, {s11} remekül helytállt a legutóbbi csatában! Finom, erényes hajadon, ha szabad ezt mondanom.
str_npc10_personalitymatch_speech|Hahó, {testvérem/nővérem}! Remélem, te is élvezed győzelmünket! A jó öreg {s11} anyó elég jól állja a sarat, nemdebár? Főleg, ha tekintetbe vesszük a korát - bár igaz, magam is egyre vénülök.
str_npc11_personalitymatch_speech|Ah, kapitány! Egy ilyen harc szinte új életet lehel öreg csontjaimba. Alaposan elagyabugyáltuk őket, nem igaz?
str_npc12_personalitymatch_speech|Kegyetlen vérontás, kapitány, kegyetlen - bár persze szükséges. Úgy vélem, {s11} osztja e folyamatos harc iránt táplált vegyes érzelmeimet.
str_npc13_personalitymatch_speech|Ma rászolgáltál a nevedre, bátor vitéz, de {s11} is! Kedvelem őt. Népe dalait énekli, midőn csatába indul, mely vonzó egy ily művészlélek számára, mint jómagam.
str_npc14_personalitymatch_speech|Kapitány, öröm csatába indulni oly emberekkel az oldalamon, mint {s11}!
str_npc15_personalitymatch_speech|Kapitány a legutóbbi csata után {s11} és én beszélgettünk, s meglepett, hogy ez az ember mennyire okos fejjel gondolkodik.
str_npc16_personalitymatch_speech|Hé, kapitány! {s11} és én beszélgettünk, mikor a testeket kutattuk át a legutóbbi kis csetepaténk után.
str_npc1_personalitymatch_speech_b|Az olyan jótét lelkek nélkül, mint ő, kik pénzt hoznak Calradiába, a magamfajta gazfickók élete sokkal nehezebb lenne. Örülök, hogy velünk van!
str_npc2_personalitymatch_speech_b|Azt látva, miként harcolt a legutóbbi csatában, nem félek többé hátat fordítani neki - bár a kezemet azért az pénzes zacskómon tartom.
str_npc3_personalitymatch_speech_b|Azt is be kell valljam, hogy igazán elragadó társaságnak tartom. Oly férfiú ő, ki észnek s illemnek sincs híján. Talán, talán... Ah, de túl sokat beszélek. Minden jót, {uram/hölgyem}.
str_npc4_personalitymatch_speech_b|Helyesen döntöttél, mikor felfogadtad sorainkba. Jól forgatja a kardot, és azt is tudja, mily fontos a bajtársak tisztelete - nem úgy más, kit tán már említettem volt.
str_npc5_personalitymatch_speech_b|Ami a többi tulajdonságát illeti, szerintem épp annyira báró ő, mint jómagam, de csodálom azt az arcátlan módot, ahogy mindezt megpróbálja elhitetni.
str_npc6_personalitymatch_speech_b|El kell mondanom, hogy {s11} enyhítő balzsam égető kínjaimra. Beszéltem neki a bűnömről, s ő azt válaszolta, az Úr meg fogja bocsátani vétkemet, ha őszintén megbánom azt, s valóban vágyom a feloldozásra. Bölcs ember ő, s örülök, hogy velünk van. 
str_npc7_personalitymatch_speech_b|Valamikor a jövőben, ha már nem lesz szükséged a szolgálatainkra, megígérte, hogy visszajön velem a szurdokba, segít, hogy megtaláljam a szerelmemet meggyilkoló banditákat, s bosszút álljak rajtuk. Kedves felajánlás volt ez tőle. Örülök, hogy magunk között tudhatjuk!
str_npc8_personalitymatch_speech_b|Származásukat, megjelenésüket, étkezési szokásaikat tökéletes ó-calradiai négysorosokba foglalta. Személy szerint én jobban kedvelem a sagákat, de mi, nordok tiszteljük a versalkotást is, ha ilyet hallunk.
str_npc9_personalitymatch_speech_b|Ha nemesi származású lenne, tán meg is kérném a kezét. Nagy kár, hogy egy kereskedő lánya. De véle beszélgetve remekül telik az idő a hosszú menetelés közben.
str_npc10_personalitymatch_speech_b|Hah, látszik, hogy a fiatalság nem minden, a tapasztalat is képes megnyerni egy csatát. Szerintem ő és én tudnánk a kölyköknek egy-két dolgot mutatni, nemdebár?
str_npc11_personalitymatch_speech_b|Főleg az öreg {s11} mutatott nekik egy-két dolgot, szerintem. Nem rossz kettőnktől, úgy vélem, főleg, hogy együtt majd száz évet lenyomtunk már.
str_npc12_personalitymatch_speech_b|Mélyen elszomorítja, hogy az övéi életét kell kioltania, bármennyire is indokolt. Ő és én egy szebb jövőről beszélgettünk, arról, mennyire szükséges lenne Calradia apró királyságait kibékíteni és egyesíteni, hogy véget vessünk a háborúskodásnak.
str_npc13_personalitymatch_speech_b|És bár az amazon természetnél jobban kedvelem a szemérmességet, bevallom, észrevettem a nőiességét, melyet harcias viselkedésével próbál meg leplezni. Igaz, hogy az úton és a táborban is elég tartózkodó, de talán ékesszólásom megolvasztja majd a nord jeget szíve körül.
str_npc14_personalitymatch_speech_b|Igazi katona, s bár gyalog nem olyan gyors, mint mások, tudja, hogy bölcs dolog fegyelmezetten megtartani a csatarendet. Ön jó érzékről tett tanúbizonyságot, midőn befogadta őt seregünkbe.
str_npc15_personalitymatch_speech_b|A háború, mint sok más dolog, gondos tervezést és előkészítést igényel, és a stratégiai alapelvek pontos ismeretét. Két egyforma sereg közül a jobban képzett fog győzni, s ezt a tapasztalatot szerintem a legutóbbi csatánk alátámasztotta. Lehet, hogy az emberek most átkozzák, de kezeskedem róla, hogy hamarosan áldani fogják.
str_npc16_personalitymatch_speech_b|Halotta már a történetét? El tudja képzelni, ami vele történt? Komolyan mondom, ökölbe szorul tőle a kezem! Legszívesebben feltrancsíroznám azokat a rohadékokat, akik bántották - és meg is teszem, ha beléjük botlunk az úton.
str_npc1_retirement_speech|Belefáradtam, hogy fel-le masírozzak Calradiában, és véremet ontsam mások ügyéért. A pénz jó, de úgy vélem, elég lesz már nekem. Visszamegyek a falumba, megnősülök, letelepszem, s talán, ha futja rá, lovakat tenyésztek.
str_npc2_retirement_speech|Kicsit belefáradtam a katonaéletbe. A jussomat befektetem egy rakomány áruba - talán szőrmébe, vászonba vagy bársonyba -, és visszatérek velük a hegyeken túlra. Hadd köszönjem meg újra, hogy veled tarthattam, s hadd kívánjak sok szerencsét!
str_npc3_retirement_speech|Attól félek, el kell mondanom valamit neked. Úgy döntöttem, a katonaélet nem nekem való. Azt hiszem, nem lehet már reményem egy jó házasságra - népemből senki nem venne feleségül olyan nőt, ki egy sereg zsoldossal szolgált -, de talán elég arra a pénzem, hogy kereskedő legyek. Remélem, nem haragszol meg rám emiatt, {uram/hölgyem}.
str_npc4_retirement_speech|Becsülettel harcoltam melletted, ahogy egy igazi Rolfhoz illik, de nem vagyok teljesen elégedett a vezéri képességeiddel. Hazatérek ősi birtokaimra, melyek szomjúhoznak szolgálatim iránt.
str_npc5_retirement_speech|Bahadur! Mióta elfogadtam a sódat, ádázul és hűen harcoltam érted. De szolgálatomat nem mindig viszonoztad oly hadvezéri erényekkel, melyeket megérdemeltem volna. Így hát hazatérek, hogy atyámat és bátyáimat újra lássam, abban a reményben, hogy a kán emberei elfeledték tettem.
str_npc6_retirement_speech|Abban a reményben csatlakoztam seregedhez, hogy kivezetsz engem a sötétségből, s valóban, találtam is némi megnyugvást itt. Ám a vezetéseddel szemben vannak némi aggályaim, s egyre inkább úgy érzem, hogy a megváltás útját máshol kell keresnem.
str_npc7_retirement_speech|Belefáradtam ebbe a hitvány életbe: a vég nélküli csatározásba, a félelemtől, pénzsóvárságtól, kéjtől és száz egyéb bűntől lealjasult férfiak látványába. Van elég pénz a zsebemben. Elhajózom a tengerentúlra, keresek egy Calradiánál jobb országot. Gondolom, boldogulsz nélkülem is.
str_npc8_retirement_speech|Jó szívvel harcoltam seregedben, bár nem voltak mindig ínyemre vezetési módszereit - de bárhogy is, más dolgom van. Fogom a jussomat, és saját csapatot toborozva elhajózom Nordlandra, hogy visszavegyem férjem házát álnok sógoromtól. Minden jót kívánok!
str_npc9_retirement_speech|Jól harcoltunk, sok dicsőséget szereztünk együtt. De vannak fenntartásaim az Ön vezetési erényeivel szemben, s örökségemet is vissza kell szereznem mindenképpen. Így aztán továbbállok. Remélem, még találkozunk.
str_npc10_retirement_speech|Megelégeltem, hogy széltében-hosszában fel-alá masírozunk Calradiában. Van már annyim, hogy egy kis földet vegyek valamerre, így aztán bele is vágok. Minden jót, további sok szerencsét!
str_npc11_retirement_speech|Nagy szolgálatot tettél egy öregasszonynak, hogy felfogadtad seregedbe. De attól tartok, nem kedvelem jobban az efféle életet, mint a szekértolást. Túl sok hideg, túl sok éhezés, s a végén mi vár rám? Csak egy lyuk a földben. Így hát továbbállok, bár nem tudom, merre.. 
str_npc12_retirement_speech|Jól ment sorom seregedben. Megtömtem a bendőm és a pénzes zacskóm, s kiszélesítettem tudásom a sebek és sérülések terén - ezt nem vitathatom. De most úgy vélem, a további szolgálat visszafogna. Kötelességem megosztani tapasztalataimat a többi felcserrel, s evégből íródeákokat kell felfogadnom, kik ritkák Calradiában, így haza kell mennem.
str_npc13_retirement_speech|Hírneved egyre fényesebben ragyog, s én félek, hogy az enyém árnyékodban egyre haloványabb lesz, mint ahogy a Nap sápasztja el a Holdat. Úgy döntöttem, saját lábamra állok. Sok szerencsét kívánok neked!
str_npc14_retirement_speech|szeretném tájékoztatni Önt, hogy ezennel felbontom kapcsolatunkat, s más munkaadó után nézek.
str_npc15_retirement_speech|Méltányolom, hogy felfogadtál, de nem vagyok teljesen boldog a dolgok alakulásával. Másfelé veszem az irányt - talán hazatérek, talán más munkát keresek, még nem döntöttem el.
str_npc16_retirement_speech|Jól éreztem magam e seregben, és találtam is magamnak pár csinos csecsebecsét a csatamezőn, de most ez nem elégít ki. Továbbállok, hogy másvalakinek kínáljam fel tehetségemet.
str_npc1_rehire_speech|Főnök, jó újra látni téged! Tudom, hogy voltak köztünk ellentétek, de az igazat megvallva, az volt életem egyik legjobb időszaka. És öszintén szólva, nem is igazán sikerült munkát találnom. Ha fel akarnál bérelni ismét, örömmel csatlakozom újra a seregedhez.
str_npc2_rehire_speech|{uram/hölgyem}! Jó újra látni téged! De bevallom - kerestelek. Vettem egy rakomány árut, ahogy terveztem, elindultam velük a sztyeppén át - s nem fogod elhinni: ismét lecsaptak rám a khergitek! Mindent elveszítettem. Úgy látszik, ez a sorsom: harcolnom kell a pénzemért. Az emberek amúgy nagy véleménnyel vannak rólad. Nos hát {uram/hölgyem}, visszafogadsz?
str_npc3_rehire_speech|Nos, üdvözöllek {uram/hölgyem}! Jó újra látni téged. Sajnos, mióta elváltunk, nem ment jól sorom. Anyám családja, kikre számítottam, hogy segítenek az üzlet beindításában, nem úgy fogadtak, mint reméltem. Csak fejmosást kaptam a nénikéimtől, mert romba döntöttem a házassági kilátásaimat azzal, hogy egy zsoldosseregben szolgáltam. Lehet, hogy jobban illik hozzám a harc, mint a kereskedés; megosztani az ételt a bajtársaimmal a tábortűz mellett, semmint bort kortyolni Veluca polgáraival. {Uram/Hölgyem}, meg kell kérdeznem - visszafogadnál?
str_npc4_rehire_speech|Üdv néked, kapitány! Rég találkoztunk. Jókat hallék felőled. Ami engem illet, nehezemre esett jövedelmezővé tenni birtokaimat - sáskák, aszály, engedetlen jobbágyok, s más effélék. Tudom, volt némi nézeteltérés köztünk, de megtiszteltetésnek venném, ha ismét soraidban harcolhatnék.
str_npc5_rehire_speech|{playername} bahadur! Hírneved egyre nő, még a hegyeken túl, szülőföldemre is elért! Visszatértem oda, remélve, hogy a kán emberei elfeledtek. Nos hát, nem... Még be sem tettem a lábam völgyembe, mikor megkaptam családom üzenetét: a kán és a humyan a nyomomban jár. Így hát ismét itt vagyok, bízva abban, hogy megbocsátod a nyers szavakat, melyeket szóltam, s ismét veled harcolhatok.
str_npc6_rehire_speech|Örülök, hogy látlak, {uram/hölgyem}. Bármerre járok, az emberek a tetteidről áradoznak. Az én sorom, mióta elváltunk, rosszul megy. Akárhol lyukadok ki, a démonjaim visszatérnek. A lelkem háborog. Olyan okokból, melyeket magam sem egészen értek, békére leltem seregedben, még ha voltak is aggályaim vezetéseddel szemben. Megengednéd, hogy még egyszer veled szolgáljak?
str_npc7_rehire_speech|Kapitány, jó újra látni téged! Bocsásd meg, amit mondtam, amikor elváltak útjaink. Felszálltam egy Werchegből induló, keletnek tartó hajóra, de kalózok foglalták el, s miután kiváltottam magam, itt tettek partra ismét. Lehet, hogy vannak jobb helyek is a világban, mint Calradia, de egyhez sem volt még szerencsém. Így azt gondolom, ha itt kell élnem, a sereged épp olyan jó megélhetést nyújt, mint bármi más. Visszafogadsz?
str_npc8_rehire_speech|Üdvözletem, {playername}. Azon tűnődöm, a keményebb szavak, melyek köztünk elhangzottak, megbocsáthatóak-e. Megpróbáltam az itteni nordok közül elég embert találni ahhoz, hogy visszafoglaljam férjem házát. Ám nem jött össze egy hajóra való, s kiket összegyűjtöttem, hamar elunták magukat és továbbálltak - hozzáteszem, csak azután, hogy mind elitták a vagyonomat. Így aztán arra gondoltam, visszatérek a csatákhoz, melyekben együtt harcoltunk. Szép napok voltak, s jövedelmezők is.
str_npc9_rehire_speech|Kedves, kedves {uram/hölgyem}, oly jó látni Önt! Felajánlottam szolgálataimat e birodalom hatalmasságainak, de rendkívüli módon csalódtam. Legtöbbje azt akarta, hajtsam be adósságiakat más uraktól, mintha csak egy bankár inasa lennék, vagy a parasztjaikat hajkurásszam, akár valami uradalmi intéző. Az egyikük egyenesen azt kérte, öljem meg a hitelezőit! Így aztán keresni kezdtem Önt, hátha ismét együtt harcolhatunk.
str_npc10_rehire_speech|Kapitány, jó újra látni téged! Látod, kiderült, hogy nem vagyok földműves. Valószínűleg túl elnéző voltam a napszámosaimmal. Az utolsó garasig kiraboltak. Azt hiszem, egyedül a harchoz értek. Mondd hát, kapitány, van még hely nálad egy jó zsoldosnak?
str_npc11_rehire_speech|Kapitány, jó újra látni téged! Azt beszélik, csak úgy dől hozzád az arany. Izgága vénasszony vagyok, be kell látnom. Otthagytalak, mert nem tetszett a katonaélet, de eltöltöttem egy kis időt a városban, s rádöbbentem, hogy vannak rosszabb dolgok is az életben, mint a teli has, a hű társak, és a megfutamodó ellenség örömteli látványa. Tehát, felfogadnál újra?
str_npc12_rehire_speech|Kapitány, jó újra látni egy oly becsületes arcot, mint a tiéd! Ez a világ tele van hazugsággal. Hazatértem, hogy közzétegyem a tapasztalataimat, felbéreltem pár íródeákot, elkészítettem jó pár kötetet, s vártam a megrendeléseket. Ám kiderült, hogy az egyetemeket nem érdekli a valódi orvosi tudás, inkább az elavult galláriai módszerek. És a kiadók! Hadd mondjam el, soha nem láttam ilyen gátlástalanságot. Kikölcsönözték a könyveimet fejezetenként a diákoknak lemásolásra, de csak a fele került vissza, s azok is bortól ázottak voltak, így sehol nincs már műveimből egy teljes kötetnyi. Nem adom fel, de előbb szükségem lenne még némi pénzre. Nincs szükséged felcserre?
str_npc13_rehire_speech|Légy üdvözölve, hős vitéz! Reméltem, hogy ismét találkozunk. Bármerre járok, hallom a történeteket és dalokat tetteidről. Bevallom, sajnálkozás nyilall belém amiatt, hogy elváltak útjaink, s elismerem, némi féltékenység is, ennyi csodálat láttán. Azt reméltem, még egyszer harcolhatok oldaladon, s ismét sütkérezhetek hírnevedben. Egy irányba fordíthatnánk lovainkat, egy kis időre, ismét?
str_npc14_rehire_speech|Kapitány, jó újra látni magát. Midőn legutóbb elváltunk, kész voltam rá, hogy megesküdjek, soha nem szolgálok maga alatt többet, de talán túl szigorúan ítéltem meg Önt. Calradia-szerte az emberek magát dicsőítik. Megpróbáltam más urak seregében boldogulni, és higgye el, amit láttam, megváltoztatta véleményemet az Ön vezetői képességeit illetően. Ha visszafogad, örömmel harcolnék ismét Önnel.
str_npc15_rehire_speech|Üdv, {playername}! Nem mondanám, hogy nem örülök a találkozásnak. Tudod, elfogadtam még egy megbízást, mielőtt elmentem volna, és ahogy várható volt, midőn fizetésre került a sor, a várúr csak papolt, kifogásokat és csip-csup hibákat hozott fel a munkámmal kapcsolatban. Nem állítom, hogy mindig boldog voltam a seregedben, de legalább minden csata után került arany a zsebembe. Kínálsz még munkát?
str_npc16_rehire_speech|Kapitány! Azt mondják, jól boldogul, mióta utoljára találkoztunk. Bevallom, átkoztam a nevét, mikor szétváltak útjaink, de visszagondolva magával nem is volt annyira rémes. Ezek az urak örömmel küldözgetnek ide-oda a kis megbízásaikkal, de nem hajlandóak a csaták első sorába állítani. Úgy tűnik, megrémítem az embereket. Azt hallottam suttogni, hogy boszorkány vagyok, vagy megeszem a férfiak szívét, miután megöltem őket, vagy más ostobaságot. Nem mintha nem szívesen szúrnék le egy férfit álmában, de az sokkal örömtelibb, mint mikor ébren van és rúgkapál. Így aztán úgy gondoltam, megkeresem magát, hátha visszafogadna.
str_npc1_home_intro|Főnök, tudod, hogy errefelé születtem, a felső sztyeppén? Errefelé vadásztam a lovakra, mert ez jó föld számukra, bár az embereknek kevésbé. Úgy vélem, a khergitek ezért szeretik.
str_npc2_home_intro|Sargoth közelében járunk. Ide tartottam, mikor a khergitek megtámadtak.
str_npc3_home_intro|Érzed ezt? Citromfák, alma és krókuszvirágok - Veluca illata! Sok boldog nyarat töltöttem itt kislányként, anyám családjának kertjében játszva, míg atyám üzleti úton járt.
str_npc4_home_intro|Ehlerdah erdeje. Hah! Banditák és zsiványok otthona!
str_npc5_home_intro|Bahadur, közeledünk Halmarhoz, az alsó sztyeppe legnagyobb városához. Anyám nővére ide ment férjhez, s ezért gondoltam úgy, hogy az itteni úr szolgálatába állok. Ekkor találkoztunk.
str_npc6_home_intro|Látom a szőlőültetvényekről és a domboldalak teraszairól, hogy közeledünk otthonomhoz. Nem szeretnék találkozni a családommal, így inkább a falakon kívül időznék, ha bemégy a városba. Biztosan megérted.
str_npc7_home_intro|Érzed ezt? Sózott hal, rothadó len, és folyamiszap. Gyermekkorom illatai. Hánynom kell tőle.
str_npc8_home_intro|Hm. Hallja ezt? Bizonyára a földnyelvhez csapódó hullámok zaja. Közel lehetünk a Gundig-fokhoz.
str_npc9_home_intro|Ó, a Rivacheg-szirt, Calradia legerősebb erődje! Atyám egyike volt azoknak, kik a nordok ellen védték e helyet, midőn azok először akartak beljebb nyomulni a partokról.
str_npc10_home_intro|Érzed a friss levegő illatát, {testvérem/nővérem}? Ez volt az otthonom, mielőtt útra keltem volna szerencsét próbálni. Jó újra a hegyek közt lenni. Ez a szabadság szele! Itt, a Grunwalder vár alatt ringott a szabad rhodokok bölcsője.
str_npc11_home_intro|Látom a hegyeket. Közeledhetünk otthonomhoz.
str_npc12_home_intro|Épp egyik legnagyobb orvosi sikerem helyszíne mellett haladunk el, ha érdekel.
str_npc13_home_intro|Ah, Ergellon vára! Minő bájos hely, a Rhodok hegyvidék lábánál. Mily szép napokat töltöttem ott két nyárral ezelőtt.
str_npc14_home_intro|Látja azt az erődöt odafent, a völgyön túli kiszögellésen? Pár éve ott töltöttem egy telet, hogy megpróbáljam kiképezni a várúr embereit.
str_npc15_home_intro|Látod azt az erődöt a hegyen? Culmarr várának hívják. Nem is olyan rég dolgoztam ott. Nem olyan mutatós, mint más várak Calradiában, de a legkiválóbb kőművesmunka, amit csak láttam.
str_npc16_home_intro|Hé kapitány, látja azokat? Egy nyúl lábnyomai a hóban! Közel lehetünk a szülőföldemhez.
str_npc1_home_description|Nos, a khergitek mindig itt éltek, mióta réges-rég a császár aranyat és földet adományozott nekik, hogy a többi törzset távol tartsa. Azt mesélték, nagyapám khergit törzsfőnök volt, bár anyám nem ismerte őt sokkal jobban, mint amennyire én ismertem az atyámat. Mikor anyám még kislány volt, a khergitek nagy számban elkezdtek beszivárogni a hegyeken túlról, s most már egy khergit kánság van Tulgában.
str_npc2_home_description|Az emberek azt mondják, hogy a nordok vérszomjas barbárok, de jó érzékük van a kereskedelemhez, ha engem kérdezel. Az emberekkel végig a part mentén lent termesztetnek, melyből itt vásznat szőnek. Nem vetekedhet a jelkalai selyemmel és bársonnyal, mint luxuskelme,  de kellemes nyári viselet, és hajókon is használható vitorlának. S főleg, a vászon volt azon kevés termékek egyike, melyet itt Calradiában még senki sem gyártott.
str_npc3_home_description|Velucában csapadékos a tél s forró a nyár, de az emberek nagy víztározókat építenek terményeik öntözésére. Szőlőt termesztenek - híres a velucai bor, {uram/hölgyem} -, s azok, akik megengedhetik maguknak, fallal övezett kertet építenek, hol gyümölcsfák teremnek gazdagon, s mi éjjelente a szabadban ülünk zenét hallgatva, sakkozva, vagy csak az illattal telt levegőt beszippantva.
str_npc4_home_description|Nos, Swadia királya saját vadászterületének nyilvánította ez erdőt, s kihirdette, hogy halál fia, ki csak megfeszíti íját ehelyütt. Így aztán mi történt? Néhány éhező család nem tudott ellenállni a kísértésnek, orvvadászatra adta fejét. A király főispánja elfogatta s fellógatta őket, és elvette földjüket. Fiaik, hogy ne kopjon fel álluk, zsiványnak álltak. Így aztán széles e völgyben bárki, ki el akar menekülni hitelezői, zsémbes felesége vagy egy bosszúszomjas haragosa elől, idejön és csatlakozik hozzájuk, vaddisznón és bogyókon él, no meg az óvatlan utazók pénzén..
str_npc5_home_description|A khergitek gyakran jártak ide kereskedni s portyázni, és a Birodalom utolsó napjaiban elkezdtünk itt letelepedni. Épp, mint a vaegirek, swadiaiak, rhodokok és nordok, elfogadtuk a Császár pénzét, hogy a többi törzset kordában tartsuk. De midőn a Nagy Horda nagyapáink idejében megtámadta szülőföldünket, erővel törtünk be e vidékre. Visszaszorítottuk a vaegireket, s erődjeiket elfoglaltuk a magunk számára. 
str_npc6_home_description|Itt, Suno Völgyében, a dialektusunk és szokásaink olyannyira emlékeztetnek az Ó-Calradiai Birodalomra, mint sehol másutt az országban. Olajbogyót és szőlőt termesztünk, mely növényeket még a császárok hoztak e földre a tengerentúlról, és a régi calradiai elvek szerint élünk: megtartjuk ígéreteinket, és kifizetjük adósságainkat.
str_npc7_home_description|Még mielőtt férjhez adtak, még mielőtt elfogtak a banditák, itt éltem. Egy kunyhóban születtem, s a földeken töltöttem a gyermekkorom. A gazdáink nordok voltak, de soha nem láttuk őket, csak átkozott kegyenceiket és felügyelőiket. Az atyám, amilyen gyáva volt, csúszott-mászott előttük.
str_npc8_home_description|Nem hallotta a történetet? Midőn Bolyhosnadrágú Gundig Nordlandről Calradiába érkezett, leásta zászlaját a földnyelvbe, s kijelentette, addig lesz ott, míg vissza nem foglalja 'örökrészét'. Az ő 'örökrészét', így mondta. Gundig hitt a szkaldoknak, kik azt mondták neki, a Császár Calradiát a nordokra hagyta, holott az igazság az, hogy csak egy kis f9öldcsíkot kaptunk a part mentén, elegendő embert biztosítva így gályáira.
str_npc9_home_description|A nordok felhajóztak a folyón a hajóikkal. A part menti városlakók megállíthatták volna őket, de épp olyan gyávák voltak, mint manapság, s inkább évente kifizették a nordgeld néven emlegetett sarcot, hogy békén hagyják őket. Ám a vaegir urak erre nem voltak hajlandók! Atyám úgy döntött, átkel a hegyeken, hogy a vaegirek seregében harcoljon. Három egymást követő nyáron át próbálták meg a nordok elfoglalni a Szirtet, s minden alkalommal visszaverték őket a vaegir urak!
str_npc10_home_description|Atyáim idejében a swadiaiak hadra gyűltek, azt remélve, hogy majd fejünket meghajtva hűbérurainkként szolgáljuk őket. Ám Grunwalder, egy öreg hadastyán a hegyekből, megtanított minket, hogyan álljunk csatarendbe lándzsákkal és számszeríjakkal, hogy megtörjük a swadiai rohamokat. Ő elesett a csatában, de az emberek róla nevezték el a várat, mely itt épült, sírja fölött, így emlékezhetünk rá, és rendületlenül álljuk a lovasok ostromát - mindörökké.
str_npc11_home_description|Uxkhalból származom. Ismered a mondást, {uram, hölgyem}: 'Az uxkhali árpából Pravenben lesz sör, s mi annál jobbak vagyunk néki'. Fogalmam sincs, mit jelent, de az árpáról igazat szól. No meg még ott a búza és a rozs is. Idelent, Uxkhal völgyében több gabonát termesztünk, mint amennyit Calradia összesen, és a mi sörünk a legjobb. Láthatod a talajból is - zsíros és fekete, s a jó termés és tele has illatától terhes.
str_npc12_home_description|Az itteni Almerra vár ura vízkórságba esett, s orvost hívatott Uxkhalból magához. Az tipikus egyetemi képzettségűként a galláriai könyvekhez fordult gyógymódért, amelyek a higanyt javasolják. Nos, a legtöbb galláriai írás már a calradiai császárok idejében is használhatatlan volt, s manapság már nyilván semmit nem érnek, bár néha sikerül beletrafálniuk. A higany a vízkórság egyes fajtáit valóban gyógyítja kis adagokban, ám nagy dózisban méreg, s ezt a Gallária-imádók sosem értették meg.
str_npc13_home_description|Egy kis swadia sereggel érkeztem, de meglepték őket a rhodokok az erdőben, s a fák között lemészárolták lovasaikat. Én elmenekültem, s menedéket leltem fent a hegyekben, a legbájosabb marhapásztorlány karjaiban, kit csak elképzelni tudsz. Elrejtett a felföldi legelők közelében egy barlangban, sajtot és bogyókat hozott nekem, s a hegyvidék mondáit mesélte - a játékos kecske-emberről, aki az elveszett állatokat tereli vissza a csordájukhoz, vagy a szellemvadászról, aki a szelet meglovagolva üldözi a viharfelhőket. Micsoda idilli népiesség!
str_npc14_home_description|Azért mondom, hogy 'megpróbáltam', mert véleményem szerint a vaegirek nem tűrik a fegyelmezést. Nem látott még ily kitűnő íjászokat, és jó lovasok is, de semmi kedvük csatasorban harcolni. A képességeik a khergitek és nordok ellen elegendőnek bizonyultak, főleg falak mögé bújva, de láttam, hogy a swadiai lovagok úgy vágtak át rajtuk, mint kés a vajon. A rhodokok lándzsafalát például arra tervezték, hogy megállítsa a swadiai támadásokat, és általában ezt sikerrel is teszi..
str_npc15_home_description|Mint a legtöbb fennmaradt vár errefelé, az alapjai a régi birodalmi Calradiából származnak. Az átépítés után már nem látszik, de a kövei akkorák, mint egy ház. Igazi varázslók élhettek akkoriban, mert egyébként nem értem, hogyan tudták mozgatni azokat. Ráadásul gyönyörű helyen is van: Culmarr pont a Calradiából kivezető út elején terül el, így a várúr szép kis summát ró ki vámként az év azon három hónapjában, mikor nincs hó.
str_npc16_home_description|Ezekben a völgyekben a hó csak az év vége felé olvad el, és a földet nehéz megművelni. Némi árpát lehet termeszteni, de mást nem igen. De az erdők annál gazdagabbak: szarvas, nyúl, hiúz, hús és szőrme, a hegyekben pedig vas, és a kereskedők elég sózott halat hoznak fel a folyón a partoktól, hogy legyen mit ennie az embereknek.
