qstr_Next_Page|Következő oldal
qstr_You_ve_breached_the_|Áttörtél a falakon, de a kitartó várvédők az utcákon is folytatják a küzdelmet. Meg kell velük küzdened, mielőtt végső támadást indíthatnál a vártorony ellen.
qstr_The_town_centre_is_y|Elfoglaltad a városközpontot, de a védők maradéka bevette magát a várba. Le kell őket győznöd, hogy teljessé tedd a diadalt.
qstr_The_remaining_defend|A védők maradéka visszavonult az utolsó menedéket jelentő fellegvárba. Be kell törnöd, és minden ellenállással kíméletlenül le kell számolni.
qstr_However_since_you_ar|Sajnos, mivel nem vagy {s9} felesküdött hűbérese, nincs esély arra, hogy elismerjen a  {reg8?város:vár} {uraként/úrnőjeként}.
qstr_The_enemy_has_been_f|Az ellenség visszavonulni kényszerült A támadásnak vége, de az ostrom tovább folytatódik.
qstr_As_you_approach_you_|Amint megjelensz, észrevesznek a várőrök, akik köszöntenek és kinyitják a kaput {királyuk/királynőjük} előtt.
qstr_As_you_approach_you_a|Amint megjelensz, észrevesznek a várőrök, akik köszöntenek és kinyitják a kaput {uruk/úrnőjük} előtt.
qstr__This_village_and_th| A falu és környéke a te birtokod.
qstr__You_remember_that_t| Emlékszel, hogy a falu és környéke {s7} birtokához tartozik.
qstr__These_lands_belong_| A birtok uratlan.
qstr__The_village_is_infe| A falut megrohamozta {reg8} {s35}.
qstr__The_village_has_bee| A falut kifosztották. Néhányan ijedten szóródnak szét, miközben az üszkös házak között vezet utad.
qstr__The_village_is_bein| A falut megtámadták.
qstr_No_one_here_seems_to|Úgy tűnik, senki sem kíván csatlakozni seregedhez.
qstr_One_{s3}_volunteers_|Egy {s3} szeretne veled tartani.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} szeretne veled tartani.
qstr_Try_as_you_might_you|Bár komoly erőfeszítéseket teszel, nem tudsz a zsiványok fölé kerekedni. Dühödten rombolják földig a falut, hogy megleckéztessék a parasztokat, majd az égő romokat hátrahagyva, újabb zsákmány reményében zöldebb mezők felé lovagolnak.
qstr_village|falu
qstr_town|város
qstr_castle|vár
qstr_The_{s17}_has_no_imp|A {s17} nem fejlődött.
qstr_The_{s17}_has_the_fo|A {s17} az alábbi fejlesztésekkel bír: {s18}.
qstr_The_assasins_beat_yo|A bérgyilkosok felülkerekednek, és a földön hagynak meghalni.
qstr_You_have_fallen._The|Elvesztél. A zsiványok gyorsan átkutatnak némi értéktárgy reményében, aztán tovatűnnek az éjszakába. Alig ugyan, de életben hagytak.
qstr_Luckily_some_of_your|Szerencsére társaid keresésedre indultak, mivel nem tértél vissza, így az út mellett fekve találtak rád. Biztonságos helyre visznek és ellátják sebeidet.
qstr_Luckily_some_passing|Szerencsére néhány városlakó rád talál az út mellett fekve, és felismerik, hogy nem egyszerű koldus vagy. Elvisznek a legközelebbi fogadóba, és ellátják sebeidet.
qstr_You_fail_to_steal_an|Nem sikerült elhajtanod egyetlen szarvasmarhát sem.
qstr_You_drive_away_{reg1|{reg17} {reg12?darab:darab} marhát hajtasz el a falu gulyájából.
qstr_You_are_at_{s2}.|A hely, ahol vagy, {s2}.
qstr__This_castle_has_no_|A várban nincs helyőrség.
qstr__This_town_has_no_ga|A városban nincs helyőrség.
qstr__You_have_successful| Sikeresen belopakodtál.
qstr_{s13}_A_tournament_w|{s13} Nemsokára lovagi tornát rendeznek itt.
qstr___{reg1}_denars_per_| ({reg1} dénár éjszakánként)
qstr_Moreover_you_earn_{r|Mi több, kerestél {reg8} dénárt, mivel előrelátóan saját magadra fogadtál...
qstr_Victory_is_yours!_Yo|Tiéd a győzelem! Ezt a csörtét megnyerted, de fel kell készülnöd a következő fordulóra. 
qstr_You_have_been_bested|Bár vereséget szenvedtél a párbajban, a ceremóniamester kiemeli ügyességed és bátorságod, és engedélyezi, hogy a következő körben is tovább küzdhess. 
qstr_You_were_beaten._The|Vereséget szenvedtél. A parasztokat felbátorítja sikerük, de a leckét, amit adni akartál nekik, aligha fogták fel...
qstr_After_beating_your_l|Utolsó ellenfeled legyőzését követően elmagyarázod a parasztoknak, hogyan tudnak hatékonyabban védekezni a hasonló támadások ellen. Remélhetőleg hasznos leckét kaptak, és legközelebb már fel tudják használni a tanultakat.
qstr_The_bandits_are_brok|A zsiványok megzavarodtak. Az a néhány, aki még életben maradt, fülét-farkát behúzva menekül a parasztok és az új bajnok elől.
qstr_{s1}_s_Ship|{s1} hajója
qstr_However_{reg3?You_ar|Sajnos {reg3?nem találtál:{s1} nem talált} olyan árut, amely hasznot hozhatna.
qstr_^Buying_{s4}_here_an|^Ha itt veszel a következő áruból: {s4}, és {s5} helységben eladod, az darabonként {reg6} dénár hasznot jelent.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?A:{s1} a} következőre {reg3?jöttél:jött} rá:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} {reg0} tapasztalat pontot nyert.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} {reg0} további tapasztalat pontot szerzett.
qstr_^You_earned_{reg0}_e|^{reg0} tapasztalat pontot szereztél.{s2}
qstr_The_training_didn_t_|A gyakorlás kifejezetten rosszul sikerült.
qstr_The_training_didn_t_g|Nem igazán ment jól a gyakorlás.
qstr_The_training_went_qu|A gyakorlás elég jól ment.
qstr_The_training_went_ve|A gyakorlás nagyon jól ment.
qstr_The_training_went_pe|Tökéletesen sikerült a gyakorlás.
qstr_{s13}_asked_you_to_r|{s13} megkért, hogy legalább {reg13} egységgel jelenj meg nála.
qstr_{s13}_ordered_you_to|{s13} megparancsolta, hogy a csatlakozz a(z) {s14} elleni támadáshoz.
qstr_Find_and_speak_with_|Meg kell találnod leendő hűbéruradat, {s4} urát, kinek neve: {s3}, hogy letehesd hűségesküdet.
qstr_There_has_been_an_al|Egy állítólagos határincidens történt itt: {s9}
qstr_^^Note_that_so_long_|^^Tudd meg, hogy amíg a tábornoki rangot viseled, a birodalom urai számítanak rád a hadjárataik vezetésében. Tehát ha ünnepelni szeretnél, házasság vagy egyéb esemény következtében, jobban teszed, ha lemondasz a tábornoki rangról hűbéruradnál.
qstr_Breaking_camp...|Táborbontás...
qstr_Your_party_is_spotte|{s1} észrevette seregedet.
qstr_Party_has_nothing_to|Seregednek nincs mit ennie.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?megszökött:megszökött} seregedből az éj leple alatt.
qstr_{s1}_of_{s3}_has_bee|{s1}, {s3} ura visszanyerte szabadságát.
qstr_Building_of_{s0}_in_|Befejeződött {s0} építés {s4} helységben
qstr_{s1}_has_won_the_tou|{s1} megnyerte {s2} lovagi tornáját
qstr_{s1}_is_no_longer_in|{s1} már nincs kitéve éjszakai zsiványok zaklatásának.
qstr_You_pay_for_accommod|Neked kell fizetned a szállást.
qstr_Betrothal_to_{s5}_ex|Az eljegyzés lejárt vele: {s5}
qstr__Your_tactics_skill_| Taktika képességed egy ponttal nőtt.
qstr__Your_persuasion_ski| Meggyőzés képességed egy ponttal nőtt.
qstr__Your_leadership_ski|Vezetői képességed egy ponttal nőtt.
qstr__Your_intelligence_h| Intelligenciád egy ponttal nőtt.
qstr__Your_trade_skill_ha| Kereskedelem képességed egy ponttal nőtt.
qstr__Your_weapon_master_| Fegyvermester képességed egy ponttal nőtt.
qstr__Your_engineer_skill| Mérnöki tudásod egy ponttal nőtt.
qstr_You_have_finished_re|Befejezted {s1} olvasását.{s2}
qstr_Book_Read|Könyvolvasás
qstr_{s1}_is_scouted.|{s1} megfigyelés alatt áll.
qstr_{s1}_has_switched_fr|{s1} váltott {s2} és {s3} között.
qstr_{reg65?my_Lady:my_Lo|{reg65?Asszonyom:Uram}
qstr_{reg65?My_Lady:My_Lo|{reg65?Asszonyom:Uram}
qstr_{reg65?madame:sir}|{reg65?asszonyom:uram}
qstr_{reg65?Madame:Sir}|{reg65?Asszonyom:Uram}
qstr__no_fiefs_|(nincs hűbérbirtoka)
qstr__fiefs:_{s0}_|(hűbérbirtok: {s0})
qstr_It_s_your_money_or_y|Pénzt vagy életet, {haver/kislány}! Semmi hirtelen mozdulat, különben véged!
qstr_Lucky_for_you_you_ca|Szerencséd, hogy jókedvemben találtál. Ha ideadod az összes pénzed, talán életben hagylak.
qstr_This_a_robbery_eh?_I|Rablás! Vagy átadod minden értékedet, vagy kénytelenek leszünk kinyírni. Világos?
qstr_we_have_made_very_li|eddig nem nagyon léptünk előre
qstr_we_have_suceeded_in_|szereztünk ugyan némi területet, de van még hová fejlődni
qstr_we_have_become_a_sig|jelentős hatalommá váltunk, a győzelemre is van esélyünk
qstr_we_are_winning_the_w|meg fogjuk nyerni a háborút, bár ellenségeink még kitartanak.
qstr_we_are_on_the_verge_|a győzelem kapujában állunk. Ellenségeink maradéka már nem jelent fenyegetést, de még le kell őket győznünk.
qstr_{playername}_when_we|{playername}, mikor megkezdtük hosszú utunkat, kevesekben volt annyi bátorság, hogy engem támogassanak. Még kevesebben kockáztatták volna életüket ügyemért, azonban te nem vonakodtál szembeszállni ellenségeimmel. Sok nehézségen mentünk keresztül vállvetve, és voltak idők, amikor kezdtem elveszíteni minden reményt, ám Isten segítségével átvészeltük mindezt. Itt az idő, útjaink immár elválnak, végre átvehetem jogos jussomat, Mostantól vállaimat nyomja majd az óriási felelősség, amelyet {s3} mindenkori uralkodójának kell viselnie. Persze még mindig sok akadály áll előttem, és ezek leküzdéséhez továbbra is számítok a segítségedre. Természetesen mindig te leszel legelső hűbéresem.
qstr__We_will_of_course_n|Természetesen várnunk kell, amíg a birodalmunkat nem terheli hadjárat.
qstr_I_am_{s4}_the_ruler_|{s4} vagyok, {s6} uralkodója
qstr_I_am_{s4}_a_vassal_o|{s4} vagyok, {s6} hűbérese
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? és {s8} földesura.:.
qstr_{s13}_asked_you_to_g|{s13} megkért, hogy gyűjts össze {reg3} szarvasmarhát és hajtsd hozzá őket.
qstr_{s9}_asked_you_to_sc|{s9} felkért {s13}, {s14} és {s15} szemmel tartására és jelentések készítésére
qstr_you|te
qstr_You_are_challenging_|Párviadalra hívsz? Mily mókás! Ahogy óhajtod, {playername}, remek testedzés lesz behorpasztani a koponyád!
qstr_{s16}_and_{s17}|{s16} és {s17}
qstr_Very_well_I_will_acc|Ám legyen. Visszafogadlak védelmembe, ha esküdet hajlandó vagy még egyszer megerősíteni
qstr_A_pardon_will_only_b|Csak akkor nyerhetsz megbocsátást, ha {s17} az enyém lesz. Elfogadod a feltételeimet?
qstr_No._There_is_no_chan|Nem. Nem érdekel. Nincs esély a békekötésünkre.
qstr_Our_marshal_{s1}|Tábornagyunk, {s1}
qstr_{s11}_and_{s12}|{s11} és {s12}
qstr_We_are_not_at_war_wi|Senkivel sem állunk háborúban. 
qstr_We_are_at_war_with_{|Háborúban állunk, ellenségünk: {s12}.
qstr_go_on_the_offensive_|és most jöjjön a támadás.
qstr_act_to_defend_our_la|próbáld meg megvédeni a földjeinket.
qstr_take_more_time_to_ga|szánj még némi időt a hadsereg toborzására.
qstr_You_promised_to_help|Megígérted, hogy segítesz {s13} törekvésében, hogy megszerezhesse {s14} trónját.
qstr_What_do_you_say_to_e|Szeretnél {s9} szolgálatába szegődni kalmárkapitányként? Semmi kétségem afelől, jól ellátod majd feladatodat.
qstr_{s9}_asked_you_to_ta|{s9} megkért, hogy továbbíts egy üzenetet {s13} részére. {s13} állítólag {s4} közelében tartózkodott az üzenet átvételekor.
qstr_{s9}_asked_you_to_tak|{s9} megkért, hogy továbbíts egy üzenetet {s13}, {s15} ura részére. {s13} állítólag {s4} közelében tartózkodott, amikor átvetted az üzenetet.
qstr_{s11}_asked_you_to_e|{s11} megkért, hogy biztosíts kíséretet {s17} {s13} számára {s14} felé tartó útján.
qstr_{s13}_asked_you_to_d|{s13} megkért, hogy számolj le a(z) {s15} falvát elfoglaló zsiványokkal, majd tájékoztasd az elért eredményekről.
qstr_{s9}_asked_you_to_ra|{s9} megkért, hogy állíts fel {reg1} {s14} egységből egy csapatot, és vezesd őket hozzá.
qstr_{s9}_asked_you_to_co|{s9} megkért, hogy gyűjtsd be {s3} adóit. Jutalékként felajánlotta a begyűjtött összeg egyötödét.
qstr_{s9}_asked_you_to_hu|{s9} megkért, hogy fogd el a(z) {s4} nevű szökevényt. Jelenlegi feltehető tartózkodási helye: {s3}.
qstr_{s9}_asked_you_to_as|{s9} megkért, hogy öld meg a helyi kereskedőt {s3} helységben.
qstr_{s9}_has_asked_you_t|{s9} megkért, hogy találkozz a kémmel {s13} helységben.
qstr_{s11}_asked_you_to_f|{s11} megkért, hogy kövesd a(z) {s12} irányából távozó kémet. Légy óvatos, ne vegyen észre útközben és ne fogjon gyanút, mert visszafordul. Ha a kém találkozik megbízójával, fogd el őket, és vidd vissza mindkettejüket {s11} színe elé.
qstr_{s11}_asked_you_to_c|{s11} megkért, hogy rabolj el egy lordot {s13} helységből. Nem számít melyiket választod, csak vidd {s11} elé, hogy őrizetben tarthassa.
qstr_{s9}_asked_you_to_le|{s9} megkért, hogy add neki kölcsön {s3} társadat egy hétre.
qstr_{s9}_asked_you_to_col|{s9} megkért, hogy hajtsd be {s3} {reg4} dénáros tartozását. {s3} a feladat közlésekor {s4} helységben tartózkodott.
qstr_{s11}_gave_you_a_fak|{s11} hamis levelet ad át neked azzal a céllal, hogy tartalma miatt {s13} száműzze {s16} hűbéresét. {s14} közelébe kell menned, majd oda kell adnod a levelet az egyik {s15} részére, és futárként a városba küldeni, hogy parancsai valódinak tűnjenek.
qstr_{s9}_has_requested_y|{s9} kérte, hogy vess börtönébe {reg1} {s3} foglyot.
qstr_Lend_your_experience|Add kölcsön {s3} nevű tapasztalt felcsered {s1} részére.
qstr_Then_take_it_with_my|Kérlek, fogadd el, örök hálám jeléül. Nemes lelkű {férfi/nő} vagy. Sosem felejtem el, hogy segítettél, mikor a szükség megkívánta.
qstr_Forgive_me_{playerna|Bocsáss meg, {playername}, de el kell fogadnod. A pénz nem jelent sokat számomra, neked viszont sokkal tartozom. Kérlek, vedd el, és ne is beszéljünk többet erről.
qstr_{playername}_what_a_|{playername}, igen nagylelkű {férfi/nő} vagy, de nem hagyhatom, hogy visszautasítsd. Sokkal többel tartozom, mint azt szavakkal kifejezhetném, és biztosan nagyobb hasznát veszed a pénznek, mint jómagam.
qstr_{s11}_asked_you_to_r|{s11} megkért, hogy szabadítsd ki {s14} fogságából a(z) {s13} nevű embert, aki {s17}. Cseréljetek öltözéket, majd vedd át a helyét a börtönben.
qstr_{s11}_asked_you_to_re|{s11} megkért, hogy szabadítsd ki {s14} helyről a(z) {s13} nevű embert, aki a(z) {s17}.
qstr_{s11}_asked_you_to_d|{s11} arra kért, hogy juttass el egy üzentet a(z) {s14} helységben fogva tartott {s13} számára.
qstr_You_agreed_to_challe|Elfogadtad {s13} kihívását, hogy megvédd {s11} becsületét.
qstr_{s5}__Persuasion_str|{s5} (Meggyőzőerő: {reg5})
qstr_Persuasion_Attempt|Meggyőzési kísérlet
qstr_A_villager_from_{s7}|{s7} falu lakója könyörögve kéri, hogy mentsd meg faluját az arra portyázó zsiványoktól.
qstr_You_chose_well_{sir/|Jól döntöttél, {uram/asszonyom}. Embereim tudják, hogyan tartsák meg szavukat és dolgozzanak meg pénzükért.
qstr_Well_done_{sir/madam|Gratulálok, {uram/hölgyem}. Ha elég pénzt és bort kapunk tőled, Calradiában nem lesz többé mitől félned!
qstr_We_are_at_your_servi|Szolgálatodra, {uram/asszonyom}. Mutasd meg, kiket kell lerendezni, a többit ránk bízhatod.
qstr_The_Guildmaster_of_{|{s13} céhmestere megkért, hogy számolj le a környéken fosztogató bandával.
qstr_{s9}_of_{s3}_asked_y|{s9}, {s3} ura arra kért, hogy vigyél neki a(z) {s4} helységben található fogadóba hét napon belül {reg5} egységnyit a következőből: {s6}.
qstr_Escort_the_merchant_|Kísérd el a kereskedőkaravánt {s8} helységbe.
qstr_Merchant_{s9}_of_{s4|{s9}, a(z) {s4} helységben élő kereskedő arra kért, hogy fogd el a város közelében portyázó veszélyes zsiványokat.
qstr_Guildmaster_of_{s4}_|{s4} céhmestere {reg12} dénárt adott, hogy fizesd ki a zsiványok által elrabolt lány váltságdíját. {s3} közelében kell találkoznod a zsiványokkal a pénz átadása céljából. Ezt követően vissza kell kísérned a lányt ide: {s4}.
qstr_Guildmaster_of_{s4}_p|{s4} céhmestere {reg12} dénárt ígért neked, ha elintézed, hogy {s12} és {s13} ne veszélyeztessék többé a(z) {s15} és {s14} között kötendő békét. Ennek érdekében vagy meg kell őket győznöd, vagy foglyul kell ejtened és fogságban kell tartanod őket, amíg a békeszerződést a felek alá nem írják.
qstr_The_Guildmaster_of_{s|{s14} céhmestere megkért, hogy számolj le a(z) {s14} utcáin garázdálkodó zsiványokkal. Fontos tudni, hogy csak éjjel merészkednek elő, és kizárólag magányos utazókra vadásznak.
qstr_Guildmaster_of_{s10}|{s10} céhmestere megkért, hogy hajts egy marhagulyát {s13} helységbe. Ellentételezésként {reg8} dénár fizetségben részesülsz.
qstr_He_is_not_commanding|Jelenleg nem tartozik senki a parancsnoksága alá.
qstr_He_currently_command|Jelenleg {reg0} ember tartozik alá {reg1?, ebből hozzávetőlegesen {reg1} sebesült:}.
qstr_The_elder_of_the_vil|{s3} falu elöljárója arra kért, hogy vigyél nekik {reg5} zsák gabonát.
qstr_The_elder_of_the_vill|{s13} falu elöljárója arra kért, hogy képezz ki {reg5} parasztot a zsiványok elleni harcra.
qstr_The_elder_of_the_villa|{s3} falu elöljárója arra kért, hogy vigyél nekik {reg5} szarvasmarhát.
qstr_{s16}_and_{s15}|{s16} és {s15}
qstr_I_can_smell_a_fat_pu|Mérföldekről megérzem a tömött pénzes zacskó illatát. Asszem itt az idő, hogy könnyítsünk rajta, nem igaz?
qstr_Why_it_be_another_tr|Hát, errefelé nincs sok esély rá, hogy más utazóval találkozzon az ember. Figyelmeztetlek, hogy ez az ország elég veszélyes a hozzád hasonló jó szándékú {férfiak/nők} számára. De egy jelképes összegért vállaljuk a fiúkkal, hogy segítünk úti célod biztonságos elérésében.
qstr_Well_well_look_at_th|Nocsak, nocsak! Jobb lesz, ha gyorsan idepattintasz egy kis ezüstöt, haver, különben kénytelenek leszünk ellátni a bajodat.
qstr_There_s_a_toll_for_p|Ezen a földön az átutazóknak vámot kell fizetniük,szóval, ha nem bánod, ki is vennénk az összeget a pénzes zacskódból...
qstr_Another_fool_come_to|Még egy bolond, aki fegyverem által kíván elveszni? Rendben, hát harcra fel!
qstr_We_re_not_afraid_of_|Nem félünk tőled, {uraság/némber}. Hadd okozzunk némi fejtörést!
qstr_That_was_a_mistake._|Nagy hibát követtél el. Gondoskodom róla, hogy halálod hosszú és fájdalmas legyen.
qstr_Brave_words._Let_s_s|Bátor szavak. Látjuk, alá tudod-e őket tettekkel is támasztani!
qstr_A_{s5}?_Well..._Yes_|{s5}? Hát... Igen, azt hiszem. Micsoda furcsa egy kérdés.
qstr_Eh?_No_it_most_certa|Mi? Nem ez egészen biztosan nem {s5}. A helyedben kezdenék aggódni a szemem világa miatt.
qstr_This_is_the_{reg4?to|Ez {s5} {reg4?város:falu}, {uram/asszonyom}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Városunk:Falunk} és a környező földek természetesen kivétel nélkül a te birtokaid, {uram/asszonyom}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Városunk:Falunk} és a környező földek {s7}, {s8} urának birtokai.
qstr_{s3}_and_{s5}|{s3} és {s5}
qstr_{reg20?We_mostly_pro|{reg20?Leginkább {s5} termelésével foglalkozunk:Mostanában nem sokat termelünk}. Ha többet szeretnél megtudni, beszélj {reg4?céhmesterünkkel:falusi elöljárónkkal}. Itt van a közelben, arra megtalálod.
